"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,10.4,1.51,0.706,0.9522,554.5,11883.5,0,8823,0.7748,31.1107,0.7425,63.59,0.53,19.4,0,0.0125,4.16,256,189.02,256,0.2616,0.265,2565.1,0.92,8.85,10.02,10.02,9.04,NA,125.43,11388.1,0,3.85,8.44,0.09,0.05,0.3331,NA,0.636,0,2785.9,333.7,33.1268,0.9707,17.2,0.0606,2817.9,9.9362,0.0752,0.6,NA,0.9027,1.18,63.59,0.3364,283.6,0.0678,0.031,0,32.5,11054.4,42708,290,55.3,6.03,290,1.45,0.98
"2",2010-12-31,10.3,1.41,0.9628,0.94883601670922,478.9,9479.9,0,6759.4,0.7452973735859,28.317553414328,0.71302439899155,280.3932,0.38948899044454,5.88125,0,0.011,2.0702,206.4,144.2096,206.4,0.30131,0.30131004366812,2310,0.88822240166109,8.7433762301287,11.191860465116,11.191860465116,9.6774193548387,NA,-136.1836,9069.4,0,NA,NA,NA,0.3339,0.2242391884677,NA,0.593,0,2600.7,188.2,47.190223166844,0.97924890290427,32,0.1340594888982,2624.7,10.995810640972,0.06469375,0.39298392148674,NA,0.86468370339338,0.78843736908253,280.3932,1.9443444835522,238.7,0.055450307994002,0.066819795364377,0,18.02,8881.2,88000,264.2,13.7,13.737226277372,264.2,1.5,0.96894263950171
"3",2009-12-31,10.1,1.46,1.1283,0.97671972512447,132.8,6138.8,0,5185.7,0.90344779525776,29.380736543909,0.84474164331791,219.6088,0.33235841531508,1.6897590361446,0,0.0122,2.0533,144.3,94.4819,144.3,0.34524,0.34516765285996,554.2,1.0684403315982,2.504292815183,3.8406098406098,3.8406098406098,3.1399433427762,NA,-125.127,5739.9,0,NA,NA,NA,-0.3104,0.55736636245111,NA,0.4036,0,518.7,168.3,33.105169340463,0.97067893168871,99.6,0.5643059490085,865.2,4.9019830028329,0.020615060240964,1.2673192771084,NA,0.81756373937677,0.95354107648725,219.6088,2.3243490330538,176.5,0.18215127819549,0.75,0,16.32,5571.6,148383,221.3,44.4,3.7905405405405,221.3,1.5,1.0062232662506
"4",2008-12-31,10.1,1.08,0.9418,0.99991389516737,0.4,5107.3,0,3965.5,0.84077175871939,15.508408290966,0.77643764807237,-188.3788,0.25483117434699,NA,0,0.0284,2.0278,208.7,208.7,208.7,0,NA,751,1.1044117647059,3.6491739552964,3.5984666986105,3.5984666986105,2.9370355885804,NA,397.0788,4716.5,0,NA,NA,NA,-0.1614,0.65442764578834,NA,0.3094,0,680,71.4,65.057422969188,0.9848616558889,-150.4,-0.58818928431756,965.3,3.7751271020727,NA,178.5,NA,0.81619084865076,0.27923347673054,-188.3788,-0.90262981501404,255.7,0.30691176470588,-376,0,7.01,4645.1,282337,205.8,17.7,4.0338983050848,205.8,1.5,1.0152836077925
"5",2007-12-31,9.9,0.84,0.6578,0.95339627753809,188.6,4977.6,0,4017.4,0.87130216014575,13.490261920752,0.80709578913533,52.9448,0.26755852842809,5.4477611940298,0,0.10849315068493,3.96,273.1,273.1,273.1,0,NA,593.4,0.79597585513078,2.1238367931281,2.1728304650311,2.1728304650311,1.9926124916051,NA,220.1552,4610.8,0,NA,NA,0.06,0.2772,0.87378909493496,NA,0.7732,0,745.5,36.5,125.32328767123,0.99208380324456,6.7,0.022498321020819,856.9,2.8774345198119,0.5910447761194,0.19353128313892,NA,0.91705842847549,0.12256548018805,52.9448,0.19386596545053,297.8,0.3663313212609,0.035524920466596,NA,3.5,4574.3,293410,279.4,-28.7,NA,279.4,1.1,0.96806567427408
"6",2006-12-31,10.6,1.23,0.3084,0.94837221864417,213.5,4953.7,0,4039,0.8341077587097,16.162464985994,0.81535014231786,-77.0324,0.62256809338521,8.671875,0,0.015279279279279,4.24,228.3,163.4879,228.3,0.28389,NA,803.3,1.0865683754903,2.9328221978824,3.5186158563294,3.5186158563294,3.2144857943177,NA,240.5203,4842.3,0,NA,NA,0.2,0.3779,0.21837944664032,NA,0.9535,0,739.3,277.5,16.44972972973,0.94269252214857,32,0.1280512204882,802.1,3.2096838735494,0.1325,1.2997658079625,NA,0.91356542617047,1.1104441776711,-77.0324,-0.47118108948633,249.9,0.22113879751116,0.14988290398126,NA,26.61,4564.8,86000,273.9,38,7.3026315789474,273.9,1.2,1.0133938848544
"7",2005-12-31,11.1,2.03,0.3273,0.94931500332984,248.1,4340.6,0,3411.8,0.79592217608361,17.985239852399,0.78602036584804,-145.6616,0.43996333638863,10.010169491525,0,0.015035557060616,4.44,178.2,125.5312,178.2,0.29556,NA,874.8,1.0570323827936,3.9458728010825,4.9090909090909,4.9090909090909,4.611491829204,NA,271.1928,4286.6,0,NA,NA,0.25,0.3128,0.14897381457891,NA,0.9553,0,827.6,295.3,13.516085336945,0.93111090374656,29.5,0.15550869794412,863.5,4.5519240906695,0.15050847457627,1.1902458686014,NA,0.93937796520822,1.5566684238271,-145.6616,-1.1603614210533,189.7,0.15168101498308,0.11890366787586,NA,27.13,3991.3,102500,221.7,13.4,22.037313432836,221.7,0.9,1.0111336509883
"8",2004-12-31,11.8,1.12,0.3671,0.93630521872395,NA,3846.8,0,2863.5,0.74630561130079,17.481684981685,0.74438494332952,58.5009,0.61018795968401,11.622950819672,0,0,0,136.1514,93.389,136.1514,0.31408,NA,973.4,1.0927256398743,5.9426129426129,7.1493939834625,7.1493939834625,6.3207792207792,0.15,34.8881,3836.9,0,NA,NA,0.26,-0.0281,0.35291666666667,NA,0.8346,0,890.8,354.5,9.82341325811,0.90760770413615,30.5,0.19805194805195,919.3,5.9694805194805,0,1.7558197127291,0.77486338797814,0.8841,2.3019480519481,58.5009,0.62642205137656,154,0.10483718936686,0.12874630645842,0,29.9,3482.4,272800,163.8,31.7,11.182965299685,163.8,0.75,1.03161885301
"9",2003-12-31,12.1,1.03,0.3741,0.94858754338604,NA,4299.6,0.1,3196.6,0.75768565265828,20.784135240572,NA,-49.223,0.55065490510559,10.380952380952,0,0,0,139.8971,96.3919,139.8971,0.31098,NA,1022.3,1.0355551053485,6.646944083225,7.3075128351463,7.3075128351463,6.3261138613861,NA,145.5149,4218.9,0,NA,NA,0.3,-0.0827,0.3203843794725,NA,0.7376,0,987.2,283.4,13.886732533521,0.93282609210932,27.3,0.16893564356436,1019.8,6.3106435643564,0,1.5894559730791,NA,0.8657,1.7537128712871,-49.123,-0.5096176427663,161.6,0.097641727737439,0.12798874824191,0,23.36,3935.5,39300,153.8,25.5,11.113725490196,153.8,0.7,1.0168964519861
"10",2002-12-31,11.6,0.87,0.3975,0.96312289060949,NA,4222.9,0.2,3162.7,0.74505877641405,18.604117647059,NA,91.9,0.4809,16.616438356164,0,0,0,150,105.132,150,0.29912,NA,1082.2,NA,NA,7.2146666666667,7.2146666666667,6.3658823529412,NA,104.932,4244.9,0,NA,NA,NA,-0.0676,0.29349736379613,NA,0.7447,0,901.9,363.9,10.66501786205,0.91427359890692,21.9,0.12882352941177,997.9,5.87,0,2.4488559892328,NA,0.88235294117647,2.1405882352941,0.2,0.0019023703534604,170,0.11656724692316,0.14737550471063,0,30.67,3881,54173,165,26,13.996153846154,165,0.7,1.1999112983701
