"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,12.7,1,0.3739,0.6682,287.9,1028.5,258,3.6,0.0018,0.0055,0.0035,44.96,0.67,30.55,72.9,0,0,94,56.69,167,0.3975,0.3972,1999.7,2.31,2.42,21.25,11.97,3.03,0.1675,-173.37,2003.3,0.5538,6.84,5.4,0.27,0.11,0.5418,NA,0.914,0.1748,864.1,1423.5,0.4073,0.2894,46.6,0.0706,177.4,0.2686,0,4.94,1.82,0.1425,2.16,230.06,4.0581,660.5,0.0656,0.1619,85.5,36.91,579.8,349613,827.9,84.1,16.93,827.9,0.95,2.31
"2",2010-12-31,12.6,1.16,0.5077,0.28317293671624,245.8,474.7,49.3,60.7,0.049786745406824,0.10800711743772,0.12787023383189,11.804,0.46779594248572,25.444444444444,24.6,0,0,75.8,47.632,100.4,0.37161,0.37179487179487,1158.5,4.1052445074415,1.8755059090173,15.28364116095,11.538844621514,2.0613879003559,0.1833,11.1279,1219.2,0.42321466189172,3.79,22.282321899736,0.3,0.0883,0.28671835374248,NA,0.9397,0.04276385085317,282.2,1122.1,0.086534176989573,0.079642388451444,44.1,0.07846975088968,119.1,0.21192170818505,0,4.5650935720098,1.3881311753652,0.13487544483986,1.9966192170818,36.504,0.76637697909457,562,0.1687879588944,0.17941415785191,69.2,84.45,97.1,98991,617.7,47.2,23.773305084746,617.7,0.95,3.5555555555556
"3",2009-12-31,12.5,1.47,0.5973,0.36180578109776,196.5,424.1,47.5,38.1,0.04814253222138,0.074618096357227,0.08983730252299,4.7997,0.41855014230705,23.448275862069,19.9,0,0,47.7,29.3193,67.6,0.38534,0.38428874734607,753.3,2.7920681986657,1.4165099661527,15.792452830189,11.14349112426,1.4753231492362,0.1833,-3.0804,791.4,0.42843668946003,3.27,17.207951070336,0.35,-0.0108,0.375315466891,NA,0.9558,0.047866069323273,269.8,680,0.16382352941177,0.14076320444781,29,0.056795926361144,115.6,0.22640031335683,0,3.4605597964377,1.2792294523769,0.093419506462985,1.3317665491579,32.3997,1.105064122756,510.6,0.10867042994811,0.14758269720102,65,56.27,111.4,96981,531.8,34.2,19.883040935673,531.8,1,2.5703150373498
"4",2008-12-31,12,1.74,0.5866,0.43004261363636,160.5,394.9,60.8,13.1,0.024067609774022,0.02626303127506,0.033172955178526,2.905,0.272758267985,21.927461139896,17.1,0,0,29.9,18.9037,47,0.36777,NA,531.2,1.9783985102421,1.0430001963479,17.765886287625,11.302127659575,1.064955894146,0.2,-27.7013,544.3,0.37022030893897,2.54,13.236220472441,0.23,0.2685,0.46900868160711,NA,0.8825,0.051405419093441,268.5,423.2,0.28615311909263,0.22248759875069,19.3,0.03869286287089,138,0.2766639935846,0,2.6367601246106,1.0963730569948,0.059943865276664,0.84843624699278,46.605,2.4653918881834,498.8,0.070404756052141,0.1202492211838,67.5,33.62,121.1,110089,509.3,29.9,14.153846153846,509.3,1,1.9328835227273
"5",2007-12-31,12.1,2.18,0.5551,0.45677123182862,142,369.6,25.3,5.1,0.016022620169651,0.012869038607116,0.013798701298701,-40.2236,0.30264817150063,7.2327272727273,14.4,0,0,49,29.5171,63.4,0.39761,NA,313.2,1.2220054623488,0.62328358208955,6.3918367346939,4.9400630914827,0.79031037093111,0.2,58.8407,318.3,0.3103354978355,1.61,9.9316770186335,0.22,0.2137,0.57564632094233,NA,0.9823,0.054924242424242,256.3,198.9,0.60030165912519,0.3751178133836,27.5,0.069391874842291,150.1,0.37875346959374,0,1.4007042253521,0.36163636363636,0.12364370426445,0.50189250567752,-29.3236,-0.9934447671488,396.3,0.11516625048771,0.19366197183099,53.3,15.99,119.4,146887,502.5,20.3,9.7980295566503,502.5,1.05,1.2176740627391
"6",2006-12-31,11.9,2.53,0.454,0.43257535695399,107.3,250.2,13.7,4.2,0.0061764705882353,0.013145539906103,0.016786570743405,-10.656,0.35242290748899,34.779069767442,12.9,0,0,32.9,18.6513,45.8,0.43309,NA,675.8,3.6549486208762,1.9242596810934,20.541033434651,14.755458515284,2.1151799687011,0.23,28.5073,680,0.38209432454037,2.09,23.334928229665,0.12,-0.0733,0.46696252465483,NA,0.7774,0.025979216626699,184.9,598.2,0.13674356402541,0.12029411764706,17.2,0.053834115805947,107.4,0.33615023474178,0,5.5750232991612,1.5121334681497,0.10297339593114,1.8723004694836,-9.856,-0.52843189656863,319.5,0.10087257436452,0.16029822926375,40.7,48.77,81.8,211210,351.2,23.9,25.029288702929,351.2,1,3.5959809624537
"7",2005-12-31,11.6,1.7,0.4669,0.4649286157666,86.2,221.5,7.2,3.2,0.007750060547348,0.0094955489614243,0.014446952595937,-15.3261,0.32555150995931,24.31654676259,12,0,0,28.5,17.0664,40.5,0.40118,NA,409.7,2.5946801773274,1.0206776283009,14.375438596491,10.116049382716,1.2157270029674,NA,37.1924,412.9,0.42212189616253,NA,NA,0.2,0.1688,0.31106471816284,NA,0.6295,0.029345372460497,157.9,338,0.2215976331361,0.18139985468636,13.9,0.041246290801187,80.2,0.2379821958457,0,3.9211136890951,NA,0.084569732937685,1.0029673590504,-20.1261,-1.1792814413647,337,0.10808340721976,0.16125290023202,97.8,27.92,74.9,63437,401.4,19.5,17.333333333333,401.4,0.95,2.5630043451273
"8",2004-12-31,11,0.22,0.3624,0.53616751269036,NA,204.7,15.1,2.6,0.0094100615273254,0.0082539682539682,0.012701514411334,8.8679,0.12141280353201,59.9375,11,0,0,12.2954,7.4337,23.2954,0.39541,NA,273.7,1.7658064516129,0.86888888888889,22.26030321835,11.749085550256,1.0021969974368,0.1,-5.5342,276.3,0.47288715192965,NA,NA,0.215,0.1085,0.47462444173772,NA,0.3948,0.031753786028334,155,191.8,0.44056308654849,0.30582699963808,3.2,0.011717319663127,57.8,0.21164408641523,0,2.6238030095759,5.99375,0.045021713658001,0.70230684730868,12.9679,1.7444741711798,273.1,0.047959316281935,0.043775649794802,71.5,17.3,84.5,122639,315,8.1,23.679012345679,315,1,1.7531725888325
"9",2003-12-31,10.8,0.36,0.4304,0.58594815825375,NA,214,8,5.6,0.031319910514541,0.020710059171598,NA,5.4521,0.16728624535316,18.21568627451,11.3,0,0,26.8337,16.3677,38.1337,0.39003,NA,173.2,1.2283687943262,0.6405325443787,6.4545749967951,4.5419167518057,0.71452145214522,NA,14.2156,178.8,0.5285046728972,NA,NA,0.685,0.6247,0.21328224776501,NA,0.3398,0.030373831775701,141,92.9,0.92465016146394,0.48042505592841,5.1,0.021039603960396,47.2,0.19471947194719,0,1.5304777594728,NA,0.1107,0.38325082508251,2.1521,0.13148701300157,242.4,0.11608326091915,0.084019769357496,54.1,8.54,85.9,9055,270.4,5.1,18.21568627451,270.4,1,1.2196452933151
"10",2002-12-31,9.5,0.66,0.4379,0.6590405904059,NA,196.4,5,1.4,0.0081919251023991,0.01071155317521,NA,9.6,0.3305,15.692307692308,6.7,0,0,11.2,6.8377,17.9,0.38949,NA,169.5,NA,NA,15.133928571429,9.4692737430168,1.2968630451415,0.15,8.5377,170.9,0.60234215885947,0.55,15.727272727273,NA,0.287,0.30633572828217,NA,0.217,0.021894093686354,134.1,81.6,1.094362745098,0.5225277940316,5.2,0.039785768936496,36.1,0.27620504973221,0,1.7662337662338,1.0461538461538,0.085692425401683,0.62433052792655,-1.7,-0.24862117620631,130.7,0.050989649515287,0.11255411255411,28.3,8.65,89.3,33369,226.2,4.7,17.36170212766,226.2,0.95,1.2639821029083
