"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,37.5,0.57,0.1293,0.4447,1079.3,2876,239.2,101.1,0.0422,0.1089,0.0352,0.34,0.8,16.33,90.4,0.046,70.5,150,108.67,240,0.2755,0.274,2295.4,1.25,2.43,15.3,9.55,2.47,0.09,0.02,-40.47,2396.5,0.6894,2.72,15.07,0.005,-0.01,0.0613,NA,0.575,0,1842.6,1532.1,0.5642,0.3607,93.8,0.1011,19.3,0.0208,0.8217,1.42,1.81,0.1616,1.65,149.14,1.3724,928.2,0.059,0.0869,381.2,40.98,864.4,158792,944.4,85.8,17.86,944.4,0.7,1.23
"2",2010-12-31,35.8,0.56,0.1705,0.44608399545971,976,2609.1,248.9,44.9,0.019840919133893,0.049503858875413,0.01720899927178,1.0703,0.8,19.614873837981,80.5,0.0434,64.1018,135.8,85.2878,216.3,0.37196,0.36775818639799,2218.1,1.2917710092598,2.3945805894419,16.333578792342,10.254738788719,2.4455347298787,0.06,0.035,-84.1825,2263,0.69203940055958,2.63,15.961977186312,NA,0.1748,0.095262615859938,NA,0.5846,0,1717.1,1477,0.53215978334462,0.34732655766681,75.3,0.083020948180816,50.3,0.055457552370452,0.85128552456839,1.5133196721311,3.2691456396636,0.1497243660419,1.6284454244763,169.4703,1.9870399655692,907,0.049669694251936,0.077151639344262,365.6,41.98,786,162813,926.3,81.7,18.078335373317,926.3,0.7,1.2843359818388
"3",2009-12-31,35.2,0.64,0.2212,0.43059299191375,929.5,2393.1,318.5,25.7,0.012929516526639,0.033855881965485,0.010739208557937,12.2303,0.79113924050633,21.062295081967,64.7,0.0471,60.5141,106,70.3193,170.7,0.33661,0.33333333333333,1962,1.2211364909442,2.2171996835801,18.509433962264,11.493848857645,2.5846397049137,0.01,0.015,-195.711,1987.7,0.67807446408424,2.34,15.923076923077,NA,-0.1223,0.11716220194289,NA,0.5822,0,1606.7,1284.8,0.54708904109589,0.35362479247371,61,0.080358319062047,73.8,0.097220392570149,0.99203409836066,1.3822485207101,21.062295081967,0.13963904623897,1.6925306283757,266.0303,3.7831743782767,759.1,0.043766316051534,0.065626681011296,308.9,37.26,702.9,122548,884.9,80.6,15.940446650124,884.9,0.7,1.2176549865229
"4",2008-12-31,32.6,0.69,0.2178,0.42233552172091,827.1,2134.8,301.1,102,0.060458775413431,0.12734082397004,0.047779651489601,-1.2345,0.51423324150597,13.12,55.5,0.0539,58.3414,121.8,79.98,177.3,0.34335,NA,1585.1,1.1919837569559,2.1443452380952,13.013957307061,8.9402143260011,1.9789013732834,-0.01,-0.04,-164.3856,1687.1,0.64985010305415,2.17,15.059907834101,NA,-0.1009,0.20361527967258,NA,0.5682,0,1329.8,1082.4,0.55866592756837,0.35842570090688,82.5,0.10299625468165,16,0.019975031210986,0.707168,1.3086688429452,NA,0.15205992509363,1.3513108614232,244.3655,3.0553342677068,801,0.060144360054144,0.09974610083424,318.1,32.68,604.7,224043,739.2,65.6,16.5,739.2,0.7,1.178307026121
"5",2007-12-31,30.8,0.79,0.1891,0.36273920878744,742.6,1644.2,210.2,23.3,0.016619115549215,0.027682071997149,0.014171025422698,1.9182,0.63458487572713,11.179223744292,48.5,0.05409578270193,52.976,133.7,87.2165,182.2,0.34767,NA,1378.7,1.2072679509632,1.6871023005384,10.311892296185,7.5669593852909,1.6379945348699,NA,-0.005,-76.4017,1402,0.67175526091716,2.36,13.673728813559,NA,0.083,0.26811594202898,NA,0.5808,0,1142,979.3,0.43163484121311,0.30149786019971,87.6,0.1040750861352,65.9,0.078293928953309,0.60474885844749,1.3187449501751,NA,0.15884519424973,1.1634786741119,163.6182,1.876000090159,841.7,0.076371734676007,0.11796391058443,311.9,32.27,422.7,265407,817.2,81.2,12.060344827586,817.2,0.75,1.2031236591436
"6",2006-12-31,30.4,0.61,0.1717,0.36908935847626,665.8,1533.4,102.3,44.8,0.027755405489127,0.058401772910963,0.029216121038216,-10.0136,0.8,15.842173350582,48.7,0.040712069247101,49.856,140.7,87.9938,189.4,0.3746,NA,1569.3,1.5529935675408,1.8984998790225,11.153518123667,8.2856388595565,2.0457567461869,0.08,0.025,44.4074,1614.1,0.60101734707187,2.69,14.052044609665,NA,0.03,0.1467531015983,NA,0.6164,0,1010.5,1224.6,0.31806304099298,0.24131094727712,77.3,0.10076913049146,129.1,0.16829618041976,0.64496765847348,1.8392910784019,1.9802716688228,0.18341806804849,1.5964020336332,43.5864,0.49533475280894,767.1,0.087079445818901,0.11610093121057,NA,37.8,389.5,288200,826.6,88.4,13.852941176471,826.6,0.95,1.5295176726997
"7",2005-12-31,30.1,0.68,0.2006,0.39313399778516,602.8,1398.8,58.6,89.6,0.049225359850566,0.12150800108489,0.064054904203603,-5.6266,0.71784646061815,21.025,47.8,0.03052738336714,43.645,123,88.0422,170.8,0.28421,NA,1730.6,1.9150160451477,2.2705326685909,14.069918699187,10.132318501171,2.3468944941687,NA,NA,82.8687,1820.2,0.61509865599085,3.05,15.259016393443,NA,-0.0317,0.07348938486663,NA,0.5978,0,903.7,1429.7,0.27313422396307,0.21453686408087,68,0.092215893680499,167.3,0.2268782207757,0.64183823529412,2.3717650962177,NA,0.16680227827502,1.9388391646325,5.1734,0.058760706656397,737.4,0.097424111984066,0.11280690112807,NA,46.54,390.5,72500,762.2,78.4,18.235969387755,762.2,0.9,1.8324775999195
"8",2004-12-31,29.7,1.04,0.2468,0.38337408312958,NA,1431.4,63,194.1,0.1118667511959,0.25563018569735,0.13560150901216,0.7055,0.84278768233387,34.885714285714,49.7,0.028636363636364,37.422,99.8286,61.1031,149.5286,0.38792,NA,1541,1.8602124577499,2.0295008560516,15.436458089165,10.3057207785,2.0508384349215,NA,NA,47.0976,1735.1,0.61694844208467,2.55,17.254901960784,NA,0,0.18374356038924,NA,0.4882,0,828.4,1343.1,0.29186211004393,0.22592357789176,38.5,0.051237689645994,67.1,0.089299973383018,0.972,2.1302141157811,NA,0.13285680063881,1.7874634016502,14.0055,0.22921050158153,751.4,0.073760368768711,0.061062648691515,0,44,392,91900,759.3,38.5,34.885714285714,759.3,0,1.6969193154034
"9",2003-12-31,0,1.08,0.2487,NA,NA,0,0,0,0,NA,NA,0,0.86851628468034,NA,0,0.030377000271223,0,NA,NA,NA,0,NA,1078.2,NA,NA,NA,NA,NA,NA,NA,NA,1078.2,NA,1.65,22.345454545455,NA,0,0.56334729221378,NA,0.4493,NA,0,1078.2,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,36.87,0,85200,NA,0,NA,0,0,NA
"10",2002-12-31,85.6,0.43,0.2708,0.47036830117324,NA,3147.2,205.8,194,0.051630073186959,0.12874112416219,NA,148.6,0.3509,22.378151260504,82.1,0.036322944048066,96.728,259.8,161.3592,341.9,0.37891,NA,3563.5,NA,NA,13.716320246343,10.422638198304,2.3647886389276,0.055,0.05,37.6592,3757.5,0.43368708693442,1.68,18.208333333333,NA,-0.0332,0.24623115577889,NA,0.3932,0.17145399084901,2132.9,2663,0.41100262861435,0.29128409846973,119,0.078970071006703,84.4,0.056009025150972,0.81284033613445,2.1608244076599,4.0687547746371,0.1724069281306,1.7672041940407,123.7,0.76661271126176,1506.9,0.075652483473205,0.096559558584875,0,30.59,1094.5,173867,1589.1,124,21.475806451613,1589.1,0.75,1.6707299920296
