"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-27,698,2.4,0.5707,0.5591,1590,4954,250,1765,0.4748,0.2687,0.3563,-16.62,0.8,4.55,317,0,0,495,495,812,0,0,1952.7,1.06,0.33,3.94,2.4,0.3,NA,-0.025,578.62,3717.7,0.1465,NA,NA,NA,-0.06,0.6437,0.196,0.5767,0.0652,1841,1701.7,1.1847,0.5423,374,0.0569,179,0.0273,0,1.07,NA,0.0754,0.26,-83.62,-0.1689,6568,0.2689,0.2352,2445,2.4,2016,20412274,5958,79.3,21.46,5958,1.55,1.03
"2",2010-12-27,683,2.16,0.6544,0.68393135725429,1013,4964,148,1789,0.2986345274263,0.2754850631352,0.36039484286865,0.6652,0.55394254278729,10.551666666667,383,0,0,622,622,1005,0,0,4201.6,2.9672316384181,0.64382470119522,6.7549839228296,4.1806965174129,0.64699722821066,NA,0.05,856.3348,5990.6,0.14101531023368,0.68,7.9411764705882,NA,0.1808,0.37940964722822,0.058,0.6151,0.072522159548751,1416,3798.6,0.57705470436477,0.36590658698628,360,0.055435786880197,135,0.020788420080074,0,3.7498519249753,NA,0.095780720665229,0.58493994456421,-234.3348,-0.37674400411164,6494,0.43926553672316,0.35538005923001,2339,5.4,2192,21661776,6526,341,11.139589442815,6526,1.45,1.8691419656786
"3",2009-12-27,671,2.27,0.7882,0.87557603686636,648,9078,466,2676,0.26539983536483,0.4952803997779,0.29477858559154,-61.015,0.45990865262624,NA,1128,0,0,-443,-443,685,0,NA,7406.9,2.9253159557662,1.1411030657834,NA,10.81299270073,1.3708865445123,NA,0.045,280.015,10082.9,0.41958581185283,0.38,21.526315789474,NA,-0.1557,0.29866835764109,0.058,0.5108,0.046375853712271,2532,5522.9,0.82565318944757,0.45225084053199,-949,-0.17564316120674,-303,-0.056079955580233,NA,8.5229938271605,NA,-0.081991486211364,1.022191375162,-723.015,NA,5403,-0.17496050552923,-1.4645061728395,2715,8.18,4560,26101264,6491,168,32.874404761905,6491,1.45,1.9360407066052
"4",2008-12-27,609,2.12,0.7353,NA,-82,7675,624,1096,0.09557945041816,0.18870523415978,0.1428013029316,100.5635,0.31551747586019,NA,1223,0,0,-832,-832,391,0,NA,10370.9,2.7220209973753,2.1083350274446,NA,26.524040920716,1.7856232782369,NA,0.01,-333.5635,11466.9,0.55973941368078,NA,NA,NA,-0.0388,0.68739495798319,0.013,0.4329,0.063973941368078,3810,6478.9,0.76988377656701,0.43499114843593,-1338,-0.23037190082645,-657,-0.11311983471074,NA,NA,NA,-0.14325068870523,1.1155130853994,-498.4365,NA,5808,-0.21837270341207,NA,3152,9.68,4988,23086165,4919,-1510,NA,4919,1.45,2.3373216469629
"5",2007-12-27,606,1.91,0.6277,0.6379706986318,2990,11550,1685,1889,0.2915618392011,0.3141526692167,0.16354978354978,29.6059,0.33136848813127,NA,1305,0,0,-958,-958,347,0,NA,4589.9,0.72054945054945,0.717171875,NA,13.227377521614,0.76332945285215,NA,0.04,-1367.6059,6478.9,0.40865800865801,-1,NA,NA,-0.0392,0.6659793814433,0.013,0.6509,0.21593073593074,6370,1209.9,4.3549053640797,0.81325533655405,-1599,-0.26592383169799,-460,-0.076500914684849,NA,0.40464882943144,NA,-0.15932147014801,0.20121403625478,409.6059,NA,6013,-0.15039246467818,-0.53478260869565,3220,2.16,5269,10205871,6400,-789,NA,6400,1.3,0.78446543165032
"6",2006-12-27,547,3.02,0.5107,0.39626382801085,5785,13147,1857,1541,0.19338403232688,0.27279164453886,0.11721305240739,19.653,0.46994321519483,12.056647398844,837,0,0,448,420.0762,1285,0.06233,NA,6427.6,0.7993533142644,1.0689506070181,14.347321428571,5.0020233463035,1.1378297043725,0.13,0.085,-619.5769,7968.6,0.30326310184833,-0.9,NA,0.055,-0.2309,0.47009148486981,0.014,0.8448,0.33650262417282,8041,4171.6,0.91020232045258,0.47649524383204,346,0.061249778721898,-305,-0.053991856965835,0,0.72110630942092,0.92743441529569,0.079306071871128,0.73846698530713,1039.653,2.4749155865821,5649,0.052241780873026,0.05980985306828,2345,6.25,3797,51047520,6013,-1671,NA,6013,1.5,0.83162179085786
"7",2005-12-27,435.5,3.33,0.5531,0.29018868723661,3351.8,7287.8,1513.2,1794.8,0.15757128810226,0.30692933853205,0.2462745959,-0.3308,0.4773097089134,36.410247093023,1219.3,0,0,231.7,231.7,1451,0,NA,9595.6,3.2779694599119,1.6784621035876,41.413897280967,6.613094417643,1.6409467131815,0.775,0.055,-61.8692,11390.4,0.37061939131151,1.31,15.534351145038,NA,0.0334,0.43288590604027,0.015,0.7498,0,2927.3,10020.1,0.13675512220437,0.12030306222784,275.2,0.04706204254737,-14.8,-0.0025309528695533,0,2.9894683453667,0.46980963990998,0.039623093234831,1.7135405978521,293.5692,1.2670228936554,5847.6,0.0791514364773,0.082105137538039,2160.1,20.35,1370.3,11505600,5716.9,612.3,16.364690511187,5716.9,1.65,2.4121471379259
"8",2004-12-27,385,3.6,0.707,0.37289583333333,NA,7844.2,1440.1,1195.6,0.082272470789006,0.22673999620709,0.15241834731394,22.6342,1.018387553041,90.435060326473,1224.3,0,0,276.12,256.7999,1500.42,0.06997,NA,13336.6,3.7000887803795,2.5292243504646,48.300014486455,8.8885778648645,2.6665733594593,NA,0.105,18.3656,14532.2,0.53973636572244,0.53,57.722641509434,NA,0.293,0.38488422892093,0.015,0.8265,0,3604.4,12742.3,0.14046914607253,0.12316786171399,140.9,0.028172111808694,416.8,0.083336665733595,0,4.233181621873,NA,0.05520854160835,2.5477466309433,238.4342,0.92848265766599,5001.4,0.071246222283875,0.046809076110428,1692.6,30.593,1789.9,6193400,5273,140.9,90.435060326473,5273,1.9,3.0275416666667
"9",2003-12-27,350.3,3.31,0.7188,0.45710596041235,NA,7094.3,570.3,1095.7,0.11197408357434,0.22165355127142,NA,220.7857,0.92097941012799,NA,1035.7,0,0,802.3776,802.3776,1838.0776,0,NA,8689.6,2.5590764518789,1.7578540650982,10.829813793406,4.7275479555379,2.4691975448966,NA,0.125,1046.9919,9785.3,0.54247776383858,0.52,41.403846153846,NA,0.2835,0.39736768412209,0.03,0.6334,0,3395.6,7732.3,0.26550961550897,0.20980450267238,-274.5,-0.078000681973176,545.6,0.15503523528075,NA,3.171184841898,NA,0.228,2.1971754944305,-244.6143,-0.30486185237062,3519.2,0.23629921074332,-0.11257843579543,1425.5,21.53,2053,5124400,4943.3,-274.5,NA,4943.3,1.8,2.1787233095095
"10",2002-12-27,344.5,3.46,0.9221,0.44036926147705,NA,5619.2,705.1,1037.7,0.14728341092313,0.38476084538376,NA,601.4,0.8255,NA,756.1,0,0,-848.6071,-848.6071,-92.5071,0,NA,6007.9,NA,NA,NA,NA,2.2276232851316,0.43,0.04,-797.6071,7045.6,0.5126708428246,-0.53,NA,NA,-0.3151,0.5893470790378,0.028,0.5925,0,3371.1,5104.1,0.3803804784389,0.27556205291246,-683.4,-0.25339265850946,-228.4,-0.084686688913608,NA,2.0686985773923,NA,-0.31464853540971,1.8925101965147,-51,NA,2697,-0.25173002877399,-0.27698293681352,1440.1,14.51,1941.5,11490266,3000.1,NA,NA,3000.1,1.8,1.7821779241197
