"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,51.4,1.93,0.322,0.3976,1866,5218.9,29.4,449.5,0.0569,0.2637,0.0861,0.3,0.8,40.47,112.7,0,0,486,386.13,599,0.2057,0.6357,7455.4,2.82,4.34,15.34,12.45,4.37,0.18,0.105,469.13,7904.9,0.0132,3.66,35.56,-0.03,-0.015,0.1685,0.043,0.9982,0.4057,2647.9,6673.5,0.1845,0.1558,164.9,0.0967,42.5,0.0249,0,3.58,2.25,0.2851,3.91,-83,-0.2149,1704.8,0.1458,0.0884,350.8,130.15,1231.4,262744,1717,176.4,37.83,1717,1.6,2.55
"2",2010-12-31,51.6,1.75,0.4781,0.45566711019717,1800,5291.2,924.9,313.3,0.048523239425713,0.23067294949198,0.059211521016027,43.9266,0.8,35.713564213564,74.1,0,0,374.1,283.7249,448.2,0.24158,0.63420427553444,6143.4,2.0522465341573,3.5653183216296,16.421812349639,13.706827309237,4.5231924606096,0.265,0.11,-611.0017,6456.7,0.012794829150287,3.75,25.586666666667,-0.065,0.3241,0.23315327113003,0.043,0.9879,0.40276307831872,2993.5,4949.9,0.30441019010485,0.23336998776465,138.6,0.10204682668237,163.5,0.12037991459284,0,2.7499444444444,1.3476816684364,0.27543807981152,3.6444558975114,894.7266,3.1535003147694,1358.2,0.094780331384667,0.077,284.6,95.95,1506.8,521657,1723.1,186.7,26.512587038029,1723.1,1.6,1.9525523164389
"3",2009-12-31,42.3,2.15,0.6057,0.51071428571429,1109.7,3390.9,2.6,259.5,0.040710352509295,0.30826799714897,0.076528355303902,118.4461,0.68103021297672,87.663865546219,45.7,0,0,235.1,207.7743,280.8,0.11623,0.7530095475301,6114.8,3.0444610405775,5.1728280179342,26.009357720119,21.776353276353,7.263958184842,0.2,0.04,132.4283,6374.3,0.018402194107759,3.34,29.706586826347,0.035,-0.3221,0.27427214794452,0.066,0.9689,0.58533132796603,2008.5,5216,0.22206671779141,0.18171407056461,59.5,0.070681872178665,293,0.34806367308149,0,4.7003694692259,4.3831932773109,0.27928248990259,6.1962461392255,75.3461,0.36263415715278,841.8,0.1034475115758,0.053618094980625,131.5,99.22,1158.3,503159,1182.1,128.6,40.559875583204,1182.1,1.65,2.8105379188712
"4",2008-12-31,39.5,2.09,0.5666,0.60372842013637,1092.6,3246.4,9.6,396.4,0.086906954310269,0.34225522362286,0.12210448496796,-51.436,0.46593716907872,124.85344827586,46.6,0,0,394.7,207.3517,441.3,0.47466,NA,4164.8,1.7641477465266,4.6591341313346,10.551811502407,9.4375708135056,3.5959247107581,0.11,-0.025,295.7877,4561.2,0.022116806308526,2.04,33.014705882353,0.125,-0.3972,0.44841856340526,0.081,NA,0.53443814687038,2360.8,2896.6,0.57467375543741,0.36494782074893,23.2,0.020031082714557,225.4,0.19461232947677,0,2.651107450119,11.350313479624,0.34078742876878,2.5009497496115,-88.436,-0.42650260178102,1158.2,0.087831115723484,0.021233754347428,200.1,67.35,1664.6,822042,893.9,-35.8,NA,893.9,1.65,1.6542869577833
"5",2007-12-31,28.2,2.47,0.4329,0.82038128780338,469.2,3395.7,16.8,223,0.062172409947586,0.16278560478867,0.065671290161086,9.7286,0.53592053592054,7.932967032967,42.1,0,0,550.4,346.752,592.5,0.37,NA,3363.8,1.4079189686925,2.5525876460768,6.1115552325581,5.6772995780591,2.4555077012921,0.09,-0.005,362.3234,3586.8,0.020584857319551,3.27,12.819571865443,0.185,0.2302,0.74500462205788,0.0969,NA,0.50858438613541,2389.2,1443.8,1.4842776007757,0.59746849559496,182,0.13285641287685,255.8,0.18672895831812,0,3.0771526001705,0.88144078144078,0.4017811519089,1.0539455434703,-15.5714,-0.044906507450932,1369.9,0.14513309894525,0.38789428815004,777.3,41.92,2143,811069,1317.8,156.2,9.2432778489116,1317.8,1.45,1.3730954750785
"6",2006-12-31,29.6,1.8,0.2105,0.73989162150896,499.2,2665.9,21.5,201.7,0.040584317591903,0.17233424470267,0.07565925203496,-13.1346,0.8,21.017761989343,36.1,0,0,477.8,339.238,513.9,0.29,NA,4768.2,2.7762445414847,3.6240784373337,9.9794893260779,9.2784588441331,4.073991797676,0.155,0.17,366.9726,4969.9,0.024006901984321,4.86,21.899176954732,0.105,0.4497,0.16089803554724,0.151,NA,0.62991860159796,1717.5,3549.9,0.40001126792304,0.28572003460834,168.9,0.14430963773069,105.8,0.090396445659604,0,7.1111778846154,1.3559846444737,0.40823650034176,3.0330656185919,-27.7346,-0.081755592104482,1170.4,0.19751848617176,0.33834134615385,656.4,106.43,1420,670100,1315.7,175,20.285142857143,1315.7,1.45,2.5895685702376
"7",2005-12-31,33.6,1.93,0.2378,0.54513077351141,817.4,2321.6,14.5,140.4,0.033848453434268,0.1531914893617,0.060475534114404,-4.4607,0.8,26.60201511335,31.9,0,0,356.6,223.8842,388.5,0.37217,NA,4007.5,2.4191114330557,3.5973967684022,11.238081884464,10.315315315315,4.3726132024004,0.165,0.215,245.7449,4147.9,0.021795313576844,3.81,27.593175853018,0.075,0.3756,0.15412414965986,0.153,NA,0.67922984148863,1656.6,3168.3,0.30918789256068,0.23616769931773,119.1,0.12995090016367,20.7,0.022585924713584,0,3.8760704673354,1.612243340203,0.38908892525914,3.4569558101473,-21.8607,-0.097642988112062,916.5,0.13514679343233,0.14570589674578,162.1,105.13,979.6,176600,1114,151.3,20.940515532055,1114,1.45,2.3082359488036
"8",2004-12-31,33.3,1.83,0.3075,0.55098026774951,NA,1933.4,7,161.4,0.044881955451739,0.19492753623188,0.083479880004138,0.5091,1.190243902439,35.378728923476,24.7,0,0,284.576,170.0655,309.276,0.40239,NA,3434.7,2.4278645649254,4.1481884057971,12.06953502755,11.10561440267,5.2040909090909,0.16,0.205,187.2564,3596.1,0.021206165304645,2.91,27.604810996564,NA,0.2814,0.18619903051041,0.177,0,0.45960484121237,1414.7,2727.7,0.31836345639183,0.2414838297044,77.1,0.11681818181818,2,0.003030303030303,0,3.8543168009043,2.2111705577172,0.43117575757576,4.1328787878788,-17.1909,-0.10108406934169,660,0.12021309348979,0.10894446799491,109.1,80.33,868.4,282100,828,77.1,35.378728923476,828,1.5,2.2816445657001
"9",2003-12-31,32,1.96,0.3611,0.51961243944366,NA,1519.2,23.9,253.3,0.09572578511772,0.41146848602989,NA,-0.8527,1.0855718637497,32.745454545454,22.4,0,0,219.9285,130.7233,242.3285,0.40561,NA,2392.8,2.3310277642474,3.8869395711501,10.879899603735,9.8741996917408,4.8339393939394,0.18,0.17,130.076,2646.1,0.024289099526066,2.66,25.43984962406,NA,0.0454,0.21468823850209,0.16,0,0.49473407056345,1026.5,1981.1,0.33567210135783,0.25131325346737,60.5,0.12222222222222,-3.5,-0.0070707070707071,0,3.2223487312947,1.8191919191919,0.4443,4.0022222222222,0.6473,0.0049514717097245,495,0.12734856416464,0.098405985686402,100.1,67.67,665,178400,615.6,65.7,30.153729071537,615.6,1.55,2.0675886857321
"10",2002-12-31,21.7,1.82,0.4123,0.45178297546012,NA,1243,6.2,27.7,0.014383632775989,0.057409326424871,NA,216.2,0.9716,26.019677996422,20.4,0,0,195.8,117.478,216.2,0.40001,NA,1898.1,NA,NA,9.694075587334,8.7793709528215,3.9338860103627,0.115,0.08,131.678,1925.8,0.015446500402253,3.13,21.785942492013,NA,0.208,0.33375900757092,0.0919,NA,0.89549477071601,1015.5,1454.5,0.32402887590237,0.24472946308028,55.9,0.11585492227979,-19.6,-0.040621761658031,0,2.5432767966428,2.2625806953411,0.40580310880829,3.0145077720207,-14.2,-0.12087365228644,482.5,0.11568492565239,0.097744360902256,100.4,68.19,471.3,308229,473.7,54.4,26.737132352941,473.7,1.5,1.8691285081241
