"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2012-09-30,554.3,1.45,0.2786,0.2452,4115.8,17125.8,152.9,1032,0.0983,0.3735,0.0603,-15.13,0.8,14.36,66.8,0.0218,199.55,1080,677.49,1147,0.3726,0.3726,9463.4,2.14,3.58,8.76,8.25,3.43,0.095,0.035,606.52,10495.4,0.0199,1.15,14.62,0.065,0.12,0.1541,0.019,0.3726,0.2039,4420.6,9158.6,0.146,0.1274,637.8,0.2309,342.9,0.1241,0.3409,2.23,1.51,0.3908,3.32,70.97,0.1048,2762.7,0.1533,0.155,1376.5,16.81,1336.8,1847269,2640.8,585.4,15.65,2640.8,1.1,1.92
"2",2011-09-30,554.3,1.28,0.307,0.24516744305469,4115.8,17125.8,152.9,1032,0.10342650404386,0.37354761646216,0.060259958658866,0,0.8,13.548604578238,66.8,0.0154,133.076,1079.8,677.4881,1146.6,0.37258,0.3725528775209,8946.1,2.023729810433,3.2381728019691,8.2849601778107,7.8022850165707,3.2381728019691,0.1,0.05,591.3881,9978.1,0.019893961158019,1.25,12.52,0.065,0.1213,0.26066611615745,0.017,0.3915,0.20386200936599,4420.6,8641.3,0.15469894576048,0.13397340174983,637.8,0.23086111412748,342.9,0.12411771093495,0.20864851050486,2.0995432236746,1.3548604578238,0.39084953125566,3.1278459478047,86.1,0.12708710007837,2762.7,0.15325705017418,0.15496379804655,1376.5,15.65,1336.8,4547598,2762.7,637.8,13.548604578238,2762.7,1.1,1.8299710229982
"3",2010-09-30,587.1,1.11,0.3202,0.2849059643188,3551.3,18371.8,86.7,843.3,0.068343720368584,0.3502221853067,0.045901871346302,22.8172,0.8,16.970949199938,45.9,0.0106,115.7965,1160.2,704.9491,1206.1,0.39239,0.39239191995469,11495.8,2.7882800941085,4.4894946496915,9.908464057921,9.5313821407844,4.7742015864446,0.085,0.065,641.332,12339.1,0.012970966372375,1.2,15.825,0.265,-0.0413,0.17231557960695,0.018,0.3822,0.20122143720267,4122.9,10924.2,0.12951978176892,0.11466800658071,643.7,0.26732837742431,359.8,0.14942481000041,0.17989206151934,3.0761129727142,1.9965822588162,0.48183064080734,4.5368163129698,63.6172,0.090243631067411,2407.9,0.17098380314827,0.18125756765128,1047.9,18.99,1414.9,3762072,2560.6,592.1,18.449923999324,2560.6,1.1,2.4846160041883
"4",2009-09-30,593.1,1.18,0.3467,0.33051041428244,2925,15951.5,98.8,1043.3,0.080934944843529,0.41116891306061,0.065404507413096,6.3643,0.50764349581771,14.238835676079,36.9,0,0,1404,893.309,1440.9,0.36374,NA,11847.3,3.562347776408,4.9201794094439,8.4382478632479,8.2221528211535,4.6690707022937,0.085,0.06,825.0448,12890.6,0.0096041124659123,1.25,15.504,0.685,0.1685,0.35712010194329,0.019,0.3568,0.18561263830988,3325.7,11446.6,0.12615099680254,0.11201961118955,803.9,0.31682036730511,-124.7,-0.049144793883502,0,3.9133675213675,1.6751571383623,0.5533222984157,4.5111531488926,68.2643,0.07641728422217,2537.4,0.26860782391677,0.27483760683761,982.3,19.38,1444,4490639,2407.9,644.1,17.771464058376,2407.9,1.1,2.9504692149233
"5",2008-09-30,594.7,1.14,0.3439,0.40690281562216,2154.9,18092.3,60,490.6,0.054441546912279,0.22536634663972,0.027116508127767,-85.0795,0.58156440825821,11.662950921195,26.2,0,0,1075.7,671.495,1101.9,0.37576,NA,8520.9,2.7113310210965,3.3582548378197,7.9212605745096,7.7329158725837,3.9142358399559,0.115,0.08,722.7745,9011.5,0.0051071450285481,1.4,10.178571428571,NA,0.2334,0.4310082241852,0.019,0.291,0.1531756603638,3142.7,7533.1,0.19625386627019,0.16405703822893,645.9,0.29670632550875,513.9,0.23606964031421,0,3.495800269154,1.0141696453213,0.4941430474528,3.4604713124167,-51.2795,-0.076366169238726,2176.9,0.21366817322684,0.2997354865655,913.2,14.25,1478.4,3762472,2537.3,803.9,9.3706928722478,2537.3,1.25,2.4802521124047
"6",2007-09-30,607.6,1.97,0.4256,0.49716643901305,1730.2,16558.5,21.7,1990.8,0.14615666984803,1.1038536179651,0.12022828154724,240.2928,0.6015037593985,24.648799668874,63.5,0,0,926.9,568.6531,990.4,0.3865,NA,11630.2,8.0202744638301,5.3425513344664,12.547416118244,11.742932148627,6.448683116163,0.115,0.11,370.1604,13621,0.0034604583748528,1.3,15.292307692308,NA,0.2022,0.21320808425847,0.021,0.3278,0.16840897424284,1450.1,11910.3,0.14363198240179,0.12559283459364,483.2,0.2679234821181,-1160.6,-0.64352647629609,0,6.8837706623512,2.1433738842499,0.5139451067369,6.6039922373163,198.4928,0.34905774504012,1803.5,0.39214754154886,0.27927407236158,674.6,19.88,1710.7,6094301,2176.9,645.9,18.439851370181,2176.9,1.6,3.9585573541806
"7",2006-09-30,406.4,1.84,0.4131,0.0040653071929709,1518.9,16417.1,8,7996.2,0.80630426233476,7.9706937799043,0.48706531604242,5992.5972,NA,29.166862860506,24.4,0,0,569.8,349.766,594.2,0.38616,NA,1920.9,NA,1.0650956473524,3.3711828711829,3.2327499158532,1.9147727272727,0.18,0.15,-5626.4312,9917.1,0.0020283728551328,1.25,12.944,NA,0.1423,0.32946811192337,0.037,0.3133,0.062678548586535,-6471.1,9910.9,0.0006255738631204,0.00062518276512287,339.8,0.33871610845295,-7511.9,-7.4879385964912,0,6.5250510237672,1.6203812700281,0.56798245614035,9.8792862838916,5976.1973,17.086271141309,1003.2,NA,0.22371453025216,346.9,16.18,6.2,2132671,1803.5,475.7,20.834349379861,1803.5,NA,NA
"8",2005-09-30,407.2,1.83,0.534,0,NA,15277,9.8,7957.9,0.82760306169142,7.9325159489633,0.52090724618708,-1119.6771,0.68539325842697,35.312522952626,23.2,0,0,461.5591,284.9435,484.7591,0.38265,NA,1657.7,NA,1.6524122807018,3.5915228880342,3.419636822481,1.8835359618225,0.255,0.18,1418.0206,9615.6,0.0019571905478824,0.95,25.263157894737,0.47,0.302,0.43225436837582,0.129,0.6413,0.066577207566931,-6747,9615.6,0,0,272.3,0.30939665947051,-8005.1,-9.0956709464834,0,7.9408704269552,1.3848048216716,0.52443935916373,10.925576639018,-1133.0771,-3.9764974505963,880.1,-0.042232621615236,0.22487406061607,324.9,24,0,2654475,1003.2,272.3,35.312522952626,1003.2,1.85,7.9408704269552
"9",2004-09-30,429.8,0,0,0.036112627720147,NA,14404.3,9,8127,1.3773875904615,9.2341779343257,NA,-1834.7298,NA,43.883058470765,31.7,0,0,265.0623,159.146,296.7623,0.39959,NA,-2226.7,NA,-2.5300534030224,-8.4006671941402,-7.5033120786105,-3.1216879293425,0.56,0.15,2016.5759,5900.3,0.0025131384378276,0.8,17.625,0.09,0.6646,0.3079200592154,0.224,0.5207,0.067549273480836,-6844.9,5854,0.0079091219678852,0.0078470586241378,133.4,0.18701808495724,-7846,-10.999579419599,0,4.7370124615634,0.7836260441208,0.3716,8.206925557269,-1857.4298,-11.671228551673,713.3,-0.023250309505588,0.10794626962292,271.4,14.1,46.3,1114062,880.1,133.5,43.850187265918,880.1,1.8,4.6020591217534
"10",2003-09-30,429.8,0,0,0.036112627720147,NA,14404.3,9,8127,1.3997347617161,11.393523061825,NA,-7296,0,43.176911544228,31.7,0,0,233.3,140.0757,265,0.39959,NA,-2320.9,NA,NA,-9.9481354479211,-8.7581132075472,-3.2537501752418,0.565,0.105,162.7757,5806.1,0.0025131384378276,0.5,26.72,NA,0.6646,0.58594594594595,0.329,0.3658,0.067549273480836,-6844.9,5759.8,0.0080384735581097,0.0079743717814023,133.4,0.18701808495724,-7846,-10.999579419599,0,4.660786535038,0.7641931246766,0.32707135847469,8.0748633113697,-22.7,-0.16205528593895,713.3,NA,0.10794626962292,271.4,13.36,46.3,2721795,713.3,133.5,43.144569288389,713.3,2,NA
