"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,69.9,2.12,0.6101,0,166.5,188.8,5.8,56.8,0.3186,0.3717,0.3008,-4.57,0.8,NA,18.2,0,0,17,16.98,35,0,NA,121.5,1.11,1.02,7.16,3.45,0.8,NA,0.045,33.94,178.3,0.2897,NA,NA,-0.04,0.5082,0.0229,0.4059,0,109.7,178.3,0,0,-49.3,-0.3226,20.4,0.1335,NA,1.07,NA,0.1111,1.17,-16.97,-0.9994,152.8,0.1548,-0.2961,81.2,2.52,0,899012,118.6,-68.4,NA,118.6,1.5,1.07
"2",2010-12-31,67.4,1.96,0.7179,0,203,233.8,5.6,97.1,0.61926020408163,0.44808491001384,0.4153122326775,-5.755,0.50494497840925,120.61538461538,19.1,0,0,-0.5,-0.5,18.6,0,0,59.7,0.56373937677054,0.33805209513024,NA,3.2096774193548,0.27549607752653,NA,0.025,18.755,156.8,0.2912745936698,NA,NA,0.4737,0.62055335968379,0.035,0.5074,0,105.9,156.8,0,0,1.3,0.0059990770650669,31.1,0.14351638209506,0,0.77241379310345,NA,-0.002307337332718,0.72358098754038,-19.255,NA,216.7,-0.0047214353163362,0.0064039408866995,76.4,2.19,0,979247,176.6,-28.4,NA,176.6,1.45,0.77241379310345
"3",2009-12-31,64.4,2.51,0.9331,0,189.1,214.5,10.3,83.2,0.17504733852304,0.59217081850534,0.38787878787879,7.8986,0.40188618583217,NA,18.8,0,0,-55.33,-55.33,-36.53,0,NA,392.1,3.7025495750708,1.9773071104387,NA,NA,2.7907473309608,NA,0.055,-54.7286,475.3,0.37715617715618,NA,NA,-0.4651,0.39823008849558,0.066,0.6886,0,105.9,475.3,0,0,-57.4,-0.4085409252669,19.2,0.13665480427046,NA,2.5134849286092,NA,-0.39380782918149,3.3829181494662,-0.6014,NA,140.5,-0.52247403210576,-0.30354309888948,75.5,6.93,0,1049313,198.3,-11.5,NA,198.3,1.5,2.5134849286092
"4",2008-12-31,63.3,2.21,0.8931,0.14179104477612,230,303.8,54.5,136.9,0.44147049338923,0.53020914020139,0.4506254114549,-13.0148,0.26872690628149,17.221518987342,16.7,0,0,12.6,12.6,29.3,0,NA,173.2,1.3211289092296,1.2036136205698,13.746031746032,5.9112627986348,0.67079783113865,0.1,NA,-12.1852,310.1,0.31500987491771,NA,NA,0.0819,0.56927710843374,0.036,0.6056,0,131.1,272.1,0.13965453877251,0.12254111576911,15.8,0.061192873741286,29.4,0.1138652207591,0,1.1830434782609,1.7221518987342,0.048799380325329,1.0538342370256,24.7852,1.9670797831139,258.2,0.096109839816934,0.068695652173913,76.3,4.22,38,712103,143.9,-35.4,NA,143.9,1.5,1.1570895522388
"5",2007-12-31,61.2,2.79,0.8162,0.13189864630337,250.1,333.5,32.5,161.6,1.3245901639344,0.70078057241977,0.48455772113943,-6.6999,0.30384709629993,3.4146341463415,10.3,0,0,20.5,20.5,30.8,0,NA,-39.6,-0.31304347826087,-0.14112615823236,-1.9317073170732,-1.2857142857143,-0.17172593235039,NA,0.065,4.9999,122,0.22818590704648,0.23,6.4347826086956,0.0914,0.85013262599469,0.062,0.5805,0.019490254872564,126.5,84,0.45238095238095,0.31147540983607,24.6,0.10667823070252,30.9,0.13399826539462,0,0.33586565373851,NA,0.088898525585429,0.3642671292281,15.5001,0.75610179172043,230.6,0.16205533596838,0.098360655737705,62.3,1.48,38,619960,280.6,26.9,3.1226765799256,280.6,1.55,0.42346407497397
"6",2006-12-31,49.2,3.3,0.688,0.25578406169666,115.8,182.6,13.4,74.6,0.09749085206482,0.43908181283108,0.40854326396495,-6.6475,0.41860465116279,NA,9.7,0,0,-4.1,-4.1,5.6,0,NA,690.6,8.5259259259259,3.2544769085768,NA,123.32142857143,4.0647439670394,NA,0.115,-1.1525,765.2,0.22672508214677,0.6,16.25,0.1164,0.39899713467049,0.062,0.9758,0.032311062431544,81,725.4,0.054866280672732,0.052012545739676,-3.5,-0.020600353148911,26.7,0.15715126545027,NA,6.2642487046632,NA,-0.024131842260153,4.2695703354915,-2.9475,NA,169.9,-0.050617283950617,-0.030224525043178,60.2,9.75,39.8,2614319,212.2,11.5,63.078260869565,212.2,1.8,4.9177377892031
"7",2005-12-31,35,4.51,0.6875,0.59903381642512,58.1,168.3,2.3,82.3,0.16058536585366,0.75992613111727,0.48900772430184,-7.0892,0.40727272727273,NA,10.9,0,0,-28.7045,-28.7045,-17.8045,0,NA,430.2,6.8722044728434,2.7935064935065,NA,NA,3.9722991689751,NA,0.15,-13.0153,512.5,0.2156862745098,0.09,98.444444444444,0.1199,0.34717715768981,0.075,0.8954,0.035650623885918,62.6,425.7,0.20389945971341,0.16936585365854,-31.2,-0.28808864265928,16.8,0.15512465373961,NA,7.3270223752151,NA,-0.26504635272392,3.9307479224377,-15.6892,NA,108.3,-0.45853865814696,-0.53700516351119,51.1,8.86,86.8,934592,154,-10.4,NA,154,1.75,3.5369220151829
"8",2004-12-31,33.1,3.47,0.7903,0.50029533372711,NA,185.9,3.4,74.8,0.26590828297192,0.76796714579055,0.40236686390533,0.9888,0.87814753890927,NA,16.8,0,0,-41.8436,-41.8436,-25.0436,0,NA,206.5,2.1851851851852,2.1201232032854,NA,NA,2.2617743702081,NA,0.19,-29.4324,281.3,0.23130715438408,-0.73,NA,0.1466,0.66666666666667,0.101,0.4627,0.033889187735342,94.5,196.6,0.43082400813835,0.30110202630643,-43.1,-0.47207009857612,14.8,0.16210295728368,NA,2.3238770685579,NA,-0.45830876232202,2.1533406352683,-12.4112,0.29660867914463,91.3,-0.44278931216931,-0.50945626477541,55.8,6,84.7,533451,97.4,0,NA,97.4,1.85,1.6615475487301
"9",2003-12-31,31.2,3.92,0.8768,0.35535428875866,NA,207.9,4.2,72.7,0.39532354540511,0.85529411764706,NA,1.0947,0.89416058394161,NA,19.7,0,0,-31.3358,-31.3358,-11.6358,0,NA,111.2,0.96695652173913,1.3082352941177,NA,NA,1.4787234042553,NA,0.19,-16.9305,183.9,0.26551226551227,-0.5,NA,-0.1053,0.54931972789116,0.099,0.567,0.0086580086580087,115,117.2,0.56911262798635,0.36269711799891,-50.8,-0.67553191489362,8.4,0.11170212765957,NA,0.96859504132231,NA,-0.4167,1.5585106382979,-14.4053,0.45970745156141,75.2,-0.27248556521739,-0.4198347107438,54.3,3.574,66.7,73972,85,-51.4,NA,85,1.95,0.97975492807672
"10",2002-12-31,30.7,3.58,0.9135,0.28048780487805,NA,255.7,4.9,98.4,0.38124757845796,1.1912832929782,NA,-14.4,0.8615,NA,22.3,0,0,-39.9847,-39.9847,-17.6847,0,NA,159.7,NA,NA,NA,NA,1.9334140435835,NA,0.115,-22.5847,258.1,0.26828314430974,-0.9,NA,-0.0293,0.62734288864388,0.083,0.479,0,139.4,191.4,0.34848484848485,0.25842696629214,-38.8,-0.46973365617433,11.8,0.14285714285714,NA,1.1186440677966,NA,-0.48407578692494,2.317191283293,-17.4,NA,82.6,-0.28683400286944,-0.22676797194623,58,6.26,66.7,374093,70.7,NA,NA,70.7,2,1.1456241032999
