"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2012-01-29,85.6,2.09,0.5756,0.0301,1862.5,3048.1,318.6,668.2,0.1791,0.1607,0.2192,5.9,0.8,28.94,233,0.0163,59.92,190,129.28,423,0.3196,0.3192,3062,2.45,0.7,16.12,7.24,0.74,0.24,0.125,37.78,3730.2,0.3928,2.78,17.26,-0.18,0.055,0.3077,0.009,0.968,0,1252.1,3672.4,0.0157,0.0155,126.9,0.0305,115.2,0.0277,0.5467,1.97,1.21,0.0457,0.88,91.5,0.7078,4158.1,0.1032,0.0681,2328.8,47.97,57.8,2284205,4371,109.6,33.51,4371,1.2,1.94
"2",2011-01-29,87.2,1.49,0.5319,0.035010717566602,1890.8,2947.9,160.9,826.3,0.18860129644846,0.23820917896679,0.28030123138505,7.0866,0.56401579244219,28.693280106454,229.1,0.0141,60.8077,232,152.5354,461.1,0.34252,0.34251968503937,3554.9,3.1373223899038,0.89346033980094,15.322844827586,7.7096074604207,1.0248212638376,0.265,0.135,213.6488,4381.2,0.38997252281285,3.96,12.333333333333,-0.075,0.1945,0.27786396668572,0.007,NA,0,1133.1,4312.6,0.015906877521681,0.015657810645485,150.3,0.043329105166052,48.2,0.013895295202952,0.404575249501,2.2808335096256,1.082765287036,0.066881918819188,1.2432541512915,-61.1134,-0.40065070450874,3468.8,0.13461773894625,0.079490162894013,1980.2,48.84,68.6,2769258,3978.8,200.6,21.49850448654,3978.8,1.2,2.2359906093702
"3",2010-01-29,88,1.65,0.5383,0.037491443315255,1827.9,2821.9,175.5,712.5,0.14042729315306,0.24329030936283,0.25248945745774,8.2576,0.53408879806799,63.404309252218,238.8,0.0123,61.532,117.9,77.8859,356.7,0.33939,0.3397489539749,4361.3,3.675459295466,1.3397124777293,36.991518235793,12.22680123353,1.4892098613672,0.105,0.06,132.9283,5073.8,0.44083773344201,2.13,27.056338028169,0.07,-0.1761,0.32382892057027,0.007,NA,0,1186.6,5002.6,0.014232599048495,0.014032874768418,78.9,0.026941200573653,74,0.025268046165403,0.77987300380228,2.7368017944089,6.0385056430684,0.040258143822987,1.7081882127979,-55.0424,-0.70670543815688,2928.6,0.065637888926344,0.043164286886591,1765.7,57.63,71.2,3318859,3255.4,120.7,41.446561723281,3255.4,1.15,2.671686588384
"4",2009-01-29,87.6,1.42,0.467,0.051398026315789,1845.6,2848.2,367.6,522.1,0.16303906567155,0.14747337796232,0.18330875640756,-16.4648,0.37687366167024,11.39294895336,225.3,0.0198,61.4255,439.4,265.3932,664.7,0.39601,NA,2680.2,1.8828240252898,0.88630952380952,6.0996813837051,4.0321949751768,0.75705448690789,-0.085,0.01,139.558,3202.3,0.4910820869321,1.33,26.203007518797,0.18,-0.0718,0.42794465069187,0.005,NA,0,1423.5,3102.3,0.032234148857299,0.031227555194704,272.3,0.076914385786515,112.9,0.031889952828856,0.22558038927653,1.6809167750325,NA,0.12411377566873,0.87628167104483,125.8352,0.47414634025884,3540.3,0.18643709589041,0.14754009536194,1922.3,34.85,100,4050059,3024,53.7,57.77094972067,3024,1.1,1.6459189967105
"5",2008-01-29,86.2,1.74,0.3841,0,1618.3,2567.6,403.4,648.5,0.33924461184348,0.17293794501187,0.25257049384639,0.2947,0.39573027857329,4.0184990540256,183.7,0.031565181000209,60.34,740.5,463.901,924.2,0.37353,NA,1263.1,1.3024334914415,0.33491541602588,1.7057393652937,1.3666955204501,0.33683564895064,0.02,0.075,243.9063,1911.6,0.51343667237888,3.94,5.8553299492386,0.215,0.1582,0.72019664072102,0.005,0.9398,0,969.8,1911.6,0,0,475.7,0.1268567161791,-51.4,-0.013707032187525,0.12684464998949,1.1812395723908,2.0092495270128,0.19747193258487,0.50977359396251,219.9947,0.47422765761243,3749.9,0.47834711796247,0.29395044182167,1770.9,23.07,0,2228528,3771.4,420.5,4.546016646849,3771.4,0.95,1.1812395723908
"6",2007-01-29,88.3,1.4,0.3297,0,1405.3,2248.1,403.5,529.8,0.07648443026462,0.15966487854861,0.23566567323518,-5.3177,0.48528965726418,16.406679298911,146.2,0.0089231835308724,61.81,658.1,413.4645,804.3,0.37173,NA,6397.1,7.3067961165048,1.7480803388441,9.7205591855341,7.9536242695512,1.9278825869447,0.135,0.135,161.4822,6926.9,0.48587696276856,5.62,13.282918149466,0.19,0.1838,0.11759723760506,0.004,0.9475,0,875.5,6926.9,0,0,422.2,0.12723765897173,51.7,0.015580736543909,0.14639981051634,4.9291254536398,1.2153095776971,0.19833042010729,2.0875474654933,251.9823,0.60944120363489,3318.2,0.47226097886922,0.30043407101686,1550.9,74.65,0,1952451,3659.5,457.2,15.150699912511,3659.5,1,4.9291254536398
"7",2006-01-29,87.7,1.39,0.419,0,995.1,1789.7,256.4,461.9,0.074501201632284,0.16587065033935,0.25808794770073,0.8184,0.36276849642005,18.117767387493,124.2,0.0099017726092356,61.39,556.2,338.1084,680.4,0.39211,NA,5738,10.76144036009,1.8269230769231,10.316432937792,8.4332745443857,2.0605451215571,0.175,0.16,205.09,6199.9,0.45460132983182,4.98,13.981927710843,0.165,0.3512,0.22751159196291,0.006,0.9219,0,533.2,6199.9,0,0,342.2,0.12288576866449,-6.4,-0.0022982727044206,0.17939801285798,6.2304291026028,1.035300993571,0.19973426221855,2.2264157718964,133.0184,0.39341941172859,2784.7,0.63411181170293,0.34388503667973,1295.2,69.63,0,969300,3140.8,452.6,13.698409191339,3140.8,0.95,6.2304291026028
"8",2005-01-29,86,0.85,0.5092,0,NA,1347.7,185.1,350.4,0.061027221902921,0.13956823070182,0.25999851599021,-27.1121,0.33385703063629,24.185762426285,105.8,0.010739490641301,60.2,380.5248,234.1635,486.3248,0.38463,NA,5391.3,16.905926622766,2.1474149605672,14.168065480519,11.085801550149,2.6672438529659,0.185,0.17,181.9756,5741.7,0.5097573643986,3.62,18.005524861878,0.18,0.3014,0.25306502071531,0.005,0.9193,0,318.9,5741.7,0,0,237.4,0.11744916637807,-112,-0.055409884727651,0.25358045492839,8.5786642761094,1.3073385095289,0.18825744817692,2.8405976351853,52.1879,0.22286964387908,2021.3,0.73428514853747,0.3546989391902,529.3,65.18,0,852100,2510.6,237.4,24.185762426285,2510.6,1.15,8.5786642761094
"9",2004-01-29,94.6,1.09,0.4997,0,NA,1199.2,99.1,521.1,0.12215189873418,0.27508842316423,NA,-5.2855,0.43626175705423,20.799609946368,66.6,0.010757314974182,47.3,398.259,243.5831,464.859,0.38838,NA,3744.9,10.693603655054,1.9769307923771,9.4031782737543,8.0559918647153,2.1928211734395,0.095,0.1,216.3687,4266,0.37191460973983,2.54,18.299212598425,NA,0.1003,0.34478841238285,0.013,0.897,0,350.2,4266,0,0,205.1,0.12009602998009,-48.4,-0.028340555100129,0.23061921014139,4.8961322162286,2.1894326259334,0.2332,2.4979505796932,27.2145,0.11172565515958,1707.8,0.69555438353855,0.23539538620452,385.8,46.48,0,464600,1894.3,205.1,20.799609946368,1894.3,1.1,4.8961322162286
"10",2003-01-29,97.3,1.58,0.6171,0,NA,994.8,93,401,0.17223606219397,0.2512846221331,NA,21.6,0.5644,11.945613134941,56.9,0,0,312.6,192.6054,369.5,0.38386,NA,1927.2,NA,NA,6.1650671785029,5.2156968876861,1.207670134102,0.135,0.13,156.5054,2328.2,0.39495375954966,2.35,10.242553191489,NA,0.1888,0.27946768060837,0.0459,0.8528,0,348.5,2328.2,0,0,194.9,0.12213309938589,-11.4,-0.0071437523499186,0,3.1063375583723,0.88486023221785,0.19588920917408,1.4589547562351,36.1,0.18742987864035,1595.8,0.5526696241033,0.26004002668446,343.4,24.07,0,2077022,1681.5,NA,NA,1681.5,1.2,5.5299856527977
"11",2002-01-29,NA,2.33,0.7625,0,NA,770.5,126.5,238.9,0.092178878728248,0.17504396248535,NA,0.3273,0.5343,15.362774155305,41.2,0,0,312.6052,190.6798,353.8052,0.39003,NA,2352.8,NA,NA,7.5264263038491,6.6499870550235,1.7239155920281,0.145,NA,105.0525,2591.7,0.47384815055159,1.94,14.448453608247,NA,0.1016,0.38672675133142,0.007,0.85,0,356.55,2591.7,0,0,168.7,0.12360785463071,2.74,0.0020076201641266,0,4.3528720188109,1.0595016658831,0.13971262737691,1.8989595545135,85.6273,0.44906331328454,NA,0.53479117611555,0.28333893181055,286.6,28.03,0,2520900,1364.8,181.3,14.295091009377,1527.9,1.35,7.2688262515776
"12",2001-01-29,NA,1.45,0.7656,0,NA,587.5,153.5,137.6,0.051852130986924,0.11118293471235,NA,5.5293,0.56818181818182,16.784946236559,30.7,0,0,284.40048,172.0111,315.1005,0.39518,NA,2516.1,NA,NA,8.8470314818034,7.9850719364185,2.0330478345184,0.18,NA,46.6324,2653.7,0.47455319148936,NA,15.725714285714,NA,0.2262,0.49113169047245,0.022,0.8514,NA,285.1,2653.7,0,0,158.1,0.12774725274725,11.4,0.0092113768584357,0,6.2779749231133,93.249701314217,0.138987636,2.1442307692308,125.3787,0.72889878170196,NA,0.60333601653315,0.37402413058907,255.6882,27.52,0,NA,1237.6,166.7,15.919016196761,1337.8,NA,6.2779749231133
"13",2000-01-29,NA,1.3,0.669,0,NA,458.2,83.8,193.5,0.092730148080702,0.1649757012533,NA,NA,0.2914798206278,13.948529411765,27.7,0,0,269.8,161.8827,189.5827,0.39999,NA,1893.2,NA,NA,7.0170496664196,9.9861433557613,1.6141188507119,0.235,NA,109.6988,2086.7,0.31951113051069,NA,NA,NA,0.2874,0.59300994581945,0.016,0.6673,NA,117.6,2086.7,0,0,NA,0.13445306505243,NA,-0.026600733225339,0,6.7074895531983,0.59355444305382,0.23002813539091,1.7790945519652,NA,0.34654722643676,NA,1.3765535544218,0.50691096110575,223.5,NA,NA,NA,NA,157.7,13.232086239696,1172.9,NA,6.7074895531983
