"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,13.1,1.72,0.5245,0.1057,94.8,132.8,1.4,35.8,0.2577,0.5525,0.2696,0.6,0.8,15.02,4,0,0,14,8.6,18,0.3858,0.3841,103.1,1.47,1.53,7.36,5.73,1.59,NA,10.6,138.9,0.2748,0.73,13.62,-0.065,0.095,0.3258,NA,0.4457,0.241,70.2,127.7,0.0877,0.0806,8.5,0.1312,15.5,0.2392,0,1.35,NA,0.216,1.97,-2,-0.2328,64.8,0.1225,0.0897,24,9.94,11.2,96487,67.3,10.1,12.64,67.3,1.05,1.31
"2",2010-12-31,12.7,1.29,0.5228,0.13061224489796,85.2,128.9,2.8,28.2,0.21860465116279,0.50719424460432,0.21877424359969,0.9906,0.43037490436113,27.023255813954,2.4,0,0,7.5,4.4083,9.9,0.41223,0.41095890410959,100.8,1.4441260744986,1.6524590163934,13.44,10.181818181818,1.8129496402878,NA,3.0176,129,0.28704422032583,NA,NA,-0.075,0.3771,0.38024837374335,NA,0.3198,0.27075252133437,69.8,116.2,0.11015490533563,0.09922480620155,4.3,0.077338129496403,10.2,0.18345323741007,0,1.3638497652582,NA,0.13489208633093,2.089928057554,1.3906,0.31546296045832,55.6,0.063155802292264,0.050469483568075,24.2,9.8,12.8,81141,61,6.9,16.840579710145,61,0.9,1.3163265306122
"3",2009-12-31,13.4,1.42,0.5727,0.14922279792746,82.1,130.7,4,24.4,0.24621594349142,0.60847880299252,0.1866870696251,2.9282,0.43652872359001,16.607843137255,1.3,0,0,7.7,5.1099,9,0.33638,0.33766233766234,74.7,1.0360610263523,1.4504854368932,9.7012987012987,8.3,1.8628428927681,NA,-0.5183,99.1,0.27314460596786,NA,NA,0.115,-0.0559,0.29796511627907,NA,0.2884,0.22876817138485,72.1,84.7,0.17001180637544,0.14530776992936,5.1,0.12718204488778,10.3,0.2568578553616,0,1.0316686967113,NA,0.19201995012469,2.1122194513716,5.6282,1.1014321588208,40.1,0.070872038834951,0.062119366626066,18.7,6.67,14.4,32824,51.5,5.1,16.607843137255,51.5,1,1.0269430051813
"4",2008-12-31,11.3,1.29,0.5972,0.20833333333333,60.8,95.8,16.2,43.2,0.38196286472148,1.2067039106145,0.45093945720251,0.3846,0.28131279303416,26.972222222222,1.4,0,0,4.3,3.3026,5.7,0.23196,NA,69.9,2.0803571428571,1.8155844155844,16.255813953488,12.263157894737,1.9525139664805,NA,-11.8821,113.1,0.33611691022965,NA,NA,NA,0.1532,0.51515151515152,NA,0.353,0.0093945720250522,33.6,97.1,0.16477857878476,0.14146772767462,3.6,0.10055865921788,5.1,0.14245810055866,0,1.5970394736842,NA,0.12011173184358,2.7122905027933,15.1846,4.5978215982902,35.8,0.098290833333333,0.059210526315789,18.4,7.63,16,57623,38.5,4,24.275,38.5,1.05,1.47265625
"5",2007-12-31,11.2,1.27,0.5422,0,55,79.5,13.8,39.4,1.0765027322404,1.2792207792208,0.49559748427673,-0.4364,0.29509406123202,6.1,0.8,0,0,6.6,4.5846,7.4,0.30536,NA,-2.8,-0.17948717948718,-0.076923076923077,-0.42424242424242,-0.37837837837838,-0.090909090909091,NA,-7.979,36.6,0.2440251572327,0.35,8.6857142857143,NA,0.1023,0.67826086956522,NA,0.4081,0.012578616352201,15.6,36.6,0,0,6,0.1948051948052,2.4,0.077922077922078,0,0.66545454545455,NA,0.21428571428571,1.1883116883117,12.5636,2.7403853322838,30.8,0.29388615384615,0.10909090909091,12.4,3.04,0,41700,36.4,4.2,8.7142857142857,36.4,1,0.66545454545455
"6",2006-12-31,10.8,0.2,0.4894,0,45.5,68.1,1.3,47.2,0.27188940092166,1.7611940298508,0.69309838472834,-0.0549,0.26154474867184,37.739130434783,0.4,0,0,5.4,3.3025,5.8,0.38842,NA,126.4,NA,4.6642066420664,23.407407407407,21.793103448276,4.7164179104478,0.3,2.4574,173.6,0.044052863436123,0.52,27.288461538462,NA,-0.123,0.29662727010666,NA,0.4686,0,-1.7,173.6,0,0,4.6,0.17164179104478,4.9,0.18283582089552,0,3.8153846153846,1.2579710144928,0.20149253731343,6.4776119402985,0.8451,0.25590948209778,26.8,NA,0.1010989010989,10.3,14.19,0,43433,27.1,5.5,31.563636363636,27.1,0.8,NA
"7",2005-12-31,10.5,0.59,0.5623,0,37.9,62.6,1.6,44.7,0.3095567867036,1.5,0.71405750798722,0.2104,0.17072736973146,24.474576271186,0.5,0,0,8.5,5.1155,9,0.39818,NA,99.7,NA,3.7622641509434,11.729411764706,11.077777777778,3.3456375838926,0.3,3.8051,144.4,0.033546325878594,0.41,32.365853658537,0.24,0.1013,0.24252223120453,NA,0.3956,0,-6.8,144.4,0,0,5.9,0.19798657718121,1.9,0.063758389261745,0,3.8100263852243,0.81581920903955,0.28523489932886,4.8456375838926,1.3104,0.25616467002324,29.8,NA,0.155672823219,10.1,13.27,0,52477,26.5,4.4,32.818181818182,26.5,0.6,NA
"8",2004-12-31,10.3,1.63,0.6793,0,NA,59.5,0.5,39.3,0.31899350649351,1.2242990654206,0.66050420168067,0.5917,0.47990578536729,11,0.7,0,0,6.4073,6.4073,7.1073,0,NA,83.9,NA,2.613707165109,13.094439155338,11.804764115768,3.1660377358491,NA,6.0156,123.2,0.016806722689076,NA,NA,-0.05,0.6733,0.36262866191607,NA,0.4403,0,-8.9,123.2,0,0,11.2,0.42264150943396,2.8,0.10566037735849,0,4.0526315789474,NA,0.24178490566038,4.6490566037736,0.3917,0.061133100246211,26.5,-0.71992134831461,0.36842105263158,10.1,11.69,0,38152,32.1,0,NA,32.1,0.5,4.0526315789474
"9",2003-12-31,10,2.07,0.7123,0,NA,21.9,0.3,14.6,0.15548455804047,0.82022471910112,NA,0.6078,0.58121577986803,117.375,1,0,0,1.6001,1.6001,2.6001,0,NA,79.3,23.323529411765,4.4550561797753,49.560641475945,30.499296170088,5.1493506493506,NA,1.6923,93.9,0.054794520547945,NA,NA,NA,0.1624,0.46776180698152,NA,0.3928,0,3.4,93.9,0,0,0.8,0.051948051948052,3.9,0.25324675324675,0,5.2166666666667,NA,0.1039,6.0974025974026,-0.0922,-0.057627709090779,15.4,0.47060588235294,0.044444444444444,6.8,9.21,0,19690,17.8,10.3,9.1165048543689,17.8,0.4,5.2166666666667
"10",2002-12-31,9.9,2.72,0.8662,0,NA,20.1,0.1,13.5,0.13975155279503,1.0227272727273,NA,0.8,0.6898,NA,1.1,0,0,-3.2806,-3.2806,-2.1806,0,NA,83.1,NA,NA,NA,NA,6.2954545454545,NA,-2.2806,96.6,0.09452736318408,NA,NA,NA,0.1654,0.85214626391097,NA,0.1414,0,3.6,96.6,0,0,-3,-0.22727272727273,1.4,0.10606060606061,NA,5.6491228070175,NA,-0.24853333333333,7.3181818181818,-1,NA,13.2,-0.91128888888889,-0.17543859649123,8.4,9.54,0,48885,14.9,0.8,120.75,14.9,0.45,23.083333333333
