"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,135.8,0.86,0.2969,0.6518,1894.6,6198.8,149.1,86.6,0.0104,0.0063,0.014,197.67,0.72,16.7,83.7,0,0,571,353.27,654,0.3809,0.3809,8228.6,1.54,0.54,14.42,12.58,0.59,0.21,0.165,90.2,8315.2,0.3147,3.04,13.06,0.015,0.01,0.212,0.562,0.6816,0,5353.8,4769.4,0.7434,0.4264,285.6,0.0206,2038.4,0.1474,0,2.52,0.8,0.0413,0.34,263.07,0.7447,13832,0.066,0.1507,1649.4,39.7,3545.8,975942,15173.3,306.3,15.57,15173.3,1.15,1.53
"2",2010-12-31,148.4,1.1,0.4094,0.60731016244805,2078.9,5974.2,150.4,95.1,0.011273649770022,0.0076226354600834,0.015918449332128,148.7823,0.73277967757694,21.152755267423,77,0,0,498,307.266,575,0.383,0.383,8340.5,1.6042816749697,0.62243001813446,16.747991967871,14.505217391304,0.66852356524527,0.19,0.09,85.0837,8435.6,0.30765625523083,2.03,18.162561576355,-0.02,0.3355,0.20662117032089,0.569,0.7941,0,5198.9,5220.5,0.61586054975577,0.38113471478022,246.8,0.019781981404296,2009.1,0.1610371914075,0,2.5111837991245,1.1133029088117,0.039916639948702,0.41844341134979,222.1823,0.72309419571769,12476,0.059102117755679,0.11871662898648,1555,36.87,3215.1,1031334,13399.9,282.3,18.49273822175,13399.9,1.2,1.5934265205894
"3",2009-12-31,171.7,1.33,0.5227,0.52054623423123,2303.2,5407.3,75.1,173.7,0.0261415284592,0.016063997040599,0.032123240804098,183.202,0.57394298832983,20,78,0,0,388,245.8523,466,0.36636,0.36636085626911,6470.9,1.3975724066435,0.53726720967112,16.677577319588,13.886051502146,0.59843706649404,0.18,0.1,65.5503,6644.6,0.31978991363527,1.94,14.536082474227,-0.015,-0.2152,0.24781085814361,0.5,0.819,0,4630.1,4144,0.60342664092664,0.37633567107125,207.2,0.019162119670767,1609.1,0.14881161564783,0,1.7992358457798,1.1111111111111,0.035882733746416,0.38324239341533,180.302,0.73337514172754,10813,0.053098706291441,0.089961792288989,1473,28.2,2500.6,1335066,12044.1,226.5,18.295805739514,12044.1,1.2,1.3831966359965
"4",2008-12-31,176.9,1.36,0.5056,0.59180300469832,2198.1,6014.1,97,111,0.016719133617508,0.0078227960505451,0.018456626926722,-474.2271,0.39556962025316,19.275823562256,91,0,0,486.1,291.5628,577.1,0.4002,NA,6528.1,1.2378126244335,0.60806266824393,13.429541246657,11.311904349333,0.46007202610418,0.07,-0.005,759.7898,6639.1,0.32207645366721,1.35,14.185185185185,0.035,-0.1821,0.47843942505134,0.48,NA,0,5273.9,3452.3,0.92309474842858,0.48000481993041,179.1,0.012622187141015,1948.5,0.13732178472511,0,1.5705836859106,2.7536890803222,0.03425820865018,0.24330305229997,-468.2271,-1.6059218922583,14189.3,0.055284093365441,0.081479459533233,1812.3,19.15,3186.8,2879409,10735.9,177.6,19.438626126126,10735.9,1.25,1.2329105461568
"5",2007-12-31,180.4,1.32,0.385,0.53257256664558,3473.5,8479.6,157.9,32.8,0.0059576786849514,0.0018539976825029,0.0038681069861786,287.2276,0.54025974025974,5.3746527777778,91.7,0,0,706.5,443.0038,798.2,0.37296,NA,5472.7,0.7397239906465,0.34932276307559,7.7462137296532,6.8563016787772,0.309340643812,0.03,0.055,89.5762,5505.5,0.2342799188641,1.17,8.4444444444444,0.09,0.068,0.66298811544991,0.406,NA,0,7398.3,1547.9,2.5567543122941,0.71884479157206,288,0.016279004041489,2509.5,0.14184778000735,0,0.44563120771556,1.7915509259259,0.039934431789277,0.087493994291044,353.4276,0.79779812644678,17691.5,0.059879128989092,0.082913487836476,2046.2,9.88,3957.6,1980406,15666.6,213.2,7.2603189493433,15666.6,1.3,0.7408728182907
"6",2006-12-31,206.8,1.08,0.1741,0.50819954432258,3712.7,8607,170.2,52.2,0.007825148407987,0.0027490178317517,0.0060648309515511,130.3997,0.8,8.0405673758865,82.9,0,0,796.5,486.9323,879.4,0.38866,NA,6618.6,0.8828331332533,0.36709836656591,8.309604519774,7.5262679099386,0.34855650232245,0.095,0.1,269.2326,6670.8,0.22418961310561,1.69,8.2248520710059,0.13,0.2509,0.22568710359408,0.269,0.9894,0.36213547112815,7497,2834.3,1.3535970080796,0.57511842657552,352.5,0.018563769840852,2581.7,0.13596052368263,0,0.76340668516174,0.84637551325121,0.041946220363797,0.14926324215582,217.6997,0.44708419177198,18988.6,0.064950288115246,0.094944380100735,2165,13.9,3836.5,3011900,18029.5,318.4,8.9016959798995,18029.5,0.95,0.88364329995231
"7",2005-12-31,262.2,1.08,0.1584,0.39627642381537,4669.5,8824.5,131.5,243.8,0.03247938398412,0.012662698536362,0.027627627627628,17.7455,0.8,11.229582806574,80.7,0,0,807.5,512.706,888.2,0.36507,NA,7262.5,0.96953555742454,0.37960756026678,8.9938080495356,8.1766494032876,0.37720610385698,0.11,0.075,444.1605,7506.3,0.20763782650575,1.8,11.844444444444,0.13,-0.0113,0.095249462878969,0.297,0.876,0.33510113887472,7490.7,4441.3,0.690113255128,0.40832367477985,395.5,0.020541826378718,2805.1,0.14569374759783,0,0.95112967127101,1.020871164234,0.041940644249847,0.23067614031807,68.5455,0.13369358228645,19253.4,0.068445669296594,0.084698575864654,2175.5,21.32,3065,852100,19131.6,325.7,13.636168252994,19131.6,1.05,0.97049583037042
"8",2004-12-31,264.3,0.8,0.2316,0.43854866324246,NA,8698.9,133.2,107.2,0.01186326261855,0.0054437521264657,0.012323397211142,9.3676,0.69084628670121,15.422702702703,84,0,0,769.644,472.2536,853.644,0.3864,NA,8929.1,1.192805044217,0.4534310364965,11.601597621758,10.459980975676,0.45500917244191,0.085,0.035,413.686,9036.3,0.21109565577257,1.66,13.10843373494,0.16,0.0334,0.12098159509202,0.3229,0.8222,0.34213521249813,7485.8,5706.4,0.58353778213935,0.3685025950887,370,0.018854463921729,2691.5,0.13715348552793,0,1.338556449532,1.8144356120827,0.039219527109662,0.29078679168365,58.5676,0.12401724035703,19624,0.06308658505437,0.086791302104103,2189,21.76,3329.9,306900,19692.3,370,15.422702702703,19692.3,1.05,1.1900829711576
"9",2003-12-31,269.7,0.74,0.2754,0.4791993565316,NA,8823.1,133.3,170.8,0.019854001022923,0.0087683722553917,NA,14.3386,0.53740014524328,13.123613312203,71,0,0,804.3156,515.2526,875.3156,0.35939,NA,8432,1.1374458728467,0.43287420876735,10.483446393216,9.6330963578682,0.43506302531848,0.09,0.04,438.614,8602.8,0.19230202536523,1.5,12.633333333333,0.355,0.0994,0.11627906976744,0.342,0.7676,0.3280706327708,7413.1,4968.6,0.73143340176307,0.42244385548891,378.6,0.019534494946107,2835.7,0.14631264479312,0,1.2579689596678,1.4581792569114,0.0415,0.25636315792189,76.6386,0.14873992284352,19381.1,0.069505692429146,0.095855381421374,2157.7,18.95,3634.2,410400,19479.1,357,13.917647058823,19479.1,1.05,1.1343504001899
"10",2002-12-31,298,0.91,0.3567,0.43033216783217,NA,8584.8,183.2,176.2,0.0220702440002,0.0090458710886362,NA,-324.9,0.5589,13.180817610063,69.7,0,0,641.1,395.8664,710.8,0.38252,NA,7807.4,NA,NA,12.178131336765,10.983961733258,0.40082141848705,0.12,0.055,282.3664,7983.6,0.19550834032243,1.41,12.872340425532,NA,0.0519,0.26499670402109,0.381,0.7086,0.34663591463983,6687.8,5029.8,0.58725993081236,0.36998346610552,381.6,0.019590830916138,2783.3,0.14289087968786,0,1.2863280650606,1.0984014675052,0.032913212002978,0.2582231691352,113.5,0.28671287073629,19478.5,0.059192324531236,0.097590916065674,2200.9,18.15,2953.8,1187418,19303.8,381.6,13.180817610063,19303.8,1,1.1674093124794
