"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,46.1,1.13,0.2595,0.2983,1085.8,2349,53.5,463.4,0.1397,0.2709,0.1973,25.72,0.8,25.68,47,0.0129,36.88,140,96.26,187,0.3115,0.3115,2854.2,2.63,1.51,20.42,15.28,1.67,0.105,0.065,64.04,3317.6,0.1342,3.14,20.09,0.115,-0.015,0.2346,0.047,0.9267,0.3348,1084,2856,0.1616,0.1391,111.2,0.065,244,0.1426,0.2884,2.63,2.45,0.0817,1.67,32.22,0.3347,1710.5,0.0888,0.1024,372.8,63.07,461.6,401359,1890.8,127.9,22.33,1890.8,1,2.14
"2",2010-12-31,45.7,1.09,0.3225,0.22846638655462,881.4,2112,53.5,118.9,0.056106077765194,0.079836164641107,0.056297348484848,20.0959,0.77519379844961,23.551330798479,40.8,0.0159,29.5454,117.3,83.9997,158.1,0.28389,0.2820746132848,2000.3,1.9543722520762,1.2463704903732,17.052855924979,12.652118912081,1.3431142147318,0.095,0.04,51.2038,2119.2,0.12234848484848,2.62,15.312977099237,0.13,-0.2053,0.20112555272679,0.044,0.9123,0.20378787878788,1023.5,1858.2,0.14045850823378,0.12315968289921,78.9,0.052977909084805,258.9,0.17384005908816,0.37446615969582,2.1082368958475,2.4790874524715,0.078761834418854,1.247700261868,32.7959,0.390428890333,1489.3,0.082071033707865,0.089516678012253,287.9,40.12,261,421774,1604.9,95.2,19.518907563025,1604.9,1,1.8550420168067
"3",2009-12-31,32.9,0.94,0.3427,0.24276126558006,789.8,1901.3,57,76.3,0.052396648811976,0.038312829525483,0.040130437069374,16.8481,0.69302597023636,15.891677675033,67.5,0.0142,17.0826,134.1,96.5466,201.6,0.28004,0.28382213812677,1379.9,1.4274335367746,0.63739664649637,10.290082028337,6.8447420634921,0.69289480291238,0.105,0.03,90.1986,1456.2,0.21685162783359,2.76,13.797101449275,0.125,0.2826,0.25153709523159,0.071,0.5952,0.3614895071793,966.7,1203,0.21047381546135,0.17387721466831,75.7,0.038011549083605,193.5,0.097162942505649,0.22566182298547,1.5231704228919,1.5134931119079,0.067336178759729,0.60406728596535,6.3481,0.06575116952267,1991.5,0.099872386469432,0.095847049886047,366.6,38.08,253.2,479396,2164.9,131.6,9.1413373860182,2164.9,0.95,1.3961649089166
"4",2008-12-31,32.5,0.7,0.3482,0.34306793728866,641.1,1883.9,66.1,29.4,0.017449106771915,0.012755434075231,0.01560592388131,-36.0655,0.43653072946582,15.289920724802,66.3,0.0175,23.6268,140.1,104.0481,206.4,0.25733,NA,1655.5,1.7490755414686,0.83170057774428,11.816559600285,8.0208333333333,0.71825241876003,0.035,0.035,140.3136,1684.9,0.22235787462179,2.49,17.425702811245,0.13,-0.0031,0.36878577884905,0.071,0.8937,0.30967673443389,946.5,1350.1,0.2479816309903,0.19870615466793,88.3,0.038309688055881,264.4,0.1147121350167,0.26757361268403,2.1059117142412,4.3685487785148,0.060783548093193,0.58575209336631,-36.2655,-0.34854559334823,2304.9,0.1099292836767,0.13773202308532,357.4,43.39,334.8,268789,1990.5,64,21.0953125,1990.5,0.95,1.7265088636131
"5",2007-12-31,32.5,0.5,0.3427,0.34275802254987,757.8,1854.4,71.4,37.2,0.03035991185832,0.016089269495264,0.020060396893874,-6.3972,0.49022468631456,9.4115646258503,67.5,0.029755451150464,24.7,150.4,132.7852,217.9,0.11712,NA,1188.1,1.064796558523,0.50211309272251,7.8996010638298,5.4525011473153,0.51386185718611,0.105,0.065,135.2823,1225.3,0.22708153580673,2.86,10.321678321678,0.1,0.019,0.3776459484967,0.068,0.7245,0.32328515962036,1115.8,830.1,0.47608721840742,0.32253325716151,88.2,0.038147138964578,273.4,0.1182474806453,0.28004535147392,1.0954077593033,0.89633948817622,0.06504908957225,0.35902426365642,-2.4972,-0.01880623447199,2312.1,0.11900443807134,0.11638954869359,363,29.52,395.2,202938,2366.2,94.9,8.7471022128556,2366.2,1.05,1.0627059843886
"6",2006-12-31,31,-0.15,0.315,0.39070843716625,684.6,1839.9,68.2,25.8,0.016773941876341,0.011937259982418,0.014022501222892,-17.5002,0.45714285714286,14.423884514436,60.9,0.020307524338095,22.32,139.9,101.7213,200.8,0.2729,NA,1512.3,1.3775733284751,0.66160643975851,10.809864188706,7.531374501992,0.69971776245778,0.155,0.09,111.9215,1538.1,0.23218653187673,2.81,11.238434163701,0.03,0.2497,0.24110204564266,0.084,0.7071,0.31931083211044,1097.8,1099.1,0.39941770539532,0.28541707301216,76.2,0.035256558552723,303.8,0.14056354971545,0.29291338582677,1.6054630441133,0.93057319447972,0.064729560912414,0.50853652894091,-10.2002,-0.10027558576551,2161.3,0.092659218436874,0.11130587204207,324,31.58,439,301600,2285.8,90,12.212222222222,2285.8,0.9,1.3689035243859
"7",2005-12-31,30.3,1,0.3142,0.2164408079775,612.9,1292.7,50.6,24,0.017977528089888,0.014207909069382,0.018565792527269,-53.9286,0.40738383195417,19.624579124579,52.8,0.017675216608047,20.604,100.2,72.9396,153,0.27206,NA,1311,1.7290952255342,0.63898230735488,13.083832335329,8.5686274509804,0.77610703291499,0.18,0.095,129.0682,1335,0.27608880637425,2.73,13.758241758242,-0.035,0.0094,0.262311120774,0.104,0.7257,0.25025141177381,758.2,1165.7,0.14523462297332,0.12681647940075,59.4,0.03516457494672,251.3,0.14876864788065,0.34686868686869,1.9019415891663,1.0902543958099,0.05931802036467,0.69008998342411,-56.1286,-0.76952223608306,1689.2,0.096200986547085,0.096916299559471,251.8,37.56,169.3,191300,2051.7,69.3,16.821067821068,2051.7,0.8,1.7067246228586
"8",2004-12-31,29.9,0.76,0.365,0.32247332797981,NA,1312.8,48.4,25.1,0.018317156826972,0.015077791794317,0.01911943936624,2.2686,0.41643835616438,30.768361581921,53.9,0.018223234624146,19.136,62.1476,46.3161,116.0476,0.25474,NA,1345.2,1.5889440113395,0.80807352676158,21.645237581101,11.591793093215,0.81374387514367,0.11,0.05,49.5475,1370.3,0.27330895795247,1.95,18.010256410256,-0.02,0.0559,0.19903303787268,0.132,0.6565,0.23857404021938,846.6,1089.2,0.2580793242747,0.205137561118,35.4,0.021414312503781,323.3,0.19557195571956,0.54056497175141,1.8442262106333,2.7971237801746,0.037594591978707,0.65888331014458,-3.2314,-0.069767593820911,1653.1,0.054708404537208,0.059939045038943,235.8,35.12,281.1,110800,1664.7,36.1,30.171745152355,1664.7,0.75,1.5719857749226
"9",2003-12-31,29.2,0.41,0.4069,0.32347070564753,NA,1279.9,44.9,18.7,0.016289198606272,0.011596899224806,NA,15.8074,0.20152371590071,16.714559386973,52.1,0.021368948247078,18.688,144.345,95.3774,196.445,0.33924,NA,1129.3,1.3557022809124,0.70034108527132,7.8236164866385,5.7486825447997,0.73776703469001,0.105,0.05,86.77,1148,0.28025627002109,1.17,25.598290598291,0.025,0.0346,0.24930555555556,0.132,0.8928,0.24290960231268,833,872.5,0.31575931232092,0.23998257839721,52.2,0.034102044816097,295.8,0.19324492062455,0.35800766283525,1.5142311697327,1.5918627987594,0.0943,0.57000065329588,8.6074,0.090246051079576,1530.7,0.11449869004514,0.090593543908365,206.2,29.95,275.5,26800,1612.5,0,NA,1612.5,0.75,1.3478924503933
"10",2002-12-31,29,0.17,0.3927,0.32917705735661,NA,1224.9,42.5,32.8,0.025765907305577,0.022326594513648,NA,62.1,0.0947,19.925925925926,50.7,0.017022109176286,17.4,93.3,61.1106,144,0.34501,NA,1240.2,NA,NA,13.292604501608,8.6125,0.84419032060445,0.165,0.055,69.3106,1273,0.29610580455547,2.35,14.685106382979,NA,0.0487,0.21851667496267,0.131,0.8343,0.25242876969549,729.1,1022.2,0.2453531598513,0.19701492537313,51.3,0.034919338370431,205.5,0.13988156013886,0.33918128654971,2,1.2076318742985,0.063508270369614,0.69580014975155,-8.2,-0.13418301289857,1469.1,0.083816440817446,0.1003717472119,206.2,34.51,250.8,132472,1520.4,50.7,20.161735700197,1520.4,0.75,1.7010012343986
