"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2012-02-01,81.2,1.65,0.4795,0,409.4,735.2,73.3,223.7,0.2272,0.0955,0.3043,0.58,0.8,14.17,65.1,0,0,114,69.76,179,0.3854,0.3855,760.9,4.1,0.32,6.7,4.26,0.32,NA,0.055,60.98,984.6,0.3909,1.14,11.41,0.21,0.225,0.3243,0.0107,0.8854,0,185.7,984.6,0,0,69.5,0.0297,24.9,0.0106,0,2.4,NA,0.0485,0.42,8.78,0.1258,2342.3,0.3757,0.1698,494.8,13.01,0,1690379,2396.8,62.3,15.8,2396.8,1.1,2.4
"2",2011-02-01,84.6,0.88,0.4924,0,432.6,773.2,100.8,265.6,0.21017646593337,0.11064822529578,0.34350750129333,0.1371,0.53310316815597,5.463467358409,58.7,0,0,386.8,231.4147,445.5,0.40172,0.40186190845617,998.1,5.9766467065868,0.42057138041463,2.5804033092037,2.240404040404,0.41580569905016,0.1,0.105,189.1776,1263.7,0.38696326952923,0.86,17.732558139535,0.29,0.1962,0.49096971380939,0.01,0.9011,0,167,1263.7,0,0,231.3,0.096358940176637,-12.1,-0.0050408265289119,0,2.9211742949607,0.5463467358409,0.16113981003166,0.52645392434594,42.2371,0.18251696954221,2400.4,1.3857167904192,0.53467406380028,499.4,15.25,0,2774700,2373.2,127.2,9.934748427673,2373.2,1.05,2.9211742949607
"3",2010-02-01,94,1.04,0.4835,0,434.5,792.3,53.9,347,0.15704199855177,0.15559840365903,0.43796541713997,-3.4857,0.54291623578076,9.6278867102397,52.9,0,0,382.6,229.3343,435.5,0.40059,0.40047021943574,1862.6,21.286857142857,0.78846886508911,4.868269733403,4.2769230769231,0.83520918344469,0.18,0.105,231.8199,2209.6,0.31755648113089,2.91,8.46735395189,0.305,0.2646,0.20523364485981,0.008,0.9253,0,87.5,2209.6,0,0,229.5,0.10291018339985,-58.8,-0.02636653064885,0,5.0853855005754,0.53488259501331,0.1715618133716,0.99080758710372,-2.4857,-0.010838569373571,2230.1,2.62096304,0.52819332566168,464.5,24.64,0,3604808,2362.3,248,8.9096774193548,2362.3,1.05,5.0853855005754
"4",2009-02-01,67,0.95,0.4886,0,355.1,657.9,83,228.5,0.10220969762033,0.12118801378945,0.34731722146223,-1.2373,0.34383954154728,14.963855421687,45.8,0,0,248.3,149.1166,294.1,0.39945,NA,2007.1,15.853870458136,0.94728148008307,8.0833668948852,6.8245494729684,1.0644921771413,0.16,0.1,113.1539,2235.6,0.37847697218422,3.4,10.014705882353,0.365,0.1796,0.47000983284169,0.007,NA,0,126.6,2235.6,0,0,149.4,0.079236276849642,-10,-0.0053036329885972,0,6.295691354548,0.93524096385542,0.13168920710687,1.1856801909308,35.9627,0.24117147832476,1885.5,1.1778559636651,0.42072655589975,405.9,34.05,0,3149710,2118.8,201.1,11.116857284933,2118.8,1.05,6.295691354548
"5",2008-02-01,66.7,1.66,0.4407,0,197.3,514.2,82.3,111.9,0.10447203809168,0.07033754478597,0.21761960326721,3.0276,0.36305877013842,8.2902476780186,36.8,0,0,207.4,128.2064,244.2,0.38184,NA,959.2,11.231850117096,0.53685565567807,4.6248794599807,3.9279279279279,0.6029291595952,0.19,0.155,79.6787,1071.1,0.41579152080902,2.3,7,0.47,0.3077,0.49839743589744,0.012,NA,0,85.4,1071.1,0,0,129.2,0.081211892639386,-24.6,-0.015462945502546,0,5.4287886467309,0.43632882515887,0.13036645923691,0.67326670438117,48.5276,0.37851192128934,1590.9,1.5012457142857,0.65484034465281,345.8,16.1,0,1942078,1786.7,145.9,7.3413296778615,1786.7,1,5.4287886467309
"6",2007-02-01,77.5,1.6,0.4271,0,312.1,581.2,44.9,273.3,0.14531050616759,0.19339088593264,0.47023399862354,2.5918,0.44954343245142,18.189555125725,30,0,0,162.5,97.9339,192.5,0.39733,NA,1607.5,41.430412371134,1.0671136484334,9.8923076923077,8.3506493506494,1.1374893857911,0.185,0.14,80.4421,1880.8,0.30213351686167,1.77,14.734463276836,0.565,0.228,0.27087901136137,0.018,NA,0.0024088093599449,38.8,1880.8,0,0,103.4,0.073167279932069,-39.3,-0.027809227285593,0,6.0262736302467,0.98321919598515,0.11498726294934,1.3308802717238,17.4918,0.17860847416706,1413.2,2.524068943299,0.33130406920859,289.7,26.08,0,2507600,1506.4,119.9,15.686405337781,1506.4,1.2,6.0262736302467
"7",2006-02-01,58.1,1.49,0.4927,0,238.3,405.8,46.7,182.4,0.11077371553504,0.18917237087741,0.4494825036964,-0.0328,0.48711183275827,19.579072532699,16.6,0,0,136,83.2742,152.6,0.38769,NA,1464.2,26.19320214669,1.143191755153,10.766176470588,9.5950196592398,1.5185646131508,0.19,0.17,53.207,1646.6,0.30236569738788,2.05,15.058536585366,NA,0.1744,0.22078402366864,0.029,NA,0.0061606702809266,55.9,1646.6,0,0,84.1,0.087222567931964,0.1,0.00010371292263017,0,6.9097775912715,1.030477501721,0.14104957477702,1.7077369840282,30.0672,0.36106235702282,964.2,1.4896987477639,0.35291649181704,184,30.87,0,692000,1280.8,NA,NA,1280.8,1.5,6.9097775912715
"8",2005-02-01,58.1,1.27,0.5924,0,NA,405.8,46.7,182.4,0.12558523822638,0.1663929939792,0.4494825036964,0.0137,0.42876434841323,17.269916765755,16.6,0,0,135.9364,83.2352,152.5364,0.38769,NA,1270,22.719141323792,1.1585477102718,9.3426015864473,8.3258793767575,1.317154117403,0.215,0.18,53.1216,1452.4,0.30236569738788,1.56,16.833333333333,NA,0.1744,0.3253597458419,0.038,0,0.0061606702809266,55.9,1452.4,0,0,84.1,0.087222567931964,0.1,0.00010371292263017,0,6.0948384389425,0.80325194259326,0.14098365484339,1.5063264882804,30.1137,0.36179014484083,964.2,1.4890025326726,0.35291649181704,184,26.26,0,454500,1096.2,86.4,16.810185185185,1096.2,1.55,6.0948384389425
"9",2004-02-01,52,0,0,0,NA,307,35.9,138.4,0.083233100793842,0.15210462688207,NA,0.5953,NA,30.622467771639,12.5,0,0,100.6813,61.4055,113.1813,0.3901,NA,1524.4,32.228329809725,1.6753489394439,15.140845420153,13.468656041236,2.0742958225609,0.295,0.205,37.4102,1662.8,0.30162866449511,1.62,18.20987654321,NA,0.3582,0.34262784839787,0.1,0.9257,0,47.3,1662.8,0,0,54.3,0.073887603755613,2.5,0.0034018233773302,0,8.9542272482499,1.0380497549708,0.137,2.2626207647299,23.9953,0.39076808058937,734.9,1.2982140564482,0.29240710823909,141.5,29.5,0,320200,909.9,54.3,30.622467771639,909.9,1.55,8.9542272482499
"10",2003-02-01,35.3,0,0,0,NA,223,29.7,87.5,0.084459459459459,0.15883100381194,NA,32.6,0,33.099041533546,9,0,0,52.1,31.2584,61.1,0.40003,NA,948.5,NA,NA,18.20537428023,15.523731587561,1.7217280813215,0.2313,NA,10.5584,1036,0.31121076233184,1.39,19.568345323741,NA,0.6146,0.56517816869644,NA,0.7023,0,40.5,1036,0,0,31.3,0.056816119077873,-0.7,-0.0012706480304956,0,8.09375,1.4310004986401,0.094572517698312,1.8805590851334,20.7,0.6622212108686,550.9,0.77181325925926,0.24453125,110.5,27.2,0,892177,668.7,44.4,23.333333333333,668.7,NA,23.41975308642
