"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,23.7,2,0.5761,0.2782,65.9,110.6,6.5,6.7,0.031,0.0336,0.0606,4.36,0.8,22.73,3.5,0,0,14,9.13,17,0.3287,0.3333,209.6,2.48,0.89,15.41,12.26,1.05,1.77,216.3,0.3391,0.55,15.11,-0.01,0.125,0.2331,NA,0.2025,0.0036,84.6,190.9,0.1331,0.1174,8.4,0.0421,24.9,0.1248,0,2.9,0.0682,0.96,7.36,0.8057,199.5,0.1079,0.1275,11.8,8.31,25.4,49829,234.4,13.6,14.04,234.4,1.4,2.37
"2",2010-12-31,23.7,2.49,0.8634,0.29726368159204,56.5,92.5,2.9,7.6,0.034655722754218,0.054636951833214,0.082162162162162,3.1678,0.40537410238592,72.37037037037,2.6,0,0,5.9,3.6153,8.5,0.38724,0.38636363636364,211.7,2.907967032967,1.2344023323615,35.881355932203,24.905882352941,1.5219266714594,0.1475,219.3,0.36648648648649,NA,NA,-0.495,0.1706,0.52301886792453,NA,0.11,0.0064864864864865,72.8,195.4,0.12231320368475,0.10898312813498,2.7,0.01941049604601,13.6,0.097771387491014,0,3.458407079646,0.042415528396837,1.4047447879224,3.4678,0.95920346913516,139.1,0.049660494505494,0.047787610619469,10.9,8.48,23.9,22944,171.5,5,39.08,171.5,1.4,2.7276119402985
"3",2009-12-31,23.4,2.52,0.951,0.33333333333333,52.2,90.5,3.2,2.5,0.023629489603025,0.02125850340136,0.027624309392265,2.8296,0.38117770767613,12.075757575758,2.7,0,0,12.3,7.4298,15,0.39595,0.4,103.3,1.3627968337731,0.75733137829912,8.3983739837398,6.8866666666667,0.87840136054422,4.1002,105.8,0.3646408839779,NA,NA,NA,-0.24,0.47077922077922,NA,0.099,0,75.8,79.7,0.32747804265997,0.24669187145558,6.6,0.056122448979592,17.7,0.15051020408163,0,1.5268199233716,0.10459183673469,0.67772108843537,3.3296,0.44813926547763,117.6,0.098018667546174,0.12643678160919,9.1,4.42,26.1,14166,136.4,1.5,53.133333333333,136.4,1.45,1.3512132822478
"4",2008-12-31,23.4,2.7,0.9506,0.37848605577689,46.8,98.1,15,2.8,0.035487959442332,0.018111254851229,0.028542303771662,-2.4606,0.24405638544077,NA,1.6,0,0,-13.9216,-13.9216,-12.3216,0,NA,76.1,1.0496551724138,0.63575605680869,NA,NA,0.49223803363519,-24.861,78.9,0.33741080530071,NA,NA,NA,0.3734,0.73741794310722,NA,0.1224,0,72.5,50.4,0.56547619047619,0.36121673003802,-8.9,-0.057567917205692,10.9,0.070504527813713,NA,1.0769230769231,-0.090049288486417,0.32600258732212,10.9394,NA,154.6,-0.19202234482759,-0.19017094017094,9,2.4,28.5,26219,119.7,0.8,63,119.7,1.45,1.0478087649402
"5",2007-12-31,22.6,2.69,0.8332,0.27647867950481,52.6,84.2,11.1,4.8,0.10909090909091,0.044198895027624,0.057007125890736,-3.578,0.19203072491599,3.0641025641026,1.1,0,0,11.1,7.7037,12.2,0.30597,NA,39.2,0.57731958762887,0.25908790482485,3.5315315315315,3.2131147540984,0.3609576427256,1.2817,44,0.72209026128266,NA,NA,NA,0.1014,0.90249702734839,NA,0.1541,0,67.9,23.9,0.84100418410042,0.45681818181818,7.8,0.071823204419889,9.1,0.083793738489871,0,0.45437262357414,0.10220994475138,0.22007366482505,6.422,0.83362278605483,108.6,0.11345703976436,0.14828897338403,7.6,1.5,20.1,26334,151.3,-1.7,NA,151.3,1,0.60522696011004
"6",2006-12-31,22.6,-4.93,1.8946,0.27079934747145,44.7,71.6,4.1,2.9,0.015392781316348,0.029441624365482,0.040502793296089,-0.1601,0.10978570674549,21.746835443038,0.9,0,0,11.9,7.8857,12.8,0.33734,NA,185.5,3.1763698630137,1.847609561753,15.588235294118,14.4921875,1.8832487309645,4.8458,188.4,0.71648044692737,NA,NA,NA,0.218,0.5195246179966,NA,NA,0,58.4,171.8,0.09662398137369,0.088110403397028,7.9,0.080203045685279,8.3,0.084263959390863,0,3.8434004474273,0.12081218274112,1.7441624365482,3.0399,0.38549731920236,98.5,0.13502832191781,0.17673378076063,5.8,7.4,16.6,27998,100.4,9.2,18.673913043478,100.4,1.3,3.073409461664
"7",2005-12-31,22.4,-4.2,2.0554,0.38054607508532,36.3,66.9,3.9,1.7,0.018701870187019,0.021144278606965,0.025411061285501,-0.7466,0.10898122020045,7,0.8,0,0,11.5,10.3096,12.3,0.10351,NA,89.2,1.5676625659051,1.0217640320733,7.7565217391304,7.2520325203252,1.1094527363184,7.9563,90.9,0.72496263079223,NA,NA,0.27,0.344,0.95652173913044,NA,NA,0,56.9,68.6,0.32507288629738,0.24532453245325,9.8,0.12189054726368,8.7,0.10820895522388,0,1.8898071625344,0.14303482587065,0.85323383084577,2.3534,0.22826784934241,80.4,0.18118866432337,0.26997245179063,4.5,3.15,22.3,23515,87.3,9,7.6222222222222,87.3,1.4,1.5511945392491
"8",2004-12-31,22.4,3.7,3.4921,0.50127226463104,NA,51,2.2,0.6,0.011834319526627,0.0080321285140562,0.011764705882353,-1.5697,0.21190687551903,103.33333333333,1.1,0,0,1.9677,1.9677,3.0677,0,NA,50.1,1.2945736434108,0.6706827309237,25.460680780997,16.331240587534,0.83779264214047,2.4375,50.7,0.89019607843137,NA,NA,NA,0.5094,NA,NA,0,0,38.7,31,0.63548387096774,0.38856015779093,0.3,0.0050167224080268,-6.3,-0.10535117056856,0,1.5816326530612,0.032905351170569,0.51839464882943,-0.4697,-0.23871672145282,59.8,0.050845994832041,0.01530612244898,4.3,1.46,19.7,36800,74.7,6.8,4.5588235294118,74.7,1.5,1.2900763358779
"9",2003-12-31,22.4,0,0,0.40161725067385,NA,52.7,0.5,0.2,0.011363636363636,0.004424778761062,NA,-1.5697,NA,NA,1.4,0,0,-1.1365,-1.1365,0.2635,0,NA,17.4,0.47154471544715,0.38495575221239,NA,66.039168058297,0.43939393939394,1.3332,17.6,0.92220113851992,NA,NA,NA,0.0784,NA,NA,0,0,36.9,2.7,5.5185185185185,0.84659090909091,-3.5,-0.088383838383838,-11.1,-0.28030303030303,NA,0.12162162162162,-0.0287,0.068181818181818,-2.4697,2.1730343238104,39.6,-0.0308,-0.15765765765766,4.4,0.14,14.9,82250,45.2,-2.7,NA,45.2,1.5,0.47439353099731
"10",2002-12-31,22.4,0,0,0.43566591422122,NA,55.7,1,0.2,0.0099009900990099,0.0061162079510703,NA,2.6,0,NA,1.4,0,0,-0.7,-0.7,0.7,0,NA,20,NA,NA,NA,28.571428571429,0.61162079510703,-0.3,20.2,0.19389587073609,NA,NA,NA,-0.2304,NA,NA,0.0045,0,44.1,0.9,21.444444444444,0.95544554455446,-2.1,-0.064220183486238,-5.3,-0.16207951070336,NA,0.036,-0.021406727828746,0.027522935779817,-0.4,NA,32.7,-0.015873015873016,-0.084,3.7,0.07,19.3,16043,35.5,0.3,3,35.5,NA,0.45351473922903
"11",2001-12-31,NA,NA,NA,0.4361,NA,55.7,1,0.2,0.0099009900990099,0.0061162079510703,NA,-0.0783,NA,NA,1.4,0,0,0.668,0.668,2.068,0,NA,20,NA,NA,29.940119760479,9.6711798839458,0.61162079510703,1.1463,20.2,0.19389587073609,NA,NA,NA,-0.2304,NA,0,0.0073,0,44.154,0.9,21.444444444444,0.95544554455446,-2.1,-0.064220183486238,-5.259,-0.16082568807339,NA,0.036,0.020428134556575,0.027522935779817,-0.4783,-0.71601796407186,NA,0.015128867146804,-0.084,3.7,0.04,19.3,NA,32.7,-0.4,NA,33.2,NA,0.45748969515786
