"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,8.6,0.4,0.1538,0.5156,113,378.7,15.8,0.3,0.001,0.0046,8e-04,0.14,0.65,28.1,7.4,0.037,6.97,22,13.14,30,0.4083,0.4123,308.3,1.32,4.42,13.89,10.42,4.74,NA,4.6,308.6,0.9443,1.14,19.68,0.025,0.02,0.1461,NA,0.3864,0,233,188.3,0.6389,0.3898,6.7,0.1029,2,0.0307,0.7108,1.67,NA,0.341,2.89,8.54,0.6502,65.1,0.0564,0.0593,0,22.43,120.3,26796,69.7,9.8,19.21,69.7,0.55,1.32
"2",2010-12-31,7.6,0.44,0.1541,0.58795493934142,95.1,371.5,19.6,0.2,0.00067340067340067,0.0030816640986132,0.00053835800807537,0,0.8,21.223684210526,7,0.0411,6.6294,23.2,13.9179,30.2,0.40009,0.40157480314961,296.8,1.2870771899393,4.5731895223421,12.793103448276,9.8278145695364,4.5731895223421,NA,1.3179,297,0.92974427994616,NA,NA,0.055,0.0454,0.13741109530583,NA,0.3315,0,230.6,161.3,0.84128952262864,0.45690235690236,7.6,0.1171032357473,2.5,0.038520801232666,0.87229342105263,1.6961093585699,NA,0.35747303543914,2.4853620955316,12.6,0.90530821002461,64.9,0.060355212489159,0.079915878023134,0,18.83,135.7,17905,64.9,6.3,25.603174603175,64.9,0.55,1.2868284228769
"3",2009-12-31,7.5,0.44,0.188,0.59448643841707,91.2,358.9,17.4,0.5,0.0017998560115191,0.0082101806239737,0.0013931457230426,0.2305,0.79787234042553,19.739726027397,6.6,0,0,21.9,13.1199,28.5,0.40092,0.39669421487603,277.3,1.2357397504456,4.2992248062015,12.662100456621,9.7298245614035,4.5533661740558,NA,2.0893,277.8,0.94204513792143,1.02,18.578431372549,0.05,0.0688,0.087729039422543,NA,0.3207,0,224.4,144.1,0.92782789729355,0.4812814974802,7.3,0.11986863711002,3.9,0.064039408866995,0,1.5800438596491,NA,0.35960591133005,2.3661740558292,11.0305,0.84075200481844,60.9,0.058466363636364,0.080043859649123,0,18.95,133.7,11656,64.5,7.9,18.240506329114,64.5,0.6,1.2352156514006
"4",2008-12-31,7.4,0.4,0.1783,0.59724770642202,87.8,348.7,45.1,2.9,0.01106447920641,0.051601423487544,0.0083166045311156,-0.0833,0.53841839596186,20.609375,5.8,0,0,19.5,11.5399,25.3,0.40821,NA,259.2,1.2050209205021,4.3344481605351,13.292307692308,10.245059288538,4.6120996441281,0.06,-27.6768,262.1,0.93977631201606,0.95,19.273684210526,0.055,0.0551,0.18769816106531,NA,0.3095,0,215.1,131.9,0.98711144806672,0.49675696299123,6.4,0.11387900355872,-1.3,-0.023131672597865,0,1.502277904328,3.4348958333333,0.34697508896797,2.346975088968,39.2167,3.3983577835907,56.2,0.053649023709902,0.072892938496583,0,18.31,130.2,15863,59.8,7,18.842857142857,59.8,0.6,1.2022935779816
"5",2007-12-31,7.3,0.27,0.1712,0.52669632925473,85.1,294.6,26.7,2.5,0.012468827930175,0.047619047619048,0.0084860828241684,-0.127,0.5607476635514,16.793650793651,5.2,0,0,18.7,11.2647,23.9,0.39761,NA,198,1.1167512690355,3.6131386861314,10.588235294118,8.2845188284519,3.7714285714286,0.05,-10.1083,200.5,0.93143245078072,0.83,19.144578313253,0.06,-0.0735,0.19529557412566,NA,0.2378,0,177.3,105.8,0.89508506616257,0.47231920199501,6.3,0.12,2.9,0.055238095238095,0,1.2432432432432,3.3587301587302,0.35619047619048,2.0152380952381,21.373,1.8973399790791,52.5,0.06353464749013,0.074030552291422,NA,15.89,94.7,22093,54.8,6.2,17.064516129032,54.8,0.6,1.115127919911
"6",2006-12-31,6.1,0.12,0.184,0.62340036563071,61.8,269.4,30.9,1.4,0.0058187863674148,0.029598308668076,0.0051967334818114,0,0.43478260869565,22.672131147541,4.6,0.030433839479393,4.209,16.9,10.3033,21.5,0.39034,NA,239.2,1.4701905347265,4.8519269776876,14.153846153846,11.125581395349,5.0570824524313,0.05,-15.9967,240.6,0.94097995545657,NA,NA,0.06,0.0326,0.061905985101464,NA,0.1367,0,162.7,138.3,0.73969631236443,0.42518703241895,6.1,0.12896405919662,0,0,0.69,2.2378640776699,4.5344262295082,0.35729386892178,2.9238900634249,26.3,2.5525916375545,47.3,0.063326699446835,0.098705501618123,NA,18.95,102.3,4863,49.3,6.2,22.306451612903,49.3,0.5,1.4661791590494
"7",2005-12-31,6,0.79,0.204,0.62394274560833,57.8,243.9,20.2,1.4,0.0065116279069767,0.030905077262693,0.005740057400574,-0.0141,0.3921568627451,23.82,4.4,0.032241813602015,3.84,40.9,24.5682,45.3,0.39931,NA,213.6,1.4024950755089,4.5543710021322,5.2224938875306,4.7152317880795,4.7152317880795,0.07,8.7823,215,0.93439934399344,NA,NA,0.035,0.1276,0.11005046361896,NA,0.1297,0,152.3,119.1,0.80520570948782,0.44604651162791,5,0.11037527593819,0.4,0.0088300220750552,0.768,2.060553633218,3.4028571428571,0.90286975717439,2.6291390728477,15.7859,0.64253215422801,45.3,0.16131464871963,0.086505190311419,NA,19.66,95.9,4865,46.9,6.2,19.209677419355,46.9,0.5,1.3988288874431
"8",2004-12-31,4,0.27,0.1961,0.63253012048193,NA,227.4,28.6,1.2,0.0056127221702526,0.027272727272727,0.0052770448548813,0.2222,0.27536970933197,27.113636363636,4,0.030067567567568,3.56,35.6,21.485,39.6,0.39649,NA,212.6,1.4345479082321,4.8318181818182,5.9719101123596,5.3686868686869,5.3686868686869,0.085,-3.3373,213.8,0.93447669305189,NA,NA,0.035,0.0754,0.13611250627825,NA,0.1335,0,148.2,119.3,0.79212070410729,0.44200187090739,4.4,0.11111111111111,2,0.05050505050505,0.80909090909091,2.1730418943534,3.1898395721925,0.8989898989899,3.0126262626263,24.8222,1.1553303726674,39.6,0.14497271255061,0.080145719489982,0,29.6,94.5,2440,44,5.1,23.392156862745,44,0.5,1.4310575635877
"9",2003-12-31,3.9,0.34,0.1842,0.64222674813306,NA,216.3,24.6,1.1,0.0053658536585366,0.028571428571429,NA,0.1455,0.36916395222584,28.307692307692,3.6,0.03022759601707,3.315,36.3,22.555,39.9,0.37865,NA,203.9,1.3946648426813,5.2961038961039,5.6170798898072,5.1102756892231,5.6170798898072,0.085,1.4096,205,0.87008784096163,1.14,24.666666666667,0.055,0.0386,0.13798977853492,NA,0.119,0,146.2,110.4,0.85688405797101,0.46146341463415,3.9,0.10743801652893,2.4,0.066115702479339,0.85,2.0948766603416,3.3303167420814,1,3.0413223140496,21.1455,0.93750608991018,36.3,0.154275,0.074003795066414,0,28.12,94.6,100,38.5,4.1,26.926829268293,38.5,0.55,1.3917175831636
"10",2002-12-31,3.9,0.14,0.1971,0.57154811715481,NA,183.1,18.4,0.9,0.0050505050505051,0.026011560693642,NA,-6.2,0.1596,26.166666666667,3.2,0.028744313011829,3.159,31.2,18.5943,34.4,0.40403,NA,177.3,NA,NA,5.6826923076923,5.1540697674419,5.1242774566474,0.08,3.3943,178.2,0.91534680502458,1.06,26.679245283019,NA,-0.1429,0.21867764869793,NA,0.113,0,118.7,109.9,0.62147406733394,0.38327721661055,4.2,0.12138728323699,5.9,0.17052023121387,0.75214285714286,2.146484375,3.2708333333333,0.90173410404624,3.1763005780347,15.2,0.81745639407938,34.6,0.15664923336142,0.08203125,0,28.28,68.3,3672,36.1,4.4,24.977272727273,36.1,0.55,1.4936815501264
