"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Non-Cash Working Capital","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,174.6,1.43,0.3014,0.2912,2865.8,21924.2,0,455,0.1325,0.0208,NA,0.8,16.15,0,0.0248,55.87,600,456.97,600,0.2384,0.2383,2977.7,0.83,4.96,4.96,NA,456.97,3432.7,0,1.06,12.38,NA,NA,0.1419,0.014,0.7678,0.0455,3587.9,2255.6,0.5219,0.3429,139.7,0,0.322,0.79,NA,0,0,NA,0.1274,0.0487,65.7,13.12,1177.1,872269,NA,173.5,13,NA,1,0.85
"2",2010-12-31,173.9,0.99,0.3581,0.30915930364798,3158.8,21785.6,0,319.5,0.094406524244305,0.014665650705053,NA,0.69812901424183,NA,0,0.0035,6.8974,722.4,722.4,722.4,0,NA,3064.8,0.72063768252251,4.2425249169435,4.2425249169435,NA,722.4,3384.3,0,0.86,12.988372093023,NA,NA,0.28184059161873,0.019,0.7465,0.046691392479436,4252.9,1970.7,0.71730857055869,0.41769346689123,-0.9,0,NA,0.62387615550209,NA,0,0,NA,0.16986056573162,-0.00028491832341396,106,11.17,1413.6,1427269,NA,112.5,17.517333333333,NA,1,0.74015834135246
"3",2009-12-31,128.4,0.3,0.3647,0.46729642472797,2227.5,22874.1,0,770.8,0.16724164117251,0.033697500666693,NA,0.68549492733754,NA,0,0.0026,6.9027,867,867,867,0,NA,3838.1,1.1253115196294,4.4268742791234,4.4268742791234,0.09,867,4608.9,0,0.42,36.071428571429,-0.18,NA,0.20890538033395,0.02,0.7859,0.044679353504619,3410.7,2654.9,0.73599758936306,0.42396233374558,-131.9,0,NA,1.191874298541,NA,0,0,NA,0.2542000175917,-0.059214365881033,160.9,15.15,1954,1169590,NA,-190.6,NA,NA,1,1.1022121248356
"4",2008-12-31,128.1,0.14,0.3329,0.44008415876693,2368.5,24192.1,0,553.3,0.16874046965538,0.022871102550006,NA,0.45659357164314,8.4118694362018,0,0.018,25.5132,839.6,636.2825,839.6,0.24216,NA,2725.7,0.74132397737163,3.2464268699381,3.2464268699381,-0.02,NA,3279,0,0.66,16.681818181818,0.015,NA,0.41469816272966,0.036,0.6286,0.041720230984495,3676.8,1417.4,1.3133907153944,0.5677340652638,168.5,0,0.15141364985163,0.59843782985012,NA,NA,NA,NA,0.17305332463011,0.07114207304201,263.3,11.01,1861.6,1776863,NA,51.1,27.737769080235,NA,0.95,0.77515897969315
"5",2007-12-31,127.3,0.12,0.2578,0.44458219096436,2329.7,21592.1,0,553,0.12701256344886,0.02561121891803,NA,0.62063615205586,8.7092372288314,0,0.065463018761801,162.944,913.7,622.8419,913.7,0.31833,NA,3800.9,1.0437731703968,4.1598993104958,4.1598993104958,0.015,NA,4353.9,0,1.56,13.416666666667,0.07,NA,0.38215597321236,0.034,0.6047,0.047304338160716,3641.5,2489.1,0.7491864529348,0.42830565699717,285.8,0,0.57013296011197,1.0684208267159,5.8061581525542,NA,NA,NA,0.171039922834,0.12267673949436,403.4,20.93,1864.8,855494,NA,216.5,11.496997690531,NA,1,1.0380021456669
"6",2006-12-31,130.4,0.83,0.1338,0.47979891581337,2245.5,20861.4,0,485.3,0.087232398037136,0.02326306000556,NA,0.8,11.030322173089,0,0.04630204455644,161.696,927.5,652.96,927.5,0.296,NA,5078,1.3253986897398,5.4749326145553,5.4749326145553,0.06,NA,5563.3,0,2.33,10.793991416309,0.09,NA,0.16856154226396,0.037,0.4897,0.047019854851544,3831.3,3492.2,0.59306454384056,0.37227904301404,316.6,0,0.51072646873026,1.5551992874638,1.8383870288482,NA,NA,NA,0.17042779213322,0.14099309730572,364,25.15,2071.1,1227941,NA,295.4,11.821936357481,NA,0.9,1.2888152712783
"7",2005-12-31,135.7,0.61,0.1297,0.59020005287741,2325,22100.1,0,460.2,0.058267178182094,0.020823435188076,NA,0.8,14.208619612742,0,0.034599085633902,157.412,897.1,611.2839,897.1,0.3186,NA,7437.9,1.4267162833522,8.2910489354587,8.2910489354587,0.07,NA,7898.1,0,2.44,14.295081967213,0.095,NA,0.074448783787939,0.043,0.4287,0,5213.3,4549.6,0.73599876912256,0.42396272521239,320.2,0,0.4916052467208,1.9568172043011,2.0298028018203,NA,NA,NA,0.11725470239579,0.13772043010753,213.1,34.88,3348.5,535712,NA,329.7,13.799211404307,NA,0.9,1.3921036397286
"8",2004-12-31,130,0.68,0.1583,0.5635128410394,NA,20520.1,0,389.3,0.057281167694187,0.01897164243839,0,0.85912823752369,16.22841656988,0,0.033179723502304,140.4,NA,NA,NA,0.30256,NA,6407,1.5137267873175,NA,NA,0.095,NA,6796.3,0,2.6,12.519230769231,0.14,0,0.099641353500702,0.039,0.4143,0,4232.6,4191.8,0.62133212462427,0.38322322440151,258.3,0,0.54355400696864,2.0778229404184,1.7082543757768,0,NA,NA,NA,0.12803608605135,118.2,32.55,2604.5,323766,NA,289.7,14.469451156369,0,0.9,1.4704558731258
"9",2003-12-31,110.2,0.5,0.1595,0.57870399300131,NA,15247.9,0,389.1,0.070403676696763,NA,0,0.6269592476489,16.066899868824,0,0.030358227079539,110.2,NA,NA,NA,0.28926,NA,5137.6,1.8273519473591,NA,NA,0.095,NA,5526.7,0,2.35,14.017021276596,0.15,0,0.13151077284503,0.04,0.3791,0,2811.5,3674.5,0.50406858075929,0.3351367000199,228.7,0,0.4818539571491,2.7250815781667,1.6912526177709,0,NA,NA,NA,0.16960842479976,123.1,32.94,1852.2,130759,NA,228.7,16.066899868824,0,0.95,1.7267699806286
"10",2002-12-31,74.3,0.5,0.2021,0.62240294431913,NA,15043.3,0,430.7,0.082117866880207,NA,0,0.5409,14.940199335548,0,0.032100130245561,101.048,650.5,462.5771,650.5,0.28889,NA,4814.2,NA,7.4007686395081,7.4007686395081,0.115,462.5771,5244.9,0,3.13,13.738019169329,NA,0,0.14666666666667,0.0409,0.3789,0,2938.5,3147.9,0.66615839130849,0.39981696505177,210.7,0,0.47958234456573,2.474375098255,1.2991477683085,0,0,0,0.15741945039986,0.16561861342556,169,43,2097,99548,0,NA,NA,0,0.9,1.6383188701719
"11",2001-12-31,NA,0.57,0.2876,0.5076,NA,13604.4,0,588,0.15852902321318,NA,0,0.3456,14.51643454039,0,0.0355,92.5023,NA,NA,NA,0.2848,NA,3121.1,NA,NA,NA,0.11,NA,3709.1,0,2.93,11.880546075085,0.09,NA,0.17477582071768,0.04,0.3807,0,1585.817,2605.7,0.42345626894884,0.29748456498881,179.5,0,0.51533342618384,2.4343236173393,1.3196758673082,0,NA,NA,NA,0.16769431988042,298.9,34.81,1103.4,130300,0,0,NA,0,1,2.338920569019
"12",2000-12-31,NA,0.95,0.3326,0.1008652657602,NA,13128.4,0,368.2,0.14972957586109,NA,NA,0.85688514732411,13.908928571429,0,0.035076817734412,81.964,NA,NA,NA,0.26907,NA,2090.9,NA,NA,NA,0.1,NA,2459.1,0,NA,11.847457627119,NA,NA,0.12507608034084,0.0459,0.3796,NA,722.9,2336.7,0.052381563743741,0.049774307673539,168,0,0.48788095238095,2.4122019200991,139.08928571429,0,NA,NA,NA,0.17342830597708,NA,34.95,122.4,NA,NA,172.9,13.514748409485,NA,NA,2.253780588397
"13",1999-12-31,NA,0.95,0.3455,0.026014345359169,NA,12519.9,0,284.7,0.13928571428571,NA,NA,0.41244573082489,12.248029108551,0,0.039342476605436,79.46,514.7,357.7371,357.7371,0.30496,NA,1759.3,NA,3.4181076355158,4.9178574406017,0.135,357.7371,2044,0,NA,NA,NA,0,0.22529705163017,0.05,0.316,NA,649.4,2019.7,0.012031489825222,0.011888454011742,NA,NA,0.48186779866586,2.2199384480105,0.9072614154482,NA,0,NA,0.55087324915307,0.21883930534183,314.1,NA,NA,NA,NA,199.1,10.14414866901,0,NA,2.1882025479071
