"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,442.4,2.2,0.4966,0.0083,1082.4,1526.6,84.6,332.5,0.1249,0.1844,0.2178,-69.35,0.8,8.42,77,0,0,372,307.56,449,0.1737,0.1737,2328.7,3.07,1.58,6.26,5.18,1.29,0.105,0.04,369.31,2661.2,0.1684,0.3,21.83,NA,NA,0.4216,0.031,0.7956,0.0578,759,2652.1,0.0034,0.0034,315,0.1747,376.1,0.2086,0,2.45,0.8,0.2064,1.47,-61.75,-0.2008,1803.1,0.4052,0.291,536.1,6.55,9.1,7802213,1470.6,127.2,20.85,1470.6,1.05,2.44
"2",2010-12-31,456.8,1.24,0.4333,0.0038781687476353,1053.1,1650,99.8,521,0.14058283864004,0.31689070007907,0.31575757575758,26.5837,0.54811908608354,16.541108132261,66.5,0,0,228,215.5216,294.5,0.05473,0.054898648648649,3185,5.9399477806788,1.696675900277,13.969298245614,10.81494057725,1.937230095493,0.35,0.085,155.6379,3706,0.15763636363636,0.86,9.4186046511628,NA,0.344,0.39072847682119,0.027,0.7877,0.043818181818182,536.2,3701.9,0.001107539371674,0.0011063140852671,223.8,0.13612310686698,187.5,0.11404415789794,0,3.5152407178805,0.47260308949317,0.13867769600389,2.251627029986,59.8837,0.27785476871089,1644.1,0.40194248414771,0.21251543063337,500.2,8.1,4.1,8821251,1877.2,450.7,8.213667628134,1877.2,0.95,3.5054861899357
"3",2009-12-31,454.6,0.84,0.4805,0.11054223877124,764.4,1392.8,31.8,476.6,0.084142509092193,0.39152222130946,0.34218839747272,52.7037,0.46826222684703,1796.5161290323,70.6,0,0,-20.4,-20.4,50.2,0,NA,5187.6,13.551724137931,3.3910315073866,NA,103.33864541833,4.2615624743284,0.525,0.065,-34.3037,5664.2,0.14589316484779,0.4,30.8,NA,-0.2327,0.49440188568061,0.029,0.793,0.061961516369902,382.8,5569.2,0.017058105293399,0.016772006638184,3.1,0.0025466195678962,205.3,0.16865193460938,0,7.2857142857143,34.21935483871,-0.016758399737123,4.5750431282346,13.9037,NA,1217.3,-0.053291536050157,0.0040554683411826,433.4,12.32,95,9025718,1529.8,124.8,44.625,1529.8,0.9,6.5908773562951
"4",2008-12-31,448.9,0.57,0.4275,0.15309893358674,802.1,1530.7,44.4,440.6,0.20554207874604,0.28121010977789,0.28784216371595,-50.6357,0.31812865497076,49.226600985222,134.8,0,0,56.3,45.7404,191.1,0.18756,NA,1703,3.3622902270484,1.4094181908466,30.248667850799,8.9115646258503,1.0869287720194,0.345,0.045,186.7761,2143.6,0.25027765074802,0.02,230.5,NA,-0.0549,0.251629726206,0.029,0.7605,0.055595479192526,506.5,1998.6,0.072550785549885,0.0676432170181,40.6,0.025912688281848,221.3,0.14124329844269,0,2.4917092631841,1.4268579995716,0.035933112075568,1.275593566505,-141.0357,-3.0833969275917,1566.8,0.090306756169793,0.050617130033662,534.2,4.61,145,4376247,1208.3,-18,NA,1208.3,0.85,2.2633301657692
"5",2007-12-31,443.8,1.04,0.4919,0.16514598540146,823.5,1702.8,69.7,429.9,0.29324693042292,0.26226207906296,0.25246652572234,-1.9942,0.32526936369181,32.017199017199,128.8,0,0,63.9,38.3458,192.7,0.39991,NA,1036.1,1.8618149146451,0.62502262170477,16.214397496088,5.3767514270887,0.6320766227428,NA,0.045,99.44,1466,0.34038054968288,0.17,18.411764705882,NA,0.0806,0.30458970792768,0.025,0.6773,0.022316185106883,556.5,1303.1,0.12500959251017,0.11111869031378,40.7,0.024829184968277,176.7,0.10779648609078,0,1.5823922282939,NA,0.03898243045388,0.79496095656418,-61.0942,-1.5932465370852,1639.2,0.068905212938005,0.049423193685489,516.3,3.13,162.9,2307875,1657.7,38.8,33.585051546392,1657.7,1,1.4862124898621
"6",2006-12-31,488.8,3.02,0.5006,0.093423303554457,953.9,1818.5,0,466.7,0.22461257098855,0.27931055119995,0.2566400879846,4.539,0.52736715940871,67.791095890411,225,0,0,59.4,39.3305,284.4,0.33787,NA,1611.1,2.7516652433817,0.99297380585516,27.122895622896,5.6649085794655,0.96421090430307,NA,0.055,259.7915,2077.8,0.28281550728623,0.24,17.458333333333,NA,-0.0141,0.20631970260223,0.124,0.7253,0.015342315094858,585.5,1979.5,0.049659004799192,0.047309654442198,29.2,0.017475611945658,156.7,0.093781794242624,0,2.0751651116469,NA,0.035549703752469,1.1846908851517,-220.461,-5.6053403297993,1670.9,0.06717424765158,0.030611175175595,502.7,4.19,98.3,14136382,1622.5,30,65.983333333333,1622.5,1.65,1.9747196350504
"7",2005-12-31,483.4,3.75,0.5476,0.29210268764586,940.3,1927.3,169.1,348.3,0.10275245596955,0.20785343438563,0.18071914076688,-286.8503,0.68663257852447,NA,290.7,0,0,-35.1,-35.1,255.6,0,NA,3041.4,3.1034693877551,0.91245649825993,NA,11.899061032864,1.8150026854449,NA,0.075,373.3503,3389.7,0.46225289264775,0.2,30.25,NA,0.0043,0.35940803382664,0.124,0.592,0.019561043947491,980,3001.7,0.12926008595129,0.11446440687966,-74.5,-0.044459032046309,290,0.17306200393865,NA,3.1922790598745,NA,-0.020946470131885,1.7913110938712,-408.4503,NA,1675.7,-0.035816326530612,-0.079230032968202,468.9,6.05,388,3680964,3333.2,-20.2,NA,3333.2,2.35,2.5519084544154
"8",2004-12-31,477.9,6.09,1.0764,0.29511731135067,NA,2323.5,241.4,405.2,0.20289419658505,0.24425824341431,0.17439208091242,1.0841,1.1315496098105,NA,298.4,0,0,45.8924,18.357,344.2924,0.6,NA,1591.9,1.3585082778631,0.95961179094581,34.687668260468,4.6236862801411,0.96496332666545,NA,0.09,74.2728,1997.1,0.51857112115343,-0.08,NA,NA,0.2271,0.34333333333333,0.125,0.3506,0.020098988594792,1171.8,1531.7,0.30384540053535,0.2330379049622,-12,-0.0072740498272413,194.4,0.11783960720131,NA,1.377923713566,NA,0.027818627629266,0.92847184336546,-55.9159,-3.0460320117207,1649.7,0.015665605052057,-0.01079525008996,422,3.09,465.4,6110879,1658.9,-12,NA,1658.9,2.4,1.2663918833228
"9",2003-12-31,473,5.66,1.13,0.33518349222933,NA,2154.7,64.4,431.1,0.18262306193341,0.26581576026637,NA,31.0109,1.0017699115044,NA,279,0,0,198.7916,198.7916,477.7916,0,NA,1929.5,1.7536126510952,1.1897274633124,9.7061425721927,4.0383712029788,1.4500977002856,NA,0.13,382.3808,2360.6,0.52044368125493,0.13,29.769230769231,NA,0.0979,0.45471180237877,0.127,0.3909,0,1100.3,1847.3,0.27786499215071,0.21744471744472,-128.6,-0.096648128663761,141.7,0.10649331128814,NA,1.8144583046852,NA,0.1494,1.3883210581692,-183.5891,-0.92352549510077,1330.6,0.1806703989821,-0.12631372163835,386.4,3.87,513.3,3573120,1621.8,0,NA,1621.8,2.25,1.5414653258456
"10",2002-12-31,466.1,5.11,1.2175,0.43607797497818,NA,2302.6,104.2,445.8,0.12642504679258,0.37342938515664,NA,-20,0.9226,NA,253.6,0,0,-148.9,-148.9,104.7,0,NA,3080.4,NA,NA,NA,29.421203438395,2.5803317138549,0.54,0.1,0.5,3526.2,0.45557196212977,-0.01,NA,NA,-0.1891,0.65814202450339,0.124,0.2956,0,1272.7,2776.8,0.26987899740709,0.21252339629062,-149.4,-0.12514659071871,167.5,0.14030825933992,NA,2.8653389743061,NA,-0.12472776009382,2.3260177584185,-149.4,NA,1193.8,-0.11699536418638,-0.15416365700134,379.8,5.97,749.4,4938854,1254.7,NA,NA,1254.7,2.3,2.4203661507032
