"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2012-09-30,65.5,1.78,0.3541,0.301,1939.4,2943.8,785.1,77.9,0.0206,0.0989,0.0265,0,0.8,10.84,70.6,0,0,320,277.9,391,0.1313,0.1312,3707.8,1.37,4.71,11.59,9.5,4.71,NA,-436.6,3785.7,0.8619,4.81,9.52,0.26,0.185,0.1792,NA,0.845,0,2696.6,2950.6,0.283,0.2206,272.2,0.3457,161.2,0.2047,0,1.52,NA,0.4063,3.75,714.5,2.5711,787.4,0.1031,0.1404,49.8,45.79,835.1,513917,787.4,272.2,10.84,787.4,1.6,1.36
"2",2011-09-30,65,1.63,0.4304,0.24124317128036,1652.8,2375.4,514.9,295,0.09508460918614,0.45729344287707,0.12418961017092,0,0.8,9.4847258005153,43.6,0,0,333.5,278.9094,377.1,0.16369,0.16348522167488,2807.5,1.4907343492805,4.3520384436521,8.4182908545727,7.4449748077433,4.3520384436521,NA,-192.3906,3102.5,0.7945188178833,4.06,9.8004926108374,0.465,-0.0163,0.22898842476095,NA,0.848,0,1883.3,2577,0.20391928599146,0.16937953263497,271.7,0.4211750116261,12.2,0.018911796620679,0,1.5591723136496,NA,0.51697411254069,3.9947294993024,471.3,1.6897961321739,645.1,0.14809609993097,0.16438770571152,44.4,39.79,525.5,785730,645.1,271.7,9.4847258005153,645.1,1.55,1.4242758114126
"3",2010-09-30,64.4,1.44,0.5331,0.14374101618649,1370.1,1724.4,187.1,180.5,0.068200710345349,0.27743621272671,0.10467408953839,-0.0132,0.75032826861752,9.4031128404669,37,0,0,320.5,257.416,357.5,0.19683,0.196875,2466.1,1.7371794871795,3.7910837817064,7.6945397815913,6.8981818181818,3.7905010759299,NA,107.3292,2646.6,0.77940153096729,4.04,9.25,NA,0.1056,0.26125564729709,NA,0.8327,0,1419.6,2416.6,0.095175039311429,0.086903952240611,257,0.39501998155549,86,0.13218567476176,0,1.7638128603752,NA,0.49262219489702,3.7144174608054,150.0868,0.58305152041169,650.6,0.18132994153283,0.18757754908401,40.6,37.37,230,718468,650.5,257,9.4031128404669,650.5,1.6,1.6540216236485
"4",2009-09-30,64.2,1.31,0.4987,0.19966601321426,1102.3,1509.4,430.5,100.3,0.038335116954594,0.17101449275362,0.066450245130515,0,0.51333467014237,9.3394495412844,35.1,0,0,298.1,252.1568,333.2,0.15412,NA,2516.1,1.9703210649961,4.2900255754476,8.4404562227441,7.5513205282113,4.2900255754476,NA,-143.2432,2616.4,0.78461640386909,4.14,8.6594202898551,0.895,0.1102,0.5138966610707,NA,0.8535,0,1277,2341.4,0.11745109763389,0.10510625286653,250.7,0.42745098039216,91.4,0.15583972719523,0,2.1241041458768,NA,0.50826939471441,3.9921568627451,395.4,1.568071755725,586.5,0.19746031949883,0.22743354803592,31.6,35.85,275,1133314,586.5,252.8,9.2618670886076,586.5,1.6,1.899658752632
"5",2008-09-30,64,1.3,0.4417,0.16770247607774,843.7,1100,328.2,121.1,0.11599616858238,0.22996581845803,0.11009090909091,0.0241,0.52524337785828,4.0575673166202,34.8,0,0,244.4,215.1087,279.2,0.11985,NA,922.9,1.0339457763836,1.7528964862298,3.7761865793781,3.3055157593123,1.7525636156475,NA,-78.3154,1044,0.71618181818182,4.36,3.5045871559633,0.545,0.3009,0.66868261898501,NA,0.8356,0,892.6,874,0.19450800915332,0.16283524904215,215.4,0.40903911887581,126.9,0.24097987086973,0,1.0359132393031,NA,0.46410938093429,1.6597037599696,293.4241,1.3640738498724,526.6,0.24099110463814,0.25530401801588,31,15.28,170,1090176,526.5,215.5,4.0556844547564,526.5,1.45,1.029890500148
"6",2007-09-30,31,0.91,0.3006,0.12239433926181,458.9,593.8,78.5,32.3,0.010067637066359,0.11677512653652,0.054395419333109,-41.1605,0.50565535595476,39.650693568726,26.4,0,0,85.2,83.0811,111.6,0.02487,NA,3176,6.4737056665308,7.8789382287274,37.276995305164,28.458781362007,11.482284887925,0.6,72.1416,3208.3,0.73459077130347,4.06,25.152709359606,0.05,0.552,0.40630722278739,NA,0.9241,0,490.6,3144.3,0.020354291893267,0.019948259202693,79.3,0.28669558929863,90,0.32537960954447,0,6.8518195685335,0.66084489281211,0.30802603036876,11.367678958785,10.9395,0.13167233646113,276.6,0.16934585405626,0.1728045325779,20.6,102.12,64,724618,403.1,139,22.620863309353,403.1,0.95,6.1355899789635
"7",2006-09-30,31,2.06,0.3304,0.12239433926181,458.9,593.8,78.5,32.3,0.02018497687789,0.11677512653652,0.054395419333109,0.0976,0.58111380145279,19.372005044136,26.4,0,0,85.2,83.0811,111.6,0.02487,NA,1567.9,3.1958825927436,5.6746290264206,18.402582159624,14.049283154122,5.6684743311641,NA,30.8835,1600.2,0.73459077130347,4.5,10.882222222222,0.05,0.552,0.20949966368293,NA,0.8993,0,490.6,1536.2,0.041661242025778,0.039995000624922,79.3,0.28669558929863,90,0.32537960954447,0,3.3475702767487,NA,0.30802603036876,5.5538684020246,52.1976,0.62827320487355,276.6,0.16934585405626,0.1728045325779,20.6,48.97,64,362300,276.3,81.3,18.895448954489,276.3,1.2,3.0602409638554
"8",2005-09-30,15.3,0.78,0.2962,0.19907100199071,NA,495.7,25.6,19,0.01455938697318,0.10789324247587,0.038329634859794,2.386,0.52667116812964,66.032608695652,26.7,0,0,24.7094,24.7094,51.4094,0,NA,1286,2.9692911567767,7.3026689381034,52.045076054206,25.014904876253,7.6320474777448,NA,23.4234,1305,0.78838006858987,5.16,15.153100775194,-0.36,-0.054,0.29338439588496,NA,0.7578,0,433.1,1215,0.074074074074074,0.068965517241379,18.4,0.10919881305638,52.9,0.31394658753709,0,3.3554266777133,NA,0.14664302670623,7.2106824925816,1.286,0.052044835873137,168.5,0.057052297390903,0.050814692074013,14.2,78.19,90,173100,176.1,26.4,46.022727272727,176.1,1.1,2.8865295288653
"9",2004-09-30,13.9,1.04,0.3116,0.39991162174105,NA,498.9,6.5,16.4,0.018254674977738,0.10036719706242,NA,0.7481,0.66752246469833,119.56666666667,31.6,0,0,50.7626,30.5931,82.3626,0.39733,NA,882,2.0220082530949,5.3977968176255,17.374993129786,10.708742717114,5.4748603351955,NA,54.945,898.4,0.80396873120866,1.39,36.58273381295,-0.24,0.1109,0.33001864512119,NA,0.7045,0,436.2,717.4,0.25229997212155,0.20146927871772,6,0.037243947858473,52.4,0.32526381129733,0,2.6413843888071,NA,0.3151,4.4531346989447,-24.3519,-0.79599293656891,161.1,0.070135493279917,0.022091310751105,11.4,50.85,181,84400,163.4,7.6,94.394736842105,163.4,1.1,1.9849756959788
"10",2003-09-30,13.8,0.86,0.3844,0.30295379954557,NA,444.5,89.4,27.1,0.048723480762316,0.18163538873995,NA,-18.2,0.4905,15.413427561837,23.9,0,0,40.1,29.2501,64,0.27057,NA,529.1,NA,NA,13.194513715711,8.2671875,3.5462466487936,0.46,-36.2499,556.2,0.82879640044994,-0.44,NA,NA,0.01,0.16418992388547,NA,0.7984,0,369,436.2,0.27510316368638,0.21574973031284,28.3,0.18967828418231,25.3,0.16957104557641,0,1.579862368707,0.33507451221386,0.26876675603217,2.9235924932976,65.5,2.2393052916015,149.2,0.079268680216802,0.10249909453097,10.1,32.1,120,99227,144.7,-11.4,NA,144.7,1.1,1.4338753387534
