"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,58.4,0.49,0.1398,0.5363,1185.7,4214.5,245.6,74.7,0.0267,0.0461,0.0177,-0.82,0.8,14.2,120.7,0.0488,69.5,236,152.3,356,0.3536,0.3745,2719.3,1.1,1.73,11.54,7.63,1.68,0.035,0.02,28.22,2794,0.6788,1.64,14.7,0.095,0.005,0.1037,NA,0.6899,0.0093,2482.3,1422.7,0.9639,0.4908,100.2,0.0619,29.8,0.0184,0.7988,1.2,4.06,0.1455,0.88,124.08,0.8147,1619.8,0.0614,0.0845,0,24.11,1371.3,335710,1575.4,87,16.35,1575.4,0.7,1.09
"2",2010-12-31,57.1,0.74,0.2288,0.54013316449491,1125.8,3940.1,208,69.4,0.024545518851241,0.044524283056393,0.017613766148067,-0.1174,0.76486013986014,16.288961038961,107.6,0.0449,67.579,230.2,149.5978,337.8,0.35014,0.36755646817248,2758,1.1594568461765,1.7732913264322,11.980886185925,8.1645944345767,1.7694232373131,0.045,0.025,49.3151,2827.4,0.6888657648283,1.79,14.385474860335,0.115,-0.0107,0.11330255979857,NA,0.699,0.0065734372224055,2378.7,1505.1,0.87854627599495,0.46767348093655,92.4,0.059280169371913,53.8,0.034515942772824,0.73137435064935,1.3369159708652,3.6197691197691,0.14768717521011,0.96561236928209,100.2826,0.67034852494041,1558.7,0.062890558708538,0.082074968910997,0,25.75,1322.3,378871,1555.3,101.8,14.784872298625,1555.3,0.7,1.1549364813529
"3",2009-12-31,54.8,0.74,0.2533,0.53623891658212,1051.3,3607,211.6,37,0.014811256554982,0.02446119264842,0.010257831993346,0.3124,0.69088037899724,14.724454649828,156.8,0.0468,60.021,200.7,131.8178,357.5,0.34321,0.35481481481482,2461.1,1.103681779452,1.5502015621063,12.262580966617,6.8841958041958,1.6270659791088,0.085,0.04,76.7054,2498.1,0.72276129747713,1.65,13.648484848485,0.085,-0.1037,0.105403440756,NA,0.6967,0,2229.9,1282.5,0.94783625730994,0.48660982346583,87.1,0.05758296972101,6.3,0.0041650138833796,0.68910447761194,1.2199181965186,1.7322887823327,0.13268544228481,0.84787782625942,55.1124,0.4180952473166,1512.6,0.059113750840845,0.082849805003329,0,22.52,1215.6,307369,1587.6,89.7,14.297658862876,1587.6,0.7,1.1019895010808
"4",2008-12-31,54.5,0.79,0.2591,0.54458656920968,996.9,3630.7,222.7,24.3,0.010094296514768,0.014491889312977,0.0066929242294874,-2.7696,0.43226553454265,16.510869565217,92.6,0.0419,50.9169,184.9,114.1536,277.5,0.38262,NA,2383,1.100845382732,1.530704008222,12.888047593294,8.5873873873874,1.421159351145,0.065,0.03,-13.1769,2407.3,0.68642410554439,1.56,13.839743589744,0.04,0.1484,0.27826829962973,NA,0.7129,0,2164.7,1215.2,0.98099078341014,0.49520209363187,73.6,0.043893129770992,38.7,0.023079675572519,0.69180543478261,1.2189788343866,2.5401337792642,0.1102695610687,0.72471374045801,127.3304,1.115431149939,1676.8,0.052734125744907,0.073828869495436,0,21.59,1192.1,372000,1556.8,83.4,14.570743405276,1556.8,0.7,1.0997259022385
"5",2007-12-31,52.9,0.66,0.1957,0.53749620483757,914,3189.8,213.8,11.8,0.0057181624345803,0.0083227535618564,0.0036992914916296,2.239,0.57230454777721,26.01038961039,90.7,0.038034751348113,38.088,138.4,84.7797,229.1,0.38743,NA,2051.8,1.0444919568316,1.2695210988739,14.82514450867,8.9559144478394,1.4471716744252,0.09,0.04,-40.5593,2063.6,0.73713085459903,1.5,12.92,-0.03,-0.0658,0.20582971107134,NA,0.7697,0,1964.4,1001.4,1.0607149990014,0.5147315371196,38.5,0.027154746790803,-16,-0.011285089575398,0.9892987012987,1.0956236323851,2.8900432900433,0.097616024827197,0.70630554380025,125.339,1.4784079150157,1417.8,0.043158057422114,0.042122538293217,NA,19.38,1062.2,338130,1616.2,68.3,14.661786237189,1616.2,0.7,1.0442262928853
"6",2006-12-31,52.5,0.87,0.1731,0.54403938926742,916.8,4056.5,165.1,28.2,0.012572447614802,0.018721370244971,0.0069518057438679,2.8904,0.8,15.300932090546,87.1,0.02741275781046,31.5,199.8,128.0298,286.9,0.35921,NA,2214.8,1.1171752837327,1.5194840834248,11.085085085085,7.719762983618,1.4703578304455,0.09,0.035,47.1395,2243,0.54603722420806,1.3,16.053846153846,0.005,0.0252,0.17336968870711,NA,0.7349,0,1982.5,1149.1,0.95196240536072,0.48769505127062,75.1,0.049857266148841,89.4,0.059350726946823,0.41944074567244,1.2533813263525,1.7001035656162,0.13264289982075,0.7628626435637,80.8904,0.63180879659533,1506.3,0.064579995964691,0.081915357766143,NA,20.87,1093.9,261300,1457.6,57.3,20.054101221641,1457.6,0.95,1.1155319043119
"7",2005-12-31,48.6,0.78,0.162,0.61006321112516,797.4,4948.5,156.9,25.9,0.010543026947814,0.019049720506031,0.005233909265434,-15.4309,0.8,26.487288135593,86.9,0.022546792513198,28.188,147.9,95.573,234.8,0.3538,NA,2430.7,1.2289296728854,1.5804291287386,16.434753211629,10.352214650767,1.7878052368344,0.12,0.065,41.0039,2456.6,0.42970597150652,1.26,20.087301587302,-0.035,0.1777,0.21985815602837,NA,0.7307,0,1977.9,1250.2,0.96496560550312,0.49108523976227,47.2,0.03471609296852,117.6,0.086496028243601,0.59720338983051,1.5678454978681,2.2072740112994,0.10878199470432,0.91953515739923,54.5691,0.57096795099767,1359.6,0.048320430759897,0.059192375219463,NA,25.31,1206.4,360300,1538,62.5,20.0032,1538,0.95,1.2259706557541
"8",2004-12-31,48.5,0.56,0.2357,0.59940515870981,NA,3703.8,119.9,88.3,0.043397060991792,0.071117912371134,0.023840380150116,7.19,0.47518031395842,22.904761904762,78.4,0.031602708803612,27.16,140.5192,89.4362,218.9192,0.36353,NA,1946.4,1.0299502592867,1.5676546391753,13.851491853495,8.890953171938,1.6901701979854,0.11,0.05,40.7462,2034.7,0.52813326853502,1.25,14.176,-0.065,0.0224,0.10654615173925,NA,0.6009,0,1889.8,865.8,1.3500808500809,0.574482724726,37.8,0.032823897186523,92,0.079888850295241,0.71851851851852,1.1494954859267,2.0822510822511,0.12202080583536,0.7518235498437,48.69,0.54441020886501,1151.6,0.047325764506932,0.048387096774193,0,17.72,1168.9,263100,1241.6,37.8,22.904761904762,1241.6,0.9,1.0433823906466
"9",2003-12-31,48.3,0.58,0.263,0.59525290215589,NA,3661.5,106.8,128.1,0.064014791864474,0.11435457953937,NA,0.0197,0.44106463878327,16.847826086956,77.8,0.029714285714286,25.116,249.5071,146.9572,327.3071,0.41101,NA,1873,1.0227707093322,1.672022853062,7.5067992042232,5.7224538395343,1.667260103258,0.075,-0.115,117.9376,2001.1,0.53109381401065,1.23,14.227642276423,-0.09,0.1387,0.11730879815986,NA,0.5455,0,1831.3,852.5,1.3473313782991,0.57398430863025,50.6,0.045041837279687,-6.9,-0.0061420687199572,0.49636363636364,1.1346998535871,2.2463768115942,0.2221,0.75885704112516,29.0197,0.19747009720154,1123.4,0.080247480144488,0.064788732394366,0,17.5,1148.6,105700,1120.2,50.6,16.847826086956,1120.2,0.9,1.0370543117745
"10",2002-12-31,48,0.61,0.3365,0.60776976833764,NA,3614.1,83.6,186.4,0.093349358974359,0.19012647898817,NA,-28.8,0.3968,26.014577259475,73.3,0.027972654936681,24.96,144.7,77.2061,218,0.46644,NA,1810.4,NA,NA,12.511402902557,8.3045871559633,1.8465932272542,0.035,-0.205,66.9061,1996.8,0.43266650065023,1.09,16.550458715596,NA,0,0.30668553236647,NA,0.5636,0,1664.2,892.3,1.2378123949344,0.55313501602564,34.3,0.034985720114239,-56.7,-0.057833537331701,0.72769679300292,1.2518237934905,7.4327363598501,0.14759281925745,0.91013871889025,10.3,0.13340909242805,980.4,0.046392339862997,0.048120089786756,0,18.04,1104.5,176103,1020,NA,NA,1020,0.8,1.0878500180267
