"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,27.6,1.08,0.4649,0.2619,187.1,339.1,6.3,35.1,0.0379,0.1153,0.1035,11.18,0.58,38.9,15.5,0.0045,3.86,39,24.62,55,0.3735,0.3722,890.9,4.08,2.56,22.67,16.26,2.93,0.395,0.155,22.64,926,0.1159,1.46,21.28,-0.12,0.05,0.4853,0.076,0.7467,0.3427,218.4,859.6,0.0772,0.0717,22.1,0.0726,78.8,0.2589,0.1174,4.59,0.98,0.1291,2.82,1.98,0.0805,304.4,0.1127,0.1181,83.8,31.07,66.4,232603,347.6,32.9,26.13,347.6,1.05,3.65
"2",2010-12-31,27.5,0.06,0.4723,0.27177242888403,166.4,281.8,8,1.2,0.0027088036117381,0.0052264808362369,0.0042583392476934,17.7315,0.58225704001694,34.627272727273,14.4,0.0072,2.7425,19.2,13.0389,33.6,0.32089,0.32098765432099,441.8,1.9436867575891,1.5550862372404,23.010416666667,13.14880952381,1.9242160278746,0.265,0.08,1.7074,443,0.14371894960965,0.81,16.469135802469,-0.115,0.0905,0.31875,0.19,0.6711,0.40880056777857,227.3,380.9,0.16303491730113,0.14018058690745,11,0.047909407665505,74.7,0.32534843205575,0.24931636363636,2.2890625,1.3066895368782,0.083623693379791,1.6589721254355,11.3315,0.8690517695831,229.6,0.05736432908051,0.066105769230769,69.9,13.34,62.1,140908,284.1,19.5,19.533333333333,284.1,1.1,1.9387308533917
"3",2009-12-31,27.3,0.15,0.4719,0.26038647342995,153.1,254.7,4.3,0.4,0.0015372790161414,0.0019111323459149,0.0015704750687083,3.1965,0.60923924560288,NA,13.5,0.0053,1.0934,-6.3,-6.3,7.2,0,NA,259.8,1.2575024201355,1.1917431192661,NA,36.083333333333,1.2412804586718,0.2,0.06,-0.2965,260.2,0.15390655673341,0.47,18.170212765957,-0.01,-0.1305,0.2387676508344,0.248,0.613,0.34157832744405,206.6,206.3,0.26126999515269,0.20714834742506,-5.8,-0.027711419015767,76.9,0.36741519350215,NA,1.3474853037231,NA,-0.030100334448161,0.98566650740564,-6.0035,NA,209.3,-0.030493707647628,-0.037883736120183,66.8,8.54,53.9,102626,218,-1.6,NA,218,1.15,1.2570048309179
"4",2008-12-31,26.9,-0.07,0.4597,0.35014589412255,155.9,286.9,14.3,1.2,0.0039906883937479,0.0050526315789474,0.0041826420355525,-3.4394,0.40026103980857,10.835,11.6,0.0075,1.6252,36.2,22.5247,47.8,0.37777,NA,299.5,1.2547130289066,1.3044425087108,8.2734806629834,6.265690376569,1.261052631579,0.105,0.06,23.2641,300.7,0.14360404322063,0.44,18.863636363636,0.16,0.0751,0.38913234005259,0.268,0.5821,0.32485186476124,238.7,216.7,0.38763267189663,0.27934818756236,20,0.084210526315789,103.4,0.43536842105263,0.0812625,1.3899935856318,1.0319047619048,0.15242105263158,0.91242105263158,-0.7394,-0.032826615796161,237.5,0.094364164222874,0.12828736369468,65,8.3,84,140652,229.6,10.7,20.252336448598,229.6,1.15,1.2534389328887
"5",2007-12-31,26.4,0.94,0.4408,0.3015,139.7,248.6,5.8,3.2,0.0089211039866183,0.014766958929395,0.012872083668544,-6.6021,0.47186932849365,15.957219251337,10.1,0.0053083109919571,1.584,36,22.0864,46.1,0.38649,NA,355.5,1.8064024390244,1.5095541401274,9.875,7.7114967462039,1.6405168435625,0.12,0.08,32.9885,358.7,0.14601769911504,0.82,14.268292682927,0.225,0.1056,0.44094189137866,0.275,0.5946,0.34312148028962,196.8,298.4,0.20207774798928,0.16810705324784,18.7,0.086294416243655,76.1,0.35117674203969,0.084705882352941,2.1360057265569,1.3297682709447,0.1661282879557,1.3770189201661,-10.9021,-0.49361337723129,216.7,0.11222743902439,0.13385826771654,59.7,11.7,60.3,100665,235.5,19.6,15.224489795918,235.5,1.3,1.7935
"6",2006-12-31,26.1,1.8,0.4335,0.44744058500914,120.9,262.4,7.1,1.8,0.0031326139923425,0.0092879256965944,0.006859756097561,-4.6089,0.42445213379469,30.954545454545,6.7,0.0032850849590938,1.566,29.2,17.0078,35.9,0.41754,NA,572.8,2.6396313364055,2.827245804541,19.616438356164,15.955431754875,2.9556243550052,0.155,0.095,21.2167,574.6,0.13986280487805,0.88,17.806818181818,0.26,-0.0471,0.27632819867966,0.275,0.5387,0.30106707317073,217,476.7,0.2053702538284,0.1703793943613,15.4,0.079463364293086,101.5,0.52373581011352,0.10168831168831,3.9429280397022,1.9970674486803,0.15067079463364,2.4597523219814,-4.2089,-0.24746688049358,193.8,0.078377105990783,0.12737799834574,53.1,15.67,97.9,228100,202.6,16.5,28.890909090909,202.6,1.15,2.6261425959781
"7",2005-12-31,24.4,1.91,0.4524,0.34027221777422,82.4,183.2,13.2,1.3,0.0027807486631016,0.0068493150684932,0.0070960698689956,-2.632,0.33598585322723,22.368421052632,7,0.0034447058823529,1.464,32.3,19.838,39.3,0.38582,NA,466.2,3.7718446601942,2.3298350824588,14.433436532508,11.862595419847,2.4562697576396,0.145,0.105,16.27,467.5,0.18722707423581,0.8,19.875,0.315,0.2514,0.36497786522381,0.308,0.4857,0.22489082969432,123.6,425,0.1,0.090909090909091,19,0.10010537407798,48.5,0.25553213909378,0.077052631578947,5.1577669902913,1.5426497277677,0.17017913593256,2.2391991570074,3.568,0.17985766959001,189.8,0.16050173139159,0.23058252427185,53.4,15.9,42.5,86400,200.1,17.9,23.743016759776,200.1,0.95,3.7429943955164
"8",2004-12-31,18.2,1.17,0.449,0.27765237020316,NA,122.3,8.5,0.5,0.0010392849719393,0.0028768699654776,0.0040883074407195,6.222,0.52115812917595,31.48275862069,5.8,0.0025531914893617,1.092,24.9685,15.2305,30.7685,0.39001,NA,480.6,5.4551645856981,2.765247410817,19.248245089515,15.619865895359,3.1848906560636,NA,NA,6.3085,481.1,0.21504497138185,NA,NA,0.315,0.1873,0.25561372891216,NA,0.3707,0.17334423548651,88.1,456.5,0.053888280394305,0.051132820619414,14.5,0.0960901259112,41,0.27170311464546,0.075310344827586,7.1328125,NA,0.16546394963552,3.025182239894,8.922,0.58579672792542,150.9,0.17287788212145,0.2265625,47.3,23.5,24.6,9900,173.8,17,26.852941176471,173.8,0.7,5.4300225733634
"9",2003-12-31,8.9,1.2,0.4049,0.36167512690355,NA,106.7,4.4,0.9,0.0024704913532803,0.0062543432939541,NA,5.6589,0.59273894788837,32.601941747573,4.1,0.0027196083763938,0.89,20.596,13.0624,24.696,0.36578,NA,363.4,4.6649550706033,2.5253648366921,17.644194191011,14.714927634059,2.9095276220977,NA,NA,7.1035,364.3,0.20524835988754,NA,NA,0.315,0.2107,0.3351134846462,NA,0.3229,0.19025304592315,77.9,335.8,0.08487194758785,0.078232226187208,10.3,0.082465972778223,37.2,0.29783827061649,0.086407766990291,6.675944333996,NA,0.1649,2.6885508406725,5.9589,0.45618925118458,124.9,0.16768166190244,0.20477137176938,42.3,36.77,28.5,8100,143.9,13.1,25.63358778626,143.9,0.65,4.6230964467005
"10",2002-12-31,5.8,0.84,0.3666,0.32888146911519,NA,75.4,8,3.3,0.015013648771611,0.032770605759682,NA,-2.3,0.5029,28.585714285714,2.3,0.0028985507246377,0.58,11.9,7.4377,14.2,0.37498,NA,216.5,NA,NA,18.193277310924,15.246478873239,2.149950347567,NA,NA,1.7377,219.8,0.26790450928382,NA,NA,NA,0.1398,0.45292324063274,NA,0.266,0.14456233421751,56.6,200.1,0.098450774612694,0.089626933575978,7,0.069513406156902,26.5,0.26315789473684,0.082857142857143,4.9776119402985,NA,0.11817279046673,1.987090367428,5.7,0.76636203103686,100.7,0.13140879858657,0.17412935323383,32,34,19.7,11805,117.5,9.1,21.989010989011,117.5,0.6,3.8250883392226
