"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,18.8,0.48,0.1538,0.4561,408.7,1238.4,80.3,1.3,0.001,0.0031,0.001,4.51,0.78,21.65,38.3,0.0294,26.7,95,55.48,134,0.4172,0.4175,1250.5,1.67,2.78,13.14,9.37,2.98,0.055,0.045,8.97,1251.8,0.7239,2.43,19.74,0.105,0.08,0.171,0.029,0.6113,9e-04,750.1,909.1,0.377,0.2738,42,0.1002,62.2,0.1483,0.5276,2.22,3.94,0.227,2.17,46.51,0.8383,419.3,0.074,0.1028,75.1,47.98,342.7,95233,449.7,50.6,17.97,449.7,0.7,1.67
"2",2010-12-31,18.6,0.29,0.1989,0.48889791497428,377.5,1192,79.1,4.2,0.0041395623891189,0.010528954625219,0.0035234899328859,6.0069,0.8,15.785024154589,37.4,0.0321,20.9774,92.5,52.5752,129.9,0.43162,0.43131868131868,1010.4,1.3758169934641,2.3624035538929,10.923243243243,7.7782909930716,2.5329656555528,0.055,0.05,4.8682,1014.6,0.71728187919463,2.15,16.232558139535,0.115,0.0993,0.088384592415647,0.029,0.6057,0.00092281879194631,734.4,653.5,0.55256312165264,0.35590380445496,41.4,0.10378540987716,83.2,0.20857357733768,0.50669927536232,1.7311258278146,2.8700043917435,0.23188769115066,1.638255201805,47.7069,0.90740433507703,398.9,0.071589256535948,0.10966887417219,70.5,34.9,361.1,96112,427.7,47.3,13.816067653277,427.7,0.7,1.3736799350122
"3",2009-12-31,18.5,0.4,0.2339,0.47386912604304,359.4,1113.3,77.5,1.7,0.0017699115044248,0.0047091412742382,0.0015269918261026,0.788,0.8,21.586440677966,33.6,0.0304,19.3587,69.5,42.4436,103.1,0.3893,0.3904958677686,958.8,1.4071030231876,2.5007824726135,13.795683453237,9.2997090203686,2.6559556786704,0.08,0.04,-2.2444,960.5,0.77822689302075,2.03,16.980295566503,0.085,0.0573,0.11876853551758,0.026,0.6012,0.0039522141381478,681.4,636.8,0.50832286432161,0.33701197293077,29.5,0.081717451523546,12.7,0.035180055401662,0.65622779661017,1.7718419588203,2.6983050847458,0.19252077562327,1.7639889196676,44.688,1.0528791289391,361,0.062288890519519,0.082081246521981,70.1,34.47,323.7,118487,383.4,32.4,19.654320987654,383.4,0.8,1.4060898843508
"4",2008-12-31,17.3,0.26,0.235,0.52399202820788,310.5,1061.3,77,7.3,0.0073131636946504,0.022905553812363,0.0068783567323094,2.6741,0.54468085106383,24.492537313433,31.6,0.0293,19.2325,62.5,38.8687,94.1,0.3781,NA,990.9,1.5362790697674,2.7609361939259,15.8544,10.530286928799,3.1091935989959,0.095,0.04,-9.2054,998.2,0.77763120701027,1.97,17.97461928934,0.055,0.0533,0.13172866520788,0.025,0.5859,0.0043343069820032,645,656.4,0.52071907373553,0.34241634942897,26.8,0.08409162221525,21.2,0.066520238468779,0.71763134328358,2.1140096618358,2.5781618224666,0.196109193599,2.0596171948541,48.0741,1.2368319945057,318.7,0.060261627906977,0.086312399355878,62.7,35.41,341.8,112895,358.9,33.7,19.477744807122,358.9,0.8,1.5302774796873
"5",2007-12-31,17.2,0.54,0.2288,0.50238840388733,302.1,963.9,49.9,1.7,0.0019551466359977,0.0056403450564035,0.0017636684303351,-0.1154,0.66433566433566,20.160714285714,28.9,0.030469441984057,17.2,67.8,38.9274,96.7,0.42585,NA,867.8,1.4334324413611,2.8129659643436,12.799410029498,8.9741468459152,2.8792302587923,0.11,0.05,18.0428,869.5,0.80547774665422,1.95,16.91282051282,0.015,0.1101,0.21875,0.044,0.5443,0.011826953003424,605.4,564.5,0.54030115146147,0.35077630822312,28,0.092899800928998,4.9,0.016257465162575,0.61428571428571,1.8685865607415,1.8327922077922,0.2249502322495,1.8729263437293,20.8846,0.53650097598029,301.4,0.064300247770069,0.092684541542536,52.6,32.98,305,316831,308.5,25.3,22.312252964427,308.5,0.95,1.4322187448526
"6",2006-12-31,17,0.91,0.2033,0.51429549734635,283.7,937,66.6,3.2,0.00330646827857,0.011913626209978,0.0034151547491996,-0.7353,0.78701426463355,28.891774891775,26.3,0.025471980821097,17,56.6,33.7025,82.9,0.40455,NA,964.6,1.660526768807,3.2854223433242,17.042402826855,11.635705669481,3.5912137006701,0.095,0.05,-5.8622,967.8,0.80106723585912,1.77,21.779661016949,-0.005,0.1206,0.15769665035755,0.031,0.6061,0.012379935965849,580.9,667.4,0.45010488462691,0.31039470965075,23.1,0.086001489203276,7.9,0.029411764705882,0.73593073593074,2.3524850193867,3.0412394622921,0.21072226358898,2.4847356664185,39.5647,1.1739408382339,268.6,0.058017679462902,0.081424039478322,47.1,38.55,300.4,220000,293.6,27.2,24.536764705882,293.6,1,1.6569080636877
"7",2005-12-31,16.8,1.01,0.1816,0.52847705766827,264.1,876.8,71.2,13.3,0.013910678799289,0.056308213378493,0.015168795620438,-0.4191,0.70484581497797,29.337777777778,21.8,0.023923647932131,15.792,56.2,29.8034,78,0.46969,NA,942.8,1.7242136064375,3.7088906372935,16.775800711744,12.087179487179,3.991532599492,0.105,0.045,-19.1774,956.1,0.81341240875912,1.58,24.443037974683,-0.025,0.0331,0.18207585369146,0.031,0.4907,0,546.8,660.1,0.44841690652931,0.30959104696161,22.5,0.095258255715495,5.5,0.023285351397121,0.70186666666667,2.4994320333207,2.7940740740741,0.23793395427604,2.7946655376799,48.9809,1.6434644207921,236.2,0.054505160936357,0.085195001893222,44.1,38.62,296,118100,254.2,22.9,28.825327510917,254.2,0.8,1.7070166041778
"8",2004-12-31,16.8,0.11,0.1691,0.52213566406992,NA,810.3,84.2,4.3,0.0053502550702999,0.018510546706845,0.0053066765395532,0.1565,0.13010053222945,32.054545454545,20.8,0.02921129503408,15.12,43.9292,27.5098,64.7292,0.37377,NA,799.4,1.5314176245211,3.4412397761515,18.197463190771,12.349913176743,3.5061403508772,0.12,0.025,-36.0468,803.7,0.81969640873751,1.44,21.395833333333,-0.01,-0.0264,0.17397213727489,0.024,0.3753,0,522,528.9,0.5195689166194,0.34191862635312,16.5,0.072368421052632,8.3,0.03640350877193,0.91636363636364,2.1029821073559,2.6712121212121,0.19267192982456,2.3197368421053,63.5565,2.3103248499556,228,0.052700733555555,0.065606361829026,41.8,30.81,274.8,48100,232.3,16.5,32.054545454545,232.3,0.75,1.5270758122744
"9",2003-12-31,15.2,0.09,0.1969,0.57423362051693,NA,757.5,57.2,12.8,0.017795078548589,0.058128973660309,NA,0.2292,0.091416962925343,36.361344537815,19.8,0.034816247582205,13.68,62.5763,35.3369,82.3763,0.4353,NA,706.5,1.4528069093152,3.208446866485,11.290209686281,8.5764917450812,3.3215796897038,0.095,0.02,-2.2923,719.3,0.79511551155116,1.48,17.466216216216,0.015,0.0145,0.12557748845023,0.01,0.3558,0,486.3,432.7,0.66235266928588,0.398442930627,11.9,0.05594734367654,6.5,0.030559473436765,1.1495798319328,2.0362352941176,3.827509951349,0.2942,2.0343206393982,37.6292,1.0648709847112,212.7,0.072664732054288,0.056,35.7,25.85,286.6,25500,220.2,11.9,36.361344537815,220.2,0.7,1.441194149469
"10",2002-12-31,15.2,-0.13,0.2484,0.56707935863609,NA,701.7,40.7,18.4,0.027811366384522,0.087954110898662,NA,-4.5,-0.1142,18.827586206897,18.3,0.034997383568812,13.376,50.6,30.8994,68.9,0.38934,NA,643.2,NA,NA,12.711462450593,9.3352685050798,3.074569789675,0.06,0.035,8.4994,661.6,0.80276471426536,1.42,17.591549295775,NA,0.0549,0.14608076009501,0.01,0.3632,0,474.3,382.2,0.73103087388802,0.42230955259976,20.3,0.097036328871893,2.2,0.010516252390057,0.65891625615764,1.7918424753868,3.1379310344828,0.24187380497132,1.8269598470363,22.4,0.72493326406769,209.2,0.065147366645583,0.095171120487576,30,24.98,279.4,27589,210.4,19.5,19.6,210.4,0.65,1.3561037318153
