"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,9.9,1,0.3314,0.0049,101.7,223.1,1.2,66.4,0.2479,0.2109,0.2976,-3.24,0.75,34.27,1.3,0.0193,5.15,4,4,5,0,0,201.4,5.63,0.54,50.35,38,0.64,0.35,7.34,267.8,0.0672,1.67,22.81,-0.215,0.04,0.4316,NA,0.7686,0.2143,35.8,267.3,0.0019,0.0019,7.8,0.0248,-16.8,-0.0534,0.715,2.63,0.98,0.0127,0.85,-3.34,-0.8359,314.9,0.1117,0.0767,38.2,38.09,0.5,41265,375.7,7.2,37.13,375.7,0.85,2.62
"2",2010-12-31,10.2,0.93,0.3116,0.0052137643378519,95.4,187.9,1.6,55.4,0.27909319899244,0.20285609666789,0.29483767961682,-1.2213,0.68196405648267,26.756756756757,1.4,0.0221,4.3758,7.9,5.8516,9.3,0.25929,0.25252525252525,143.1,3.5333333333333,0.4711886730326,18.113924050633,15.387096774194,0.52398388868546,0.3,6.8729,198.5,0.079829696647153,0.87,22.942528735632,-0.13,0.185,0.24031007751938,NA,0.4724,0.25439063331559,40.5,198,0.0025252525252525,0.0025188916876574,7.4,0.027096301720981,-10.9,-0.039912120102526,0.59132432432432,2.0754716981132,0.89189189189189,0.028927132918345,0.72500915415599,-1.0213,-0.17453505098124,273.1,0.14448417283951,0.077568134171908,35.4,19.96,0.5,25285,303.7,17.4,11.379310344828,303.7,0.85,2.0698644421272
"3",2009-12-31,10.5,0.85,0.4312,0.0049701789264414,100.1,172.1,0.9,50.4,0.30125523012552,0.21310782241015,0.29285299244625,-0.4781,0.4928107606679,NA,1.6,0.022,3.6696,-9.4991,-9.4991,-7.8991,0,NA,116.9,2.3286852589641,0.44584286803966,NA,NA,0.49429175475687,0.3,-8.321,167.3,0.085996513654852,0.71,21.901408450704,0.16,-0.1475,0.21173559561683,NA,0.4273,0.27484020918071,50.2,166.8,0.0029976019184652,0.0029886431560072,-4.8,-0.020295983086681,-4.4,-0.018604651162791,NA,1.6663336663337,NA,-0.04016532769556,0.70528541226216,-1.1781,NA,236.5,-0.18922509960159,-0.047952047952048,33.5,15.55,0.5,20694,262.2,6.4,26.0625,262.2,0.85,1.6630218687873
"4",2008-12-31,10.6,0.47,0.416,0,110.6,170.1,0.8,60.2,0.4740157480315,0.21461675579323,0.35390946502058,1.1529,0.34615384615385,13.092783505155,1.5,0.0265,3.3655,11.5,8.3182,13,0.27668,NA,66.8,1.3253968253968,0.28008385744235,5.8086956521739,5.1384615384615,0.23814616755793,0.3,7.8652,127,0.091122868900647,NA,NA,NA,0.0196,0.2280701754386,NA,0.4714,0.27807172251617,50.4,127,0,0,9.7,0.034581105169341,-7.7,-0.027450980392157,0.3469587628866,1.1482820976492,0.43642611683849,0.040998217468806,0.45276292335116,0.4529,0.054451956614378,280.5,0.16504325396825,0.087703435804702,36.7,12.29,0,29135,238.5,-4.7,NA,238.5,0.9,1.1482820976492
"5",2007-12-31,11.1,0.41,0.4516,0,113.7,173.2,3.9,64.5,0.55128205128205,0.22302904564315,0.37240184757506,0.1734,0.35429583702391,6.9642857142857,1.4,0.030358974358974,3.552,110.6,71.7164,112,0.35157,NA,52.5,1.0670731707317,0.17635203224723,0.4746835443038,0.46875,0.18153526970954,0.175,69.0429,117,0.092956120092379,0.96,11.354166666667,NA,0.1285,0.36731107205624,NA,0.5255,0.23960739030023,49.2,117,0,0,16.8,0.058091286307054,-5.9,-0.020401106500692,0.21142857142857,1.0290237467018,0.39795918367347,0.38243430152144,0.4045643153527,2.6734,0.037277540017521,289.2,1.4576495528455,0.14775725593667,34.7,10.9,0,13646,297.7,NA,NA,297.7,1,1.0290237467018
"6",2006-12-31,11.3,-0.47,0.4066,0,103.7,162.2,1.7,73,0.33780657103193,0.28163580246914,0.45006165228113,0.5093,0.39350713231677,13.257668711656,1.3,0.016732993984266,3.616,22.6,14.4839,23.9,0.35912,NA,143.1,4.6612377850163,0.5218818380744,6.3318584070797,5.9874476987448,0.55208333333333,0.1333,13.5746,216.1,0.083230579531443,1.56,10.576923076923,0.545,0.0996,0.27502876869965,NA,0.5995,0.17016029593095,30.7,216.1,0,0,16.3,0.062885802469136,-8.8,-0.033950617283951,0.22184049079755,2.0838958534233,0.99457379682344,0.087191358024691,0.83371913580247,0.9093,0.062777291515873,259.2,0.47178788273616,0.15718418514947,31.6,16.5,0,56518,274.2,18.1,11.939226519337,274.2,1,2.0838958534233
"7",2005-12-31,11,-0.74,0.4033,0.01605504587156,85.8,144.3,9.7,57.8,0.21803093172388,0.24978392394123,0.4005544005544,-0.1153,0.37689065212001,21.096,1,0,0,19.2,12.0324,20.2,0.37331,NA,207.3,7.0510204081633,0.94787379972565,10.796875,10.262376237624,0.89585133967156,0.175,3.4477,265.1,0.090783090783091,1.39,16.848920863309,0.17,-0.0748,0.20814182534471,NA,0.5574,0.15592515592516,29.4,263.7,0.0053090633295411,0.005281026027914,12.5,0.054019014693172,-2.1,-0.0090751944684529,0,3.0734265734266,1.2054857142857,0.082973206568712,1.1395851339672,8.5847,0.713466206565,231.4,0.40926693877551,0.14568764568765,25.7,23.42,1.4,30720,218.7,15.6,16.903846153846,218.7,0.95,3.0401376146789
"8",2004-12-31,8.6,0.1,0.6419,0.041975308641975,NA,80,1.9,16.8,0.059871703492516,0.074534161490683,0.21,0.1091,0.031157501168406,37.689189189189,1,0,0,57.383,34.5279,58.383,0.39829,NA,263.8,11.130801687764,1.170363797693,4.5971803495809,4.5184385865749,1.3528205128205,0.2,33.5188,280.6,0.05375,1.2,20.825,-0.065,0.5776,0.52683812883355,NA,0.4341,0.28125,23.7,278.9,0.0060953746862675,0.0060584461867427,7.4,0.037948717948718,0.7,0.0035897435897436,0,7.1881443298969,1.8844594594595,0.2942717948718,1.4302564102564,1.0091,0.029226436490871,195,1.4568744696203,0.19072164948454,23.8,24.99,1.7,28516,225.4,10.6,26.311320754717,225.4,0.75,6.9283950617284
"9",2003-12-31,5.7,0.66,0.6392,0.016077170418006,NA,54.7,0.3,7.8,0.090069284064665,0.048841577958672,NA,0.2714,0.20650813516896,41,1.1,0,0,27.0922,18.9873,28.1922,0.29916,NA,78.8,3.381974248927,0.49342517219787,2.9085905295111,2.7951033195044,0.64221678891606,NA,19.5159,86.6,0.062157221206581,NA,NA,NA,0.1325,0.28788977519942,NA,0.2849,0.3436928702011,23.3,86.1,0.0058072009291522,0.0057736720554273,2.1,0.017114914425428,0.9,0.0073349633251834,0,2.8137254901961,NA,0.2208,0.70171149144254,-0.5286,-0.027840040894312,122.7,0.81490426671245,0.068627450980392,17.2,13.8,0.5,7161,159.7,4.6,18.717391304348,159.7,0.65,2.7845659163987
"10",2002-12-31,5.8,0.5,0.6653,0.13253012048193,NA,47.3,0.2,0.1,0.0011402508551881,0.00091491308325709,NA,3.4,0.1647,NA,1.2,0,0,11.8,11.8,13,0,NA,87.6,NA,NA,7.4237288135593,6.7384615384615,0.80146386093321,NA,12.8,87.7,0.10993657505285,NA,NA,NA,-0.4871,0.73509174311927,NA,0.3479,0.39746300211417,33.1,83.3,0.052821128451381,0.050171037628278,-1.4,-0.012808783165599,6.2,0.05672461116194,NA,2.8923611111111,NA,0.10795974382434,0.76212259835316,-1,-0.084745762711864,109.3,0.35649546827795,-0.048611111111111,16,14.75,4.4,6155,103.7,-0.2,NA,103.7,0.6,2.6465256797583
"11",2001-12-31,NA,-0.03,0.3714,0.142,NA,52.6,0.3,1.1,0.047826086956522,0.0050761421319797,NA,-0.6221,-0.0132,NA,3.3,0,0,16.9322,16.9322,20.2322,0,NA,21.9,NA,NA,1.2933936523311,1.0824329534109,0.10106137517305,NA,20.5543,23,0.11596958174905,NA,NA,-0.21,-0.2587,0.38625954198473,0,0.263,0.35931558935361,34.446,18,0.27777777777778,0.21739130434783,-2.4,-0.011075219197047,5.648,0.026063682510383,NA,0.59016393442623,NA,0.078136594370097,0.08306414397785,-3.6221,-0.21391786064422,NA,0.49155780061546,-0.078688524590164,18.7,3.14,5,NA,216.7,-2.4,NA,192.8,0.7,0.66771178075829
