"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2012-02-04,89.1,2.99,0.5789,0.9573,30.9,2494,90,414.9,0.1317,0.1107,0.1664,-0.31,0.8,34.17,104.5,0.0018,4.46,215,173.19,320,0.1949,0.1948,2734.5,8.86,0.74,12.71,8.56,0.73,NA,0.1,188,3149.4,0.2348,1.8,16.16,NA,-0.09,0.2478,0.044,0.9777,0.1361,308.8,2456.6,0.282,0.22,71.9,0.0192,35.5,0.0095,0.0466,79.5,NA,0.0574,0.66,-14.81,-0.0855,3748,0.5608,2.3269,660.3,29.09,692.8,1852213,3715.1,95.7,25.67,3715.1,1.95,4.35
"2",2011-02-04,88.7,3.08,0.9019,0.92186459489456,70.4,2678,57.2,636.1,0.26581696615127,0.18690682572797,0.23752800597461,-4.1532,0.54052555715711,NA,129,0.0028,4.3747,78.9,78.9,207.9,0,NA,1756.9,6.6323140807852,0.47642161781056,22.26742712294,8.4506974506975,0.51623424323451,NA,0.065,154.8532,2393,0.23532486930545,1.35,13.377777777778,NA,0.2204,0.35485448764979,0.034,0.9969,0.12979835698282,264.9,1562.4,0.53161802355351,0.34709569577936,-110.6,-0.032497869714689,-49.7,-0.014603473099639,NA,22.193181818182,NA,0.023183380836247,0.45908383039991,-75.9532,-0.96265180924635,3403.3,0.29784824462061,-1.5710227272727,641.4,18.06,830.6,1447725,3687.7,-2.6,NA,3687.7,1.95,2.6559378468369
"3",2010-02-04,88.3,3.3,1.0301,0.80182811911044,210.3,2709.4,33.3,526.6,0.2084058888713,0.18969057310616,0.19436037499077,7.4064,0.46112027958451,NA,157.3,0.0026,4.3573,-431.8563,-431.8563,-274.5563,0,NA,2000.2,3.7414889637112,0.60033615463113,NA,NA,0.72050718634055,NA,0.05,-315.2627,2526.8,0.26732855982874,0.66,28.393939393939,NA,-0.4139,0.3919124353907,0.027,NA,0.13586033808223,534.6,1675.9,0.50772719135987,0.33675003957575,-475.7,-0.17135549872123,37,0.013328050142286,NA,7.9690917736567,NA,-0.15556222398329,0.60368862793127,-116.5936,NA,2776.1,-0.8078119902731,-2.2620066571564,713.6,18.74,850.9,1075657,3331.8,-67.2,NA,3331.8,1.9,2.3810780248775
"4",2009-02-04,87.7,2.92,0.9301,0.5006157635468,729.9,3223.9,102,317.5,0.17790104779515,0.067428377259116,0.098483203573312,-156.8112,0.32684657563703,NA,177.2,0.0042,4.4226,502.8,201.12,680,0.6,NA,1467.2,1.2824053841447,0.49626247251818,2.9180588703262,2.1576470588235,0.31159343343173,NA,-0.015,433.1312,1784.7,0.28462421290983,NA,NA,-0.045,-0.1725,0.73402194964493,0.0229,0.9276,0.11709420267378,1144.1,1053,0.69487179487179,0.40998487140696,-113.1,-0.024019368403169,421.4,0.089493915518084,NA,1.442663378545,NA,0.10678106483743,0.22362860237433,-232.0112,-1.1535960559407,4708.7,0.17578882964776,-0.15495273325113,790.6,12.71,731.7,1459362,2956.5,-394.3,NA,2956.5,1.9,1.2210591133005
"5",2008-02-04,87.4,2.31,0.5165,0.27782228835222,1892.9,4365.6,207.7,331.4,0.31561904761905,0.05843560445761,0.075911673080447,31.3069,0.48015488867377,2.8528368794326,180.1,0.013579863269111,4.37,173.6,123.0807,353.7,0.29101,NA,718.6,0.31384024107962,0.13540606745807,4.139400921659,2.0316652530393,0.12671039638877,-0.105,0.015,64.1738,1050,0.24115814550119,-0.11,NA,0.075,0.0403,0.83030303030303,0.01,NA,0.21176928715411,2289.7,321.8,2.2628962088254,0.69352380952381,112.8,0.01988997037664,487.5,0.085960643250106,0.038741134751773,0.17000369802948,NA,0.030610805473268,0.056742841021301,58.9069,0.47860374129675,5671.2,0.053754056863345,0.059591103597654,969.5,4.21,728.2,3831151,5307,26.4,12.189393939394,5307,1.55,0.40059516996681
"6",2007-02-04,90.9,1.32,0.214,0.27957816950196,1871.8,4450.3,205.1,283.4,0.1253982300885,0.050026478375993,0.063681100150552,5.2335,0.8,6.7263157894737,167.3,0.03556338028169,54.54,341.2,305.432,508.5,0.10483,NA,1976.6,0.85389666493866,0.35258651444881,5.7930832356389,3.8871189773845,0.34891438658429,0.035,0.04,262.3986,2260,0.22805204143541,1.31,12.015267175573,0.065,0.0067,0.33473202365058,0.013,0.9894,0.22160303799744,2314.8,1533.6,0.4736567553469,0.32141592920354,228,0.040247131509267,502.5,0.088702559576346,0.23921052631579,0.81931830323752,1.9218045112782,0.060229479258606,0.27071491615181,43.0335,0.1408937192286,5665,0.13194747019181,0.12180788545785,884.5,15.74,726.4,1723098,5606,141.9,10.807610993657,5606,1.2,0.86983296128089
"7",2006-02-04,95.7,1.34,0.23,0.26808699511762,1978.8,4621.5,233.6,487.7,0.13330599972666,0.082328910496641,0.10552850806015,10.4818,0.8,9.1335616438356,162.2,0.019572553430821,57.42,455.5,337.0928,617.7,0.25995,NA,3170.8,1.4309309986913,0.54823037156146,6.9611416026345,5.133236198802,0.53526452614876,0.075,0.055,255.2109,3658.5,0.20993184031159,2.35,13.574468085106,0.01,0.1467,0.2254004576659,0.025,0.875,0.22137834036568,2215.9,2933.7,0.24706002658759,0.19811398113981,321.2,0.054221952125325,443.2,0.074816840541544,0.17876712328767,1.4825651910249,1.2178082191781,0.076893210439245,0.49523954218576,81.8818,0.24290594587757,5923.8,0.15212454307505,0.16232059834243,946,31.9,724.8,444200,5783.7,NA,NA,5783.7,1.15,1.3531957390147
"8",2005-02-04,96.8,1.16,0.2453,0.30150118299747,NA,4346.4,171.3,499.8,0.1065853450482,0.086650485436893,0.11499171728327,36.653,0.94578067672238,14.640845070423,157.5,0.014745637748833,58.08,400.4663,285.4564,557.9663,0.28719,NA,4189.4,2.1466489034638,0.72631761442441,10.461304472778,7.5083386306962,0.80113973189528,0.2,0.105,235.0034,4689.2,0.20163813730904,3.68,11.057065217391,-0.035,0.2051,0.17423616845582,0.022,0.8277,0.21921590281612,1951.6,3950.1,0.18710918710919,0.15761750405186,269.8,0.051593903581741,355.8,0.068039699386151,0.21527057079318,2.3068971558722,0.73204225352113,0.076581246055878,0.75537834891859,50.453,0.17674498715241,5229.3,0.14626787785976,0.15756584710623,913.5,40.69,739.1,339200,5768,269.8,14.640845070423,5768,1.25,1.9128661173207
"9",2004-02-04,92.1,0.94,0.2717,0.31472081218274,NA,3602.5,159.8,345.9,0.064638499056304,0.069420193870793,NA,60.2539,0.69193963930806,31.332232496698,150.6,0.012363486503194,55.26,397.1809,266.0477,547.7809,0.33016,NA,5005.4,3.1585789108349,1.0045557629398,12.602316717413,9.1375943091412,1.2123428682152,0.27,0.085,196.5938,5351.3,0.22959056210965,3.14,15.455414012739,-0.095,0.0885,0.25535129690254,0.028,0.8252,0.19422623178348,1584.7,4743.7,0.12808567152223,0.11354250369069,151.4,0.036670138300191,291.3,0.070554896214305,0.36499339498019,3.5855631141345,1.1604530554332,0.0962,1.1489572989076,69.4539,0.26105802217565,4128.7,0.16788520278261,0.11443688586546,750.7,48.53,607.6,149500,4982.7,179.4,26.442028985507,4982.7,1.2,2.7718325909044
"10",2003-02-04,90.2,0.94,0.3358,0.35949308219974,NA,3407.1,112.6,351.4,0.10128260556276,0.09466849861257,NA,-60,0.6184,27.546859903382,148.4,0.015818456034513,45.1,196.6,125.9164,345,0.35953,NA,3118.1,NA,NA,15.86012207528,9.0379710144928,0.84002801799617,0.135,0.06,161.7164,3469.5,0.2326612074785,1.82,17.351648351648,NA,0.0724,0.3151832460733,0.024,0.8381,0.16738575327992,1368.8,2851.1,0.21689874083687,0.17823893932843,103.5,0.027883294269781,332.1,0.089469005091732,0.43574879227053,2.5876747141042,2.0405081409912,0.052964788922115,0.76809720089442,-35.8,-0.28431562077195,3711.9,0.091990357977791,0.093937193683064,663.3,31.58,618.4,454287,3969.8,117.5,24.264680851064,3969.8,1.2,2.2779807130333
