"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Non-Cash Working Capital","Payout Ratio","Price to Book Value Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,8.1,0.77,0.277,0.2352,107,1337.5,0,25.9,0.1299,0.0194,NA,0.69,16.01,0,0.0448,7.45,34,23.17,34,0.3105,0.3067,173.5,1.52,5.16,5.16,23.17,199.4,0,1.42,14.32,-0.005,NA,0.1408,NA,0.2771,0.0017,114,166.5,0.1976,0.165,10.4,0,0.601,1.56,0,0,NA,0.2032,0.0972,5.7,20.34,32.9,44879,NA,12.4,13.43,NA,0.6,1.43
"2",2010-12-31,6.4,0.54,0.2753,0.3302752293578,65.7,1028.5,0,21.6,0.12720848056537,0.021001458434613,NA,0.49945513984744,14.934782608696,0,0.0455,6.2517,30.5,21.1582,30.5,0.30629,0.3030303030303,148.2,1.9372549019608,4.8590163934426,4.8590163934426,21.1582,169.8,0,1.59,12.51572327044,-0.015,NA,0.20138408304498,NA,0.1462,0,76.5,137.4,0.23580786026201,0.19081272084806,9.2,0,0.67953260869565,2.0913242009132,0,0,NA,0.27657718954248,0.1400304414003,5.8,19.9,32.4,15305,NA,9.9,13.878787878788,NA,0.55,1.7308868501529
"3",2009-12-31,6.3,0.43,0.2939,0.33369214208827,61.9,897.3,0,27.1,0.14063310845874,0.030201716259891,NA,0.46784620619258,18.375,0,0.0358,5.7889,28.2,19.288,28.2,0.31603,0.3125,165.6,2.516717325228,5.8723404255319,5.8723404255319,19.288,192.7,0,NA,NA,-0.015,NA,0.15879292403746,NA,0.1533,0,65.8,161.7,0.19171304885591,0.16087182148417,8.8,0,0.657825,2.6122778675283,0,0,NA,0.29313,0.1421647819063,7.2,24.65,31,9241,NA,9,17.966666666667,NA,0.55,2.0742734122713
"4",2008-12-31,6.2,0.29,0.2372,0.21097046413502,56.1,839.1,0,24.7,0.15125535823638,0.029436300798475,NA,0.33726812816189,16.852272727273,0,0.0386,5.7244,24,16.1069,24,0.32888,NA,138.6,2.9870689655172,5.775,5.775,NA,163.3,0,NA,NA,0.01,NA,0.25500212856535,NA,0.1343,0,46.4,148.3,0.10114632501686,0.091855480710349,8.8,0,0.65049772727273,2.6434937611408,NA,NA,NA,0.34713103448276,0.15686274509804,9,24.04,15,10924,NA,8.7,17.045977011494,NA,0.5,2.2967651195499
"5",2007-12-31,6.1,0.2,0.1463,0,51.1,607.4,0,14.2,0.12188841201717,0.02337833388212,NA,0.6015037593985,14.036144578313,0,0,0,20.6,13.8492,20.6,0.32771,NA,102.3,2.7723577235772,4.9660194174757,4.9660194174757,NA,116.5,0,NA,NA,0.05,NA,0.18269230769231,NA,0.0509,0,36.9,116.5,0,0,8.3,0,0,2.279843444227,NA,NA,NA,0.37531636856369,0.16242661448141,10.1,19.52,0,2300,NA,8.6,13.546511627907,NA,0.55,2.279843444227
"6",2006-12-31,6.1,0.38,0.1153,0,45.5,573.6,0,13.2,0.08997955010225,0.023012552301255,NA,0.76322636600173,17.890243902439,0,0,0,19.3,13.1161,19.3,0.32041,NA,133.5,4.1331269349845,6.9170984455959,6.9170984455959,NA,146.7,0,NA,NA,0.09,NA,0.045643153526971,NA,0.0317,0,32.3,146.7,0,0,8.2,0,0,3.2241758241758,NA,NA,NA,0.40607080495356,0.18021978021978,7.9,23.75,0,5850,NA,8.2,17.890243902439,NA,0.55,3.2241758241758
"7",2005-12-31,6.2,0.87,0.1833,0,46.7,533.4,0,15.6,0.10663021189337,0.029246344206974,NA,0.52373158756137,15.239583333333,0,0,0,21.4,14.1514,21.4,0.33872,NA,130.7,4.2025723472669,6.107476635514,6.107476635514,NA,146.3,0,NA,NA,0.12,NA,0.060665362035225,NA,0.0323,0,31.1,146.3,0,0,9.6,0,0,3.1327623126338,NA,NA,NA,0.45502868167203,0.20556745182013,4,24,0,2000,NA,8.7,16.816091954023,NA,0.6,3.1327623126338
"8",2004-12-31,6.3,0.47,0.182,0,NA,547.2,0,8.7,0.057577763070814,0.015899122807017,0,0.51648351648352,14.528846153846,0,0.037246963562753,5.796,NA,NA,NA,0.35738,NA,142.4,3.6987012987013,NA,NA,NA,151.1,0,NA,NA,NA,0,0.15789473684211,NA,0.0287,0,38.5,151.1,0,0,10.4,0,0.55730769230769,3.2012711864407,0,NA,NA,NA,0.22033898305085,2.3,24.7,0,680,NA,10,15.11,0,0.6,3.2012711864407
"9",2003-12-31,6.2,0,0,0,NA,511.6,0,12.9,0.067503924646782,NA,0,NA,19.90625,0,0.023567921440262,4.464,NA,NA,NA,0.36378,NA,178.2,5.9598662207358,NA,NA,NA,191.1,0,NA,NA,NA,0,0.22353397921189,NA,0.0423,0,29.9,191.1,0,0,9.6,0,0.465,4.464953271028,0,NA,NA,NA,0.22429906542056,2.6,30.55,0,450,NA,10,19.11,0,0.6,4.464953271028
"10",2002-12-31,4.1,0,0,0,NA,464,0,10.7,0.073895027624309,NA,0,0,17.035294117647,0,0.022651933701657,3.28,19.1,12.2876,19.1,0.35667,NA,134.1,NA,7.020942408377,7.020942408377,12.2876,144.8,0,NA,NA,NA,0,NA,NA,0.0321,0,29.3,144.8,0,0,8.5,0,0.38588235294118,3.62,0,0,0,0.41937211604096,0.2125,4.5,35,0,1850,0,9.5,15.242105263158,0,NA,4.5767918088737
