"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Change in Non-Cash Working Capital","Correlation with the Market","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Enterprise Value","EV to Trailing Sales Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Forward Earnings Per Share","Forward PE Ratio","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Revenues","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta"
"1",2011-12-31,0,1.44,0.2834,NA,NA,NA,0,0,NA,NA,NA,0.8,0,NA,0,NA,NA,NA,0,0,0,NA,0.0268,NA,0,1.34,9.1,NA,0.1678,NA,0.9438,NA,0,NA,NA,0,NA,0,NA,NA,NA,0,NA,0,12.19,0,785051,566.4,-9.1,NA,566.4,1.35
"2",2008-12-31,0,2.67,0.9853,NA,NA,NA,0,0,NA,NA,NA,0.21922257180554,0,NA,0,NA,NA,NA,0,0,0,NA,0.02,NA,0,1.84,6.195652173913,NA,0.66113416320885,NA,0.912,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,11.4,0,2747600,599.1,-8.8,NA,599.1,1.35
"3",2007-12-31,0,2.09,0.4452,NA,0,0,0,0,NA,NA,NA,0.50314465408805,0,NA,0,0,0,0,0,0,0,NA,0.0276,NA,0,2.4,3.2125,NA,0.70838709677419,NA,0.924,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,7.71,0,1888865,643.8,201.4,0,643.8,1.4
"4",2006-12-31,0,1.73,0.2559,NA,0,0,0,0,NA,NA,NA,0.53145760062524,0,NA,0,0,0,0,0,0,0,NA,0.035,NA,0,2.58,6.3527131782946,NA,0.35416666666667,NA,NA,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,16.39,0,1030131,677.5,0.6,0,677.5,0.85
"5",2005-12-31,0,0.94,0.2189,NA,0,0,0,0,NA,NA,NA,0.58474189127456,0,NA,0,0,0,0,0,0,0,NA,0.0471,NA,0,2.51,13.247011952191,NA,0.13234591495461,NA,NA,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,33.25,0,400100,618.9,-11.2,NA,618.9,0.8
"6",2004-12-31,0,0.14,0.1918,NA,NA,0,0,0,NA,0,0,0.14598540145985,0,0,0,NA,NA,NA,0,0,NA,NA,0.045,NA,0,2.47,11.307692307692,0,0.12715008431703,NA,0.9603,0,0,NA,NA,0,NA,0,NA,NA,NA,0,NA,0,27.93,0,403100,385.4,40.4,0,385.4,0.75
"7",2003-12-31,0,0.1,0.1919,NA,NA,0,0,0,NA,0,0,0.10422094841063,0,0,0,NA,NA,NA,0,0,0,NA,0.0586,NA,0,NA,NA,0,0.13433934486566,NA,0.8503,0,0,NA,NA,0,NA,0,NA,NA,NA,0,NA,0,29.16,0,135400,294.8,101.2,0,294.8,0.7
"8",2002-12-31,0,0.14,0.1833,NA,NA,0,0,0,NA,NA,0,0.1728,0,NA,0,0,0,0,0,0,NA,NA,0.0444,0,0,2.68,10.167910447761,0,0.183525394793,NA,0.7376,0,0,NA,NA,0,NA,0,NA,NA,NA,0,0,0,27.25,0,150155,301.2,55.8,0,301.2,0.7
"9",2001-12-31,NA,0.09,0.1957,0,NA,0,0,0,NA,NA,0,0.0796,0,0.0848,0,NA,NA,NA,0,0,NA,NA,0.0457,NA,0,NA,NA,NA,0.17489390216663,0,0.7254,0,0,NA,NA,0,NA,0,NA,NA,NA,0,NA,0,20.11,0,165900,0,0,NA,0,0.7
"10",2000-12-31,NA,0.6,0.2048,NA,NA,0,0,0,NA,NA,NA,0.6,0,NA,0,NA,NA,NA,0,0,NA,NA,0.0543,NA,0,NA,7.4063604240283,NA,0.11764705882353,NA,0.7394,0,0,NA,NA,0,NA,0,NA,NA,NA,0,NA,NA,20.96,0,NA,NA,NA,NA,NA,NA
"11",1999-12-31,NA,NA,0.2107,NA,NA,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,727,NA,2.5313370473538,0.0804,0,727,NA,7.3835125448029,0,0.17984296009465,NA,0.7066,0,727,0,0,NA,0.17305013927577,NA,0,0,2.5313370473538,NA,NA,0,NA,NA,NA,NA,49.7,14.627766599598,287.2,NA
