"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,29.6,3.07,1.1497,0,4.1,23.6,0.3,10.8,0.0877,3.2727,0.4576,-226.67,0.67,NA,1.3,0,0,-111,-111.06,-110,0,NA,112.3,NA,2.45,NA,NA,34.03,116.61,123.1,0.1398,0.01,431,0.565,0.799,NA,0.463,0.3771,-6.7,123.1,0,0,-23.3,-7.0606,-17.6,-5.3333,NA,30.02,-33.6545,37.3,-227.67,NA,3.3,NA,-5.6829,7.7,4.31,0,226193,45.8,-0.6,45.8,1.15,NA
"2",2010-12-31,24,1.46,0.638,0,9.8,33.6,0.1,18.2,0.69201520912547,5.3529411764706,0.54166666666667,0,0.45062695924765,NA,1.3,0,0,-16.0873,-16.0873,-14.7873,0,NA,8.1,NA,2.3823529411765,NA,NA,2.3823529411765,-14.8873,26.3,0.10119047619048,NA,NA,NA,0.6804979253112,NA,0.2902,0.29166666666667,-8.4,26.3,0,0,-12.8,-3.7647058823529,-21.4,-6.2941176470588,NA,2.6836734693878,-4.7315529411765,7.7352941176471,-1.2,NA,3.4,NA,-1.3061224489796,8,0.81,0,176481,3.4,-12.8,3.4,1.15,NA
"3",2009-12-31,21.2,1.2,0.6046,0,14.5,39.7,0.8,23.9,0.3604826546003,0.38057324840764,0.60201511335013,NA,0.41349652662918,2.0090909090909,0.9,0,0,40.1,39.7251,41,0.00935,0.011976047904192,42.4,NA,NA,1.0573566084788,1.0341463414634,0.67515923566879,39.8251,66.3,0.093198992443325,NA,NA,NA,0.35365853658537,NA,0.1256,0.24685138539043,-9.4,66.3,0,0,33,0.52547770700637,-22,-0.35031847133758,0,4.5724137931034,0.63853503184713,1.0557324840764,-0.1,-0.0025173023631302,62.8,NA,2.2758620689655,10.3,3.55,0,131094,NA,NA,NA,1,NA
"4",2008-12-31,19.2,0.8,0.7338,NA,-33.6,13.3,2.1,0.9,0.010688836104513,3,0.067669172932331,14.8333,0.20714091032979,NA,0.8,0,0,-20.4186,-20.4186,-19.6186,0,NA,83.3,NA,416.5,NA,NA,277.66666666667,-36.552,84.2,0.0075187969924812,NA,NA,0.2476,0.54808590102708,NA,0.1682,0.6390977443609,-34.4,84.1,0.0011890606420928,0.001187648456057,-17.2,-57.333333333333,-44.5,-148.33333333333,NA,NA,-68.062066666667,280.33333333333,16.1333,NA,0.3,NA,NA,7.3,3.93,0.1,232386,0.2,-26.7,0.2,0.95,NA
"5",2007-12-31,19.1,1.13,0.7284,NA,-18.8,28,0.8,16.6,0.33671399594321,83,0.59285714285714,0,0.24162548050522,NA,0.7,0,0,-0.7,-0.7,0,0,NA,32.7,NA,163.5,NA,NA,163.5,-0.8,49.3,0.0071428571428571,NA,NA,-0.4708,0.50237717908082,NA,0.0597,0.32857142857143,-34,47.9,0.029227557411273,0.028397565922921,-21.6,-108,-12.3,-61.5,NA,NA,-3.5,239.5,0.1,NA,0.2,NA,NA,7.5,2.79,1.4,23820,0.2,-26.7,0.2,1.1,NA
"6",2006-12-31,14,0.33,0.6478,NA,-11.4,9.8,0,2.2,0.036912751677852,0.78571428571429,0.22448979591837,0,0.24698981167027,NA,0.7,0,0,-11.667,-11.667,-10.967,0,NA,57.4,NA,20.5,NA,NA,20.5,-10.967,59.6,0.040816326530612,NA,NA,1.7475,0.57183634633682,NA,0.0681,0.6734693877551,-7.6,53.6,0.11194029850746,0.1006711409396,-14.3,-5.1071428571429,-9.7,-3.4642857142857,NA,NA,-4.1668,19.142857142857,-0.7,NA,2.8,NA,NA,5.1,2.91,6,20765,2.8,-22.5,2.8,1,NA
"7",2005-12-31,11.8,2.67,0.4969,0.94117647058823,5.4,11.7,0,4.9,0.096646942800789,5.4444444444444,0.41880341880342,NA,0.33809619641779,NA,0.7,0,0,-9.6629,-9.6629,-8.9629,0,NA,45.8,12.378378378378,NA,NA,NA,50.888888888889,NA,50.7,0.051282051282051,NA,NA,-0.711,0.35672514619883,NA,0.1028,0.42735042735043,3.7,47.5,0.067368421052632,0.063116370808679,-10.5,-11.666666666667,-2.8,-3.1111111111111,NA,8.7962962962963,-10.736577777778,52.777777777778,NA,NA,0.9,-2.6116,-1.9444444444444,3.6,3.1871,3.2,81262,NA,-14.4,NA,1.05,5.8953488372093
"8",2004-12-31,7.1,3.01,0.6716,0.076923076923077,NA,7.4,0.1,0.8,0.042780748663102,0.5,0.10810810810811,0.0667,0.89636688505063,NA,0.5,0,0,-5.3182,-5.3182,-4.8182,0,NA,17.9,1.6422018348624,11.1875,NA,NA,9.9444444444444,-4.9849,18.7,0.12162162162162,NA,NA,-0.403,0.41030195381883,NA,0.0248,0.72972972972973,10.9,18.2,0.027472527472527,0.026737967914438,-5.5,-3.0555555555556,-0.6,-0.33333333333333,NA,22.75,-2.9545777777778,10.111111111111,-0.3333,0.062677376976845,1.8,-0.4879119266055,-0.91666666666667,3,2.48,0.5,52800,1.6,-7.2,1.6,0.95,2.8769230769231
"9",2003-12-31,7,0,0,0.225,NA,4.3,0.8,2.6,0.090277777777778,NA,NA,0.1,NA,NA,0.2,0,0,-2.1066,-2.1066,-1.9066,0,NA,26.2,18.714285714286,NA,NA,NA,9.0344827586207,-2.8066,28.8,0.25581395348837,NA,NA,2.564,0.50326797385621,NA,0.0026,0.11627906976744,1.4,27.9,0.032258064516129,0.03125,-2.5,-0.86206896551724,-0.1,-0.03448275862069,NA,9,-0.7264,9.6206896551724,0.7,-0.33229530609145,2.9,-1.5046857142857,-0.80645161290323,2.6,3.4,0.9,32100,NA,0,0,0.95,7.2
"10",2002-12-31,7.1,0,0,0,NA,8.4,0.3,5.2,0.28260869565217,6.5,NA,-1.5,0,NA,0.1,0,0,-2.2681,-2.2681,-2.1681,0,NA,13.2,NA,NA,NA,NA,16.5,-2.4681,18.4,0.047619047619048,NA,NA,0.2172,0.55038759689923,NA,NA,0.059523809523809,0.6,18.4,0,0,-3,-3.75,-0.4,-0.5,NA,3.1724137931035,-2.8351,23,0.2,NA,0.8,-3.7801333333333,-0.51724137931034,3.1,2.9,0,26881,0,NA,0,NA,22
