"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,47.8,1.39,0.309,0.2625,632,1608.2,49.6,156.1,0.1272,0.0755,0.0971,-19.2,0.8,17.34,63.7,0.0229,22.94,91,66.05,155,0.275,0.2748,1071.3,1.53,0.54,11.76,6.92,0.52,0.125,0.045,99.35,1227.4,0.1873,NA,NA,-0.075,-0.03,0.1733,0.042,0.9855,0.1814,700.9,1002.4,0.2245,0.1833,57.8,0.028,449.4,0.2175,0.4607,1.59,1.39,0.0441,0.49,-33.3,-0.5042,2066.5,0.0942,0.0915,290.4,21.08,225,448279,1978.2,49.8,20.13,1978.2,1.15,1.43
"2",2010-12-31,50.1,1.56,0.4563,0.24092871310232,650.6,1690.1,44.4,116.6,0.11577797636779,0.057497904235909,0.068990000591681,30.9458,0.60267367959676,14.270944741533,66.2,0.0289,23.1373,99.7,69.0383,165.9,0.30754,0.30826140567201,890.5,1.202565833896,0.40976440272409,8.9317953861585,5.3676913803496,0.43912421717047,0.335,0.04,59.8924,1007.1,0.19986983018756,NA,NA,-0.245,-0.0356,0.32348111658457,0.0969,0.9223,0.20312407549849,740.5,800.6,0.2579315513365,0.20504418627743,56.1,0.027664086000296,431.9,0.2129789437349,0.4124303030303,1.2305564094682,0.42599835049352,0.04916415996844,0.39479264263524,9.1458,0.13247495315975,2027.9,0.093231954085078,0.0862280971411,280.2,15.49,206.5,494872,2173.2,59.5,13.455462184874,2173.2,1.1,1.1750087504375
"3",2009-12-31,50.1,1.08,0.4569,0.24092871310232,650.6,1690.1,44.4,116.6,0.095479855879463,0.057497904235909,0.068990000591681,2.0233,0.60188224994528,18.087344028521,66.2,0.0218,22.1205,99.7,69.0383,165.9,0.30754,0.30826140567201,1104.6,1.4916948008103,0.54216157848238,11.079237713139,6.6582278481013,0.54470141525716,0.435,0.045,88.815,1221.2,0.19986983018756,NA,NA,-0.245,-0.0356,0.21482223335003,0.0969,0.9224,0.20312407549849,740.5,1014.7,0.2035084261358,0.16909597117589,56.1,0.027664086000296,431.9,0.2129789437349,0.39430409982175,1.5596372579158,0.4158010121499,0.04916415996844,0.50036984072193,-19.7767,-0.28645999278659,2027.9,0.093231954085078,0.0862280971411,280.2,19.69,206.5,369134,2037.4,56.9,17.833040421793,2037.4,1.1,1.424804573562
"4",2008-12-31,49.8,0.89,0.4263,0.29025337147528,694.7,1619,43,16,0.012184905947757,0.0076474524424051,0.0098826436071649,-34.7373,0.41285479709125,28.985915492958,67.8,0.0214,22.0206,72.9,57.4853,140.7,0.21145,NA,1297.1,1.347216452015,0.66222494511666,17.792866941015,9.2189054726368,0.61996941019023,0.495,0.025,117.0226,1313.1,0.22495367510809,NA,NA,-0.27,-0.0297,0.35422106179286,0.084,0.902,0.21371216800494,962.8,1029,0.27609329446064,0.21635823623486,35.5,0.016967785106586,544.4,0.26020456935283,0.6202985915493,1.481214912912,0.58557405036278,0.034843705190708,0.49182678520218,-59.5373,-1.0356963464935,2092.2,0.059706372039884,0.051101194760328,265.3,18.71,284.1,609383,1958.7,46.1,22.321041214751,1958.7,1.1,1.3415406620351
"5",2007-12-31,49.7,0.17,0.2821,0.30561313323937,837.5,1833.3,65.5,32.5,0.027942567277104,0.015106442316631,0.017727595047183,-26.0631,0.56717476072315,NA,68.9,0.05504845814978,43.736,26.3,26.3,95.2,0,NA,1130.6,0.96336059986367,0.50416945373467,42.988593155893,11.876050420168,0.52551826717486,0.285,0.055,55.7631,1163.1,0.21371297659957,NA,NA,-0.1,-0.0041,0.37932945414242,0.06,NA,0.18491245295369,1173.6,794.5,0.46393958464443,0.3169117014874,-2.4,-0.001115552663382,615.5,0.28609277679651,NA,0.94865671641791,NA,0.012224597936228,0.36929441294041,-29.4631,-1.1202681355955,2151.4,0.022409679618269,-0.002865671641791,281,17.59,368.6,821542,2242.5,16.4,48.445121951219,2242.5,1,0.96434789818423
"6",2006-12-31,49.6,1,0.265,0.31384315951667,846.1,1887.2,68,29.5,0.018951561094694,0.013675134433525,0.015631623569309,-8.1423,0.69433962264151,44.471482889734,74.3,0.037318741450068,43.648,64.6,47.5818,138.9,0.26344,NA,1527.1,1.2687770023264,0.69867776913575,23.639318885449,10.994240460763,0.70790839977749,0.145,0.05,62.0241,1556.6,0.20575455701569,1.66,12.813253012048,0.005,-0.1244,0.22434017595308,0.05,NA,0.18159177617635,1203.6,1169.6,0.33088235294118,0.24861878453039,26.3,0.012191730020397,616.3,0.2856944186909,1.6596197718631,1.3823425127053,3.0669988199816,0.029946226590024,0.54218431299833,-14.4423,-0.30352568035061,2157.2,0.039532881355932,0.031083796241579,265.6,21.27,387,616500,2185.7,23.8,49.142857142857,2185.7,1.15,1.2623469305004
"7",2005-12-31,51.2,1.53,0.275,0.28151382823872,987.2,1944.2,69.5,95.1,0.054380146386093,0.037408543780977,0.048914720707746,40.7304,0.61090909090909,13.88379204893,77.2,0.033080763582966,45.056,176,118.3406,253.2,0.32761,NA,1653.7,1.2930643521776,0.69814666272639,9.3960227272727,6.5312006319115,0.65049956730391,0.1,0.07,85.3102,1748.8,0.22132496656723,1.96,13.75,0.04,-0.0307,0.24682170542636,0.05,0.8451,0.17822240510236,1278.9,1362,0.28399412628488,0.2211802378774,98.1,0.038588624026434,596.8,0.23475729682952,0.45928644240571,1.379659643436,1.388379204893,0.069231374400126,0.53575643143734,33.0304,0.27911283055357,2542.2,0.092533145672062,0.099371961102107,315.7,26.95,386.8,364100,2368.7,79.6,17.110552763819,2368.7,1.05,1.2727802037846
"8",2004-12-31,51.8,1.03,0.2471,0.35373210262374,NA,1999,86.1,161.6,0.064154988288539,0.059246223786479,0.080840420210105,16.5779,0.83367057871307,14.231092436975,73.5,0.022750775594623,45.584,229.9551,153.9411,303.4551,0.33056,NA,2357.3,1.9412830437289,0.86423962457838,10.251132971323,7.7682010717435,0.88790538250028,0.14,0.075,124.7633,2518.9,0.21750875437719,NA,NA,0.025,0.3435,0.15568944269478,0.042,0.845,0.17483741870936,1214.3,2032.2,0.23949414427714,0.19321926237643,142.8,0.053787336622848,605.4,0.22803118761535,0.31921568627451,2.2854251012146,1.0165066026411,0.086615341444122,0.76545255941843,29.1779,0.18953913645057,2654.9,0.1267735502436,0.16059379217274,275.1,38.68,486.7,299700,2727.6,142.3,14.281096275474,2727.6,1.05,1.8307289773966
"9",2003-12-31,51.1,0.94,0.264,0.30788114788792,NA,1637.2,53,342.4,0.13664844155326,0.16661800486618,NA,18.9076,0.71212121212121,15.738427626745,66.9,0.016504854368932,34.748,301.068,199.8971,367.968,0.33604,NA,2163.3,2.5787340565026,1.052700729927,7.1854189504804,5.8790431908162,1.1108657697443,0.145,0.065,194.8895,2505.7,0.21774981676032,NA,NA,0.035,0.0019,0.1682856392754,0.039,0.8137,0.092841436599072,838.9,2142,0.16979458450047,0.14514906014287,136.1,0.069888055869364,342.2,0.1757214747869,0.25531227038942,2.6198630136986,1.0854088018445,0.1546,1.0999281092739,5.0076,0.025051037705303,1947.4,0.23828482040577,0.16646281800391,205.7,41.2,363.7,151800,2055,130.6,16.401225114855,2055,1.1,2.1211377296199
"10",2002-12-31,21.8,1.01,0.2992,0.49574072260844,NA,1475.2,40.2,324.8,0.16033172080166,0.19594594594595,NA,23.6,0.7462,18.852357320099,63.5,0.018937808489635,28.776,152.4,103.6381,215.9,0.31996,NA,1701,NA,NA,11.161417322835,7.8786475220009,1.0261824324324,0.17,0.03,126.9381,2025.8,0.2513557483731,NA,NA,NA,0.0766,0.30024625876113,0.049,0.8119,0.10832429501085,696.5,1519.5,0.33320171108917,0.2499259551782,80.6,0.048624517374517,183.8,0.11088320463321,0.3570223325062,2.9504854368932,1.1089621953,0.091940154440155,0.91668677606178,-23.3,-0.22482080334629,1657.6,0.1487984149318,0.15650485436893,178,68.27,506.3,175219,1752.5,80.6,18.852357320099,1752.5,1.05,2.4422110552764
"11",2001-12-31,NA,1.15,0.3976,0.5348,NA,1349,43.9,215.9,0.15020175316544,0.14116647051131,NA,2.5075,0.5044,17.335216572505,66,0.0301,27.707,184.3199,121.6124,250.3199,0.34021,NA,1221.5,NA,NA,6.6270652273574,4.8797558643959,0.79867922060939,0.105,NA,141.2049,1437.4,0.29295774647887,NA,NA,0.025,0.1631,0.22289613343442,0.074,0.8366,0.11934766493699,750.618,920.5,0.56154263986964,0.35960762487825,53.1,0.034719497842291,205.871,0.13460899699229,0.52179001883239,2.0473754448399,1.6509730069052,0.079516429201648,0.60187001438473,-19.5925,-0.1611060687806,NA,0.16201640091365,0.11810498220641,153.7,42.55,516.9,87400,1529.4,53.1,17.335216572505,1548,1,1.9149554100754
"12",2000-12-31,NA,0.95,0.4267,0.35698822892707,NA,1296.2,61.3,88.7,0.061601500104174,0.067586101798232,NA,-35.5166,0.66791656901804,19.004166666667,59.7,0.029361982021486,26.784,158.8004,106.0834,218.5004,0.33197,NA,1351.2,NA,NA,8.5087946881746,6.1839703725943,1.0295641572691,0.08,NA,155.5818,1439.9,0.321246721185,NA,NA,NA,-0.1692,0.239987183595,0.062,0.8276,NA,861.8,912.2,0.57849155886867,0.36648378359608,48,0.036574215178299,302,0.2301127704968,0.558,2.1575212866604,237.55208333333,0.08083163,0.69506248095093,-49.4984,-0.46659878394281,NA,0.12309518590392,0.11352885525071,139.9018,42.34,527.7,NA,1312.4,36.9,24.720867208672,1352.5,NA,1.5148869016307
