"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Non-Cash Working Capital","Payout Ratio","Price to Book Value Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-11-22,3.9,0.45,0.1626,0.7143,118.3,1167.5,0,8.7,0.0205,0.0075,NA,0.69,11.75,0,0.0362,4.68,36,25.71,36,0.2878,0.2903,416.3,1.03,11.53,11.53,25.71,425,0,3.26,10.32,0.075,NA,0.1301,NA,0.4233,0.0027,405.3,129.3,2.2869,0.6958,11,0,0.3868,1.09,0,0,NA,0.0634,0.093,8.8,33.65,295.7,3726,NA,12.1,10.69,NA,0.65,1.03
"2",2010-11-22,3.8,0.7,0.2461,0.72247522100188,103.6,1117.9,0,12.8,0.033126293995859,0.011450040254048,NA,0.66030069077611,10.906542056075,0,0.0373,4.3529,36.5,26.3056,36.5,0.2793,0.27702702702703,373.6,1.0363384188627,10.235616438356,10.235616438356,26.3056,386.4,0,3.02,9.9271523178808,0.09,NA,0.061653116531165,NA,0.4047,0.0028625100635119,360.5,116.7,2.3110539845758,0.69798136645963,10.7,0,0.40681401869159,1.1264478764479,0,0,NA,0.072969625520111,0.10328185328185,9.9,29.98,269.7,3105,NA,10.7,10.906542056075,NA,0.65,1.035092418966
"3",2009-11-22,3.7,0.64,0.2543,0.7410445720536,94.7,1072.4,0,9.8,0.026077700904737,0.0091383812010444,NA,0.63900904443571,10.076923076923,0,0.0382,4.0034,38.1,27.4952,38.1,0.27834,0.27272727272727,366,1.0283787580781,9.6062992125984,9.6062992125984,27.4952,375.8,0,NA,NA,0.12,NA,0.11231101511879,NA,0.391,0.0029839612085043,355.9,104.8,2.5858778625954,0.72112825971261,10.4,0,0.38493846153846,1.1066525871172,0,0,NA,0.077255538072492,0.10982048574446,10.7,29.05,271,4565,NA,10.5,9.9809523809524,NA,0.65,1.0276182663385
"4",2008-11-22,2.9,0.63,0.2328,0.82223430279967,65.4,972.3,0,9,0.023584905660377,0.0092564023449553,NA,0.48109965635739,10.272727272727,0,0.038,3.0058,34.2,23.7878,34.2,0.30445,NA,372.6,1.0381721928114,10.894736842105,10.894736842105,NA,381.6,0,NA,NA,NA,NA,0.36563876651982,NA,0.3389,0.0032911652782063,358.9,79.1,3.8242730720607,0.79271488469602,7.7,0,0.39036363636364,1.2094801223242,NA,NA,NA,0.066279771524101,0.1177370030581,15,27.45,302.5,6636,NA,10.5,7.5333333333333,NA,0.7,1.0372383799946
"5",2007-11-22,3,0.4,0.1402,0.80091234929945,61.1,824.9,0,11.8,0.036476043276661,0.014304764213844,NA,0.62767475035663,11.260869565217,0,0,0,30.7,21.6291,30.7,0.29547,NA,311.7,1.0562521179261,10.153094462541,10.153094462541,NA,323.5,0,NA,NA,0.1,NA,0.24878048780488,NA,0.2599,0.004121711722633,295.1,77.7,3.1634491634492,0.75981452859351,6.9,0,0,1.2716857610475,NA,NA,NA,0.073294039308709,0.11292962356792,13,26.21,245.8,1050,NA,8.1,9.5925925925926,NA,0.55,1.0540892798957
"6",2006-11-22,3,0.55,0.1224,0.80091234929945,61.1,824.9,0,11.8,0.034665099882491,0.014304764213844,NA,0.7843137254902,13.710144927536,0,0,0,30.7,21.6291,30.7,0.29547,NA,328.6,1.1135208403931,10.703583061889,10.703583061889,NA,340.4,0,NA,NA,0.1,NA,0.086012730536968,NA,0.233,0.004121711722633,295.1,94.6,2.5983086680761,0.72209165687427,6.9,0,0,1.5482815057283,NA,NA,NA,0.073294039308709,0.11292962356792,13,31,245.8,1200,NA,6.9,13.710144927536,NA,0.6,1.109156076898
"7",2005-11-22,3.1,0.64,0.1382,0.65896656534954,56.1,747.9,0,11,0.053423992229238,0.014707848642867,NA,0.57887120115774,15.234375,0,0.029251282051282,2.852,26.9,19.1878,26.9,0.2867,NA,194.9,1.2697068403909,7.2453531598513,7.2453531598513,NA,205.9,0,NA,NA,0.05,NA,0.10535405872193,NA,0.1739,0.0045460623077952,153.5,97.5,1.1117948717949,0.5264691597863,6.4,0,0.445625,1.7379679144385,NA,NA,NA,0.12500175895766,0.11408199643494,6.9,31.75,108.4,500,NA,6.9,14.130434782609,NA,0.5,1.2516717325228
"8",2004-11-22,3.1,0,0,0.67648757943385,NA,666.8,0,8.9,0.044723618090452,0.013347330533893,0,NA,14.368421052632,0,0,0,NA,NA,NA,0.27027,NA,190.1,1.1577344701583,NA,NA,NA,199,0,NA,NA,NA,0,0.072645739910314,NA,0.1446,0.0047990401919616,164.2,81.9,1.4297924297924,0.58844221105528,5.7,0,0,1.4625,0,NA,NA,NA,0.10178571428571,4.4,26.32,117.1,2600,NA,6.4,12.796875,0,0.55,1.1496244945118
"9",2003-11-22,3.1,0,0,0.76252236135957,NA,583.7,0,14.2,0.054847431440711,NA,0,NA,17,0,0.027605244996549,2.48,NA,NA,NA,0.26652,NA,244.7,1.1685768863419,NA,NA,NA,258.9,0,NA,NA,NA,0,0.074349442379182,NA,0.1083,0.00051396265204728,209.4,88.4,1.9287330316742,0.65855542680572,5.2,0,0.47692307692308,1.6647834274953,0,NA,NA,NA,0.097928436911488,4.3,28.98,170.5,600,NA,5.3,16.679245283019,0,0.55,1.1578711985689
"10",2002-11-22,3.2,0,0,0.74429657794677,NA,553.8,0,11.5,0.048097030531158,NA,0,0,17.1875,0,0.029478787878788,2.432,23.6,17.3274,23.6,0.26579,NA,227.6,NA,9.6440677966102,9.6440677966102,17.3274,239.1,0,NA,NA,NA,0,0.20237010027347,NA,0.0972,0.00072228241242326,198.9,82.5,1.8981818181818,0.65495608531995,4.8,0,0.50666666666667,1.5334572490706,0,0,0,0.087115917546506,0.089219330855019,5.9,26.5,156.6,2164,0,5.2,15.865384615385,0,0.5,1.1442936148819
