"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2012-04-30,57.7,0.64,0.8085,0.2565,939.9,3765.2,163.6,54.1,0.0466,0.0076,0.0144,0.45,0.2,NA,232.7,0,0,-61,-61.3,171,0,NA,1105.8,0.91,0.15,NA,6.45,0.16,NA,0.015,7.35,1159.9,0.1654,-0.62,NA,NA,0.085,0.471,0.337,0.5197,0.2878,1210,835.7,0.3879,0.2795,-68.9,-0.0097,116.3,0.0163,NA,0.89,NA,-0.0086,0.12,-68.65,NA,7129.2,-0.0507,-0.0733,1739.5,15.09,324.2,1662799,7156.8,-47.3,NA,7156.8,1,0.92
"2",2011-04-30,60.2,0.92,0.7591,0.27634598411297,819.9,3596.5,110.5,59.4,0.051800819743612,0.0084874117680679,0.016516057277909,-0.0552,0.34580424186537,NA,228.6,0,0,-65.1,-65.1,163.5,0,NA,1087.3,1.012760804769,0.15517782725352,NA,6.6501529051988,0.15535964335724,0.21,0.04,53.0552,1146.7,0.1959404977061,0.12,120.66666666667,-0.34,0.178,0.4273127753304,0.36,0.4322,0.30326706520228,1073.6,833.6,0.37559980806142,0.27304438824453,-73.9,-0.010559254708084,-47.1,-0.0067299174120538,NA,1.0167093547994,NA,-0.0093018603720744,0.11910953619295,-118.1552,NA,6998.6,-0.060637108792846,-0.090132943041834,1629.4,14.48,313.1,1221508,7006.8,-67.9,NA,7006.8,1.05,1.0120917917034
"3",2010-04-30,58.9,1.18,0.5358,0.22405782137326,901.8,3705.7,127.8,61,0.058261700095511,0.010498055278285,0.016461127452303,-11.178,0.48992161254199,34.651982378855,207.8,0.0709,55.7699,56,45.5991,263.8,0.18573,0.18345323741007,986,0.89538685070832,0.14508107471823,17.607142857143,3.737680060652,0.16968987712112,NA,0.045,136.7771,1047,0.21912189329951,-0.36,NA,-0.065,0.0676,0.35027322404372,0.371,0.4477,0.29940362144804,1101.2,786.6,0.33104500381388,0.2487106017192,22.7,0.0039066533576567,-65.9,-0.011341341685884,2.4568255506608,0.87225548902196,NA,0.0096375589439989,0.13537328330981,-91.178,-1.9995567099893,5810.6,0.0414085724664,0.025171878465292,1392.2,14.15,260.4,742024,6796.2,75.4,10.432360742706,6796.2,1.05,0.90087764584409
"4",2009-04-30,55.4,1.22,0.472,0,921.6,2993.9,192.2,281.6,0.27265685515105,0.054980670857902,0.094057917766125,0.4554,0.35593220338983,11.552572706935,173.6,0.0523,54.0154,149.9,90.7974,323.5,0.39428,NA,751.2,1.17375,0.14865827594396,5.0113408939293,2.3221020092736,0.14666718731696,0.025,0.085,71.742,1032.8,0.27412405223955,1.56,12.224358974359,0.045,0.0305,0.32048635008029,0.371,0.753,0.10805304118374,640,1032.8,0,0,89.4,0.017454801046507,-34,-0.006638291225741,0.60419955257271,1.1206597222222,4.621029082774,0.029267054551134,0.20164785817486,19.0554,0.2098670325561,5121.8,0.14187098125,0.097005208333333,1264.3,19.07,0,1241573,5053.2,74.6,13.844504021448,5053.2,1.05,1.1206597222222
"5",2008-04-30,60.3,1.34,0.319,0,1074.7,3249.8,196.5,361,0.48456375838926,0.066718415021808,0.11108375900055,0.1603,0.50156739811912,6.0177705977383,172.2,0.080939597315436,60.3,208.1,126.0087,380.3,0.39448,NA,384,0.5380411937789,0.071762287422912,1.8452666987025,1.0097291611885,0.07096917276558,0.085,0.06,101.5485,745,0.25373869161179,1.85,8.1081081081081,0.155,0.1102,0.54614412136536,0.369,0.7341,0.10563726998584,713.7,745,0,0,123.8,0.022880165594737,14.5,0.002679825534117,0.48707592891761,0.69321671164046,0.70797301149862,0.03846011680343,0.13768758778739,24.4603,0.19411557485756,5410.8,0.17655697351829,0.11519493812227,1260.5,15,0,1472166,5351,110.8,6.7238267148014,5351,1,0.69321671164046
"6",2007-04-30,65.1,1.71,0.2451,0,1164.9,3196.8,179.4,348.8,0.16529238934698,0.066295402277004,0.10910910910911,-2.6561,0.71807425540596,14.021262458472,170.3,0.018510093829969,39.06,266.3,159.1142,436.6,0.4025,NA,1761.4,2.1583139321162,0.32357857995775,6.6143447239955,4.0343563902886,0.33478417881512,0.08,0.04,152.6704,2110.2,0.25215840840841,1.92,16.973958333333,0.155,0.0562,0.18683105270289,0.286,0.6929,0.10976601601602,816.1,2110.2,0,0,150.5,0.028605097599453,76.7,0.014578146085568,0.25953488372093,1.8114859644605,1.752657807309,0.050614867048068,0.40107958109212,6.4439,0.04049833238198,5261.3,0.1949690601642,0.12919563911065,1201.7,32.59,0,929322,5443.5,140.2,15.051355206847,5443.5,1.1,1.8114859644605
"7",2006-04-30,66.7,1.28,0.2675,0,1115.8,3164.1,187.2,372.6,0.14400556543248,0.073015873015873,0.11775860434247,0.1628,0.68785046728972,17.033574720211,173,0.01546726443534,40.02,269.6,160.9027,442.6,0.40318,NA,2214.8,2.9800861141012,0.43122213352544,8.2151335311573,5.0040668775418,0.43401920438957,0.07,0.04,146.5399,2587.4,0.25485920166872,2.32,17.116379310345,0.165,0.1034,0.19915779043844,0.282,0.6994,0.11301791978762,743.2,2587.4,0,0,151.9,0.029766803840878,-25.1,-0.0049186752890457,0.26346280447663,2.318874350242,2.4333678171729,0.052831667646482,0.50703507740545,14.3628,0.089263950520768,5103,0.2164998277718,0.13613550815558,1127.4,39.71,0,529500,5136.1,146.8,17.625340599455,5136.1,1.15,2.318874350242
"8",2005-04-30,70.3,1.18,0.3246,0.17364802608264,NA,3301.5,184.9,535.7,0.17615336555851,0.10665790626369,0.16225957897925,3.3233,0.72704867529267,21.230827638572,181.6,0.014041656915516,42.18,253.1251,144.2965,434.7251,0.42994,NA,2505.4,2.8626599634369,0.49882530960061,9.8978718508854,5.7631820309809,0.51407583716349,0.07,0.04,137.6732,3041.1,0.24373769498713,2.03,21.049261083744,0.115,-0.1952,0.18241699153112,0.27,0.6737,0.11082841132818,875.2,2796.1,0.087622044991238,0.080562954194206,131.7,0.027023145108339,108.7,0.022303841103086,0.32027334851936,2.3982331246247,3.0329753769389,0.051938017071569,0.57372373604728,6.6233,0.045900434544267,4873.6,0.16487260729799,0.11295994510678,1052.3,42.73,245,486100,5022.6,131.7,21.230827638572,5022.6,0,2.1554327025303
"9",2004-04-30,69.1,1.23,0.3557,0.19234468166955,NA,3507.3,163.4,487.2,0.19068493150685,0.074157508599957,NA,27.493,0.69159403992128,14.845292955892,166.5,0,0,505.835,299.7072,672.335,0.4075,NA,2067.8,1.9280186480187,0.31474321897166,4.0878942738245,3.0755501349773,0.34747101327508,0.125,0.025,275.3143,2555,0.19576312262994,1.95,16.4,0.13,0.0623,0.20545308740978,0.23,0.7148,0.17215521911442,1072.5,2255,0.1330376940133,0.1174168297456,151.9,0.025525121828264,264.4,0.044429507645774,0,1.790108756053,1.1876234364714,0.085,0.37892791127542,24.393,0.081389356942723,5951,0.27944730769231,0.1205842660951,1124.6,31.98,300,172100,6569.8,0,NA,6569.8,0,1.6381355388857
"10",2003-04-30,65,1.07,0.4128,0.22593764121103,NA,2995.4,179.5,267.6,0.10774681913352,0.050784734215171,NA,-32.3,0.5708,21.857857857858,151.6,0,0,289.4,172.9165,441,0.4025,NA,2216,NA,NA,7.6572218382861,5.0249433106576,0.42054921906136,0.21,0.08,145.0165,2483.6,0.20775188622555,1.7,19.205882352941,NA,0.1195,0.36261532290413,0.268,0.6464,0.14642451759364,1060.2,2183.6,0.13738779996336,0.12079239813174,99.9,0.018958874992883,387.8,0.073596113335737,0,2.1245378478303,1.0408503741837,0.05492190613554,0.41440039473934,27.9,0.161349553108,5269.3,0.16309800037729,0.097197898423818,975.4,32.65,300,534717,5585,NA,NA,5585,1.2,2.0901716657234
