"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Non-Cash Working Capital","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,1249.1,1.29,0.2669,0.3736,33417,325266,0,94418,1.8919,0.2903,NA,0.8,11.91,0,0.0217,649.53,9167,6376.57,9167,0.3044,0.3044,-44510.3,NA,NA,NA,0.23,6376.57,49907.7,0,2.72,9.45,-0.12,NA,0.1526,NA,0.8083,0.0709,-41068,29974.7,0.665,0.3994,2516,0,0.2674,0.9,0.52,0,0,NA,NA,0.0753,241,25.7,19933,5741920,NA,2429,12.34,NA,1.2,NA
"2",2010-12-31,1244.6,1.07,0.3151,0.33797139407829,32354,247259,0,22224,0.54543580379626,0.08988146033107,NA,0.8,9.0269746646796,0,0.034,823.7656,8848,6365.0742,8848,0.28062,0.28062181720718,18521.4,0.69506511051901,2.0932866184448,2.0932866184448,0.275,6365.0742,40745.4,0,2.32,8.5818965517241,-0.16,NA,0.31048387096774,NA,0.8067,0.096004594372702,26647,24228.4,0.68172062538178,0.40537091303558,2684,0,0.30691713859911,0.7488533102553,0.32825362417017,0,0,NA,0.2388664480054,0.082957285034308,194,19.91,16517,9431769,NA,2836,8.5431593794076,NA,1.2,0.83373370710646
"3",2009-12-31,1208.9,0.67,0.2846,0.3729415074333,28977,212224,0,11094,0.20436020004974,0.052274954764777,NA,0.8,NA,0,0.0184,681.766,3408,3408,3408,0,NA,43192.5,1.2299598485064,12.673855633803,12.673855633803,0.27,3408,54286.5,0,2.47,12.226720647773,-0.13,NA,0.157185894028,NA,0.7896,0.10289599668275,35117,37052.5,0.46512381080899,0.31746382618146,-978,0,NA,1.2786865445008,NA,0,0,NA,0.097047014266594,-0.033750905890879,171,30.2,17234,7379901,NA,2431.9,15.236029442,NA,1.2,1.1747527644933
"4",2008-12-31,1148.5,0.63,0.2792,0.38573755744122,25264,237512,0,58159,1.1829999816933,0.24486762774091,NA,0.68767908309456,23.46532769556,0,0.013,432.8649,9448,6997.2833,9448,0.25939,NA,-8996.7,NA,NA,NA,0.09,NA,49162.3,0,2.26,12.37610619469,0.03,NA,0.37056665307786,NA,0.7627,0.091591161709724,-17030,33297.3,0.47646505872848,0.32270662682584,1419,0,0.30504926004228,1.3179741925269,2.60725863284,NA,NA,NA,NA,0.056166877770741,1776,27.97,15865,13043515,NA,-1789,NA,NA,1.2,NA
"5",2007-12-31,1146,0.55,0.189,0.36461664793846,29403,197656,0,6635,0.14087078741144,0.033568421904723,NA,0.8,14.824374693477,0,0.036396719478345,1100.16,8273,5554.4095,8273,0.32861,NA,40464.9,1.0207840367296,4.8912002901003,4.8912002901003,0.065,NA,47099.9,0,2.75,10.301818181818,0.045,NA,0.42077738515901,NA,0.7574,0.11501295179504,39641,30226.9,0.55821139448637,0.35823855252347,2039,0,0.53955860716037,1.0280209502432,2.2806730297657,NA,NA,NA,0.14011779395071,0.069346665306261,2389,28.33,16873,5494617,NA,1873,16.138227442605,NA,1.2,1.0178040452935
"6",2006-12-31,756,0.77,0.1648,0.43076696454876,11593,103370,0,2840,0.044293610490723,0.027474122085712,NA,0.8,37.496341463415,0,0.013113474485316,725.76,4988,3392.7378,4988,0.31982,NA,61277.6,3.4963825174027,12.285004009623,12.285004009623,0.09,NA,64117.6,0,2.8,17.196428571429,0.015,NA,0.13504968383017,NA,0.7382,0.064090161555577,17526,55344.6,0.15851591663866,0.13682670592786,1476,0,0.49170731707317,4.7739670490813,4.1662601626016,NA,NA,NA,0.19358312450074,0.12731820926421,1434,48.15,8773,6642119,NA,1951,28.367298821117,NA,1.3,3.1482667190415
"7",2005-12-31,771.3,1.18,0.1659,0.4418131464421,9876,102074,0,3515,0.091718701482373,0.03443580147736,NA,0.8,19.418650541057,0,0.02224901415099,678.744,4806,3189.7903,4806,0.33629,NA,34808.7,2.4551206093948,7.242759051186,7.242759051186,0.055,NA,38323.7,0,2.16,18.226851851852,0.01,NA,0.13649103139013,0.024,0.707,0.043399886356957,14178,30506.7,0.25623879344537,0.20397299843178,1571,0,0.43204583068109,3.0889732685298,3.5306637347376,NA,NA,NA,0.22498168006771,0.15907249898744,957,39.37,7817,1757200,NA,NA,NA,NA,1.3,2.1660374159272
"8",2004-12-31,778.4,1.68,0.3215,0.3852160677652,NA,94529,0,3886,0.1276085707249,0.04110907763755,0,1.045101088647,17.105208333333,0,0.026357075619705,653.856,NA,NA,NA,0.34516,NA,26566.5,2.3667260579065,NA,NA,0.13,NA,30452.5,0,2.17,14.6866359447,NA,0,0.11646981627297,0.025,0.6943,0.045171323086037,11225,24631.5,0.23632340701947,0.19115015187587,1440,0,0.45406666666667,2.6513993541442,1.3157852564103,0,NA,NA,NA,0.15500538213132,548,31.87,5821,1364800,NA,1455,16.928865979381,0,1.3,2.0152537886308
"9",2003-12-31,775.2,1.53,0.3393,0.42071620042615,NA,92397,0,3843,0.11931484775947,NA,0,0.90185676392573,22.547882454624,0,0.023859230539815,620.16,NA,NA,NA,0.34336,NA,28365.9,2.6495329721651,NA,NA,0.125,NA,32208.9,0,2.06,16.276699029126,0.02,0,0.12238325281803,0.0168,0.6695,0.044287152180266,10706,26087.9,0.23462984755385,0.19004064094086,1157,0,0.53600691443388,3.0953844328429,1.8038305963699,0,NA,NA,NA,0.13728049359279,507,33.53,6121,589800,NA,1396,18.687607449857,0,1.3,2.2138222558251
"10",2002-12-31,726,1.39,0.3619,0.44869679973606,NA,77564,0,4748,0.1529328776698,NA,0,0.8443,28.388359201774,0,0.021547822215627,551.76,3531,2321.3853,3531,0.34257,NA,26298.3,NA,7.4478334749363,7.4478334749363,0.1,2321.3853,31046.3,0,1.8,18.283333333333,NA,0,0.26442491402369,NA,0.6706,0.033198391006137,7376,25606.3,0.21244771794441,0.17522216818107,902,0,0.61170731707317,3.8309844404548,2.8388359201774,0,0,0,0.31472143844902,0.13494913225613,644,32.91,5440,2359677,0,835,30.66622754491,0,1.3,3.5653877440347
