"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,160.3,0.84,0.1822,0.7206,1219.1,7284.6,443.8,165.8,0.0166,0.0192,0.0228,3.67,0.8,15.37,301.1,0.0093,64.12,867,602.63,1168,0.3051,0.3236,9838.9,2.34,1.13,11.35,8.42,1.14,0.115,0.1,456.25,10004.7,0.311,3.22,13.9,0.135,0.1,0.129,0.038,0.7517,0.3085,4197.4,6860.6,0.4583,0.3143,446.3,0.0517,747.4,0.0866,0.1396,5.63,1.34,0.1005,0.79,146.37,0.2429,8630.9,0.1436,0.3661,381.4,44.75,3144.1,712247,8673.3,459.3,14.94,8673.3,0.95,2.29
"2",2010-12-31,172.2,0.46,0.2272,0.64944692053668,1518,6927.7,250.2,152,0.017656556739113,0.019921363040629,0.021940903907502,109.0578,0.8,10.676736047154,265.5,0.0079,45.7916,753.6,535.1238,1019.1,0.28991,0.10471635883905,8456.7,2.023957111744,0.98627309199477,11.22173566879,8.2982042979099,1.1083486238532,0.09,0.08,441.366,8608.7,0.29565368015359,3.03,11.785478547855,0.13,0.1353,0.15473309608541,0.053,0.7592,0.3038959539241,4178.3,5796.4,0.48518045683528,0.32668114814083,542.9,0.071153342070773,881.1,0.11547837483617,0.084346214772518,3.8184453227932,1.1863040052394,0.098768020969856,0.75968545216252,93.7578,0.17520763044047,7630,0.12807214034416,0.35764163372859,356.8,35.71,2812.3,1474639,8574.4,477.1,12.149234961224,8574.4,0.95,1.9880146872041
"3",2009-12-31,94.1,0.57,0.2676,0.62147217235189,1581.3,6488.3,187.1,210.6,0.023993164340644,0.02867139531401,0.032458425165297,21.744,0.8,16.055324675325,285.2,0.0057,35.2334,655.8,457.1647,941,0.30289,0.27794448612153,8566.9,2.1595956540372,1.1252840498614,13.063281488259,9.1040382571732,1.1663104297986,0.095,0.05,533.5208,8777.5,0.30038685017647,5.12,13.291015625,0.125,-0.0318,0.19724967769661,0.049,0.7393,0.32594053912427,3966.9,6181.3,0.4200087360264,0.29577898034748,385,0.052414469116306,596.4,0.081194777612895,0.091515350649351,3.9089989249352,1.69003417635,0.089281581419411,0.84153131934707,-76.356,-0.16702083999153,7345.3,0.11524483551388,0.24347056219566,328.6,68.05,2596.2,709797,7613.1,416.3,14.848186404036,7613.1,0.95,2.1011370436864
"4",2008-12-31,93.8,0.61,0.2689,0.68940759175034,1085.8,6368.7,306.9,127.4,0.017502404176398,0.016848508893738,0.020004082465809,-22.0092,0.59501673484567,13.887335995436,297.4,0.0077,37.4905,636.6,429.374,934,0.32552,NA,7151.6,2.1230814902776,0.99139138029028,11.234055922086,7.6569593147752,0.94579117899888,0.1,0.055,441.8831,7279,0.29313674690282,4.12,12.54854368932,0.18,0.1041,0.17940647482014,0.05,0.7609,0.28663620519101,3368.5,4868.9,0.4949988703814,0.33110317351285,350.6,0.046366461680883,478.5,0.063281095020829,0.10693248716486,4.4841591453306,1.3887335995436,0.084189644911724,0.64390663228195,-12.5092,-0.029133496160728,7561.5,0.1274674092326,0.32289556087677,333.2,51.7,2410.1,1090109,7213.7,359.3,13.551071527971,7213.7,1,2.0821533796733
"5",2007-12-31,101.2,1,0.2324,0.63727000081057,1342.5,6020.6,308.5,151.6,0.024775290080078,0.020515041206003,0.025180214596552,-9.3774,0.75731497418244,10.465905928194,281,0.010764812254015,40.48,619.9,456.9221,900.9,0.26291,NA,5967.4,1.6811945344415,0.78674735329404,9.6263913534441,6.6238206238206,0.80752939902838,0.105,0.07,438.7995,6119,0.32242633624556,3.8,10.944736842105,0.23,0.137,0.34498025607275,0.044,0.7322,0.30945420722187,3549.5,3760.4,0.62722050845655,0.38545513972871,359.3,0.048621730246153,355,0.048039839235693,0.11266351238519,2.80104283054,0.99675294554226,0.083887031949876,0.50887045482225,18.1226,0.03966239264451,7389.7,0.12872857895478,0.26763500931099,323.7,41.59,2358.6,717396,7584.9,348.8,10.780963302752,7584.9,1.1,1.6532922644619
"6",2006-12-31,103.1,1.18,0.1718,0.6778081888806,1165.4,5840.9,279.6,151.5,0.021545900590201,0.022880012081855,0.025937783560753,-30.7121,0.8,15.045335085414,252.6,0.0090047600331892,41.24,470.1,331.6556,722.7,0.2945,NA,6880,1.9852262234534,0.95220959683335,14.635184003404,9.5198560951986,1.0390394925621,0.105,0.085,335.3676,7031.5,0.32118337927374,3.58,12.184357541899,0.255,0.1647,0.13220886779113,0.044,0.7599,0.30366895512678,3465.6,4579.8,0.53532905367047,0.34867382493067,304.4,0.045971456618591,336.8,0.050864607717285,0.13547963206308,3.9298095074652,1.4328890557537,0.070995997885675,0.69165596919127,-3.7121,-0.011192486119097,6621.5,0.095699316135734,0.26119787197529,287.2,43.62,2451.7,1214700,7225.3,367.8,12.451876019576,7225.3,0.95,1.9439606314451
"7",2005-12-31,104.3,1.03,0.1631,0.65554639175258,835.3,4343.4,291.7,61,0.0099340444589203,0.010606482125469,0.014044297094442,-10.4209,0.8,15.828869565217,213.5,0.0091676188801969,41.72,462.5,339.0772,676,0.26686,NA,6079.5,2.5717005076142,0.96180923602652,13.144864864865,8.9933431952663,1.0570837390458,0.1,0.08,271.2981,6140.5,0.35838283372473,3.18,13.710691823899,0.265,0.1138,0.13693784739768,0.044,0.7444,0.2897729889027,2364,4550.8,0.3493231959216,0.25888771272698,287.5,0.049989567394631,105.2,0.018291834747531,0.14511304347826,5.4481024781516,1.5828869565217,0.080417999721797,0.79127834191125,67.7791,0.19989292040186,5751.2,0.1434336928934,0.34418771698791,231.6,43.6,1589.7,291000,6320.9,283.6,16.046544428773,6320.9,0.95,2.5321649484536
"8",2004-12-31,109.9,0.07,0.174,0.60448440286827,NA,4477.7,196,198.7,0.034031548118588,0.03537097692965,0.044375460615941,5.6609,0.080459770114942,13.866578161301,215.1,0.010060362173038,43.96,538.9117,366.5408,754.0117,0.31985,NA,5640,2.2129796751157,1.0039874679578,10.465535987972,7.4799898335798,1.0367265909342,0.115,0.09,379.9799,5838.7,0.34222926949103,2.97,13.387205387205,0.285,0.122,0.13973745552693,0.049,0.7148,0.31489380708846,2548.6,4178,0.39748683580661,0.28442975319849,301.3,0.055383993235543,173.6,0.031910591522371,0.1459010952539,3.8450211669428,1.2057894053305,0.099061012462777,0.76798647108562,-13.4391,-0.036664570030998,5440.2,0.14382045293808,0.27728695011964,252.7,39.76,1660.7,208600,5617.6,301.3,13.866578161301,5617.6,0.85,2.1252502456958
"9",2003-12-31,112.8,0.03,0.2051,0.6761935302842,NA,4069.6,137.2,36.5,0.0054940919695943,0.0067967673457227,NA,10.547,0.029254022428084,20.869894736842,205.5,0.009215740484748,45.12,669.9042,476.0808,875.4042,0.28933,NA,6607,2.6877389960133,1.2303079959778,9.8626042350533,7.5473706888772,1.3275065300382,0.16,0.085,533.8339,6643.5,0.36148515824651,2.65,16.378867924528,0.3,0.2979,0.23328785811733,0.0509,0.6871,0.328508944368,2458.2,4956.6,0.34033409998789,0.25391736283585,237.5,0.047719509744826,133.5,0.026823387582881,0.18997894736842,6.135924733845,1.3043684210526,0.1346,0.99590114526823,-57.753,-0.12130932783134,4977,0.19367049784965,0.29400841792523,221.6,43.404,1686.9,168700,5370.2,237.5,20.869894736842,5370.2,0.9,2.6630456567924
"10",2002-12-31,56.7,-0.24,0.2503,0.80075993370791,NA,4132.4,158.4,259.2,0.048690686403426,0.06716940060639,NA,84.9,-0.2136,20.981795354677,149.2,0.010178314983246,34.02,311,200.1565,460.2,0.35641,NA,5064.2,NA,NA,16.283601286174,11.004345936549,1.3123428956438,0.195,0.11,190.9565,5323.4,0.34989352434421,4.1,14.373170731707,NA,0.0667,0.16797797010228,0.059,0.7442,0.27782886458232,2214.7,3342.4,0.59268788894208,0.37213059322989,159.3,0.041281194122678,23.4,0.0060639042214102,0.2135593220339,6.7810914992899,1.075989505368,0.080592915079427,0.8661535670787,9.2,0.04596403544047,3858.9,0.090376344425882,0.32318928788801,165.9,58.93,1981,437256,0,163.9,20.392922513728,0,0.8,2.2866302433738
