"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Non-Cash Working Capital","Payout Ratio","Price to Book Value Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,36.5,0.91,0.2145,0.673,675.6,3878.8,0,25.5,0.0118,0.0066,NA,0.8,14.14,0,0,0,158,158,158,0,0,2141.1,1.05,13.55,13.55,158,2166.6,0,NA,NA,NA,NA,0.1835,0.2184,0,2040.5,776.2,1.7913,0.6417,54.9,0,0,1.15,0,0,NA,0.0774,0.0813,11.5,21.56,1390.4,137596,NA,96.5,8.04,NA,1.05,1.05
"2",2010-12-31,36.5,1.14,0.3214,0.6729912875121,675.6,3878.8,0,25.5,0.012808277663368,0.0065741982056306,NA,0.7778469197262,10.938069216758,0,0,0,158,158,158,0,0,1965.4,0.96319529527077,12.439240506329,12.439240506329,158,1990.9,0,NA,NA,NA,NA,0.12522150029533,0.1743,0,2040.5,600.5,2.3154038301416,0.69837761816264,54.9,0,0,0.8888395500296,0,0,NA,0.077432001960304,0.081261101243339,11.5,16.05,1390.4,113716,NA,116.1,5.1722652885444,NA,1,0.96364956437561
"3",2009-12-31,36.5,1.25,0.4286,0.6729912875121,675.6,3878.8,0,25.5,0.01233731675456,0.0065741982056306,NA,0.61245916938871,12.322404371585,0,0,0,158,158,158,0,0,2041.4,1.0004410683656,12.920253164557,12.920253164557,158,2066.9,0,NA,NA,NA,NA,0.23176661264182,0.2923,0,2040.5,676.5,2.0552845528455,0.67269824374667,54.9,0,0,1.0013321492007,0,0,NA,0.077432001960304,0.081261101243339,11.5,18.46,1390.4,132311,NA,39.2,17.257653061224,NA,1.05,1.000435624395
"4",2008-12-31,36.4,1.41,0.4335,0.62264267225441,612.3,4790.5,0,59.9,0.039478020167403,0.012503913996451,NA,0.38754325259516,7.0221606648199,0,0,0,223,223,223,0,NA,1457.4,0.93261662507199,6.5354260089686,6.5354260089686,NA,1517.3,0,NA,NA,NA,NA,0.37710898312814,0.6623,0,1562.7,507,1.9927021696253,0.66585381928426,72.2,0,0,0.82802547770701,NA,NA,NA,0.14270173417803,0.11791605422179,70.4,13.9,1010.3,143896,NA,65.4,7.7522935779816,NA,1.05,0.93510415382719
"5",2007-12-31,36.4,1.2,0.3458,0.62264267225441,612.3,4790.5,0,59.9,0.040201342281879,0.012503913996451,NA,0.48582995951417,6.6440443213296,0,0,0,223,223,223,0,NA,1430.1,0.91514686120177,6.4130044843049,6.4130044843049,NA,1490,0,0.43,33.395348837209,NA,NA,0.43479764787271,0.564,0,1562.7,479.7,2.1061079841568,0.67805369127517,72.2,0,0,0.78343949044586,NA,NA,NA,0.14270173417803,0.11791605422179,70.4,14.36,1010.3,182996,NA,75,6.396,NA,1.05,0.91827930481943
"6",2006-12-31,36.3,0.72,0.1945,0.48906195309765,583.9,3978.3,0,33.9,0.02970297029703,0.0085212276600558,NA,0.78149100257069,10.05872193437,0,0.054848901098901,31.944,161.6,161.6,161.6,0,NA,1107.4,0.99864730814321,6.8527227722772,6.8527227722772,NA,1141.3,0,0.45,34.777777777778,0.15,NA,0.21531602412798,0.811,0,1108.9,582.4,0.95964972527473,0.48970472268466,57.9,0,0.55170984455959,0.99743106696352,NA,NA,NA,0.14573000270538,0.099160815208084,56.6,15.65,558.9,140400,NA,77.7,7.4954954954955,NA,0.95,0.99868743437172
"7",2005-12-31,39.4,0.79,0.2509,0.45382314451299,595.3,2563.6,0,3.1,0.002696121064533,0.001209237010454,NA,0.76524511757672,6.0009033423668,0,0,0,89.4,89.4,89.4,0,NA,1146.7,1.0640252389348,12.826621923937,12.826621923937,NA,1149.8,0,NA,NA,NA,NA,0.13480763405029,0.713,0,1077.7,664.3,0.73084449796779,0.42224734736476,110.7,0,0,1.1159079455737,NA,NA,NA,0.082954440011135,0.18595666050731,7.3,16.96,485.5,327900,NA,61.9,10.73182552504,NA,1.2,1.0638415988157
"8",2004-12-31,39.4,0,0,0.44920429311621,NA,2563.6,0,3.1,0.0025762486495471,0.001209237010454,0,NA,6.4841915085818,0,0,0,NA,NA,NA,0,NA,1200.2,1.1025169943046,NA,NA,NA,1203.3,0,NA,NA,NA,0,0.24877571008815,0.7805,0,1088.6,717.8,0.6763722485372,0.40347378043713,110.7,0,0,1.2284785213075,0,NA,NA,NA,0.18595666050731,7.3,18.3,485.5,30600,NA,0,NA,0,1.1,1.1133419689119
"9",2003-12-31,39.4,0,0,0.44920429311621,NA,2563.6,0,3.1,0.0025121555915721,NA,0,NA,6.7615176151761,0,0,0,NA,NA,NA,0,NA,1230.9,1.130718353849,NA,NA,NA,1234,0,NA,NA,NA,0,0.17969902626143,0.4835,0,1088.6,748.5,0.64863059452238,0.39343598055105,110.7,0,0,1.2810200239603,0,NA,NA,NA,0.18595666050731,7.3,19.65,485.5,45500,NA,0,NA,0,1.05,1.1417468541821
"10",2002-12-31,17.3,0,0,0.7962710604559,NA,2929.3,0,0.8,0.00049455984174085,NA,0,0,NA,0,0,0,148,148,148,0,NA,1616.8,NA,10.924324324324,10.924324324324,148,1617.6,0,NA,NA,NA,0,0.65800865800866,0.388,0,1626.1,332.1,3.8708220415538,0.79469584569733,-267.9,0,NA,1.0097294010338,0,0,0,0.091015312711395,-0.81453329279416,15.3,19.18,1285.5,133152,0,109.9,3.0218380345769,0,1.05,0.99428079453908
