"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Non-Cash Working Capital","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,13.2,0.94,0.2245,0.4781,185.9,1774.9,0,11.8,0.0252,0.0066,NA,0.8,15.15,0,0.0283,8.45,68,45.59,68,0.3276,0.3276,456.9,1.33,6.74,6.74,0.07,45.59,468.7,0,1.59,14.01,-0.015,NA,0.101,NA,0.635,0.0241,344.4,298.4,0.5707,0.3633,19.7,0,0.3212,1.61,2.16,0,0,NA,0.1324,0.106,5.8,22.27,170.3,17563,NA,26.3,11.35,NA,0.75,1.32
"2",2010-12-31,12.2,0.96,0.2728,0.54675652906487,161.4,1731.8,0,11,0.024674742036788,0.0063517727220233,NA,0.64149560117302,27.29347826087,0,0.0309,7.759,57.3,38.3635,57.3,0.33048,0.32846715328467,434.8,1.259924659519,7.5881326352531,7.5881326352531,0.07,38.3635,445.8,0,1.54,12.655844155844,-0.03,NA,0.17085152838428,NA,0.5079,0.014262616930362,345.1,251.1,0.77538829151732,0.43674293405114,9.2,0,0.84336847826087,1.5557620817844,3.8990683229814,0,0,NA,0.11116631700956,0.057001239157373,6.1,19.49,194.7,33768,NA,20.1,12.492537313433,NA,0.7,1.2518955349621
"3",2009-12-31,8.9,0.68,0.3576,0.61983168679107,103.9,1238.8,0,11.7,0.033457249070632,0.0094446238295124,NA,0.48937360178971,17.504854368932,0,0.0328,5.9138,47.5,30.2309,47.5,0.36356,0.3641975308642,338,1.2920489296636,7.1157894736842,7.1157894736842,0.06,30.2309,349.7,0,NA,NA,0.02,NA,0.15313225058005,NA,0.4891,0.0094446238295124,261.6,180.3,0.93954520244038,0.48441521303975,10.3,0,0.57415922330097,1.7353224254091,2.9174757281553,0,0,NA,0.11556154434251,0.099133782483157,10,17.45,169.4,23767,NA,6.2,29.08064516129,NA,0.7,1.2795462861325
"4",2008-12-31,8.6,0.59,0.3367,0.64773160503241,92.4,1151.3,0,18.8,0.061337683523654,0.016329366802745,NA,0.33264033264033,14.688172043011,0,0.036,4.9176,40.2,26.1449,40.2,0.34963,NA,287.7,1.1815195071869,7.1567164179104,7.1567164179104,NA,NA,306.5,0,1.15,13.121739130435,0.035,NA,0.25860023724792,NA,0.3477,0.0090332667419439,243.5,136.6,1.2437774524158,0.55432300163132,9.3,0,0.52877419354839,1.478354978355,NA,NA,NA,NA,0.10737114579055,0.10064935064935,16,15.09,169.9,14831,NA,8.6,15.883720930233,NA,0.7,1.1685093404499
"5",2007-12-31,8.5,0.41,0.2889,0.33234859675037,90.4,1002.1,0,77,0.35321100917431,0.076838638858397,NA,0.33229491173416,12.720588235294,0,0.027514450867052,4.76,36.6,24.6746,36.6,0.32583,NA,141,2.4143835616438,3.8524590163934,3.8524590163934,NA,NA,218,0,1.24,16.16935483871,0.07,NA,0.29078014184397,NA,0.3226,0,58.4,173,0.26011560693642,0.20642201834862,13.6,0,0.35,1.9137168141593,NA,NA,NA,NA,0.42251065068493,0.15044247787611,17.8,20.05,45,6485,NA,12.3,14.065040650406,NA,0.6,1.6100443131462
"6",2006-12-31,8.6,0.74,0.1339,0,82.4,826.7,0,61.5,0.31603288797533,0.074392161606387,NA,0.8,15.322834645669,0,0.022980472764645,4.472,32.7,21.4283,32.7,0.3447,NA,133.1,6.3684210526316,4.0703363914373,4.0703363914373,NA,NA,194.6,0,1.61,13.428571428571,0.065,NA,0.10558464223386,NA,0.2319,0,20.9,194.6,0,0,12.7,0,0.35212598425197,2.3616504854369,NA,NA,NA,NA,1.0252779904306,0.15412621359223,11.6,21.62,0,1332,NA,13.8,14.101449275362,NA,0.7,2.3616504854369
"7",2005-12-31,8.6,1.03,0.1569,0,77.5,727.2,0,33.9,0.16740740740741,0.046617161716172,NA,0.61185468451243,17.763157894737,0,0.020385185185185,4.128,29.7,19.5099,29.7,0.3431,NA,168.6,3.8669724770642,5.6767676767677,5.6767676767677,NA,NA,202.5,0,NA,NA,0.075,NA,0.097826086956522,NA,0.3673,0,43.6,202.5,0,0,11.4,0,0.36210526315789,2.6129032258065,NA,NA,NA,NA,0.4474754587156,0.14709677419355,6.5,23.6401,0,340,NA,12.3,16.463414634146,NA,0.6,2.6129032258065
"8",2004-12-31,8.6,0.45,0.179,0,NA,682.9,0,26.5,0.14512595837897,0.038805095914482,0,0.50279329608938,19.634408602151,0,0.020313942751616,3.784,NA,NA,NA,0.33709,NA,156.1,3.4921700223714,NA,NA,NA,NA,182.6,0,1.32,16.409090909091,0.09,0,0.12087912087912,NA,0.2138,0,44.7,182.6,0,0,9.3,0,0.40688172043011,2.564606741573,NA,0,NA,NA,NA,0.13061797752809,4.5,21.66,0,200,NA,10.6,17.22641509434,0,0.6,2.564606741573
"9",2003-12-31,8.7,0.17,0.1991,0,NA,604.8,0,32.5,0.17042475091767,NA,0,0.17076845806128,16.87610619469,0,0.018340210912425,3.48,NA,NA,NA,0.34923,NA,158.2,4.5329512893983,NA,NA,0.11,NA,190.7,0,1.07,20.383177570094,0.105,0,0.13147770988912,NA,0.2222,0,34.9,190.7,0,0,11.3,0,0.30796460176991,2.8293768545994,1.5341914722446,0,NA,NA,NA,0.16765578635015,4.3,21.81,0,2364,NA,10,19.07,0,0.55,2.8293768545994
"10",2002-12-31,8.7,0.59,0.2637,0,NA,577.2,0,34.3,0.17323232323232,NA,0,0.4889,19.411764705882,0,0.017575757575758,3.48,30.8,19.983,30.8,0.3512,NA,163.7,NA,5.3149350649351,5.3149350649351,0.11,19.983,198,0,NA,NA,NA,0,0.19191202554097,NA,0.2279,0.0041580041580042,28.3,198,0,0,10.2,0,0.34117647058824,3.1629392971246,1.7647058823529,0,0,0,0.70611448763251,0.1629392971246,4.1,22.86,0,6783,0,11,18,0,0.5,5.7844522968198
