"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2012-01-31,19.7,3.76,1.0818,0.8703,131.6,1618.2,67.2,14.3,0.0128,0.005,0.0088,1.87,0.8,NA,99.8,0.0171,3.94,1,1.4,101,0,NA,1099,1.1,0.38,785,10.86,0.38,NA,32.13,1113.3,0.4184,NA,NA,NA,0.03,0.6967,NA,0.664,0.0737,1000.6,230,3.8404,0.7934,-20.9,-0.0072,352.3,0.1221,NA,1.75,NA,5e-04,0.08,-30.73,-21.951,2884.7,0.0014,-0.1588,936.1,12.16,883.3,278596,2900,-35.9,NA,2900,1.85,1.1
"2",2011-01-31,19.5,2.59,1.0734,0.83535326330909,183.4,1656.2,46.3,16.3,0.016426483926232,0.0053504021007714,0.0098418065451033,-10.2925,0.40758337991429,2.8744186046512,102.2,0.0637,3.9367,136.9,128.7928,239.1,0.05922,0.057017543859649,976,0.88921282798834,0.32947371974479,7.1292914536158,4.081974069427,0.32036763499097,NA,194.9853,992.3,0.4247071609709,NA,NA,NA,-0.0205,0.77383367139959,NA,0.47,0.078553314817051,1097.6,61.8,15.056634304207,0.93772044744533,21.5,0.0070572788445757,372.4,0.12223863449861,0.18310046511628,0.33696837513631,NA,0.044936812735926,0.02028557360906,-66.1925,-0.51394567301747,3046.5,0.11734036260933,0.11723009814613,942.7,3.37,930.5,207538,2962.3,4.1,15.073170731707,2962.3,1.75,0.89083400664333
"3",2010-01-31,18.5,2.93,1.1321,0.87891725727948,141.8,1722,32.3,18.9,0.014930089264555,0.0063855665923373,0.010975609756098,1.6318,0.40853281512234,NA,116.5,0,0,17.5,17.5,134,0,NA,1247,1.0822773823989,0.41948397080096,71.257142857143,9.3059701492537,0.42131225082776,NA,100.0682,1265.9,0.43937282229965,1.03,12.291262135922,NA,-0.1072,0.50789154188588,NA,0.5044,0.080603948896632,1152.2,236.6,4.3503803888419,0.81309740105854,-4.1,-0.0013852287316711,374.4,0.12649503344821,NA,1.6685472496474,NA,0.0059125616595716,0.079937833637408,-82.5682,-4.7181836610582,2959.8,0.015188335358445,-0.028913963328632,963.6,12.66,1029.3,219685,2972.7,16.8,14.083333333333,2972.7,1.85,1.0809495346256
"4",2009-01-31,17.5,2.39,1.0869,0.89611394952779,134.2,1821.3,84.8,19.7,0.014685054043981,0.0062939297124601,0.010816449788613,-16.5004,0.26497377863649,NA,122.2,0,0,-60.7,-60.7,61.5,0,NA,1321.8,1.0390692555617,0.43985225117301,NA,21.492682926829,0.42230031948882,NA,-6.7996,1341.5,0.45725580629221,-0.38,NA,NA,-0.2455,0.87556707712249,NA,0.4346,0.081370449678801,1272.1,183.9,6.294725394236,0.86291464778233,-153.1,-0.048913738019169,413.5,0.13210862619808,NA,1.3703427719821,NA,-0.019392971246006,0.058753993610224,-53.9004,NA,3130,-0.04771637449886,-1.1408345752608,1033.5,9.84,1157.6,138158,3005.1,-166.8,NA,3005.1,1.8,1.0384734479022
"5",2008-01-31,14.6,2.47,0.772,0.76081944535933,363.1,2067.6,109.7,21.2,0.018060998466519,0.0061135623035441,0.010253433933062,18.1551,0.37305699481865,1.6206896551724,126.1,0.15531914893617,2.92,125.7,83.0148,251.8,0.33958,NA,1152.6,0.76999131538513,0.34766084517238,9.1694510739857,4.5774424146148,0.33238169391816,NA,81.2597,1173.8,0.42827432772296,-1.62,NA,0.225,-0.0304,0.87888446215139,NA,0.5591,0.088798607080673,1496.9,18.8,61.436170212766,0.98398364286931,11.6,0.0033451567321279,413.1,0.119127952245,0.25172413793103,0.051776370145965,NA,0.036248810450731,0.0054214609106901,1.7551,0.021142013821519,3467.7,0.055457808804863,0.031947122004957,1065.8,1.03,1155,98484,3315.3,4.5,4.1777777777778,3315.3,1.8,0.77320334628812
"6",2007-01-31,14.1,1.68,0.5438,0.77557499190152,346.4,2134.8,101,24.7,0.018039731229915,0.0071474043636784,0.011570170507776,-6.3201,0.42662743655756,3.6695095948827,106.9,0.016385822196397,2.82,173.7,122.4151,280.6,0.29525,NA,1344.5,0.88523834606268,0.38277580071174,7.7403569372481,4.7915181753386,0.38905607963424,0.18,134.6351,1369.2,0.42060146149522,1.5,4.4333333333333,0.245,2.1936,0.70440437481525,NA,0.7948,0.09560614577478,1518.8,172.1,6.9558396281232,0.87430616418346,46.9,0.013571387233057,385.2,0.11146478384166,0.060127931769723,0.49682448036951,0.20386164416015,0.050263325423925,0.049800335667573,-12.2201,-0.099824741714384,3455.8,0.08059986502502,0.13539260969977,1056.5,6.65,1197.1,1077543,3512.5,24.7,6.9676113360324,3512.5,1.45,0.88707482993197
"7",2006-01-31,16.8,1.16,0.3877,0.12961859356377,292.1,553.6,29.2,9.8,0.015324472243941,0.0076134244872592,0.017702312138728,-142.4201,0.39205571318029,22.923076923077,28.1,0.0028187919463087,1.68,29.8,20.3239,57.9,0.31799,NA,629.7,1.9327808471455,0.24432545687347,21.130872483221,10.875647668394,0.48920136730889,NA,161.644,639.5,0.30292630057803,NA,NA,0.135,-0.0543,0.36335296155178,NA,0.7391,0.014450867052023,325.8,596,0.072986577181208,0.068021892103206,26,0.020198881292728,142.1,0.11039465506526,0.064615384615385,2.0403971242725,NA,0.023151025481666,0.46302050963331,-141.3201,-6.9533976454561,1287.2,0.062381516267649,0.089010612803834,407.1,34.65,43.5,165002,2577.3,-3.3,NA,2577.3,0.95,1.9055423122765
"8",2005-01-31,16.2,0.58,0.5062,0.40695573622403,NA,648.4,31.5,25.2,0.050612572805784,0.019537912854706,0.038864898210981,-3.5811,0.22915843540103,15.727722772277,27.8,0.0052273915316257,1.62,36.2786,22.8279,64.0786,0.37076,NA,472.7,1.1319444444444,0.36649092882618,13.029734366524,7.3768823768824,0.36072954822955,NA,22.709,497.9,0.25956199876619,NA,NA,0.07,0.32,0.23708044752264,NA,0.484,0.019123997532387,417.6,317.7,0.56720176266918,0.36192006426993,20.2,0.01541514041514,227.8,0.17384004884005,0.08019801980198,1.2098248286367,NA,0.027685103785104,0.24244505494505,0.1189,0.0052083145637005,1310.4,0.054664562007663,0.076923076923077,415.9,19.13,180.2,128301,1289.8,14.6,21.760273972603,1289.8,0.85,1.1244354110208
"9",2004-01-31,15.2,0.38,0.5871,0.42163728567979,NA,611.8,19.5,19.9,0.045990293505893,0.015274792754068,NA,82.2164,0.1294498381877,12.529126213592,24.2,0.0078895463510848,1.824,66.216,41.3857,90.416,0.37499,NA,412.8,1.0471841704718,0.31685600245625,6.2341428053643,4.5655636170589,0.44387096774194,NA,-36.1308,432.7,0.26299444262831,NA,NA,0.015,0.2826,0.30214000725426,NA,0.4435,0.01487414187643,394.2,258.1,0.67648198372724,0.40351282643864,20.6,0.022150537634409,205.1,0.2205376344086,0.088543689320388,1.0776617954071,NA,0.0712,0.27752688172043,77.5164,1.8730262139541,930,0.10498645905632,0.086012526096033,275,15.21,174.6,20707,1302.8,17.7,14.581920903955,1302.8,0.7,1.0449166867906
"10",2003-01-31,14.9,0.59,0.5953,0.2363309352518,NA,382,14.8,16.8,0.070826306913997,0.023555804823331,NA,11,0.2191,17.864583333333,21.3,0.0086880466472303,1.49,21.4,13.3741,42.7,0.37504,NA,220.4,NA,NA,10.299065420561,5.1615925058548,0.30902972518228,NA,19.8741,237.2,0.3565445026178,NA,NA,NA,0.0253,0.62291434927697,NA,0.2937,0.024869109947644,261.2,171.5,0.38309037900875,0.27698145025295,9.6,0.013460459899047,113.3,0.15886146943354,0.15520833333333,0.8078191238813,NA,0.030005608524958,0.24046550757151,-6.5,-0.48601241320566,713.2,0.05120269525268,0.045219029674988,219.7,11.26,65.7,52323,717.6,11.5,14.913043478261,717.6,0.7,0.84379785604901
