"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2012-07-31,53.1,1.48,0.2684,0.2538,1156.2,1861.5,20.5,390,0.187,0.2911,0.2095,-2.6,0.8,14.67,48.8,0.0239,40.36,171,129,220,0.2474,0.2474,1695.2,1.46,1.29,9.89,7.7,1.27,0.075,0.035,159.9,2085.2,0.0752,NA,NA,0.035,0.08,0.1713,0.09,0.8418,0.4783,1159.4,1692,0.2324,0.1886,115.3,0.0861,127.7,0.0953,0.3639,1.46,1.96,0.1279,1.26,-30.9,-0.2396,1339.6,0.1113,0.0997,484.8,33.4,393.2,186478,1312.3,110.9,15.26,1312.3,1.1,1.35
"2",2011-07-31,53.1,1.6,0.353,0.25377565509229,1156.2,1861.5,20.5,390,0.18979949386802,0.29113168109884,0.20950846091861,1.897,0.77903682719547,14.411101474415,48.8,0.0233,38.7153,171.4,128.9974,220.2,0.24739,0.24738903394256,1664.8,1.4359151285148,1.2245678558294,9.7129521586931,7.5603996366939,1.242759032547,0.11,0.055,155.4003,2054.8,0.07515444533978,NA,NA,0.035,0.0538,0.22621497546304,0.078,0.8717,0.47827021219447,1159.4,1661.6,0.23663938372653,0.19135682304847,115.3,0.086070468796656,127.7,0.095326963272619,0.33577866435386,1.4371216052586,1.3101001340377,0.12794864138549,1.240370259779,-26.403,-0.20467856597179,1339.6,0.11126216491289,0.099723231274866,484.8,31.57,393.2,254597,1359.5,118.7,13.998315080034,1359.5,1.1,1.3261907835291
"3",2010-07-31,52.6,1.48,0.4174,0.30651393872481,1005,1746.5,26.3,314.8,0.14300640530596,0.25001985545231,0.18024620669911,1.072,0.65884044082415,18.812633832976,53,0.0216,37.9534,144.8,108.4407,197.8,0.2511,0.25100240577386,1886.5,1.6629936530324,1.4851991812313,13.028314917127,9.5374115267947,1.4982924311016,0.06,0.03,134.0687,2201.3,0.083309476095047,NA,NA,0.13,0.0398,0.18711193153214,0.07,0.8426,0.4993415402233,1134.4,1757.1,0.25280291389221,0.20178985145142,93.4,0.074179969819713,121.6,0.096576920022238,0.40635289079229,1.7483582089552,3.1354389721627,0.11500277976332,1.3955206099595,-25.628,-0.236331851981,1259.1,0.095593018335684,0.092935323383085,478.5,32.61,444.2,204497,1270.2,98.1,17.911314984709,1270.2,1.1,1.5189759867513
"4",2009-07-31,52.5,1.35,0.3989,0.29154562383613,951.1,1583.3,24,188.2,0.095421589007757,0.15570447588318,0.11886566032969,-7.1095,0.44121333667586,17.507198228129,54.9,0.0232,36.6769,146.2,107.2523,201.1,0.2664,NA,1784.1,1.5456120592567,1.5528766646357,12.203146374829,8.871705619095,1.476048647307,0.05,0.02,145.2618,1972.3,0.096002021095181,NA,NA,0.235,-0.1879,0.39397767951148,0.067,0.8469,0.54752731636455,1154.3,1580.9,0.24758049212474,0.19844851188967,90.3,0.074708364358402,143.7,0.11888806155374,0.40616699889258,1.6621806329513,3.5014396456257,0.12095639943741,1.3079341441218,-38.0095,-0.3543933229688,1208.7,0.092915463917526,0.094942697928714,431.4,30.01,391.4,317799,1148.9,76.3,20.719528178244,1148.9,1.1,1.4691247672253
"5",2008-07-31,53.8,1.06,0.3406,0.31893621275745,1021.8,1850.5,26.4,258.4,0.15775335775336,0.16966513460276,0.13963793569306,0.1817,0.49324721080446,8.7708018154312,60.6,0.031551530832255,36.584,207.7,147.4608,268.3,0.29003,NA,1379.6,1.1108784926323,0.90691559295293,6.6422725084256,5.1420052180395,0.90584372948129,0.1,0.07,181.4791,1638,0.091975141853553,1.93,12.40932642487,0.295,0.1254,0.44927536231884,0.056,0.8991,0.50467441232099,1241.9,1159.5,0.41267787839586,0.29212454212454,132.2,0.086802363755745,153.7,0.10091923834537,0.27673222390318,1.1347621843805,0.87708018154312,0.13637557452397,0.76132632961261,-34.0183,-0.23069420837605,1523,0.11873803768419,0.12937952632609,536.5,23.95,478.5,311257,1521.2,132.9,8.7246049661399,1521.2,1.05,1.0917816436713
"6",2007-07-31,54.1,1.77,0.3296,0.35945363048167,891,1698.9,51.9,162,0.066263089005236,0.11889035667107,0.095355818470775,-5.723,0.58252427184466,16.940766550523,53.9,0.016690662278898,32.46,179.4,129.168,233.3,0.28,NA,2282.8,1.8574450772986,1.6184331797235,12.724637681159,9.784826403772,1.6753265815353,0.13,0.105,136.891,2444.8,0.10277238212961,1.75,19.285714285714,0.195,0.3281,0.18623265741729,0.066,0.9063,0.52222026016834,1229,1944.8,0.25709584533114,0.20451570680628,114.8,0.084250697196536,162.8,0.11947746954352,0.28275261324042,2.1827160493827,1.3031358885017,0.13166006164685,1.4272713929253,-7.723,-0.059790124420403,1362.6,0.10510008136696,0.12884399551066,485.1,33.75,500,258900,1410.5,116.7,16.664952870608,1410.5,1.2,1.7575844716032
"7",2006-07-31,53.7,2.26,0.3213,0.31934306569343,746,1365.2,39.4,124.5,0.051788685524127,0.12225058915947,0.091195429241137,-11.3562,0.52287581699346,19.712092130518,35.1,0.014640701071081,30.072,156.6,112.752,191.7,0.28,NA,2279.5,2.3463715903242,2.0387264108756,14.55619412516,11.890975482525,2.2383150039277,0.12,NA,119.8082,2404,0.10247582771755,2.29,16.279475982533,0.13,0.1453,0.13066455278108,NA,0.8245,0.52871374157633,971.5,2054,0.17039922103213,0.14559068219634,104.2,0.10231736056559,116,0.11390416339356,0.28859884836852,2.7533512064343,1.6426743442098,0.1537706205813,2.0168892380204,-7.0562,-0.062581994912177,1018.4,0.11605970149254,0.13967828418231,369.2,37.28,350,182700,1118.1,108.4,18.948339483395,1118.1,1.05,2.1934306569343
"8",2005-07-31,49.2,1.08,0.2957,0.23173180905299,NA,850.1,21.9,80.1,0.040528233151184,0.09439076125383,0.094224208916598,2.4256,0.73047007101792,22.300366300366,26.8,0.014356709000552,25.584,122.4379,86.9309,149.2379,0.29,NA,1896.3,3.3432651622003,2.2346217299081,15.487848862509,12.706556081725,2.3227584517393,0.12,NA,89.4053,1976.4,0.11575108810728,2.03,17.84236453202,0.04,0.1896,0.20543806646526,NA,0.7472,0.47523820726973,567.2,1826.4,0.082128777923784,0.075895567698846,81.9,0.10031847133758,61.5,0.075330720235179,0.31238095238095,3.6726322139554,1.8583638583639,0.1499729544341,2.2371386575208,-2.4744,-0.028463413447647,816.4,0.15326326375176,0.16468932234064,310.8,36.22,150,116400,848.6,91.7,19.917121046892,848.6,0.95,3.0532983160822
"9",2004-07-31,24.1,0.98,0.2961,0.27110066871498,NA,694.3,14.9,70.4,0.041419073954227,0.097818535500903,NA,4.4295,0.66193853427896,30.445972495088,20.2,0.028814669286182,21.208,95.5118,69.0884,115.7118,0.27665,NA,1629.3,3.3739904742183,2.2638599416423,17.058632361083,14.080677711583,2.4274433849821,0.1333,NA,69.959,1699.7,0.12400979403716,2.84,10.753521126761,-0.015,0.171,0.29293748100111,NA,0.7926,0.46348840558836,482.9,1549.7,0.096792927663419,0.0882508678002,50.9,0.075834326579261,61.3,0.091328963051252,0.41666011787819,3.8425489709893,2.2840189418671,0.1423,2.3088498212157,-0.8705,-0.012600449480528,671.2,0.14306985213502,0.12620877758492,271,30.54,150,72400,719.7,60.9,25.446633825944,719.7,0.9,3.071932044099
"10",2003-07-31,23.3,0.8,0.3355,0.0044052863436123,NA,449.5,14.4,76.1,0.077843698854337,0.13714182735628,NA,-3.2,0.5273,45.61214953271,17.8,0.020051224259809,19.572,41.7,27.5216,59.5,0.34001,NA,901.5,NA,NA,21.618705035971,15.151260504202,1.6246170481168,0.15,NA,30.9216,977.6,0.1761957730812,1.67,24.832335329341,NA,0.0647,0.26871989490585,NA,0.7596,0.29076751946607,264.4,976.1,0.0015367277942834,0.0015343698854337,21.4,0.038565507298612,48.7,0.087763561001982,0.91457943925234,2.8793510324484,3.0408099688474,0.075148675437016,1.7590556857091,-3.4,-0.12353940541865,554.9,0.10409070726172,0.063126843657817,238.5,41.47,1.5,39669,568.1,23.6,41.360169491525,568.1,0.8,3.4096066565809
