"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,165.4,1.38,0.3425,0.3278,621.5,1710.5,54.4,246,0.0873,0.1489,0.1438,16.29,0.8,27.24,52.9,0,0,169,108.99,222,0.354,0.3656,2571.1,3.79,1.47,15.24,11.6,1.56,0.1,0.085,91.2,2817.1,0.1456,0.76,20.05,0.575,0.18,0.2662,0.443,0.5278,0.1383,678.6,2514,0.1206,0.1076,92.3,0.0559,276,0.1671,0,4.05,2.72,0.1021,1.52,17.79,0.1632,1651.7,0.1606,0.1485,583.8,15.24,303.1,632075,1749.2,103.8,24.22,1749.2,1.15,3.05
"2",2010-12-31,165.2,1.19,0.4581,0.36453917887853,524.7,1549.8,31.9,230.4,0.097182385692593,0.17656525404245,0.1486643437863,44.9047,0.60030561012879,21.696016771489,36.1,0,0,167.3,107.8918,203.4,0.3551,0.36442371752165,2140.4,3.5954980682009,1.3438814591574,12.793783622235,10.523107177974,1.6402789485784,0.195,0.095,67.1871,2370.8,0.15079365079365,0.78,15.923076923077,NA,0.1648,0.30697253244793,0.444,0.5091,0.15124532197703,595.3,2069.8,0.14542467871292,0.12696136325291,95.4,0.073109050501954,203.6,0.15602728178405,0,3.9447303220888,1.1126162446917,0.12820905816538,1.586175185838,40.7047,0.37727299957585,1304.9,0.18123932471023,0.18181818181818,438.7,12.42,301,731631,1592.7,83.4,24.817745803357,1592.7,1.1,2.8712607484559
"3",2009-12-31,164.4,1.52,0.7064,0.24815282032799,417.2,1172,16.3,207.1,0.070203389830509,0.18582323912068,0.17670648464164,18.7095,0.35390713476784,34.634236453202,29.7,0,0,136.7,85.7683,166.4,0.37258,0.3710302091402,2742.9,7.8864289821737,2.1852294455067,20.06510607169,16.483774038462,2.4611036339165,0.2,0.1,80.4588,2950,0.19061433447099,0.84,19.761904761905,NA,0.0048,0.25310614128505,0.474,0.4745,0.044709897610921,347.8,2812.3,0.048963481847598,0.046677966101695,81.2,0.072857783759533,148.2,0.13297442799462,0,6.7408916586769,1.7317118226601,0.12265589950651,2.5233737101839,5.3095,0.061905169534317,1114.5,0.24660239792985,0.19463087248322,381.9,16.6,137.7,656628,1255.2,109.6,25.659671532847,1255.2,1,5.3162732023788
"4",2008-12-31,164.1,1.43,0.743,0.41777114056375,311.9,1116.3,47.4,167.7,0.074832663989291,0.15147683136121,0.15022843321688,-6.8958,0.21534320323015,31.081664098613,29.9,0,0,108.2,75.6935,138.1,0.30043,NA,2073.3,5.6339673913043,1.9498730367723,19.161737523105,15.013034033309,1.8727305573119,0.17,0.09,65.0893,2241,0.19824419958792,0.53,22.754716981132,NA,0.3027,0.58703939008895,0.496,0.3707,0.046940786526919,368,2017.2,0.11094586555622,0.099866131191432,64.9,0.058621624062867,174.3,0.15743835245235,0,6.4674575184354,1.8283331822714,0.097732815463824,1.8220576280372,10.6042,0.14009398171614,1107.1,0.20568878804348,0.20807951266432,396.8,12.06,223.8,633689,1063.3,63.7,31.667189952904,1063.3,1,4.1833115549748
"5",2007-12-31,105.7,1.86,0.6807,0.1283692722372,258.7,553.2,16.1,72.9,0.10002744237102,0.13312636961286,0.13177874186551,-79.272,0.27030997502571,19.962427745665,12.6,0,0,54.7,35.7919,67.3,0.34567,NA,655.9,2.9294327824922,0.67223531823306,11.990859232176,9.7459138187221,1.1977720964208,0.25,0.125,111.5638,728.8,0.18637020968908,0.48,8.4166666666667,NA,0.2187,0.69738787580089,0.484,0.3108,0.08116413593637,223.9,690.7,0.055161430432894,0.052277716794731,34.6,0.06318480642805,101.4,0.18517165814463,0,2.6698879010437,0.79849710982659,0.099890430971512,1.2613221329438,-75.772,-2.1170178332413,547.6,0.15985641357749,0.13374565133359,198.5,4.04,38.1,588486,975.7,59.6,11.588926174497,975.7,1.15,2.455525606469
"6",2006-12-31,102.6,1.91,0.4326,0.1895895048667,191.5,433.2,7.6,52.1,0.036387763654142,0.11955025240936,0.12026777469991,-10.1135,0.55478502080444,62.477477477477,13.3,0,0,36.4,20.1387,49.7,0.44674,NA,1379.7,7.4902280130293,2.76271525831,37.903846153846,27.760563380282,3.1659017898118,0.275,NA,35.9522,1431.8,0.2084487534626,0.26,47.192307692308,0.04,0.2823,0.3587786259542,NA,0.4912,0.10480147737765,184.2,1387,0.032299927901947,0.031289286213158,22.2,0.050940798531436,69.3,0.1590178981184,0,7.242819843342,2.2719082719083,0.08352455254704,3.1826525929325,-15.8135,-0.78523274038091,435.8,0.10933042345277,0.11592689295039,162.9,12.27,44.8,611664,499.4,28.9,47.993079584775,499.4,1.5,6.0592467202708
"7",2005-12-31,89.8,2.84,0.427,0.12394603709949,207.8,360.9,3.2,99.6,0.12673368112992,0.33467741935484,0.27597672485453,-8.4215,0.52459016393443,210.13888888889,8.6,0,0,10.6,5.3,19.2,0.6,NA,686.3,4.9876453488372,2.032277169085,64.745283018868,35.744791666667,2.3061155913978,0.275,NA,19.1215,785.9,0.20033250207814,0.16,46.9375,NA,0.0423,0.33280881195909,NA,0.3473,0.052646162371848,137.6,756.5,0.038863185723728,0.037409339610637,3.6,0.012096774193548,62.5,0.21001344086022,0,3.6405197305101,7.6414141414141,0.035618279569892,2.542002688172,-13.8215,-2.6078375431122,297.6,0.038517441860465,0.017324350336862,115.2,7.51,29.4,163310,337.7,6.2,122.01612903226,337.7,1.4,3.3132377740304
"8",2004-12-31,89.5,1.48,0.4869,0.15546055188496,NA,371.5,7.3,77.7,0.16030534351145,0.25677461996034,0.20915208613728,6.0475,0.60792770589443,NA,9.8,0,0,-1.1258,-1.1258,8.6742,0,NA,407,2.2661469933185,1.345009914078,NA,46.920753498882,1.4310829817159,0.3,NA,-4.6733,484.7,0.22880215343203,0.04,121.5,NA,0.0488,0.29181084198385,NA,0.3581,0.032839838492598,179.6,444.7,0.08994827973915,0.082525273364968,-7.8,-0.027426160337553,94.5,0.33227848101266,NA,2.046479521399,NA,-0.0039585091420535,1.5636427566807,3.5475,-3.151064446998,284.4,-0.0062683741648107,-0.035895075931891,119.6,4.86,40,63639,302.6,0.4,1111.75,302.6,1.5,1.883793237466
"9",2003-12-31,86,2.08,0.6138,0.18189167340339,NA,351,5.5,76.8,0.17506268520629,0.28183486238532,NA,3.793,0.67774519387423,NA,16.9,0,0,16.9455,6.7782,33.8455,0.6,NA,361.9,2.1213364595545,1.3280733944954,21.356702369361,10.692706563649,1.3881856540084,0.3,NA,14.3852,438.7,0.23190883190883,NA,NA,NA,0.421,0.38382804503582,NA,0.3964,0.035897435897436,170.6,393.7,0.11430022860046,0.10257579211306,-11.2,-0.042961258151132,83.8,0.32144227080936,NA,1.9451581027668,NA,0.065,1.5101649405447,-7.607,-1.1222715771812,260.7,0.039731535756155,-0.055335968379447,115.8,4,45,46450,272.5,-2.1,NA,272.5,1.5,1.7732417138238
"10",2002-12-31,54.6,1.61,0.6877,0.1562082777036,NA,203.1,15.9,46.9,0.11323032351521,0.40292096219931,NA,53.6,0.5151,NA,8.2,0,0,5.9,5.9,14.1,0,NA,367.3,NA,NA,62.254237288136,26.049645390071,3.1554982817869,0.15,NA,-1.8,414.2,0.25849335302806,0.04,111.75,NA,0.263,0.4465811965812,NA,0.2003,0.016740521910389,102.9,390.8,0.059877175025589,0.056494447126992,-6.2,-0.053264604810997,55.8,0.47938144329897,NA,3.0917721518987,NA,0.050687285223368,3.3573883161512,7.7,1.3050847457627,116.4,0.057337220602527,-0.049050632911392,54.5,4.47,23.4,54847,164.6,-26.8,NA,164.6,1.45,3.5694849368319
