"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2012-06-30,124.8,0.98,0.2251,0.3814,850.5,1987.6,33.8,320.5,0.0971,0.1391,0.1612,0.39,0.8,22.2,92,0.0324,89.86,289,179.5,381,0.3778,0.3778,2979.2,2.83,1.28,10.33,7.83,1.29,0.1,NA,237.31,3299.7,0.0397,1.8,12.71,-0.015,0.025,0.1161,NA,0.8407,0.4341,1054.4,2775.3,0.189,0.1589,125,0.0543,46.6,0.0202,0.7098,3.26,2.22,0.1252,1.2,-57.81,-0.322,2303.5,0.1702,0.147,299.9,22.88,524.4,907083,2322.9,126.6,21.92,2322.9,0.85,2.4
"2",2011-06-30,123.7,0.37,0.2859,0.39671610169492,797.3,1904,29.2,241.5,0.072738772928526,0.11144953620379,0.12683823529412,3.2286,0.74326687653026,16.273573923166,72.3,0.0283,79.1211,279.8,178.2326,352.1,0.363,0.36299592139414,3078.6,2.850291639663,1.3855709077816,11.002859185132,8.7435387673956,1.4207393049979,0.08,NA,218.104,3320.1,0.043644957983193,1.57,14.363057324841,NA,0.0245,0.13295324971494,NA,0.8205,0.43135504201681,1080.1,2795.8,0.18753129694542,0.15791693021295,171.8,0.079283769440214,127.2,0.058701370621625,0.46054214202561,3.5065847234416,2.0341967403958,0.12912455581707,1.2902302828926,-39.8714,-0.22370444360802,2166.9,0.16501490602722,0.21547723567039,270,22.55,524.3,815450,2221.9,175.2,15.957762557078,2221.9,0.85,2.5121822033898
"3",2010-06-30,129.2,0.74,0.37,0.2865099009901,807.1,1794.4,42.7,412.6,0.13767100433767,0.18676443961615,0.2299375835934,-0.7103,0.57432432432432,11.874278098623,57,0.028,74.8412,351.2,231.0861,408.2,0.34201,0.34200526161941,2584.4,3.5964375173949,1.1787994891443,7.3587699316629,6.3312101910828,1.169835234474,0.1,NA,246.0964,2997,0.048707088720464,1.58,13.879746835443,NA,0.1054,0.12955560780625,NA,0.8122,0.29564199732501,718.6,2672.9,0.12125406861461,0.10814147480814,225.1,0.10189208763353,93.4,0.042277747600942,0.33247978676144,3.3117333663734,1.1874278098623,0.15897157342024,1.2098949846098,-15.0103,-0.064955299947333,2209.2,0.3215781909268,0.27889976458927,241.6,21.93,324.1,958856,2192.4,211.8,12.619924457035,2192.4,0.85,2.6493988684583
"4",2009-06-30,139.3,NA,NA,0.26283350904225,909,2774.7,26.8,280.9,0.081614271602069,0.1303540767553,0.101236169676,-2.3264,NA,13.961934617107,56.3,0.0245,76.3836,355.9,229.4914,412.2,0.35518,NA,3160.9,3.3195757193867,1.47823036992,8.881427367238,7.6683648714216,1.4668430089563,0.1,NA,261.3179,3441.8,0.027174108912675,1.56,14.461538461539,NA,-0.0278,0.29829466032988,NA,0.7987,0.1925253180524,952.2,3117.7,0.10395483850274,0.094165843454007,223.3,0.10362429811128,302,0.1401457144183,0.34206739811912,3.4298129812981,1.3961934617107,0.16515847603137,1.4467956749733,-31.8264,-0.13868238020864,2154.9,0.24101180214241,0.24565456545655,224.9,22.56,324.1,1168404,2138.3,214.1,14.561886968706,2138.3,0.85,2.7911767091071
"5",2008-06-30,140.4,NA,NA,0.37521990449862,745.8,2833.6,41.4,198.3,0.09037462400875,0.088760574728078,0.069981648785997,-2.3073,NA,9.085848074922,51.5,0.022511595945714,39.312,383.4,226.1101,434.9,0.41025,NA,1995.9,2.0051235684147,0.88761896291025,5.2057902973396,4.5893308806622,0.89337988451726,0.1,NA,238.5175,2194.2,0.029150197628458,1.47,8.530612244898,NA,0.0249,0.4453477868112,NA,0.7682,0.17698334274421,995.4,1746.3,0.25648514001031,0.2041290675417,192.2,0.086030168748042,355.5,0.15912447965624,0.20453694068678,2.341512469831,0.9085848074922,0.17161272995837,0.78165704310461,-12.4073,-0.054872835009908,2234.1,0.22715506329114,0.25770984178064,244.3,12.54,447.9,813185,2248.6,191.8,9.1047966631908,2248.6,NA,1.8381502890173
"6",2007-06-30,139.3,NA,NA,0.57782193958665,531.1,2678.2,31.8,88.6,0.022785135656423,0.040967309381791,0.033081920693003,NA,NA,16.040588533739,39.6,0,0,357.9,219.8938,397.5,0.3856,NA,3799.9,3.249444159398,NA,10.617211511595,9.5594968553459,1.7570166920978,NA,NA,NA,3888.5,0.028900007467702,1.32,17.227272727273,NA,NA,0.22644376899696,NA,0.7749,0.19102382196998,1169.4,3161.6,0.22991523279352,0.18693583644079,197.1,0.091136079900125,552,0.25523650991816,0,5.9529278855206,NA,0.16548758496324,1.4618763582559,NA,NA,2162.7,0.18803981528989,0.37111655055545,216.7,22.74,726.9,647840,NA,NA,NA,NA,NA,3.0910174880763
"7",2005-06-30,387.9,0.25,0.2286,0.35678899082569,NA,15744,1582,2179,0.059769206926535,0.32171858851321,0.13840193089431,-65.9941,0.21872265966754,21.328028814669,1137,0.0046366060044048,155.16,2707.9592,1794.727,3844.9592,0.33724,NA,34277.9,3.9305010893246,5.0609626457995,12.658204008391,8.915023077488,6.1014417942328,0.145,0.1,1415.7212,36456.9,0.70077489837398,7.32,11.785519125683,0.36,0.3278,0.36592639095974,NA,0.8167,0.066946138211382,8721,32567.9,0.11941205911342,0.10667390809421,1527,0.27180491278035,-321,-0.057137771448914,0.10161100196464,4.6452574525745,1.4708985389427,0.48201480954076,5.7970630117479,379.0059,0.21117744685281,5618,0.20579372083385,0.21780059905862,473,86.27,3889,1499400,6773,1527,21.328028814669,6773,0.9,3.3446697247706
"8",2004-06-30,395.3,0.33,0.2285,0.4122844368746,NA,12995,1899,757,0.036626314821804,0.14770731707317,NA,-24.7353,0.28884026258206,15.889498580889,927,0.0083333333333333,134.402,2824.9983,1901.9301,3751.9983,0.32675,NA,19911.2,2.3053375014473,3.885112195122,7.0482166307852,5.306825432197,4.6186963581536,0.09,0.07,954.6654,20668.2,0.79345902270104,3.75,10.88,0.19,0.4824,0.27605169095408,NA,0.8266,0.075567525971527,8637,16795.2,0.23060160045727,0.18738932272767,1057,0.24518673161679,-131,-0.03038738111807,0.12715421002838,3.0420575982612,1.765499842321,0.6553,3.8958942240779,947.2647,0.49805440749008,4311,0.22020726009899,0.19145082412606,416,40.8,3873,1874800,5125,1057,15.889498580889,5125,0.8,2.2001490312966
"9",2003-06-30,201.4,0.28,0.3085,0.5054207537429,NA,10645,1851,443,0.029845517445817,0.14946018893387,NA,365,0.2018,26.651463414634,833,0.011058743857016,120.84,744,608.8598,1577,0.18164,NA,14400.1,NA,NA,19.35497311828,9.1313253012048,4.8583333333333,0.065,0.07,-409.1402,14843.1,0.79877876937529,3.72,15.059139784946,NA,-0.1117,0.15718717683557,0.01,0.8443,0.075434476279944,7305,10927.1,0.35837504918963,0.26382628965647,410,0.13832658569501,-341,-0.11504723346829,0.29473170731707,2.8515396659708,4.1002251407129,0.25101214574899,3.6866059379217,1018,1.671977576974,2964,0.083348369609856,0.10699373695198,161,56.02,3916,1504632,4079,NA,NA,4079,0.75,1.971266255989
"10",2002-06-30,NA,0.63,0.4154,0.5516,NA,10582,1293,116,0.008985491529625,0.034876728803367,NA,21.3157,0.2637,12.606911764706,730,0.0129,110.5878,1998.9926,1234.6178,2728.9926,0.38238,NA,12793.7,NA,NA,6.4000737171313,4.6880669445568,3.8465724594107,0.08,NA,650.3021,12909.7,0.83453033453033,1.74,24.827586206897,0.155,0.1346,0.17248513059219,0.007,0.8234,0.073899073899074,7746,8572.7,0.50590829027028,0.33594893762055,680,0.20444978953698,-112,-0.033674082982562,0.16262916176471,2.4319716312057,1.5758639705882,0.37120198725556,2.5774804570054,584.3157,0.47327658442221,NA,0.15938778848593,0.19290780141844,149,43.2,4337,1877200,3326,395,21.703037974684,2693,0.85,1.6666279369997
"11",2001-06-30,NA,0.8,0.4477,0.27550287356322,NA,7506,941,132,0.0134947247894,0.041944709246902,NA,151.4915,0.53607326334599,11.96896,704,0.015851669652167,118.58,1895.1234,1224.8751,2599.1234,0.35367,NA,9649.6,NA,NA,5.0918056312323,3.7126363450077,3.0662853511281,0.22,NA,924.1444,9781.6,0.84026112443379,NA,36,NA,0.5267,0.25710601887124,0.007,0.7952,NA,5919,7480.6,0.30759564740796,0.2352375889425,625,0.1986018430251,121,0.03844931680966,0.189728,1.9948266666667,54.404363636364,0.389219926,2.3770575150937,300.7307,0.24551948051798,NA,0.20693953490826,0.16666666666667,164.9028,36,2301,NA,3147,891,8.3957351290685,3714,NA,1.6165261940175
