"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,23.9,0.4,0.2149,0.1373,479.3,726.3,26.8,260.8,0.2314,0.2343,0.3591,1.37,0.47,16.71,30.8,0.0232,24.38,89,58.11,119,0.3441,0.3468,866.3,2.94,0.76,9.78,7.26,0.78,0.095,0.085,60.74,1127.1,0.3065,NA,NA,NA,0.15,0.1664,0.315,0.5818,0.0414,294.8,1050.8,0.0726,0.0677,62.9,0.0565,52.3,0.047,0.3523,2.19,1.76,0.0796,0.94,-2.63,-0.0453,1113.1,0.1971,0.1312,113.1,40.22,76.3,461852,1142.2,69.2,15.18,1142.2,1,2.03
"2",2010-12-31,23.9,0.61,0.2811,0.17376725838264,418.9,640.8,20.7,176.4,0.19405940594059,0.18726114649681,0.27528089887641,4.6994,0.8,14.925454545454,30.8,0.0259,21.2613,79.9,50.2835,110.7,0.37067,0.34052757793765,732.6,2.2159709618875,0.73598553345389,9.1689612015019,6.6178861788618,0.77770700636943,0.09,0.075,55.684,909,0.35096754057428,NA,NA,NA,0.0339,0.16139972252197,0.34,0.6038,0.050249687890137,330.6,820.9,0.10732123279328,0.096919691969197,55,0.058386411889597,82.9,0.088004246284501,0.38656927272727,1.95965624254,1.6583838383838,0.084819532908705,0.87144373673036,-5.4006,-0.10740256331982,942,0.15209760133091,0.1312962520888,101.4,36.57,88.1,124002,995.4,55.9,14.685152057245,995.4,1.05,1.792899408284
"3",2009-12-31,23.8,0.48,0.3788,0.26324017979285,377,631.3,20.8,199.1,0.21160590923584,0.21876716844303,0.31538095992397,0.1516,0.7259767687434,11.890855457227,31.8,0.0269,21.6868,102.6,64.9663,134.4,0.3668,0.34492753623188,741.8,2.3730006397953,0.81266432953549,7.2300194931774,5.5193452380952,0.81507526645424,-0.02,0.045,75.8147,940.9,0.37082211309995,NA,NA,0.35,-0.0222,0.19428659192136,0.34,0.5908,0.054807539996832,312.6,806.2,0.16708012900025,0.14316080348602,67.8,0.074497307988133,51.1,0.056147676079552,0.31986401179941,2.1384615384615,NA,0.11273486430063,0.88583672123942,-10.8484,-0.16698500507009,910.1,0.20782571976967,0.17984084880637,92,31.58,134.7,174568,912.8,76.4,10.552356020942,912.8,1.1,1.8387727183897
"4",2008-12-31,23.8,0.57,0.4397,0.28101320632172,332.1,582.8,26.1,82,0.094047482509462,0.088285960378984,0.14070006863418,-1.4408,0.40027291335001,9.3345911949685,28.1,0.0225,16.6972,121.5,79.8219,149.6,0.34303,NA,789.9,2.0792313766781,0.8684036939314,6.5012345679012,5.2800802139037,0.85045219638243,0.04,0.075,83.2627,871.9,0.4289636238847,NA,NA,0.32,0.0109,0.34927314460597,0.34,0.6256,0.064344543582704,379.9,742.1,0.1749090419081,0.14887028328937,79.5,0.085594315245478,69.7,0.075043066322136,0.21002830188679,2.2345679012346,2.3336477987421,0.13081395348837,0.7989879414298,-3.4408,-0.043106325622037,928.8,0.21011280600158,0.2393857271906,83.3,34.08,129.8,262099,909.6,64.5,11.505426356589,909.6,1.1,1.8876380168868
"5",2007-12-31,23.7,0.42,0.4128,0.26065969428801,275.7,501.2,31.7,94.9,0.11793214862682,0.10361393165193,0.18934557063049,-1.1772,0.46511627906977,4.6576695194207,25.3,0.021103886925795,14.931,223.7,146.8143,249,0.3437,NA,709.8,2.5532374100719,0.75174751112052,3.1729995529727,2.8506024096386,0.77497543399934,0.225,0.09,141.5915,804.7,0.41201117318436,4.93,5.8215010141988,0.87,0.5233,0.40330697340043,NA,0.7357,0.026935355147646,278,707.5,0.1373851590106,0.12079035665465,151.9,0.16584779997816,38.1,0.041598427775958,0.098294930875576,2.5661951396445,0.20700753419647,0.2442406376242,0.77246424282127,5.2228,0.035573947076006,915.9,0.52810902877698,0.55096118969895,74.9,28.7,97.2,268243,944.2,145,4.8793103448276,944.2,1.2,2.1579511933494
"6",2006-12-31,23.6,0.34,0.3963,0.42011173184357,155.7,364.6,23.5,54.5,0.075359513274336,0.091121885972245,0.14947888096544,-4.1805,0.48448145344436,16.632152588556,21.5,0.0019331585845347,1.18,58.2,37.919,79.7,0.34847,NA,668.7,3.1247663551402,1.0110371938313,11.48969072165,8.3902132998745,1.1180404614613,NA,NA,40.0995,723.2,0.53099286889742,NA,NA,NA,0.2471,0.55195681511471,NA,0.4605,0.011519473395502,214,610.4,0.18479685452163,0.15597345132743,36.7,0.061360976425347,39.5,0.066042467814747,0.032152588555858,3.9203596660244,NA,0.097308142451095,1.0205651228891,-2.1805,-0.057503772976606,598.1,0.17719180373832,0.23570969813744,60.4,24.36,112.8,788835,661.4,60.1,10.156405990017,661.4,1.2,2.6934823091248
"7",2005-12-31,23.5,4.47,0.6119,0.46446133214126,119.8,317.1,12.4,38.3,0.12475570032573,0.080192629815745,0.12078208766951,-2.5495,0.15688838045432,NA,20.6,0,0,4.5,4.5,25.1,0,NA,268.7,1.4492988133765,0.52367959462093,59.711111111111,10.705179282868,0.56260469011725,NA,NA,15.2495,307,0.55597603279722,NA,NA,0.22,0.2723,0.1900604432505,NA,0.2392,0.012614317250079,185.4,203.1,0.51157065484983,0.33843648208469,-1,-0.0020938023450586,34.3,0.071817420435511,NA,1.6953255425709,NA,0.0094221105527638,0.42525125628141,-10.7495,-2.3887818723246,477.6,0.024271844660194,-0.008347245409015,57.7,8.58,103.9,57243,513.1,1.7,119.47058823529,513.1,0.6,1.3723737147966
"8",2004-12-31,23.5,0,0,0.40478515625,NA,269.5,12,55.6,0.22956234516928,0.15746247521949,0.20630797773655,-1.6622,NA,NA,16.4,0.0073637702503682,1.175,-12.2717,-12.2717,4.1283,0,NA,186.6,1.2506702412869,0.52846219201359,NA,45.200203473585,0.49720223820943,NA,NA,-6.2095,242.2,0.47272727272727,NA,NA,NA,-0.3238,0.39837398373984,NA,0.2436,0.011502782931354,149.2,159.3,0.52040175768989,0.34227910817506,-10.4,-0.027711164401812,28.1,0.074873434585665,NA,1.3068088597211,NA,-0.032698374633626,0.42446043165468,-6.0622,0.49399759184153,375.3,-0.08225,-0.085315832649713,47.8,6.79,82.9,191674,353.1,-17.6,NA,353.1,0.65,1.1826171875
"9",2003-12-31,24.2,0,0,0.39096437880104,NA,301.6,10.7,73,0.19281563655573,0.13035714285714,NA,-0.634,NA,4.3463855421687,16.8,0,0,123.159,77.0212,139.959,0.37462,NA,305.6,1.9440203562341,0.54571428571429,2.4813460587845,2.1834972194706,0.53398567185043,NA,NA,83.7552,378.6,0.43799734748011,NA,NA,NA,0.4348,0.39877300613497,NA,0.4677,0.010278514588859,157.2,288.6,0.31185031185031,0.23771790808241,66.4,0.11602306482614,29.5,0.051546391752577,0,2.0584878744651,NA,0.2152,0.50428097151843,-6.734,-0.087430797685632,572.3,0.48995642751145,0.47360912981455,69.3,11.91,90,436245,560,57.8,4.9930795847751,560,0.5,1.6446568201564
"10",2002-12-31,11.8,0,0,0.62098623853211,NA,235.4,12.5,6.1,0.012600702334229,0.015741935483871,NA,7.4,0,30.803278688525,16.6,0.0012559872272485,0.472,26.3,16.7831,42.9,0.36186,NA,478,NA,NA,18.174904942966,11.142191142191,1.2335483870968,NA,NA,20.8831,484.1,0.58708581138488,NA,NA,NA,0.1879,0.82480153298659,NA,0.396,0.013169073916738,168.3,375.8,0.28818520489622,0.22371410865524,12.2,0.031483870967742,34.2,0.088258064516129,0.038688524590164,5.6853252647504,NA,0.067870967741936,0.9698064516129,-4.1,-0.24429362854808,387.5,0.099721224004753,0.18456883509834,46,35.17,108.3,79866,419.7,21.7,17.31797235023,419.7,0.4,2.8401663695781
