"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2012-02-28,26.8,0.8,0.3782,0.1071,25,51.5,1.1,5.6,0.0241,0.0404,0.1087,2.62,0.53,44.13,2.4,0,0,7,7.31,10,0.0116,0.0189,226.9,10.13,1.34,30.66,23.15,1.64,NA,5.99,232.5,0.035,NA,NA,NA,-0.135,0.4169,NA,0.4345,0.0524,22.4,229.5,0.0131,0.0129,5.2,0.0375,11.7,0.0844,0,9.18,NA,0.0534,1.65,1.32,0.1809,138.7,0.3265,0.208,33.4,8.32,3,269133,169.8,13.7,16.75,169.8,1.15,8.3
"2",2011-02-28,26.1,1.48,1.1512,0.4054054054054,17.6,55.5,1.2,4.2,0.028131279303416,0.036745406824147,0.075675675675676,1.175,0.26059763724809,NA,2.5,0,0,-2,-2,0.5,0,NA,145.1,5.7125984251969,1.1152959262106,NA,290.2,1.2694663167104,NA,-1.875,149.3,0.034234234234234,0.11,38.545454545454,NA,0.0807,0.328165374677,NA,0.238,0.072072072072072,25.4,137.3,0.087399854333576,0.080375083724046,-3.3,-0.028871391076115,8.5,0.074365704286964,NA,7.8011363636364,NA,-0.017497812773403,1.2012248468941,-0.125,NA,114.3,-0.078740157480315,-0.1875,30.5,4.24,12,120581,130.1,3.9,35.205128205128,130.1,1.2,5.0439189189189
"3",2010-02-28,27.7,NA,NA,0.34470989761092,19.2,57,1.1,3,0.032258064516129,0.026761819803747,0.052631578947368,0.5796,NA,NA,2.5,0,0,-9.9659,-9.9659,-7.4659,0,NA,90,3.4220532319392,0.74380165289256,NA,NA,0.8028545941124,NA,-9.1454,93,0.036842105263158,NA,NA,NA,0.0017,0.31588132635253,NA,NA,0.089473684210526,26.3,82.9,0.12183353437877,0.10860215053763,-10.9,-0.097234611953613,7.3,0.065120428189117,NA,4.3177083333333,NA,-0.088901516503122,0.73951828724353,-0.8204,NA,112.1,-0.37893003802281,-0.56770833333333,32.4,3.14,10.1,53954,121,-6,NA,121,1.2,3.1740614334471
"4",2009-02-28,24.3,NA,NA,0.47629796839729,23.2,69.6,0.8,6.9,0.071428571428571,0.070121951219512,0.099137931034483,-0.5593,NA,NA,6.5,0,0,-0.2,-0.2,6.3,0,NA,89.7,2.3983957219251,0.95324123273114,NA,14.238095238095,0.91158536585366,NA,6.0593,96.6,0.030172413793104,NA,NA,NA,-0.2809,0.82038834951456,NA,NA,0.093390804597701,37.4,75.5,0.2794701986755,0.2184265010352,-49.7,-0.50508130081301,12.8,0.13008130081301,NA,3.2543103448276,NA,-0.0020325203252033,0.76727642276423,-6.2593,NA,98.4,-0.0053475935828877,-2.1422413793104,33.9,3.44,21.1,99744,94.1,-55.9,NA,94.1,1.2,2.1805869074492
"5",2008-02-28,25,NA,NA,0.30689329556185,73.4,143,1.4,6.6,0.14732142857143,0.046841731724627,0.046153846153846,5.0295,NA,NA,9.7,0,0,-29.5669,-29.5669,-19.8669,0,NA,38.2,0.38469284994965,0.33805309734513,NA,NA,0.27111426543648,NA,-26.2964,44.8,0.035664335664336,NA,NA,NA,-0.4028,0.78701298701299,NA,NA,0.36993006993007,99.3,12.3,2.6422764227642,0.72544642857143,-11.1,-0.078779276082328,25.4,0.18026969481902,NA,0.16757493188011,NA,-0.20984315117104,0.087295954577715,-3.2705,NA,140.9,-0.29775327291037,-0.15122615803815,41.6,0.46,32.5,124059,113,1.1,11.181818181818,113,1.2,0.42304060434372
"6",2007-02-28,23.6,2.97,1.3177,0.18436657681941,151.3,229.7,2.8,37.5,0.37091988130564,0.16869095816464,0.16325642141924,4.3582,0.15785080063747,NA,6.9,0,0,0.9,0.45,7.8,0.6,NA,63.6,0.42972972972973,0.32088799192735,70.666666666667,8.1538461538462,0.28609986504723,NA,0.1918,101.1,0.027427078798433,NA,NA,-0.14,0.0054,NA,NA,NA,0.47279059643013,148,66.9,0.51121076233184,0.33827893175074,-11.8,-0.053081421502474,40.2,0.1808367071525,NA,0.44216787838731,NA,0.0040485829959514,0.30094466936572,0.2582,0.57369920527816,222.3,0.0030405405405405,-0.077990746860542,44.4,2.62,34.2,50558,198.2,-13.1,NA,198.2,1.3,0.54501347708895
"7",2006-02-28,23.2,2.97,1.3177,0.041893362350381,176.1,204.3,2.3,45.8,0.22179176755448,0.21057471264368,0.22418012726383,0.1549,0.14570843135767,13.616438356164,4.4,0,0,23.9,14.2466,28.3,0.40391,NA,160.7,1.1644927536232,0.74226327944573,6.7238493723849,5.678445229682,0.73885057471264,NA,16.1916,206.5,0.026431718061674,NA,NA,0.165,-0.0324,NA,NA,NA,0.47332354380813,138,198.8,0.038732394366197,0.03728813559322,14.6,0.067126436781609,33.7,0.15494252873563,0,1.1289040318001,NA,0.10988505747126,0.91402298850575,-1.9451,-0.13652830578183,217.5,0.10323587681159,0.082907438955139,27.1,8.44,7.7,134853,216.5,12.3,16.162601626016,216.5,1.2,1.1235038084875
"8",2005-02-28,22.7,2.97,1.3177,0.062759029011249,NA,196.8,2.4,31,0.1294363256785,0.13507625272331,0.15752032520325,1.3257,0.45078545951279,27.25,4.3,0,0,13.564,8.4852,17.864,0.37443,NA,208.5,1.5119651921682,0.90849673202614,15.371571807726,11.671518137035,0.94772727272727,NA,9.0595,239.5,0.027439024390244,NA,NA,0.935,0.123,NA,NA,0,0.49237804878049,137.9,228.9,0.046308431629532,0.044258872651357,8.4,0.038181818181818,30.7,0.13954545454545,0,1.4459886291851,NA,0.061654545454545,1.0404545454545,-0.5743,-0.067684444811184,220,0.061531772878898,0.053063802905875,27.9,10.49,10.6,171502,229.5,11.1,20.621621621622,229.5,1.2,1.4179988158674
"9",2004-02-28,14.9,2.97,1.3177,0.14732724902216,NA,97.6,2.7,22.9,0.11914672216441,0.1261013215859,NA,9.6851,0.45078545951279,31.736842105263,3.4,0,0,9.3878,9.3453,12.7878,0.00453,NA,169.3,3.1468401486989,0.93226872246696,18.034044185006,13.239181094481,1.3164852255054,NA,0.3602,192.2,0.045081967213115,NA,NA,NA,0.2714,NA,NA,0,0.2141393442623,53.8,180.9,0.062465450525152,0.058792924037461,5.7,0.044323483670296,23.5,0.18273716951788,0,2.7660550458716,NA,0.073,1.4066874027994,8.9851,0.96145609964531,128.6,0.17370396405204,0.087155963302752,11.7,8.78,11.3,276527,181.6,9.5,19.042105263158,181.6,1,2.5058670143416
"10",2003-02-28,14.7,2.97,1.3177,0.21024258760108,NA,89.6,1.7,21.9,0.13369963369963,0.219,NA,0.6,0.4965,28.5,3.7,0,0,8.2,5.2923,11.9,0.3546,NA,141.9,NA,NA,17.30487804878,11.924369747899,1.419,0.15,7.2923,163.8,0.10379464285714,0.25,56.24,NA,-0.0818,0.58145875937287,NA,0.2419,0.23325892857143,52.3,148.2,0.10526315789474,0.095238095238095,5.2,0.052,15.8,0.158,0,2.5290102389078,1.9,0.082,1.482,-2,-0.37790895417476,100,0.10119082217973,0.088737201365188,12.3,14.06,15.6,117664,92.8,1.2,123.5,92.8,0.95,2.7131931166348
