"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2012-02-01,36,2.17,0.8314,0,89.4,166,11.7,48.4,0.2541,0.1172,0.2916,0.24,0.65,NA,20.2,0,0,-37,-37.13,-17,0,142.1,3.47,0.37,NA,NA,0.34,NA,0.01,-28.87,190.5,0.3398,-0.36,NA,NA,-0.02,0.6981,0.056,0.7189,0,41,190.5,0,0,-50.1,-0.1214,-3.3,-0.008,NA,2.13,NA,-0.0899,0.46,-8.26,NA,412.8,-0.9056,-0.5604,131.3,5.45,0,921286,383,-35,NA,383,1.25,2.13
"2",2011-02-01,35.6,1.73,0.7261,0,164.2,234.2,8.4,76.8,0.90995260663507,0.17139031466191,0.32792485055508,-0.1121,0.41316623054676,NA,24.7,0,0,-14.5,-14.5,10.2,0,7.6,0.086956521739131,0.017249205628688,NA,0.74509803921569,0.016960499888418,NA,0.01,1.9121,84.4,0.32707087959009,NA,NA,NA,-0.0076,0.5361380798274,0.039,0.8952,0,87.4,84.4,0,0,-22.2,-0.049542512831957,6.7,0.014952019638474,NA,0.51400730816078,NA,-0.032358848471323,0.18835081455032,-16.4121,NA,448.1,-0.16590389016018,-0.13520097442144,145.2,2.34,0,214951,440.6,-37.1,NA,440.6,1.2,0.51400730816078
"3",2010-02-01,35.9,2.11,0.8325,0,193.7,267.3,6,99.3,0.48180494905386,0.21805006587615,0.37149270482604,0.1173,0.37537537537538,1030.5,26,0.0417,8.5944,-1.4,-1.4,24.6,0,106.8,1.1313559322034,0.23146944083225,NA,4.3414634146342,0.23451910408432,0.275,0.015,18.4827,206.1,0.35952113729891,NA,NA,NA,-0.1533,0.39339339339339,0.039,0.9325,0,94.4,206.1,0,0,0.2,0.00043917435221783,8.9,0.019543258673694,42.97185,1.0640165203924,37.472727272727,-0.0030742204655248,0.45256916996047,-19.8827,NA,455.4,-0.014830508474576,0.0010325245224574,141.6,6.15,0,271319,461.4,4.4,46.840909090909,461.4,1.25,1.0640165203924
"4",2009-02-01,35.5,1.8,0.755,0,200.2,290.1,18.4,78.8,0.30448222565688,0.14848313548144,0.27163047225095,-1.7815,0.26490066225166,NA,26.3,0.0334,8.6439,-14.1,-14.1,12.2,0,180,1.4827018121911,0.38420490928495,NA,14.754098360656,0.3391746749576,0.055,0.005,-4.4185,258.8,0.41468459152017,NA,NA,-0.145,-0.0836,0.47025264873676,0.034,0.9249,0,121.4,258.8,0,0,-8.1,-0.015262860373092,15.2,0.02864141699642,NA,1.2927072927073,NA,-0.026568682871679,0.48765781043904,-9.6815,NA,530.7,-0.1161449752883,-0.04045954045954,176.9,7.62,0,226394,468.5,-22.3,NA,468.5,1.25,1.2927072927073
"5",2008-02-01,35.3,1.85,0.6022,0,218.8,311.8,35.9,78.5,0.44908466819222,0.13633205974297,0.2517639512508,-0.0212,0.30554633012288,7.4700854700855,22.6,0.048466819221968,8.472,32.4,20.4661,55,0.36833,96.3,0.6863863150392,0.16704249783174,2.9722222222222,1.7509090909091,0.16724557137895,NA,0.045,7.1873,174.8,0.42847979474022,0.27,20.740740740741,-0.01,0.0897,0.69422001243008,0.037,NA,0.00032071840923669,140.3,174.8,0,0,23.4,0.040639110802362,17.4,0.030218825981244,0.36205128205128,0.79890310786106,NA,0.05626953803404,0.30357763112192,13.2788,0.64882130113909,575.8,0.14587389878831,0.10694698354662,166.4,5.6,0,578995,576.5,20.4,8.5686274509804,576.5,1.15,0.79890310786106
"6",2007-02-01,36.5,0.13,0.4237,0,225.8,307.3,30.5,102.3,0.22133275638252,0.18691759546866,0.33289944679466,-0.8019,0.49091338210998,13.715133531157,21.7,0.018952834270878,8.76,49.9,30.5383,71.6,0.38801,359.9,2.9141700404858,0.63834693153601,7.2124248496994,5.0265363128492,0.65759181436141,0.1,0.27,22.5402,462.2,0.41588024731533,0.83,12.481927710843,0.06,0.1066,0.3019680196802,0.057,NA,0.013667425968109,123.5,462.2,0,0,33.7,0.061575004567879,26.6,0.048602229124794,0.25994065281899,2.0469441984057,1.3715133531157,0.091174858395761,0.84450940983008,7.9981,0.26190269129382,547.3,0.24727369230769,0.14924712134632,145.2,10.36,0,709427,563.8,26.3,17.574144486692,563.8,1.3,2.0469441984057
"7",2006-02-01,36.2,0.27,0.4462,0,192.8,263.5,26.6,92.4,0.12737799834574,0.18837920489297,0.35066413662239,-1.0321,0.43030031376064,23.861842105263,18.8,0.011976840363937,8.688,47.7,29.1738,66.5,0.38839,633,6.304780876494,1.1920903954802,13.270440251572,9.5187969924812,1.2905198776758,0.19,0.14,22.4059,725.4,0.44895635673624,1.31,14.24427480916,0.175,0.1021,0.28627289565754,0.071,NA,0.016318785578748,100.4,725.4,0,0,30.4,0.061977573904179,12.5,0.025484199796126,0.28578947368421,3.7624481327801,1.2558864265928,0.097247706422018,1.4788990825688,6.7679,0.23198522661472,490.5,0.29057566733068,0.15767634854772,132,18.66,0,391000,531,37.9,19.139841688654,531,1.2,3.7624481327801
"8",2005-02-01,35.7,2.14,0.5458,0,NA,229.2,30.5,60.8,0.093280147284443,0.12580177943306,0.2652705061082,2.0941,0.78417002565042,24.140740740741,16.2,0.0085242408098029,5.712,42.8759,26.3541,59.0759,0.38534,591,5.771484375,1.2228429546865,13.783954357619,10.004072724023,1.3465481886535,0.14,0.15,9.9601,651.8,0.489092495637,0.95,19.757894736842,0.34,0.1799,0.24311083894672,0.083,0.9701,0.019633507853403,102.4,651.8,0,0,27,0.061517429938483,20.7,0.047163362952837,0.21155555555556,3.9938725490196,1.7243386243386,0.097689542036911,1.4850763271816,16.3941,0.622067822046,438.9,0.25736450469141,0.16544117647059,108.9,18.77,0,351800,483.3,27,24.140740740741,483.3,1.25,3.9938725490196
"9",2004-02-01,37.5,0,0,0,NA,206.5,22.3,88.8,0.13367454463345,0.21147892355323,NA,1.293,NA,16.903307888041,11.6,0.0088300220750552,6,74.78,45.9448,86.38,0.3856,575.5,6.4662921348315,1.3705644201,7.6959100550709,6.662423399496,1.4729971845406,0.175,0.2,33.9519,664.3,0.38789346246973,1.11,16.324324324324,0.43,0.1535,0.23197903014417,0.071,0,0,89,664.3,0,0,39.3,0.1005886869721,17.3,0.044279498336319,0.15267175572519,3.7362204724409,0.96590330788804,0.1914,1.7002815459432,11.993,0.26102967487079,390.7,0.51623392934832,0.22103487064117,89.3,18.12,0,124600,419.9,31.9,20.824451410658,419.9,1.25,3.7362204724409
"10",2003-02-01,37.5,0,0,0,NA,166.4,20.5,64.1,0.08236957080442,0.18919716646989,NA,12.7,0,20.212987012987,9.4,0.007710100231303,6,61.6,37.9431,71,0.38404,714.1,NA,NA,11.592532467533,10.057746478873,2.107733175915,0.22,0.225,26.8431,778.2,0.41586538461539,1.34,14,NA,0.2368,0.55168119551681,0.086,0.8823,0,79.2,778.2,0,0,38.5,0.11363636363636,14.6,0.043093270365998,0.15584415584416,5.430565247732,0.91877213695395,0.18181818181818,2.2969303423849,11.1,0.29254303070785,338.8,0.47908,0.26866713189114,76.7,18.76,0,496093,370.3,41.4,18.797101449275,370.3,1.25,9.0164141414141
"11",2002-02-01,NA,NA,NA,0,NA,128.6,31,40.9,0.074553408676631,0.14824211670895,NA,1.8399,NA,16.674772036474,7.1,0,0,60.8614,36.9575,67.9614,0.39276,507.7,NA,NA,8.341904721219,7.470417030844,1.8401594780718,0.2417,NA,11.2176,548.6,0.44867807153966,NA,NA,NA,0.2567,0.41996830427892,0,0.895,0,71.101,548.6,0,0,32.9,0.11924610366075,13.964,0.050612540775643,0,4.8982142857143,0.68989540903906,0.13395243398333,1.9884015947807,25.7399,0.69647341790035,NA,0.51978842120364,0.29375,61.3,19.86,0,121600,275.9,37.7,14.551724137931,312.2,1.2,7.7157845881211
