"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Non-Cash Working Capital","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,17.2,1.12,0.3887,0.2991,251.9,2641.3,0,55,0.1822,0.0208,NA,0.72,39.67,0,0,0,91,80.38,91,0.1138,0.1091,246.9,0.81,2.72,2.72,0.07,80.38,301.9,0,NA,NA,NA,NA,0.3045,NA,0.2704,0.0324,304.4,194.4,0.553,0.3561,4.9,0,NA,0.77,5.67,0,0,NA,0.264,0.0195,3.9,11.37,107.5,31455,NA,-2.3,NA,NA,0.8,0.84
"2",2010-12-31,17.1,1.45,0.4798,0.30376344086022,259,2622.1,0,35.4,0.12394957983193,0.013500629266618,NA,0.44289287203001,NA,0,0.0398,6.8695,95.9,95.9,95.9,0,NA,250.2,0.74331550802139,2.6089676746611,2.6089676746611,0.07,95.9,285.6,0,0.4,23.875,-0.38,NA,0.18811881188119,NA,0.2574,0.032874413637924,336.6,172.6,0.65469293163384,0.39565826330532,-0.4,0,NA,0.66640926640927,NA,0,0,NA,0.28490790255496,-0.0015444015444015,8.6,9.55,113,27183,NA,7.5,23.013333333333,NA,0.85,0.76774193548387
"3",2009-12-31,17,1.07,0.5338,0.29537085744345,267.9,2708.3,0,57.9,0.16685878962536,0.021378724661227,NA,0.42150618209067,NA,0,0.0291,6.8298,104.5,104.5,104.5,0,NA,289.1,0.89699038163202,2.7665071770335,2.7665071770335,0.07,104.5,347,0,NA,NA,-0.135,NA,0.25818683212685,NA,0.2098,0.032788095853487,322.3,234.7,0.47848317000426,0.32363112391931,-3.5,0,NA,0.87607316162747,NA,0,0,NA,0.32423208191126,-0.013064576334453,10.6,12.6,112.3,23158,NA,-5.9,NA,NA,0.9,0.91267753813782
"4",2008-12-31,17.1,0.62,0.4587,0.29094608341811,278.8,2488.7,0,88.1,0.25135520684736,0.035400008036324,NA,0.3139306736429,21.080357142857,0,0.0548,12.9383,114.5,81.469,114.5,0.28848,NA,262.4,0.86004588659456,2.2917030567686,2.2917030567686,0.07,NA,350.5,0,-0.07,NA,0.01,NA,0.48383591415376,NA,0.2079,0.0373287258408,305.1,236.1,0.4845404489623,0.32639087018545,11.2,0,1.1552035714286,0.84684361549498,3.0114795918367,NA,NA,NA,0.26702405768601,0.040172166427547,27.3,13.84,114.4,43292,NA,-1.7,NA,NA,0.9,0.89140386571719
"5",2007-12-31,17.2,-0.12,0.2924,0.23437091289563,292.7,2616.3,0,93.4,0.17689393939394,0.035699269961396,NA,0.60191518467852,14.760942760943,0,0.029817518248175,13.072,119.7,81.894,119.7,0.31584,NA,434.6,1.5043267566632,3.6307435254804,3.6307435254804,0.07,NA,528,0,1.21,22.512396694215,0.075,NA,0.28491620111732,NA,0.2611,0.037686809616634,288.9,438.4,0.2043795620438,0.16969696969697,29.7,0,0.44013468013468,1.4977792962077,2.1087061087061,NA,NA,NA,0.28346816199377,0.10146908097028,44.7,27.24,89.6,33482,NA,24.6,17.821138211382,NA,1.1,1.381114308135
"6",2006-12-31,18.5,0.52,0.2058,0.25130393551446,315.8,2597.9,0,98.8,0.15994819491663,0.038030717117672,NA,0.8,15.366366366366,0,0.026753957396912,13.69,123.4,80.1952,123.4,0.35012,NA,518.9,1.6065015479876,4.2050243111831,4.2050243111831,0.07,NA,617.7,0,1.63,15.852760736196,0.095,NA,0.19344262295082,NA,0.2513,0.040186304322722,323,511.7,0.20715262849326,0.17160433867573,33.3,0,0.41111111111111,1.6203293223559,2.1951951951952,NA,NA,NA,0.24828232817338,0.10544648511716,37.3,25.84,106,65658,NA,30.9,16.559870550162,NA,1.05,1.4644381223329
"7",2005-12-31,18.6,1.33,0.2027,0.30230435774584,305.8,2625.5,0,105.2,0.13241032095658,0.040068558369834,NA,0.7104094721263,21.848184818482,0,0.019667673716012,13.02,114.4,73.6736,114.4,0.356,NA,689.3,2.0693485439808,6.0253496503496,6.0253496503496,0.08,NA,794.5,0,0.47,75.106382978723,0.09,NA,0.12537048014226,NA,0.1823,0.042087221481622,333.1,662,0.20015105740181,0.16677155443675,30.3,0,0.42970297029703,2.1648136036625,2.7310231023102,NA,NA,NA,0.22117562293605,0.099084368868541,21.1,35.3,132.5,27544,NA,31.9,20.752351097179,NA,0.9,1.8126853753137
"8",2004-12-31,17.7,0,0,0.27905670971364,NA,2364,0,87,0.11369576581286,0.036802030456853,0,NA,26.525896414343,0,0.018955963837854,11.505,NA,NA,NA,0.35141,NA,678.2,2.5193164933135,NA,NA,0.08,NA,765.2,0,1.7,20.170588235294,0.095,0,0.16827565721075,NA,0.1648,0.033967851099831,269.2,665.8,0.149294082307,0.1299006795609,25.1,0,0.45836653386454,2.5926791277259,3.3157370517928,0,NA,NA,NA,0.097741433021807,11.3,34.29,99.4,12711,NA,30.2,22.046357615894,0,0.85,2.1482313307131
"9",2003-12-31,13.2,0,0,0.18652226233454,NA,1846.5,0,93.1,0.15108730931516,NA,0,NA,22.607142857143,0,0.01869618696187,10.032,NA,NA,NA,0.35024,NA,523.1,3.3489116517285,NA,NA,0.08,NA,616.2,0,1.88,21.622340425532,0.075,0,0.16602026773427,NA,0.1565,0.013972380178716,156.2,569.7,0.081621906266456,0.075462512171373,25.2,0,0.39809523809524,2.8091715976331,2.8258928571429,0,NA,NA,NA,0.12426035502959,11.6,40.65,46.5,4907,NA,28.1,20.274021352313,0,0.7,2.4717208182912
"10",2002-12-31,13.2,0,0,0.27769171185128,NA,1824.8,0,89.8,0.13632913314104,NA,0,0,25.411255411255,0,0.016190800681431,9.504,79.5,51.2966,79.5,0.35476,NA,568.9,NA,7.1559748427673,7.1559748427673,0.07,51.2966,658.7,0,1.91,23.240837696335,NA,0,0.27189766153345,NA,0.1445,0.015892152564665,168.4,587,0.1221465076661,0.10885076666161,23.1,0,0.41142857142857,3.1474530831099,3.6301793444651,0,0,0,0.30461152019002,0.12386058981233,20.6,44.39,71.7,6214,0,25.8,22.751937984496,0,0.65,3.3782660332542
