"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Non-Cash Working Capital","Payout Ratio","Price to Book Value Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,3.2,0.26,0.2497,0.6151,96.1,928.1,0,5.8,0.0212,0.0062,NA,0.26,9.24,0,0,0,60,41.26,60,0.3065,0.3048,267.9,1.1,4.5,4.5,41.26,273.7,0,NA,NA,-0.06,NA,0.2499,NA,0.1528,0.0115,243.9,120.1,1.2789,0.5612,13,0,0,1.25,0,0,NA,0.1692,0.1353,7,38.94,153.6,24306,NA,15.7,7.65,NA,0.65,1.1
"2",2010-12-31,3.1,0.69,0.3279,0.62322371092164,92.8,904.1,0,7.2,0.030703624733476,0.0079637208273421,NA,0.49557792009759,10,0,0,0,56.4,41.3604,56.4,0.26666,0.27027027027027,227.3,0.95064826432455,4.0301418439716,4.0301418439716,41.3604,234.5,0,NA,NA,-0.125,NA,0.19148936170213,NA,0.0576,0.0118349740073,239.1,81,1.8950617283951,0.6545842217484,8.1,0,0,0.87284482758621,0,0,NA,0.17298358845671,0.087284482758621,8.2,26.6,153.5,2475,NA,11.3,7.1681415929203,NA,0.65,0.95209094600081
"3",2009-12-31,3.1,0.98,0.3799,0.69873196327066,68.9,888.4,0,8.4,0.036874451273046,0.0094552003601981,NA,0.49355093445644,12.363636363636,0,0.0455,3.094,56.2,41.5689,56.2,0.26034,0.26666666666667,219.4,0.99591466182478,3.9039145907473,3.9039145907473,41.5689,227.8,0,2.22,10.049549549549,-0.095,NA,0.1642622120982,NA,0.0851,0.012044124268348,220.3,68,2.35,0.70149253731343,5.5,0,0.56254545454546,0.98693759071118,0,0,NA,0.18869220154335,0.079825834542816,10.3,22.31,159.8,1750,NA,6.3,10.793650793651,NA,0.75,0.9960647135986
"4",2008-12-31,3,0.99,0.3898,0.71572492334647,64.9,855.7,0,9.7,0.043556353839246,0.011335748509992,NA,0.30785017957927,11.403846153846,0,0.0514,3.048,49.8,40.6732,49.8,0.18327,NA,213,0.9743824336688,4.2771084337349,4.2771084337349,NA,222.7,0,NA,NA,NA,NA,0.35118110236221,NA,0.102,0.012504382377001,218.6,59.3,2.7554806070826,0.73372249663224,5.2,0,0.58615769230769,0.91371340523883,NA,NA,NA,0.18606200365965,0.080123266563945,13.3,19,163.4,1545,NA,5.7,10.40350877193,NA,0.75,0.9754708716601
"5",2007-12-31,3,0.88,0.2667,0.70269037847697,65.2,785.6,0,11.1,0.055947580645161,0.01412932790224,NA,0.41994750656168,5.2117647058824,0,0.083972911963883,3.72,45,32.2736,45,0.28281,NA,187.3,0.89961575408261,4.1622222222222,4.1622222222222,NA,198.4,0,NA,NA,0.16,NA,0.53937947494033,NA,0.0953,0.01362016293279,208.2,44.3,3.4785553047404,0.77671370967742,8.5,0,0.43764705882353,0.67944785276074,NA,NA,NA,0.15501224783862,0.13036809815951,14.9,17.25,154.1,7184,NA,4.8,9.2291666666667,NA,0.7,0.9046967624259
"6",2006-12-31,3.2,1.1,0.2076,0.60140679953107,68,734.5,0,11.5,0.057963709677419,0.015656909462219,NA,0.42389210019268,7.9173553719008,0,0.041419624217119,3.968,45.8,31.6368,45.8,0.30924,NA,186.9,1.1747328724073,4.0807860262009,4.0807860262009,NA,198.4,0,2.79,11.530465949821,0.27,NA,0.20513492271417,NA,0.0893,0.014567733151804,159.1,95.8,1.0709812108559,0.51713709677419,12.1,0,0.32793388429752,1.4088235294118,NA,NA,NA,0.19884857322439,0.17794117647059,11.2,32.17,102.6,1378,NA,9.6,9.9791666666667,NA,0.55,1.1629542790152
"7",2005-12-31,3.1,0.38,0.189,0.59637340496978,60.1,672,0,13.3,0.06235349273324,0.019791666666667,NA,0.46560846560847,10.550847457627,0,0.030875502008032,3.844,40.8,28.3429,40.8,0.30532,NA,200,1.4749262536873,4.9019607843137,4.9019607843137,NA,213.3,0,NA,NA,NA,NA,0.0718789407314,NA,0.1192,0.015922619047619,135.6,124.5,0.71325301204819,0.41631504922644,11.8,0,0.32576271186441,2.0715474209651,NA,NA,NA,0.20901876106195,0.19633943427621,7.3,39.75,88.8,500,NA,12.1,10.289256198347,NA,0.55,1.4325050369375
"8",2004-12-31,3.5,0.17,0.2489,0.5,NA,609.1,0,13.9,0.073544973544974,0.022820554917091,0,0.13660104459622,10.633928571429,0,0.028877005347594,3.78,NA,NA,NA,0.30894,NA,175.1,1.3907863383638,NA,NA,NA,189,0,NA,NA,NA,0,0.081651497163962,NA,0.1106,0.016746018716139,125.9,119.1,0.58690176322418,0.36984126984127,11.2,0,0.3375,1.7038626609442,0,NA,NA,NA,0.16022889842632,5,37.4,69.9,456,NA,11.8,10.093220338983,0,0.55,1.3519313304721
"9",2003-12-31,3.6,0.09,0.2363,0.4768,NA,573.5,0,15.5,0.077655310621242,NA,0,0.07617435463394,10.852713178295,0,0.023898431665422,3.456,NA,NA,NA,0.32878,NA,184.1,1.6812785388128,NA,NA,NA,199.6,0,2.98,13.479865771812,NA,0,0.1576646090535,NA,0.1566,0.015867480383609,109.5,140,0.42571428571429,0.29859719438878,12.9,0,0.26790697674419,2.1406727828746,0,NA,NA,NA,0.19724770642202,6.1,40.17,59.6,3029,NA,11.1,12.612612612613,0,0.55,1.5968
"10",2002-12-31,3.7,0.2,0.2038,0.50571679859279,NA,551.9,0,13.4,0.066402378592666,NA,0,0.2203,14.724489795918,0,0.02051282051282,2.96,26.1,18.3332,26.1,0.29758,NA,188.4,NA,7.2183908045977,7.2183908045977,18.3332,201.8,0,NA,NA,NA,0,0.30985915492958,NA,0.1492,0.014314187352781,100.3,144.3,0.3984753984754,0.28493557978196,9.8,0,0.30204081632653,2.567615658363,0,0,0,0.18278327018943,0.17437722419929,7.9,39.9,57.5,3520,0,13.2,10.931818181818,0,0.55,1.8783649052842
"11",2001-12-31,NA,-0.27,0.3125,0.1005,NA,404.1,0,10.1,0.10656818781324,NA,0,-0.149,12.46875,0,0,0,NA,NA,NA,0.28687,NA,84.675,NA,NA,NA,NA,94.775,0,NA,NA,NA,NA,0.14912673533363,0,0.0556,0,39.616,89.775,0.055694792536898,0.052756528620417,7.2,0,0,2.008389261745,0,NA,NA,NA,0.16107382550336,11.2,25.65,5,NA,0,8,11.221875,0,0.55,2.3923414781906
"12",2000-12-31,NA,0.5,0.3548,0.10245901639344,NA,347.5,0,8.9,0.12175102599179,NA,NA,0.4227733934611,11.741379310345,0,0.031718061674009,2.16,NA,NA,NA,0.23802,NA,64.2,NA,NA,NA,NA,73.1,0,NA,NA,NA,NA,0.24324324324324,NA,0.0879,NA,34.9,68.1,0.073421439060206,0.068399452804378,5.8,0,0.37241379310345,1.7551546391753,0,NA,NA,NA,0.14948453608247,NA,19.08,5,NA,NA,6.5,10.476923076923,NA,NA,1.6689497716895
