"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Non-Cash Working Capital","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,29.2,1.21,0.263,0.5027,257.8,2602.7,0,16.7,0.0228,0.0064,NA,0.8,16.82,0,0.0124,5.84,95,63.08,95,0.3353,0.3349,714.9,1.42,7.53,7.53,0.18,63.08,731.6,0,1.49,10.94,0.165,NA,0.2368,NA,0.7746,0.004,501.7,471,0.5533,0.3562,28,0,0.1438,1.83,0.93,0,0,NA,0.1257,0.1086,13.6,16.3,260.6,178186,NA,40.6,11.6,NA,0.95,1.41
"2",2010-12-31,28.8,1.06,0.3165,0.57421203438395,222.9,2072,0,13,0.021045815120609,0.0062741312741313,NA,0.75039494470774,17.233695652174,0,0.011,3.4881,81,56.5129,81,0.30231,0.3030303030303,604.7,1.1845249755142,7.4654320987654,7.4654320987654,0.18,56.5129,617.7,0,0.94,11.425531914894,0.01,NA,0.199604743083,NA,0.7163,0.0051640926640927,510.5,317.1,0.94796594134343,0.48664400194269,18.4,0,0.18957065217391,1.4226110363392,0.95742753623188,0,0,NA,0.11070105778648,0.08254822790489,15.6,10.74,300.6,90256,NA,23.7,13.379746835443,NA,0.95,1.1799426934097
"3",2009-12-31,28.7,1.09,0.4305,0.58695213088265,204.5,1976.2,0,19.8,0.031190926275992,0.010019228822994,NA,0.58072009291521,33.417475728155,0,0.0067,2.3061,62.8,44.0705,62.8,0.29824,0.29931972789116,615,1.2939196297075,9.7929936305732,9.7929936305732,0.18,44.0705,634.8,0,0.67,17.358208955224,-0.005,NA,0.18363370677058,NA,0.7206,0.0070337010424046,475.3,344.2,0.84427658338176,0.45778197857593,10.3,0,0.22389708737864,1.6831295843521,1.856526429342,0,0,NA,0.092721498001262,0.050366748166259,23.7,11.63,290.6,76424,NA,17.8,19.337078651685,NA,1,1.2821652191477
"4",2008-12-31,24,1.05,0.4122,0.65547317924117,158,1743.8,0,14.9,0.027012327773749,0.0085445578621402,NA,0.38816108685104,39.84126984127,0,0.0046,1.1546,52.2,52.2,52.2,0,NA,536.7,1.209601081812,10.281609195402,10.281609195402,0.19,NA,551.6,0,0.36,24.277777777778,NA,NA,0.30785267546908,NA,0.626,0.0081431356806973,443.7,251,1.197609561753,0.54496011602611,6.3,0,0.18326984126984,1.5886075949367,2.0969089390142,NA,NA,NA,0.11764705882353,0.039873417721519,32.1,8.74,300.6,112691,NA,20.4,12.303921568627,NA,1,1.2027911033581
"5",2007-12-31,24.2,1.09,0.3656,0.61248785228377,159.5,1690,0,20.6,0.055781207690225,0.012189349112426,NA,0.48140043763676,26.636363636364,0,0,0,48.5,40.643,48.5,0.162,NA,348.7,0.89181585677749,7.1896907216495,7.1896907216495,0.2233,NA,369.3,0,0.27,21.074074074074,NA,NA,0.41318977119785,NA,0.5822,0.010177514792899,391,117.2,2.151023890785,0.68264283780125,4.4,0,0,0.73479623824451,1.1928510361112,NA,NA,NA,0.1039462915601,0.027586206896552,45.7,5.69,252.1,78038,NA,4,29.3,NA,1.1,0.89723032069971
"6",2006-12-31,24.5,1.15,0.2252,0.41280602636535,155.9,1638.4,0,24.6,0.074252942952007,0.0150146484375,NA,0.56838365896981,32.602941176471,0,0,0,44.5,31.3231,44.5,0.29611,NA,306.7,1.2731423827314,6.8921348314607,6.8921348314607,0.2267,NA,331.3,0,0.32,27.25,NA,NA,0.12008281573499,NA,0.4868,0.01068115234375,240.9,221.7,0.49436175011277,0.3308179897374,6.8,0,0,1.4220654265555,1.4381535587327,NA,NA,NA,0.13002534246575,0.04361770365619,39.1,8.72,109.6,51780,NA,4.8,46.1875,NA,0.8,1.2478342749529
"7",2005-12-31,24.4,1.67,0.2721,0.42451361867704,147.9,1452.3,0,16.5,0.045909849749583,0.011361288989878,NA,0.41161337743477,25.282828282828,0,0,0,44.7,29.3464,44.7,0.34348,NA,342.9,1.4257796257796,7.6711409395973,7.6711409395973,0.225,NA,359.4,0,0.37,27.702702702703,NA,NA,0.16973065412569,NA,0.4595,0.014115540866212,240.5,250.3,0.4358769476628,0.30356149137451,9.9,0,0,1.6923597025017,1.1236812570146,NA,NA,NA,0.12202263617464,0.066937119675456,24.9,10.25,109.1,144879,NA,10.2,24.539215686274,NA,0.7,1.3984435797665
"8",2004-12-31,18.5,0.79,0.2617,0.67195584684374,NA,1211.6,0,15.2,0.032409381663113,0.012545394519643,0,0.60374474589224,78.342857142857,0,0,0,NA,NA,NA,0.33057,NA,453.8,1.6519839825264,NA,NA,0.36,NA,469,0,NA,NA,NA,0,0.20675537359263,NA,0.4511,0.012132717068339,274.7,274.2,0.71043034281546,0.41535181236674,3.5,0,0,2.8832807570978,2.1761904761905,0,NA,NA,NA,0.036803364879075,12.7,11,194.8,51508,NA,6.9,39.739130434783,0,0.65,1.6177992411176
"9",2003-12-31,16.4,0.54,0.3176,0.27871621621622,NA,636.2,0,9.6,0.03991683991684,NA,0,0.34005037783375,33.467741935484,0,0,0,NA,NA,NA,0,NA,230.9,1.9974048442907,NA,NA,0.465,NA,240.5,0,0.23,47.347826086957,NA,0,0.24861265260821,NA,0.4185,0,115.6,207.5,0.15903614457831,0.13721413721414,6.2,0,0,2.6399491094148,0.71973638570933,0,NA,NA,NA,0.072599531615925,8.7,10.89,33,10836,NA,6.3,32.936507936508,0,0.7,2.03125
"10",2002-12-31,10,0.7,0.4174,0.02865329512894,NA,486.3,0,27.5,0.34766118836915,NA,0,0.3716,71,0,0,0,8.4,8.4,8.4,0,NA,51.6,NA,6.1428571428571,6.1428571428571,0.04,8.4,79.1,0,0.14,56.428571428571,NA,0,0.29675810473816,NA,0.1492,0.0012338062924121,14.2,78.1,0.01280409731114,0.012642225031606,1.1,0,0,2.3038348082596,17.75,0,0,0,0.59154929577465,0.032448377581121,9.4,7.9,1,20840,0,2.2,35.5,0,0.7,3.6338028169014
