"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,17.3,1.51,0.3736,0.2148,384.1,722.5,17.9,55,0.0707,0.0669,0.0761,9.55,0.8,18.4,19.4,0.0039,2.6,57,41.6,76,0.2702,0.2709,723.4,1.67,0.84,12.69,9.47,0.88,NA,33.55,778.4,0.1445,2.45,16.16,-0.035,0.07,0.2115,NA,0.9658,0.1887,434.2,673.3,0.1561,0.135,36.6,0.0445,202.3,0.246,0.0813,1.75,NA,0.0693,0.82,8.05,0.1934,822.3,0.0958,0.0953,168.4,39.59,105.1,42668,861.1,31.9,21.11,861.1,1.2,1.59
"2",2010-12-31,17.1,1.21,0.4055,0.0044642857142857,356.8,616.2,14.9,45.9,0.074223803363519,0.066919376002333,0.074488802336904,16.68,0.73982737361282,48.952380952381,17.4,0.0042,2.5906,47.7,47.7,65.1,0,0,572.5,1.832,0.71616212159119,12.002096436059,8.7941628264209,0.83466977693541,NA,33.52,618.4,0.15546900357027,2.1,16.814285714286,NA,0.0598,0.29448266558748,NA,0.9874,0.2036676403765,312.5,616.8,0.0025940337224384,0.0025873221216041,12.6,0.018370024784954,100.8,0.14696019827963,0.2056,1.7286995515695,NA,0.069543665257326,0.89925645137775,14.18,0.29727426634671,685.9,0.15264,0.035313901345291,149.5,35.31,1.6,99844,799.4,34,18.141176470588,799.4,1.2,1.7254464285714
"3",2009-12-31,17,1.42,0.4808,0.020955574182733,350.4,562.1,11,67.8,0.089789431863329,0.10550887021475,0.12061910692048,1.7481,0.59796173044925,126.71186440678,16.3,0.0034,2.5418,56.6,56.6,72.9,0,0,687.3,2.3691830403309,1.0573846153846,12.143109540636,9.4279835390946,1.0695611577964,NA,60.1519,755.1,0.16936488169365,2.08,20.326923076923,NA,-0.1949,0.28239395700174,NA,0.9576,0.18341932040562,290.1,747.6,0.010032102728732,0.009932459276917,5.9,0.009181450357921,151.8,0.23622782446312,0.43082033898305,2.1335616438356,NA,0.08807967631497,1.1633986928105,-3.5519,-0.062754666059592,642.6,0.19510513615994,0.016837899543379,138,42.28,7.5,69395,650,-15.8,NA,650,1.15,2.1098072087175
"4",2008-12-31,16.9,1.31,0.4329,0.037784828381886,333.6,588,15,82.3,0.17733247145012,0.10367850844041,0.13996598639456,-18.3094,0.40656040656041,NA,14.2,0.0056,2.5256,109.1,109.1,123.3,0,NA,381.8,1.4440242057489,0.55631647967361,3.4995417048579,3.0965125709651,0.48097757621567,-0.24,126.6094,464.1,0.14081632653061,1.72,14.639534883721,-0.225,0.1749,0.27208185424932,NA,0.9404,0.12619047619048,264.4,451,0.029046563192905,0.028226675285499,-53.6,-0.067523305618544,135.2,0.17031997984379,NA,1.3519184652278,NA,0.13744016124969,0.56815318720081,-17.5094,-0.16048943935112,793.8,0.41263237518911,-0.16067146282974,143.2,25.18,13.1,152372,686.3,-78.1,NA,686.3,1.1,1.3386212864148
"5",2007-12-31,16.6,1.93,0.382,0.049943502824859,420.4,676.5,12,43.5,0.097796762589928,0.065344749887337,0.06430155210643,-18.6364,0.50261780104712,11.153034300792,13.4,0.0058907026259759,2.49,59.3,40.8577,72.7,0.311,NA,401.3,1.0057644110276,0.52361691022964,6.7672849915683,5.5199449793673,0.60282409493766,0.17,60.8941,444.8,0.12195121951219,3.89,7.0694087403599,0.135,0.0934,0.58088235294118,NA,0.9525,0.320029563932,399,422.7,0.052282942985569,0.049685251798561,37.9,0.056932552200691,123.2,0.1850683491062,0.065699208443272,1.005470980019,0.65606084122303,0.089079164788944,0.63497070752591,-20.0364,-0.49039428932599,665.7,0.10240025062657,0.090152235965747,136.1,27.5,22.1,280462,766.4,61.2,6.906862745098,766.4,1.2,1.005197740113
"6",2006-12-31,16.2,1.6,0.2094,0.15351812366738,357.3,605.7,9.9,28.7,0.0338323706236,0.04850430961636,0.047383192999835,-14.5744,0.8,26.740614334471,13.6,0.0031014677728143,2.43,48.2,33.4513,61.8,0.30599,NA,819.6,2.0833756990341,1.2403147699758,17.004149377593,13.26213592233,1.3851613993578,0.14,51.7257,848.3,0.13042760442463,2.3,18.747826086957,0.07,0.2843,0.21164021164021,NA,0.9833,0.35149413901271,393.4,783.5,0.082705807275048,0.076388070258163,29.3,0.049518336995099,124.8,0.21091769477776,0.082935153583618,2.1928351525329,1.9100438810336,0.081460199425385,1.3241507520703,-18.2744,-0.54629932297193,591.7,0.085031220132181,0.082003918275959,124.7,43.12,64.8,73000,660.8,38.2,20.510471204189,660.8,1.25,2.0097133380715
"7",2005-12-31,15.8,2,0.2297,0.097327135386403,310.7,460.4,15,31.2,0.048372093023256,0.069256381798002,0.067767158992181,-20.7418,0.8,29.975490196078,10.4,0.0038757154538021,2.37,34.6,23.4685,45,0.32172,NA,613.8,1.9610223642172,1.129970544919,17.739884393064,13.64,1.3624861265261,0.14,39.6102,645,0.13748913987837,1.75,21.022857142857,0.06,0.1506,0.21606118546845,NA,0.8436,0.34991311902693,313,611.5,0.054783319705642,0.051937984496124,20.4,0.045283018867924,100.8,0.22375138734739,0.11617647058824,1.9681364660444,2.141106442577,0.076803551609323,1.3573806881243,-16.1418,-0.68780543540356,450.5,0.074979194888179,0.065658191181204,98,36.79,33.5,31100,543.2,23.7,25.801687763713,543.2,1.2,1.8739105171412
"8",2004-12-31,15.4,1.58,0.2767,0.12756467439786,NA,428.4,5.3,62.8,0.13949355841848,0.14373998626688,0.14659197012138,15.7594,1.1420310805927,34.516949152542,9.9,0.0058456742010912,2.31,22.1712,14.1621,32.0712,0.36124,NA,387.4,1.4164533820841,0.88670176241703,17.47311827957,12.079373394198,1.0146673651126,0.14,3.0027,450.2,0.13842203548086,1.32,19.439393939394,NA,0.0535,0.16613418530351,NA,0.8189,0.28408029878618,273.5,407.3,0.10532776822981,0.095290981785873,11.8,0.030906233630173,109.2,0.28601361969618,0.19576271186441,1.3882072256305,2.4654963680387,0.058070193818753,1.0667888947093,11.1594,0.78797421170426,381.8,0.051780898398538,0.040218132242672,85.3,25.66,42.9,34200,436.9,15.8,25.778481012658,436.9,1.1,1.3386856972941
"9",2003-12-31,15.3,1.39,0.299,0.1816830211121,NA,423.9,6.8,66,0.1581975071908,0.17765814266487,NA,3.6751,0.92976588628763,19.893854748603,9.9,0.0065502183406113,2.295,41.2346,28.7067,51.1346,0.30382,NA,351.2,1.2992970773215,0.94535666218035,8.5171087907864,6.8681412701563,0.9769123783032,NA,28.1316,417.2,0.14555319650861,1.04,22.019230769231,NA,0.0707,0.17874396135266,NA,0.7441,0.26657230478887,270.3,356.1,0.17158101656838,0.14645254074784,17.9,0.049791376912378,110.1,0.30625869262865,0.12821229050279,1.2939680232558,NA,0.1147,0.99054242002782,0.5751,0.020033773909885,359.5,0.10620325059933,0.065043604651163,74.2,22.9,61.1,12200,371.5,17,20.947058823529,371.5,1,1.2405590246803
"10",2002-12-31,15.1,1.11,0.4155,0.24246192104445,NA,390.7,4.4,42.4,0.094495208379764,0.12794206397103,NA,17.9,0.5862,23.762820512821,10.6,0.0061100620447802,2.265,31.2,19.968,41.8,0.36,NA,406.3,NA,NA,13.022435897436,9.7200956937799,1.2260108630054,0.13,26.168,448.7,0.16483235218838,1.13,21.345132743363,NA,-0.0497,0.31099702783032,NA,0.7013,0.25697466086511,279.3,370.7,0.21041273266793,0.17383552484956,15.6,0.047073023536512,126.9,0.38292094146047,0.14519230769231,1.5211325400082,1.827909270217,0.094146047073024,1.1185878092939,-6.2,-0.31049679487179,331.4,0.071493018259935,0.064013130898646,67.2,24.12,78,27911,349.4,16.8,22.065476190476,349.4,0.95,1.4547081990691
