"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,12.4,1.12,0.4161,0.2222,84.7,141.5,3.2,10.1,0.048,0.0728,0.0714,0.63,0.67,43.35,6.8,0.0333,6.2,11,5.93,18,0.4558,0.4557,200.5,2.03,1.4,18.39,11.33,1.44,NA,8.9,210.6,0.3611,NA,NA,-0.2,-0.035,0.2789,NA,0.3683,0.2558,98.8,186.4,0.1298,0.1149,4.3,0.031,19.5,0.1405,0.8611,2.2,NA,0.0785,1.34,-2.97,-0.5003,138.8,0.06,0.0508,24.3,14.3,24.2,0,143.3,7.2,25.89,143.3,0.75,1.93
"2",2010-12-31,12.4,0.8,0.4129,0.35011618900078,83.9,160.1,2.1,13.9,0.063703024747938,0.10273466371027,0.08682073703935,0.6446,0.45410511019617,57.666666666667,7.7,0.0358,6.1934,10.2,4.08,17.9,0.6,0.65909090909091,204.3,1.7734375,1.4804347826087,20.029411764706,11.413407821229,1.509977827051,NA,9.0354,218.2,0.37414116177389,0.89,16.550561797753,NA,0.1642,0.23490858916868,NA,0.37,0.20174890693317,115.2,173,0.26127167630058,0.20714940421632,3,0.022172949002217,32.3,0.23872875092387,2.0644666666667,2.061978545888,NA,0.075388026607539,1.2786400591279,-4.9554,-1.2145667579671,135.3,0.035416666666667,0.035756853396901,25.8,14.73,45.2,4267,138,7.3,23.698630136986,138,0.75,1.6901626646011
"3",2009-12-31,12.4,0.61,0.5359,0.33176100628931,85,154.1,2.3,20.8,0.11194833153929,0.17915590008613,0.13497728747567,2.6946,0.34987870871431,NA,8.2,0.0431,6.1892,-2.9,-2.9,5.3,0,NA,165,1.5507518796993,1.2509476876421,NA,31.132075471698,1.421188630491,NA,0.3054,185.8,0.41271901362752,0.47,24.468085106383,-0.205,-0.2988,0.38058690744921,NA,0.3802,0.21025308241402,106.4,143.6,0.29387186629527,0.22712594187298,-1.5,-0.012919896640827,19.8,0.17054263565892,NA,1.6894117647059,NA,-0.024978466838932,1.2368647717485,-3.2054,NA,116.1,-0.027255639097744,-0.017647058823529,26.7,11.5,42.2,3227,131.9,2.1,68.380952380952,131.9,0.75,1.4606918238994
"4",2008-12-31,12.4,0.52,0.5349,0.32017870439315,91.3,163.4,6.8,14.4,0.10843373493976,0.087009063444109,0.08812729498164,-7.2338,0.20938493176295,NA,9.2,0.0689,6.1872,15.5,6.2,24.7,0.6,NA,118.4,0.98748957464554,0.95100401606426,7.6387096774194,4.7935222672065,0.71540785498489,NA,15.8338,132.8,0.4124847001224,NA,NA,0.135,-0.0597,0.31343283582089,NA,0.3502,0.20073439412485,119.9,89.8,0.47884187082405,0.32379518072289,-3.1,-0.018731117824773,29.2,0.17643504531722,NA,0.98357064622125,NA,0.093655589123867,0.54259818731118,-9.6338,-1.5538446545171,165.5,0.051709758131777,-0.03395399780942,24.8,7.57,43,3079,124.5,-1,NA,124.5,0.7,0.98883097542815
"5",2007-12-31,12.5,0.67,0.5167,0.32446463335496,104.1,187.7,13.8,18.4,0.15986099044309,0.10354530106922,0.098028769312733,1.2466,0.24772595316431,7.2333333333333,11,0.096006144393241,6.25,19.4,10.9367,30.4,0.43625,NA,96.7,0.71260132645542,0.56682297772567,4.9845360824742,3.1809210526316,0.54417557681486,NA,6.8902,115.1,0.38465636654236,NA,NA,-0.055,0.1434,0.53763440860215,NA,0.3646,0.2312200319659,135.7,65.1,0.76804915514593,0.43440486533449,9,0.050647158131683,31.2,0.1755768148565,0.69444444444444,0.62536023054755,NA,0.10917276308385,0.3663477771525,4.0466,0.3699998066593,177.7,0.080595062638172,0.086455331412104,25.8,5.28,50,1091,170.6,-3.3,NA,170.6,0.8,0.74691758598313
"6",2006-12-31,15.3,2.19,0.3833,0,153.7,192,12,29.7,0.12785191562634,0.15623356128353,0.1546875,1.6248,0.35481346204018,19.854700854701,11.8,0.032931554024968,7.65,20.4,11.1364,32.2,0.4541,NA,202.6,1.6338709677419,1.1299498047964,9.9313725490196,6.2919254658385,1.0657548658601,NA,9.3115,232.3,0.36302083333333,NA,NA,-0.155,0.0181,0.30693677102517,NA,0.3063,0.22864583333333,124,232.3,0,0,11.7,0.061546554445029,28.6,0.15044713308785,0.65384615384615,1.5113858165257,NA,0.10731194108364,1.2219884271436,1.8248,0.16386225277818,190.1,0.08980935483871,0.07612231620039,26.1,12.05,0,36300,179.3,10,23.23,179.3,0.85,1.5113858165257
"7",2005-12-31,15.2,0.96,0.4095,0.0092409240924092,150.1,188.6,10.5,30.6,0.098234349919743,0.16416309012875,0.16224814422057,-0.7354,0.25396825396825,344.55555555556,10.9,0.024508223153821,7.6,19.6,9.8,30.5,0.6,NA,280.9,2.3234077750207,1.4706806282722,14.331632653061,9.2098360655738,1.506974248927,NA,10.9354,311.5,0.36055143160127,NA,NA,-0.29,-0.0573,0.18015665796345,NA,0.2959,0.20148462354189,120.9,310.1,0.0045146726862302,0.0044943820224719,0.9,0.0048283261802575,29.8,0.15987124463519,8.4444444444444,2.0659560293138,NA,0.10515021459227,1.6636266094421,-1.1354,-0.11585793115529,186.4,0.081058726220017,0.0059960026648901,24.2,20.16,1.4,11100,191,2.6,119.26923076923,191,0.65,2.0561056105611
"8",2004-12-31,14.1,-0.04,0.4649,0.00064350064350064,NA,185.7,5.3,16.8,0.068016194331984,0.090225563909774,0.090468497576737,0.6999,-0.0172080017208,25.98947368421,14.2,0.031133250311332,7.05,15.6916,8.5978,29.8916,0.45208,NA,230.2,1.6608946608947,1.2363050483351,14.670250745302,7.7011550394391,1.2606790799562,NA,16.7979,247,0.35595045772752,NA,NA,-0.3,-0.0544,0.16642547033285,NA,0.3458,0.16532040926225,138.6,246.9,0.00040502227622519,0.00040485829959514,9.5,0.052026286966046,35.5,0.19441401971523,0.7421052631579,1.5898261429491,NA,0.08593439211391,1.3521358159912,-8.2001,-0.95375036620398,182.6,0.062032845818182,0.06117192530586,24.1,16.06,0.1,800,186.2,-0.1,NA,186.2,0.6,1.5894465894466
"9",2003-12-31,15.1,0.04,0.5018,0.14412416851441,NA,209.5,8.9,21.7,0.078113750899928,0.098591549295775,NA,2.0585,0.015942606616182,193.69230769231,14.8,0,0,22.1817,12.4065,36.9818,0.44069,NA,256.1,1.6137366099559,1.1635620172649,11.54552729158,6.9250373495035,1.2342168674699,NA,16.248,277.8,0.39713603818616,NA,NA,-0.32,0.0577,0.49110922946655,NA,0.4239,0.21622911694511,158.7,251.8,0.1032565528197,0.093592512598992,1.3,0.0062650602409639,33.9,0.1633734939759,0,1.630829015544,NA,0.1069,1.2134939759036,-3.8415,-0.30963622641245,207.5,0.078175643304978,0.008419689119171,27.3,16.62,26,3900,220.1,9.6,26.229166666667,220.1,0.5,1.539911308204
"10",2002-12-31,15.1,-0.06,0.4156,0.17919075144509,NA,200.1,12.7,12.4,0.10081300813008,0.06323304436512,NA,3.9,-0.0344,153.33333333333,13,0,0,6.2,1.1603,19.2,0.81285,NA,110.6,NA,NA,17.838709677419,5.7604166666667,0.56399796022437,NA,1.4603,123,0.42578710644678,NA,NA,NA,-0.0732,0.27789934354486,NA,0.8009,0.2143928035982,160.6,92,0.33695652173913,0.2520325203252,0.6,0.0030596634370219,36.8,0.18765935747068,0,0.64788732394366,NA,0.03161652218256,0.4691483936767,-0.3,-0.25854713745228,196.1,0.0072249688667497,0.0042253521126761,26.7,6.11,31,6990,200.9,-1.2,NA,200.9,0.55,0.68866749688667
