"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,20.9,1.1,0.2488,0.368,1789.6,3928.1,332.3,534.5,0.1932,0.2495,0.1361,-8.69,0.8,41.97,156.8,0,0,89,53.94,246,0.3967,0.2318,2232.6,0.97,1.11,24.97,9.07,1.04,0.436,-112.87,2767.1,0.5565,NA,NA,0.035,0.205,0.1125,NA,0.8486,0.022,2297.1,1725.1,0.604,0.3766,41.1,0.0192,148.1,0.0691,0,0.96,0.96,0.0417,0.81,166.81,3.0927,2141.9,0.0235,0.023,187.5,83.8,1042,70491,2016.2,61.4,28.1,2016.2,0.95,0.98
"2",2010-12-31,21.4,0.92,0.2732,0.28674621862154,1787.2,3760.4,250.6,517.4,0.19222052977672,0.19528949950932,0.13759174555898,-19.8372,0.8,8.0637515324888,163.5,0,0,363.1,226.3348,526.6,0.37666,0.34484605087015,2174.3,1.0935472514208,1.0063874103217,5.9881575323602,4.128940372199,0.82067637955764,NA,159.072,2691.7,0.52353473034784,NA,NA,0.255,0.6359,0.2027199320017,NA,0.8737,0.021912562493352,1988.3,1973.2,0.36412933306305,0.26693167886466,244.7,0.092360534460633,107.5,0.04057522457915,0,1.1040734109221,NA,0.13704989809013,0.74477240129841,67.2628,0.29718269737423,2649.4,0.11383330181562,0.13691808415398,192.5,88.96,718.5,158584,2160.5,51.1,38.614481409002,2160.5,0.95,1.0742307538811
"3",2009-12-31,22.6,0.84,0.2862,0.28825454545454,1957.3,3723.6,180,534,0.17955011600148,0.31204347572021,0.14340960360941,113.1408,0.8,15.169680111266,160,0,0,204.1,124.6622,364.1,0.38921,0.33732718894009,2440.1,1.1011281588448,0.95859359654292,11.955414012739,6.7017302938753,1.4258750657395,NA,-8.4785,2974.1,0.55825008056719,12.23,8.2657399836468,0.48,-0.0852,0.26769029014808,NA,0.8508,0.020920614459126,2216,2181.4,0.36339048317594,0.26653441377223,143.8,0.084029685034769,232.1,0.13562788523345,0,1.1144944566495,NA,0.11926605504587,1.2747034418279,133.1408,1.0680121176208,1711.3,0.05625552301444,0.073468553619782,162,101.09,792.7,151524,2545.5,240.7,9.0627336933943,2545.5,0.95,1.0814909090909
"4",2008-12-31,20,0.63,0.2263,0.37366216845044,1615.2,3462.2,428.5,329.3,0.13260580678935,0.19885265700483,0.095112933972619,3.6244,0.63632346442775,6.7934734018775,156.3,0,0,253.5,165.3226,409.8,0.34784,NA,2154,0.9575461213603,1.2747825057703,8.4970414201183,5.2562225475842,1.3007246376812,NA,-110.5018,2483.3,0.61795967881694,6.25,12.2,0.35,0.374,0.2690502484815,NA,0.9687,0.022991161689099,2249.5,1519.7,0.63407251431204,0.38803205412153,223.7,0.1350845410628,178.1,0.10754830917874,0,0.94087419514611,NA,0.15307971014493,0.91769323671498,275.8244,1.6684013241709,1656,0.073493025116693,0.13849678058445,174.9,76.25,963.6,218670,1689.7,243.8,6.2333880229696,1689.7,0.9,0.96296727159919
"5",2007-12-31,22.6,0.78,0.2185,0.36897396988444,1621.8,3568.7,537.6,566.1,0.25929827775742,0.41649499705709,0.15862919270323,-5.0074,0.73226544622426,5.1113410596027,154.3,0,0,225.2,141.5697,379.5,0.37136,NA,1617.1,0.80693612774451,1.0338192047053,7.1807282415631,4.2611330698287,1.1897439670394,NA,-236.7229,2183.2,0.54451200717348,8.25,8.0787878787879,0.285,0.1155,0.30923694779117,NA,NA,0.025415417378878,2004,1234.9,0.7679164304802,0.43436240381092,241.6,0.17775161859918,33.2,0.024426133019423,0,0.76143790849673,NA,0.1656856974691,0.9085491465568,378.2926,2.672129473407,1359.2,0.070643576846307,0.14897027993587,147.3,66.65,948.3,393459,1564.2,219.8,5.6182893539581,1564.2,1,0.84946111046263
"6",2006-12-31,24.5,0.69,0.2017,0.38449679816586,1557.1,3253,381.7,535.5,0.17283671690927,0.40463956475744,0.16461727636028,-0.9,0.79325731284085,9.0682593856655,166.7,0,0,282.8,180.449,449.5,0.36192,NA,2562.8,1.2850624279196,1.922003899805,9.0622347949081,5.701446051168,1.9365271270969,NA,-33.651,3098.3,0.5441746080541,8.68,10.980414746544,0.19,0.3782,0.14148389591735,NA,NA,0.024777128804181,1994.3,2125.6,0.4576119683854,0.31394635768002,234.4,0.1771195405773,119.1,0.089995466223364,0,1.3651017917924,NA,0.21369200544053,1.6061659362249,214.1,1.1864849174123,1323.4,0.090482386802387,0.15053625329137,130.8,95.31,972.7,187771,1333.4,NA,NA,1333.4,1,1.2247213218436
"7",2005-12-31,24.8,1.3,0.2243,0.42057546607645,1361.3,2885.1,250.5,497,0.14470810889504,0.51131687242798,0.17226439291532,-37.5283,0.7133303611235,14.365237815619,127.7,0,0,149.2,126.3694,276.9,0.15302,NA,2937.5,1.5857806089397,2.2247046349591,19.688337801609,10.608522932467,3.0221193415638,NA,41.0977,3434.5,0.60982288308897,2.2,45.063636363636,-0.005,0.4577,0.20691078483401,NA,0.9769,0.027901979134172,1852.4,2446.4,0.40389960758666,0.28769835492794,170.3,0.17520576131687,104.7,0.10771604938272,0,1.7971057077793,NA,0.15349794238683,2.5168724279835,85.2717,0.67478137585966,972,0.068219291729648,0.12510100639095,105.2,99.14,988.1,173500,1320.4,282.6,8.6567586694975,1320.4,1,1.4618626032178
"8",2004-12-31,18.3,0.41,0.2336,0.42867424787678,NA,1766,200.1,351.4,0.15287566344732,0.42858885229906,0.19898074745187,78.7493,0.35102739726027,85.577889447236,57.8,0,0,18.4937,11.9654,76.2937,0.353,NA,1947.2,1.87591522158,2.3749237711916,105.28996646964,25.522425249061,3.9585281561293,NA,-209.0839,2298.6,0.52412231030578,NA,NA,-0.23,0.229,0.16983513449554,NA,0.8795,0,1038,1703,0.34973576042278,0.25911424345254,19.9,0.040455377109169,118.1,0.24008944907502,0,2.1453766691862,NA,0.037596442366335,3.4620857897947,221.0493,18.474018193664,491.9,0.011527377100193,0.025069286974049,61.4,67.99,595.6,120800,819.9,83.1,20.493381468111,819.9,0.9,1.6543831869872
"9",2003-12-31,18.6,0.7,0.2629,0.30135122880203,NA,1402.6,161.8,312,0.23654283548142,0.75949367088608,NA,0.6206,0.532521871434,74.187969924812,55.5,0,0,61.2143,32.2765,116.7143,0.47273,NA,1007,1.2735550777792,2.4513145082765,16.450393812953,8.6279029637661,2.479074347612,NA,-74.6441,1319,0.52630828461429,0.37,145.10810810811,-0.15,0.0802,0.20294494238156,NA,0.8202,0,790.7,986.7,0.33677916286612,0.25193328278999,13.3,0.032742491383555,54.8,0.13490891186608,0,1.2807632398754,NA,0.1507,2.4290989660266,106.9206,3.3126463684936,406.2,0.040820140447452,0.017263759086189,57.7,53.69,332.3,86800,410.8,-1.2,NA,410.8,0.9,1.1961548925365
"10",2002-12-31,19.9,0.55,0.3134,0.33344373602716,NA,1487.1,139.7,350,0.2966855980334,0.86805555555556,NA,4.8,0.3854,22.011331444759,56.2,0,0,43.8,28.5747,100,0.34761,NA,829.7,NA,NA,18.942922374429,8.297,2.0577876984127,NA,-54.9253,1179.7,0.49626790397418,1.71,24.40350877193,NA,-0.0652,0.14038657171923,NA,0.759,0,857.7,777,0.51827541827542,0.34135797236586,35.3,0.087549603174603,52.4,0.12996031746032,0,0.96521739130435,NA,0.10863095238095,1.9270833333333,83.5,2.9221672528149,403.2,0.033315473941938,0.043850931677019,53.3,41.73,402.7,67073,405,14.9,52.147651006711,405,0.85,0.96735455287397
