"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,192.9,1.79,0.3794,0.111,5492,11668,622,1761,0.0846,0.0976,0.1509,-8.01,0.8,11.47,325,0.0192,385.8,2133,1543.93,2458,0.2762,0.3145,19056.8,4.31,1.06,8.93,7.75,1.06,0.165,0.125,1254.94,20817.8,0.1961,8.66,12.51,0.16,0.065,0.2235,0.01,0.8123,0.0485,4417,20131.8,0.0341,0.033,1755,0.0972,1701,0.0942,0.2188,3.67,0.7,0.1182,1.12,288.99,0.1872,18048,0.3495,0.3196,2466,108.35,686,1677380,17963,1763.5,11.42,17963,1.45,3.37
"2",2010-12-31,197.8,1.75,0.4267,0.15291130056231,4670,10402,364,1362,0.077037942034888,0.1029789807954,0.13093635839262,550.1316,0.8,16.522669283611,320,0.0182,306.4261,1267,876.7893,1587,0.30798,0.36982065553494,16317.6,3.9310045772103,0.94507123827175,12.878926598264,10.282041587902,1.2337517011946,0.215,0.135,282.6578,17679.6,0.19621226687175,9.54,9.2264150943396,0.19,0.2467,0.20873544920903,0.01,0.8437,0.056623726206499,4151,16836.6,0.050069491465023,0.047682074255074,1019,0.077045213972478,1801,0.13617117798276,0.30071258096173,3.6052676659529,0.76849624574937,0.095796159080599,1.2729925903523,594.1316,0.67762178660881,13226,0.21122364249578,0.21820128479657,1901,88.02,843,3103950,17266,1625.5,10.357797600738,17266,1.45,3.2068927988391
"3",2009-12-31,201.4,2.1,0.5636,0.15724815724816,3773,8816,345,1120,0.049856440161143,0.1037037037037,0.12704174228675,237.1172,0.64318665720369,44.138945233266,326,0.0094,204.5487,568,421.9672,894,0.2571,0.33288227334235,21344.5,6.3582067322014,1.7093377112197,37.578345070423,23.875279642058,1.9763425925926,0.165,0.09,165.85,22464.5,0.21392921960073,6.25,17.6016,0.3,-0.247,0.42773275476996,0.01,0.8964,0.067150635208711,3357,21760.5,0.032352197789573,0.031338333815576,493,0.045648148148148,1518,0.14055555555556,0.4149060851927,5.7674264510999,2.6750875898949,0.052592592592593,2.0148611111111,256.1172,0.60696002490768,10800,0.12569770628537,0.13066525311423,1601,110.01,704,2472446,12487,951.1,22.879297655346,12487,1.45,5.0177574268483
"4",2008-12-31,201.4,2.11,0.5426,0.17769857433809,3230,8519,625,503,0.049863692688971,0.035071817040859,0.059044488789764,-417.8329,0.42757095466273,11.722222222222,314,0.0148,138.9646,1068,753.8798,1382,0.29412,NA,9584.5,2.7983941605839,0.89675336826347,8.9742509363296,6.9352387843705,0.66828196904198,0.015,0.025,860.7128,10087.5,0.21610517666393,1.66,27.626506024096,NA,0.1038,0.47592513216174,0.01,0.8844,0.068670031693861,3425,9389.5,0.074338356675009,0.069194547707559,801,0.055849951192302,1640,0.11434946311533,0.17348888888889,2.9069659442725,7.8148148148148,0.074466601589736,0.65468553897643,-106.8329,-0.14171083049972,14342,0.22011090218978,0.24798761609907,1872,45.86,698,3006715,10688,291,32.266323024055,10688,1.45,2.5681008146639
"5",2007-12-31,202.2,2.23,0.4772,0.16507469997551,3409,8195,420,697,0.12214569861381,0.05341814837523,0.085051860890787,-178.0021,0.46940486169321,6.8096075778079,290,0.028126304075671,141.54,931,627.5685,1221,0.32592,NA,5009.3,1.4794152392203,0.3438091969801,5.3805585392052,4.1026208026208,0.38391324340895,0.14,0.1,675.5706,5706.3,0.20073215375229,5.34,5.0056179775281,NA,0.1836,0.62211784799317,0.01,0.8983,0.065649786455156,3386,5032.3,0.13393478131272,0.11811506580446,739,0.056637032495402,1526,0.11695278969957,0.19152909336942,1.476180698152,0.48640054127199,0.071351931330472,0.38567596566524,-48.0021,-0.076489096333753,13048,0.18534213821618,0.21677911410971,1625,26.73,674,2212473,14570,910,5.53,14570,1.4,1.3975753122704
"6",2006-12-31,104.2,0.89,0.262,0.22446720177138,2802,7465,301,935,0.067443286327406,0.082291850026404,0.12525117213664,-139.5488,0.8,18.999272197962,296,0.007983144991381,104.2,1131,763.4024,1427,0.32502,NA,12928.5,4.8276699029126,1.0289295662555,11.431034482759,9.0599159074982,1.1378718535469,0.145,0.095,897.9512,13863.5,0.21085063630275,8.7,6.8022988505747,0.785,0.0215,0.43615157431046,0.01,0.893,0.06483590087073,2678,13052.5,0.062133690863819,0.058498936055109,687,0.060464706917796,1318,0.11600070410139,0.15167394468705,4.6582798001428,1.3102946343422,0.09954233409611,1.1487854251012,-134.5488,-0.17624892266379,11362,0.28506436893204,0.24518201284797,1464,59.18,811,2538174,12565,730,17.880136986301,12565,1.4,3.8371159701079
"7",2005-12-31,46.5,0.44,0.2284,0.42308882698855,1864,6885,225,840,0.11014082290929,0.084694494857834,0.12200435729848,-118.8728,0.8,11.381090909091,295,0.010697169148188,66.96,894,652.0121,1189,0.27068,NA,6786.6,2.8383939774153,0.61234322836777,7.5912751677852,5.7078216989066,0.68427102238354,0.155,0.055,840.8848,7626.6,0.22614379084967,12.22,9.671031096563,0.38,0.1082,0.22303738523042,0.01,NA,0.066521423384168,2391,6259.6,0.21838456131382,0.17924107728214,550,0.055454728775963,1012,0.10203670094777,0.12174545454546,3.3581545064378,0.73426392961877,0.090139140955838,0.63113530953821,-188.8728,-0.28967677501336,9918,0.27269430363864,0.2950643776824,1292,118.18,1367,319100,11083,693,9.0326118326118,11083,1.3,2.3604456824513
"8",2004-12-31,43.8,1.73,0.3949,0.54005252790545,NA,6527,184,690,0.11615966061177,0.074667243804783,0.10571472345641,69.6606,0.87617118257787,12.271714285714,272,0.013374944271065,52.56,424.135,369.1544,696.135,0.12963,NA,5250.1,2.2283955857385,0.56813115463694,12.378370094428,7.5417842803479,0.6221972031287,0.19,0.055,387.4938,5940.1,0.25248965834227,11.31,7.9328028293546,0.04,0.2362,0.1923540991935,0.01,0,0.068637965374598,2356,4295.1,0.38299457521362,0.27693136479184,350,0.041479023465276,732,0.086750414790235,0.15017142857143,3.06573875803,0.64587969924812,0.0502648731927,0.50901872481631,-18.3394,-0.04967953224861,8438,0.15668691848472,0.24982155603141,1256,89.72,1645,543100,9241,473,9.0805496828753,9241,1.35,1.9501313197636
"9",2003-12-31,40.4,1.65,0.4159,0.60092514718251,NA,5126,140,195,0.037001195423237,0.024920127795527,NA,144.0116,0.79345996633806,59.093846153846,223,0.014510278113664,48.48,316.0592,274.3805,539.0592,0.13187,NA,5075.1,2.3248282180486,0.6485750798722,16.057434809681,9.4147358954267,0.806083227446,0.77,0.07,213.3689,5270.1,0.26277799453765,7.68,10.768229166667,-0.36,0.0278,0.3026772625569,0.013,0.8979,0.085056574326961,2183,3841.1,0.37202884590352,0.27115235005028,65,0.010324015247776,593,0.094186785260483,0.74584615384615,4.0475237091676,0.76745254745255,0.0502,0.61008576874206,61.0116,0.22236128515406,6296,0.12568963504169,0.068493150684932,1030,82.7,1429,183800,7825,0,NA,7825,1.3,2.2161900756939
"10",2002-12-31,38.6,1.53,0.4214,0.57482305358948,NA,4837,110,298,0.093066833229232,0.050914061165214,NA,65,0.7988,19.12037037037,219,0.022430992736078,46.32,108,108,327,0,NA,2904,NA,NA,26.888888888889,8.8807339449541,0.49615581752947,NA,0.05,217,3202,0.26979532768245,2.55,19.376470588235,NA,0.0276,0.41321086046198,NA,0.7645,0.090758734752946,1971,2065,0.55060532687651,0.35509056839475,108,0.018452075858534,493,0.084230309243123,0.42888888888889,2.4554102259215,NA,0.018452075858534,0.35281052451734,-109,-1.0092592592593,5853,0.054794520547945,0.12841854934602,937,49.41,1137,785346,5974,NA,NA,5974,1.25,1.4733637747336
