"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2012-07-31,26.6,1.59,0.3886,0.246,275.9,434.8,5.5,30.2,0.0348,0.0781,0.0695,0.97,0.8,24.85,15.9,0.0038,2.93,52,34.11,68,0.3454,0.3466,837.6,2.5,2.13,16.08,12.32,2.17,NA,43.53,867.8,0.0989,1.48,20.09,0.17,0.075,0.2536,NA,0.7369,0.5865,335.7,777.8,0.1157,0.1037,31.3,0.081,58.7,0.1519,0.0843,2.82,NA,0.1348,2.01,-9.43,-0.2764,386.5,0.1016,0.1134,112,29.73,90,147014,392.9,34.7,22.41,392.9,1,2.37
"2",2011-07-31,17,1.02,0.4879,0.092915214866434,234.3,321.4,5.8,18.4,0.036370824273572,0.057196145477153,0.057249533291848,3.2774,0.48678007788481,23.622549019608,12.4,0.0044,2.1204,31.4,21.054,43.8,0.32949,0.33114754098361,487.5,2.0320967069612,1.4212827988338,15.525477707006,11.130136986301,1.5153870065278,NA,24.3766,505.9,0.10734287492222,1.48,18.871621621622,0.1,0.1518,0.20016820857864,NA,0.7332,0.54138145612943,239.9,481.9,0.049802863664661,0.047440205574224,20.4,0.063413117811626,49.5,0.15387006527821,0.10393921568627,2.0567648314127,NA,0.097606465651228,1.4979794839913,-3.3226,-0.15781159875614,321.7,0.087761625677366,0.087067861715749,91.4,27.93,24,59832,343,21.6,22.310185185185,343,0.95,1.9585753000387
"3",2010-07-31,16.9,NA,NA,0.091145833333333,209.4,280.7,5.6,22.6,0.05461575640406,0.082481751824817,0.08051300320627,0.1504,NA,19.738693467337,11.4,0.0043,1.689,32.7,20.6644,44.1,0.36806,0.37025316455696,391.2,1.8825794032724,1.4225454545454,11.963302752294,8.8707482993197,1.4277372262774,0.1,26.3141,413.8,0.1254007837549,1.23,19.024390243902,0.035,0.0396,0.28700745473908,NA,0.7458,0.53259707873174,207.8,392.8,0.053462321792261,0.050749154180764,19.9,0.072627737226277,41.2,0.15036496350365,0.084876381909548,1.8758357211079,1.9738693467337,0.11934306569343,1.4335766423358,-5.6496,-0.27339892023661,274,0.099443878729548,0.095033428844317,78.3,23.4,21,74513,275,18.8,20.893617021277,275,0.95,1.7960069444444
"4",2009-07-31,16.4,NA,NA,0.18793402777778,187.1,277.9,4.2,23.4,0.063157894736842,0.09,0.084202950701691,0.9265,NA,20.974358974359,11.4,0,0,27.4,17.0938,38.8,0.37614,NA,347.1,1.6768115942029,1.3019504876219,12.667883211679,8.9458762886598,1.335,0.1,23.3672,370.5,0.12954300107952,1.2,16.816666666667,0.015,0.0398,0.31511056511057,NA,0.646,0.54695933789133,207,327.2,0.13233496332518,0.11686909581646,15.6,0.06,36.5,0.14038461538461,0,1.748797434527,2.0974358974359,0.10538461538461,1.2584615384615,-6.2735,-0.36700293384544,260,0.082578570048309,0.083377872795297,72,20.18,43.3,174960,266.6,18.5,17.686486486487,266.6,0.95,1.6080729166667
"5",2008-07-31,16.4,NA,NA,0.2568281938326,168.7,279.2,5,18.3,0.06441393875396,0.073376102646351,0.06554441260745,-0.6228,NA,25.954022988506,11.7,0,0,18,11.297,29.7,0.37239,NA,265.8,1.2735984666986,1.0472813238771,14.766666666667,8.9494949494949,1.065757818765,0.2,18.6198,284.1,0.13574498567335,0.78,18.807692307692,-0.035,0.1208,0.39728353140917,NA,0.5758,0.55587392550143,208.7,225.8,0.25819309123118,0.20520943329813,8.7,0.034883720930233,35.3,0.14153969526864,0,1.3384706579727,1.2977011494253,0.072173215717723,0.90537289494787,-7.3228,-0.64820639314065,249.4,0.054130234786775,0.051570835803201,69.7,14.67,58.3,125725,253.8,10.1,22.356435643564,253.8,0.9,1.2515418502203
"6",2007-07-31,16.1,NA,NA,0.27114661654135,155.1,263.7,5.5,15.9,0.052457934675025,0.072602739726027,0.060295790671217,-1.3664,NA,30.296296296296,10.2,0,0,16.9,9.7119,27.1,0.42533,NA,287.2,1.4586084306755,1.2568927789934,16.994082840237,10.59778597786,1.3114155251142,NA,15.7784,303.1,0.14637846037163,0.64,21.953125,0.02,0.089,0.23874407582938,NA,0.6127,0.55631399317406,196.9,245.4,0.23512632436838,0.19036621577037,8.1,0.036986301369863,31.5,0.14383561643836,0,1.5822050290135,NA,0.07716894977169,1.1205479452055,-6.0664,-0.62463822624668,219,0.049324139156932,0.052224371373308,62.2,14.05,57.7,59333,228.5,8.3,29.566265060241,228.5,1.15,1.4243421052632
"7",2006-07-31,15.4,NA,NA,0.21252796420582,140.8,238.2,6.1,29.9,0.099666666666667,0.15556711758585,0.12552476910159,-0.2444,NA,39.10447761194,10,0,0,15.3,8.5174,25.3,0.44331,NA,270.1,1.8139691067831,1.3858388917394,17.653594771242,10.675889328063,1.4053069719043,NA,12.6618,300,0.15994962216625,0.57,28.40350877193,0.02,-0.0513,0.21194605009634,NA,0.5933,0.48614609571788,148.9,262,0.14503816793893,0.12666666666667,6.7,0.034859521331946,17.4,0.090530697190427,0,1.8607954545454,NA,0.079604578563996,1.363163371488,-4.1444,-0.48658672900692,192.2,0.057201860308932,0.047585227272727,53.9,16.19,38,67400,194.9,6.7,39.10447761194,194.9,0.85,1.6778523489933
"8",2005-07-31,15,0,0,0.12700964630225,NA,164.3,3.4,33.3,0.11311141304348,0.16869300911854,0.20267802799757,0,NA,17.974193548387,4.6,0,0,26.1549,16.136,30.7549,0.38306,NA,261.1,2.8660812294182,1.322695035461,9.9828254110508,8.4896985587997,1.322695035461,NA,17.336,294.4,0.13816189896531,NA,NA,NA,0.1308,0.3700062748379,NA,0.5239,0.28423615337797,91.1,278.6,0.056712132089017,0.05366847826087,15.5,0.078520770010132,33.4,0.16919959473151,0,2.5653775322284,NA,0.13249706180345,1.4113475177305,-1.2,-0.074367797748712,197.4,0.17712421893304,0.1427255985267,50,17.95,15.8,52600,197.4,15.5,17.974193548387,197.4,0.95,2.3665594855306
"9",2004-07-31,9.7,0,0,0.22421524663677,NA,146.4,1.9,17.9,0.04706810412832,0.10033632286996,NA,1.5762,NA,33.205607476635,4.2,0,0,23.052,14.1848,27.252,0.38466,NA,362.4,3.8717948717949,2.0313901345292,15.720978656949,13.298106560986,2.1317647058823,NA,14.9086,380.3,0.15505464480874,1.31,27.480916030534,NA,0.2568,0.42688910696762,NA,0.4067,0.3224043715847,93.6,355.3,0.070363073459049,0.065737575598212,10.7,0.062941176470588,31.9,0.18764705882353,0,4.107514450867,NA,0.1356,2.09,-0.7238,-0.051023899087743,170,0.1515471974359,0.12369942196532,43.6,36,25,120900,178.4,12,29.608333333333,178.4,0.8,3.4107623318386
"10",2003-07-31,9.3,0,0,0.22857142857143,NA,109.8,1.1,17,0.10278113663845,0.13147718484145,NA,0,0,18.303797468354,3.6,0.020580912863071,2.976,13.5,8.7421,17.1,0.35244,NA,148.4,NA,NA,10.992592592593,8.6783625730994,1.1477184841454,NA,11.2421,165.4,0.1976320582878,NA,NA,NA,0.067,0.1645101663586,NA,0.3451,0.21311475409836,74,144.6,0.14384508990318,0.12575574365175,7.9,0.061098221191029,29.6,0.22892498066512,0.37670886075949,2.0598290598291,NA,0.10440835266821,1.1183294663573,-2.5,-0.28597378649883,129.3,0.11813594594595,0.11253561253561,34.7,15.49,20.8,21200,129.3,7.9,18.303797468354,129.3,0.7,2.0054054054054
