"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2012-09-30,54.1,0.97,0.2649,0.255,699.8,1155.9,27.9,556.4,0.141,1.592,0.4814,-12.13,0.8,NA,29.6,0,0,9,9.4,39,0,NA,3390,8.85,7.71,360.64,86.92,9.7,0.315,0.185,23.23,3946.4,0.0398,0.1,675.2,0.15,0.21,0.2367,0.034,0.9357,0.2893,382.9,3706.9,0.0646,0.0607,-10.7,-0.0306,-46.9,-0.1342,NA,5.3,NA,0.0269,10.61,-13.83,-1.4714,349.5,0.0245,-0.0153,241.8,67.52,239.5,269238,439.9,-5.9,NA,439.9,1.2,4.2
"2",2011-09-30,52.4,1.41,0.4106,0.26312146729727,638.8,1043.8,18.6,633.2,0.21079965377189,2.1618299761011,0.60662962253305,-10.4929,0.73063809059912,134.7427184466,24,0,0,41,25.8493,65,0.36953,0.3680981595092,2370.6,10.14377406932,6.7828326180257,57.819512195122,36.470769230769,8.0935472857631,0.21,0.155,41.7422,3003.8,0.034680973366545,0.5,101.58,0.39,0.1066,0.25829819439939,0.036,0.9207,0.22168997892316,233.7,2775.7,0.082177468746623,0.075937146281377,20.6,0.070331171048139,-54.3,-0.18538750426767,0,4.3451784596118,6.4163199260287,0.1399795151929,9.4766131785592,-15.8929,-0.61483100844047,292.9,0.11060877192983,0.032247964934252,170,50.79,228.1,541999,349.5,-10.7,NA,349.5,1.2,3.4649901949475
"3",2010-09-30,49,1.41,0.4695,0.0024875621890547,521.3,670.9,167.4,266.3,0.098262056750673,1.0755250403877,0.39692949768967,-6.3443,0.66560170394036,105.40077821012,22.7,0,0,45.7,29.1264,68.4,0.36266,0.36228287841191,2443.8,9.5349200156067,8.340614334471,53.474835886214,35.728070175439,9.8699515347334,0.23,0.17,-109.2293,2710.1,0.050678193471456,0.6,86.55,NA,0.1795,0.19357620176762,0.079,0.9361,0.34774183932032,256.3,2708.8,0.00047991730655641,0.00047968709641711,25.7,0.10379644588045,-34.6,-0.13974151857835,0,5.1962401688087,4.5826425308746,0.1845718901454,10.940226171244,138.3557,4.7501769717445,247.6,0.11364197424893,0.04929982735469,126.4,51.93,1.3,547104,293,20.5,132.13658536585,293,1.25,5.1858017604286
"4",2009-09-30,50.3,1.63,0.4872,0.0052112413921459,534.5,641,13,270.8,0.12911223419472,1.2566125290023,0.42246489859594,-2.2194,0.41050903119869,121.77906976744,21.3,0,0,32.8,21.2879,54.1,0.35098,NA,1826.6,6.8540337711069,7.3772213247173,55.689024390244,33.763401109057,8.476102088167,0.32,0.245,31.8073,2097.4,0.050390015600624,0.65,65.769230769231,NA,0.4507,0.4235807860262,0.096,0.9582,0.3191887675507,266.5,2094.6,0.0013367707438174,0.0013349861733575,17.2,0.079814385150812,-14.9,-0.069141531322506,0,3.9188026192704,3.8055959302326,0.15220417633411,9.7197215777262,-10.5194,-0.49415230709248,215.5,0.079879384615385,0.032179607109448,114.3,42.75,2.8,741388,247.6,25.6,81.8203125,247.6,1.25,3.9035920342453
"5",2008-09-30,50.3,1.62,0.4374,0.0052112413921459,534.5,641,13,270.8,0.17658950114118,1.2566125290023,0.42246489859594,0,0.49382716049383,88.994186046512,21.3,0,0,32.8,21.2879,54.1,0.35098,NA,1262.7,4.73808630394,5.8593967517401,38.496951219512,23.34011090573,5.8593967517401,0.31,0.21,29.5879,1533.5,0.050390015600624,0.5,65.64,NA,0.4507,0.43843498273878,0.11,NA,0.3191887675507,266.5,1530.7,0.0018292284575684,0.0018258884903815,17.2,0.079814385150812,-14.9,-0.069141531322506,0,2.8637979420019,2.8707801950488,0.15220417633411,7.1030162412993,-8.3,-0.38989365580075,215.5,0.079879384615385,0.032179607109448,114.3,32.82,2.8,551787,215.5,17.2,88.994186046512,215.5,1.35,2.8540852410199
"6",2007-09-30,43.7,0.77,0.3385,0.018633540372671,284.4,345.5,12.5,168.8,0.10174804098855,1.3075135553834,0.48856729377713,0,0.63810930576071,201.65853658537,12,0,0,13.7,8.3222,25.7,0.39254,NA,1490.2,12.315702479339,11.542989930287,108.77372262774,57.984435797665,11.542989930287,NA,NA,7.8222,1659,0.069753979739508,0.37,93.135135135135,NA,0.0991,0.46849011273332,NA,0.9911,0.1959479015919,121,1653.6,0.0032656023222061,0.003254972875226,8.2,0.063516653756778,1.4,0.010844306738962,0,5.8143459915612,NA,0.10611928737413,12.808675445391,0.5,0.060080252798478,129.1,0.06877852892562,0.028832630098453,68.8,34.46,5.4,710956,129.1,8.2,201.65853658537,129.1,1.35,5.7246376811594
"7",2006-09-30,36.1,0.88,0.3377,0.12518628912071,117.4,181.3,9.9,16.3,0.027575706310269,0.16786817713697,0.089906232763376,0.0035,0.63962096535386,16.792397660819,7.7,0,0,7.1,7.1,14.8,0,NA,574.8,4.8753180661578,5.9135802469136,80.957746478873,38.837837837838,5.9196704428424,NA,NA,4.8965,591.1,0.11252068394926,0.21,76.380952380952,NA,0.2427,0.23859191655802,NA,NA,0.43684500827358,117.9,574.3,0.029253003656626,0.028421586871934,34.2,0.35221421215242,-3.4,-0.035015447991761,0,4.8918228279387,NA,0.073120494335736,5.9145211122554,2.2035,0.3103523302534,97.1,0.060220525869381,0.29131175468484,49.8,16.04,16.8,319860,97.2,34.2,16.792397660819,97.2,1.35,4.4046199701937
"8",2005-09-30,33.2,2.02,0.6035,0,NA,60.7,12.9,16.2,0.037868162692847,0.22562674094707,0.2668863261944,0,0.66942833471417,79.222222222222,4,0,0,5.1401,5.1401,9.1401,0,NA,411.6,28.386206896552,5.7325905292479,80.075639963114,45.032132987022,5.7325905292479,NA,NA,-3.7599,427.8,0.24711696869852,0.32,40.28125,NA,0.261,0.32594021215043,NA,0.8445,0.095551894563427,14.5,427.8,0,0,5.4,0.075208913649025,-2.3,-0.032033426183844,0,13.934853420195,NA,0.071589693593315,5.958217270195,8.9,1.7314703490566,71.8,0.3544924137931,0.17589576547231,37.1,12.89,0,194903,71.8,5.3,80.716981132076,71.8,1.85,13.934853420195
"9",2004-09-30,33,2.04,0.6977,0.0098684210526316,NA,52.9,5.6,23.7,0.079583613163197,0.41872791519435,NA,-0.0065,0.58477855811954,148.75,3,0,0,4.7742,4.7742,7.7742,0,NA,274.1,40.910447761194,4.8427561837456,57.41215897785,35.257420329935,4.8513274336283,NA,NA,2.1808,297.8,0.094517958412098,0.19,46.473684210526,NA,-0.0285,0.20057859209258,NA,0.8415,0.1304347826087,6.7,297.5,0.0010084033613445,0.0010073875083949,2,0.035398230088496,-3.7,-0.065486725663717,0,9.8837209302326,NA,0.0845,5.2654867256637,2.5935,0.54321649001071,56.5,0.71257462686567,0.066445182724252,30.4,8.83,0.3,54638,56.6,2.1,141.66666666667,56.6,1.8,9.796052631579
"10",2003-09-30,26.2,4.82,1.4979,0.052884615384615,NA,38.3,1.6,15.8,0.050511508951407,0.35033259423503,NA,6.1,0.7076,NA,6,0,0,-12.4267,-12.4267,-6.4267,0,NA,297,NA,NA,NA,NA,6.5853658536585,0.2833,NA,-8.0267,312.8,0.078328981723238,0.06,165.16666666667,NA,0.1203,0.62650602409639,NA,0.6348,0.20104438642298,5,311.7,0.0035290343278794,0.0035166240409207,-12.3,-0.27272727272727,-7.1,-0.15742793791574,NA,15.822335025381,NA,-0.2755376940133,6.9113082039911,-4.4,NA,45.1,-2.48535,-0.6243654822335,35.4,9.91,1.1,312959,56.7,1,311.7,56.7,1.65,59.4
