"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,227.1,1.7,0.3924,0.4697,3610.9,12525.7,1382.4,375.7,0.0357,0.063,0.03,-19.61,0.8,10.63,618.4,0.0155,113.55,1030,772.49,1648,0.2497,0.2496,10156.3,1.58,1.95,9.87,6.16,1.7,0.075,0.05,28.09,10532,0.7446,0.84,38.21,0.145,0.07,0.1987,0.014,NA,0,6433.3,7333.9,0.4361,0.3037,689.7,0.1157,154.5,0.0259,0.325,2.03,1.42,0.1726,1.23,744.39,0.9636,5963.6,0.1201,0.191,175.6,32.1,3198.1,3003379,5206.8,349.4,20.99,5206.8,1.7,1.55
"2",2010-12-31,226.2,1.49,0.4533,0.55651113052384,2944.5,12070.6,1154,32.8,0.0026454172984482,0.0063831857545976,0.0027173462793896,-10.116,0.8,21.136231180185,567.7,0.0136,118.373,730.8,554.8964,1298.5,0.2407,0.26187488797275,12366,1.8717645990373,2.1167770759513,16.92118226601,9.5232961108972,2.406538873212,0.15,0.07,-21.2875,12398.8,0.83917120938479,2.76,13.297101449275,0.3,-0.0875,0.29650092081031,0.012,0.9342,0,6606.6,8703.9,0.42451085145739,0.29800464561087,411.8,0.080140118711686,-73.9,-0.014381628880023,0.28745274405051,2.9559857361182,1.409082078679,0.14222049236158,1.6938600758976,576.184,1.0383630542769,5138.5,0.083991226954863,0.13985396501953,150.2,36.7,3694.9,3705754,5841.9,650.1,13.38855560683,5841.9,1.7,1.8674579028225
"3",2009-12-31,181.1,1.32,0.5518,0.34515513826744,1785.5,7725.4,920.1,65.6,0.0057725136833213,0.014549648457427,0.0084914696973619,-3.9229,0.79285973178688,19.312766351677,437.4,0.0091,94.8502,706.6,508.3351,1144,0.28059,0.31536217176202,11298.6,4.2459977452086,2.2527365167979,15.990093405038,9.8763986013986,2.5059551533702,0.16,0.07,29.558,11364.2,0.79274859554198,2.35,20.740425531915,0.59,0.002,0.30220026942075,0.013,0.8823,0,2661,10423.1,0.090289836996671,0.082812692490453,539.7,0.11970190964136,-34.9,-0.0077405904140883,0.17574617380026,5.837636516382,1.2070478969798,0.15671923170759,2.3117750127531,478.7771,0.9418532443009,4508.7,0.19103160691469,0.30226827219266,130.7,48.74,941.1,3340684,5015.5,500,20.8462,5015.5,1.75,4.1679014156825
"4",2008-12-31,180.6,1.39,0.5465,0.41761261799498,1462.2,7370.5,1061.7,138.5,0.013058769175647,0.030871765151684,0.018791126789227,-0.1347,0.51235132662397,23.546193643755,389.6,0.0079,75.5035,539.9,362.0137,929.5,0.32948,NA,10467.4,4.4125284545991,2.3295573409298,19.387664382293,11.261323292093,2.3331921628068,0.22,0.125,-309.9516,10605.9,0.78230784885693,2.62,19.007633587786,0.465,0.2704,0.40845070422535,0.01,0.9211,0,2372.2,9557.4,0.10970556846004,0.098860068452465,405.9,0.090475447473419,-86.3,-0.019236341751555,0.18601492978566,6.5363151415675,1.0702815292616,0.12034415888371,2.1303524062145,671.9653,1.8561873666956,4486.3,0.15260675659725,0.27759540418547,124.5,49.8,1048.5,3739531,4493.3,547.2,17.46600877193,4493.3,1.75,4.2242800812522
"5",2007-12-31,182.3,1.59,0.5129,0.38327154537606,1214.4,6208.1,743.1,41.7,0.0075049943307597,0.011695414387884,0.0067170309756608,18.6867,0.54591538311562,21.16174526223,324.7,0.015186604465178,72.92,287.6,205.2112,612.3,0.28647,NA,5514.6,2.8611601120681,1.3204827355012,19.17454798331,9.0063694267516,1.5466554480437,0.21,0.145,-231.8755,5556.3,0.79976160177832,3.11,9.1897106109325,0.24,0.008,0.73110465116279,0.01,0.9529,0,1927.4,4801.6,0.15717677440853,0.13582779907492,226.9,0.063637638479877,-109.1,-0.030598793998037,0.32137505509035,3.9538866930171,1.0077021553443,0.080661898751928,1.346683494601,437.0867,2.1299355193888,3565.5,0.10647049289198,0.18684123847167,108.7,28.58,754.7,3263929,4176.2,290.2,16.545830461751,4176.2,1.75,2.8217459753187
"6",2006-12-31,182.7,1.8,0.3759,0.3412011863569,1066.2,5663.3,658.6,223.9,0.016654021808661,0.063171853398414,0.039535253297547,-0.1137,0.55333865389731,33.917390160484,296.2,0.0056686317095873,73.08,402.9,299.6528,699.1,0.25626,NA,13220.3,9.4803155252779,3.6880823522848,32.812856788285,18.910456300958,3.7300172107327,0.22,0.115,-62.6335,13444.2,0.71341797185387,2.01,32.577114427861,0.13,0.0631,0.43578825123391,0.01,0.9342,0,1394.5,12892,0.042832764505119,0.041073474063165,380.1,0.1072426149028,10,0.002821431594391,0.19226519337017,12.091540048771,1.5416995527493,0.11367547893801,3.6373896114889,362.2863,1.2090200415008,3544.3,0.2148819261384,0.3564997186269,91.2,65.48,552.2,3562747,3584.6,366.9,35.137639683838,3584.6,1.3,8.3070934256055
"7",2005-12-31,185.1,2.06,0.3778,0.3016889131027,1025.4,5087.7,523.5,340.6,0.053313715054942,0.10084381939304,0.066945771173615,11.2953,0.6776071995765,23.454043392505,261.9,0.0087170344456405,51.828,249,200.1562,510.9,0.19616,NA,6048,5.3626529526512,1.6582129246292,24.289156626506,11.837933059307,1.7906735751295,0.37,0.145,-72.7391,6388.6,0.69477366983116,2.03,15.827586206897,-0.01,0.1978,0.2724704174605,0.01,0.8629,0,1127.8,5945.6,0.074508880516685,0.069342265911154,253.5,0.075055514433753,-141.4,-0.041865284974093,0.20444970414201,5.7983226058124,0.6338930646623,0.073723168023686,1.760355292376,272.8953,1.363411717561,3377.5,0.1774748714311,0.24722059684026,80.7,32.13,443,1587500,3647.3,381.1,15.601154552611,3647.3,1.6,4.3507218741487
"8",2004-12-31,91.1,0.99,0.4032,0.48102246320682,NA,4195.6,410.6,6.4,0.00099907897407078,0.0017617264919621,0.0015254075698351,-71.8067,0.49107142857143,51.833333333333,280.4,0.0085995085995086,51.016,312.1478,312.1478,592.5478,0,NA,6399.5,7.1319514097849,1.7615888570799,20.501507330919,10.799972957455,2.3047142291209,0.545,0.1,253.7545,6405.9,0.75855658308704,2.96,22,-0.21,0.2332,0.36462340771138,0.01,0.8572,0,897.3,5971.2,0.072799437299035,0.067859317191964,115.2,0.041488097381784,-232.9,-0.08387654409911,0.44284722222222,12.731769722814,0.95107033639144,0.11241681852559,2.1504663809558,58.3933,0.18706937655219,2776.7,0.34787449013708,0.2456289978678,72.9,65.12,434.7,501600,3632.8,115.2,51.833333333333,3632.8,1.55,7.0885249529711
"9",2003-12-31,78.7,1.55,0.4628,0.65366430260047,NA,3895,214,16.6,0.0037970629946475,0.0065369772387178,NA,9.0008,0.66983578219533,28.679040989946,243.3,0.014148559878727,44.072,186.3464,142.3686,429.6464,0.236,NA,4355.2,4.3613058281594,1.7150507994014,23.371527434928,10.136707767131,2.0379971923257,0.04,0.035,162.6678,4371.8,0.64988446726573,1.84,21.510869565217,NA,0.0186,0.36888057374493,0.009,0.7834,0,998.6,3708.2,0.17895474893479,0.15179102429205,129.3,0.06050538137576,47.8,0.022367805334581,0.34085073472545,10.546643913538,7.1697602474865,0.0872,1.7352363125877,-20.2992,-0.14258191807253,2137,0.1425682451432,0.36774744027304,221.1,39.58,663.6,908600,2539.4,0,NA,2539.4,1.35,4.3063435776202
"10",2002-12-31,78.7,0.79,0.5756,0.65366430260047,NA,3895,214,16.6,0.0057076055563196,0.0077678989237248,NA,218.5,0.3019,17.361175560712,243.3,0.019632929436921,44.072,-57,-43.548,186.3,0.236,NA,2891.8,NA,NA,NA,15.522275899088,1.3532054281703,0.02,-0.005,-14.248,2908.4,0.64988446726573,0.53,47.094339622641,NA,0.0186,0.26422250316056,NA,0.3032,0,998.6,2244.8,0.2956165359943,0.22816668958878,129.3,0.06050538137576,47.8,0.022367805334581,0.34085073472545,6.3845278725825,8.6805877803558,-0.026672905942911,1.0504445484324,-29.3,NA,2137,-0.043609052673743,0.36774744027304,221.1,24.96,663.6,458827,2223.1,NA,NA,2223.1,1.2,2.8958541958742
