"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,35.5,1.63,0.5328,0,166.8,283.1,4.9,50.4,0.0856,0.2136,0.178,32.48,0.76,41.19,8.6,0,0,3,2.9,12,0,0,538.6,4.63,1.66,185.72,46.83,2.28,0.2,-25.88,589,0.0583,NA,NA,0.01,0.4491,NA,0.7652,0,116.4,589,0,0,14.3,0.0606,87.4,0.3703,0,3.53,2.06,0.0123,2.5,28.78,9.9237,236,0.0249,0.0857,91.4,15.95,0,512589,323.7,43.5,13.54,323.7,1.25,3.53
"2",2010-12-31,36.1,1.16,0.7033,0,145.8,260.6,3.7,61.3,0.26686983021332,0.19192235441453,0.23522640061397,8.9307,0.44433385468506,15.211920529801,9.4,0,0,17.5,15.5578,26.9,0.11098,0.10650887573965,168.4,1.992899408284,0.46276449574059,9.6228571428571,6.2602230483271,0.52723857232311,NA,12.3272,229.7,0.069071373752878,NA,NA,0.0968,0.25637181409295,NA,0.6322,0,84.5,229.7,0,0,15.1,0.047276142767689,64.1,0.20068879148403,0,1.5754458161866,NA,0.054790231684408,0.71916092673763,3.2307,0.20765409237391,319.4,0.18411656804734,0.10356652949245,92.5,6.47,0,183213,363.9,35.4,6.4887005649717,363.9,1.25,1.5754458161866
"3",2009-12-31,35.2,1.8,0.815,0,124.2,223.7,7.6,113.2,0.45081640780566,0.39859154929578,0.50603486812696,4.8912,0.39877300613497,NA,8.4,0,0,-0.2,-0.2,8.2,0,NA,137.9,12.536363636364,0.7327311370882,NA,16.817073170732,0.48556338028169,0.175,-4.2912,251.1,0.088511399195351,NA,NA,-0.0436,0.26126126126126,NA,0.5875,0,11,251.1,0,0,-0.6,-0.002112676056338,-14.5,-0.051056338028169,NA,2.0217391304348,NA,-0.00070422535211268,0.88415492957746,4.0912,NA,284,-0.018181818181818,-0.0048309178743961,106.1,7.17,0,272961,188.2,-34,NA,188.2,1.3,2.0217391304348
"4",2008-12-31,33.5,1.36,0.7748,0,118.2,313.9,4.4,80.4,0.38122332859175,0.28419936373277,0.25613252628226,7.6774,0.2787816210635,52.725,10.2,0,0,17.6,7.04,27.8,0.6,NA,130.5,3.4523809523809,0.37158314350797,7.4147727272727,4.6942446043165,0.46129374337222,0.15,5.1626,210.9,0.058617394074546,0.1,64.2,0.4802,0.67667844522968,NA,0.6976,0,37.8,210.9,0,0,4,0.014139271827501,31.8,0.11240721102863,0,1.7842639593909,3.515,0.062212796041004,0.74549310710498,1.8774,0.26667791381471,282.9,0.18624338624339,0.033840947546531,93.5,6.42,0,245819,351.2,11.1,19,351.2,1.35,1.7842639593909
"5",2007-12-31,32.6,1.84,0.7411,0.35056967572305,148.2,355.9,2.8,179.1,1.3188512518409,0.96186895810956,0.50323124473167,-0.1976,0.26986911347996,NA,13.4,0,0,-9.5,-9.5,3.9,0,NA,-43.3,-0.88187372708758,-0.2341806381828,NA,-11.102564102564,-0.23254564983888,0.175,1.2976,135.8,0.047766226468109,0.1,20.8,-0.1681,0.71744471744472,NA,0.7026,0.18713121663389,49.1,55.8,1.4336917562724,0.58910162002945,-5.7,-0.030612244897959,-28.3,-0.15198711063373,NA,0.37651821862348,NA,-0.051020408163265,0.29967776584318,-10.7976,NA,186.2,-0.19348268839104,-0.038461538461538,74.9,2.08,80,275777,184.9,-14.2,NA,184.9,1.25,0.59509202453988
"6",2006-12-31,32.2,0.62,0.7602,0.3613369467028,141.4,337.5,2.6,115.3,0.41745112237509,0.52171945701358,0.34162962962963,-0.8647,0.30518284661931,NA,16.2,0,0,-6,-6,10.2,0,NA,160.9,1.5164938737041,0.69926119078661,NA,15.774509803922,0.72805429864253,0.15,8.4647,276.2,0.064,-0.06,NA,-0.2237,0.44578313253012,NA,0.7077,0.17333333333333,106.1,196.2,0.40774719673802,0.28964518464881,-12.1,-0.054751131221719,21,0.095022624434389,NA,1.3875530410184,NA,-0.027149321266968,0.88778280542986,-14.4647,NA,221,-0.056550424128181,-0.085572842998586,69.8,5.58,80,229458,230.1,6.6,29.727272727273,230.1,1.45,1.2475158084914
"7",2005-12-31,22.8,2.84,0.8235,0.54832076764908,65.9,273,4,46,0.12928611579539,0.22874191944306,0.16849816849817,0.0401,0.23315118397086,NA,19.6,0,0,-51.1928,-51.1928,-31.5928,0,NA,309.8,3.1011011011011,1.5505505505505,NA,NA,1.5405271009448,0.2,-35.6329,355.8,0.11465201465201,-0.83,NA,0.2928,0.4896265560166,NA,0.5871,0.21245421245421,99.9,275.8,0.29006526468455,0.22484541877459,-64.3,-0.31974142217802,6.2,0.030830432620587,NA,4.185128983308,NA,-0.25456394828444,1.3714569865738,-15.5599,NA,201.1,-0.51244054054054,-0.97572078907435,83.7,11.88,80,272343,199.8,-46.6,NA,199.8,1.2,2.4386566141193
"8",2004-12-31,87.3,2.03,0.7389,0.38967364831953,NA,308.8,12.5,76,0.38914490527394,0.43354249857387,0.24611398963731,3.5162,0.54946542157261,NA,16.8,0,0,-125.2535,-125.2535,-108.4535,0,NA,119.3,0.92266047950503,0.68054763262978,NA,NA,0.79959785522788,0.1,-124.4696,195.3,0.11949481865285,-0.56,NA,-0.4767,0.70486111111111,NA,0.3246,0.20012953367876,129.3,115.3,0.69384215091067,0.40962621607783,-196.8,-1.3190348525469,20.1,0.13471849865952,NA,0.92019154030327,NA,-0.83950053619303,0.77278820375335,-0.7838,0.0062580870805873,149.2,-0.96870440835267,-1.5706304868316,136.9,1.33,80,1432813,175.3,-86,NA,175.3,1,0.95129079396006
"9",2003-12-31,72.6,1.03,0.7422,0.0035810205908684,NA,291.6,6.6,74.3,0.18514826812858,0.4200113058225,NA,-10.7014,0.27755322015629,6.0773899848255,15.9,0,0,38.9865,38.9865,54.8865,0,NA,327,2.1931589537223,1.8485019785189,8.3875187564926,5.957749173294,1.379746835443,0.19,58.9879,401.3,0.089849108367627,-0.52,NA,0.1796,0.60958904109589,NA,0.4163,0.045610425240055,149.1,400.5,0.0019975031210986,0.0019935210565662,65.9,0.27805907172996,42.2,0.17805907172996,0,1.7991913746631,0.31986263078029,0.1645,1.6898734177215,-20.0014,-0.5130327218645,237,0.26147887323944,0.29604672057502,75.7,4.76,0.8,667195,176.9,-78.2,NA,176.9,0.95,1.7963294538944
"10",2002-12-31,56,1.45,0.8123,0.071315372424723,NA,145.2,6,23.9,0.033024734005803,0.15409413281754,NA,81.6,0.3914,133.18518518518,15.4,0,0,9.1,6.4873,24.5,0.28711,NA,699.8,NA,NA,76.901098901099,28.563265306122,4.5119277885235,0.2625,15.8873,723.7,0.17079889807162,0.26,38.423076923077,-0.1263,0.40532395781015,NA,0.7582,0.15633608815427,64.2,719.2,0.0062569521690767,0.0062180461517203,5.4,0.034816247582205,6,0.038684719535783,0,12.273037542662,5.073721340388,0.058671824629271,4.6370083816892,-9.4,-1.4489851631627,155.1,0.10104827102804,0.092150170648464,62.1,9.99,4.5,844459,208.9,18.9,38.05291005291,208.9,0.85,10.90031152648
