"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV To Sales Ratio","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,77.1,2.43,0.6773,0,39.9,48.2,0.3,37.7,0.1367,2.5473,0.7822,-3.08,0.8,0.1,0,0,-37,-36.71,-37,0,238.1,108.23,8.07,16.09,-33.83,275.8,0.0104,-0.14,NA,0.3094,NA,0.5184,0.1867,2.2,275.8,0,0,-9.9,-0.6689,-3.1,-0.2095,0,6.91,-2.4806,18.64,-2.88,NA,14.8,-16.6875,-0.2481,8.3,3.43,0,310261,29.5,2,137.9,29.5,0.95,6.91
"2",2010-12-31,75.8,1.25,0.7578,0,45.5,50.6,0.3,40.4,0.11910377358491,2.525,0.79841897233202,2.6775,0.31340723145949,0.7,0,0,-0.9166,-0.9166,-0.2166,0,298.8,58.588235294118,426.85714285714,18.675,-3.1941,339.2,0.0059288537549407,NA,0.65,0.41317365269461,NA,0.4766,0.17786561264822,5.1,339.2,0,0,-4.4,-0.275,-2.8,-0.175,NA,7.4549450549451,-0.05728625,21.2,2.2775,NA,16,-0.17972156862745,-0.096703296703297,10.3,4.68,0,575360,0.7,-21.5,NA,0.7,0.95,7.4549450549451
"3",2009-12-31,67.3,1.16,0.8274,0,33.1,36.1,0,25,0.17217630853995,2.906976744186,0.69252077562327,-1.8837,0.28704375151076,0.8,0,0,-10.1052,-10.1052,-9.3052,0,120.2,14.839506172839,6.8295454545454,13.976744186046,-7.4215,145.2,0.019390581717452,NA,-0.0258,0.5071283095723,NA,0.4611,0.24930747922438,8.1,145.2,0,0,-9.8,-1.1395348837209,-1.8,-0.20930232558139,NA,4.3867069486405,-1.1750232558139,16.883720930233,-2.6837,NA,8.6,-1.2475555555556,-0.29607250755287,8.7,1.98,0,282755,17.6,-1.5,NA,17.6,0.95,4.3867069486405
"4",2008-12-31,63.7,0.54,0.7233,0,37.2,40,0.1,28.9,0.1388088376561,3.4404761904762,0.7225,-0.4,0.17696668049219,1,0,0,-13.1691,-13.1691,-12.1691,0,179.3,21.602409638554,17.93,21.345238095238,-11.8691,208.2,0.035,NA,-0.4925,0.66515837104072,NA,0.4259,0.225,8.3,208.2,0,0,-12.1,-1.4404761904762,-2.1,-0.25,NA,5.5967741935484,-1.5677476190476,24.785714285714,-1.3,NA,8.4,-1.5866361445783,-0.3252688172043,8.3,3.25,0,387585,10,-9.4,NA,10,0.8,5.5967741935484
"5",2007-12-31,63.2,0.8,0.6137,0.0084745762711864,46.8,53.8,0.1,41.5,0.810546875,2.530487804878,0.77137546468401,0.139,0.23464233338765,1.3,0,0,-8.3766,-8.3766,-7.0766,0,9.7,1.7017543859649,0.57738095238095,0.59146341463415,-7.3156,51.2,0.048327137546468,-0.18,-0.1447,0.48091603053435,NA,0.498,0.16728624535316,5.7,50.8,0.0078740157480315,0.0078125,-7,-0.42682926829268,-5.7,-0.34756097560976,NA,1.0854700854701,-0.51076829268293,3.0975609756098,-1.061,NA,16.4,-1.4695789473684,-0.14957264957265,10,0.75,0.4,133755,16.8,-5.7,NA,16.8,0.9,1.0847457627119
"6",2006-12-31,49.3,2.6,0.5157,0.05026455026455,35.9,52.3,0.7,36.7,0.55354449472097,2.4630872483222,0.70172084130019,-0.8054,0.41884816753927,1.4,0,0,-9.9988,-9.9988,-8.5988,0,29.6,26.909090909091,2.7155963302752,1.986577181208,-8.4934,66.3,0.084130019120459,NA,1.4416,0.46417445482866,NA,0.3578,0.17208413001912,1.1,64.4,0.029503105590062,0.028657616892911,-8.8,-0.59060402684564,-3,-0.2013422818792,NA,1.7938718662953,-0.67105973154362,4.3221476510067,-1.5054,NA,14.9,-9.0898090909091,-0.24512534818942,10.4,0.98,1.9,67258,10.9,-10.5,NA,10.9,1.35,1.7539682539682
"7",2005-12-31,48.3,2.84,0.5078,0.13439635535308,38,60.9,2.9,44.2,0.66566265060241,7.3666666666667,0.72577996715928,4.5867,0.34659314690823,0.9,0,0,-15.84,-15.84,-14.94,0,22.2,NA,1.7903225806452,3.7,-22.4267,66.4,0.087027914614122,NA,0.1938,0.63672654690619,NA,0.301,0.14778325123153,-0.3,60.5,0.097520661157025,0.088855421686747,-14.9,-2.4833333333333,-4.3,-0.71666666666667,NA,1.5921052631579,-2.64,10.083333333333,6.5867,NA,6,NA,-0.3921052631579,8.1,1.26,5.9,311941,12.4,-10.8,NA,12.4,1.1,NA
"8",2004-12-31,47.5,2.88,1.2267,0.12208258527828,NA,67.6,1.9,49.5,0.26829268292683,4.95,0.73224852071006,-2.6,0.46955245781365,1.1,0,0,-14.401,-14.401,-13.301,0,135,21.774193548387,13.5,27,-12.601,184.5,0.050295857988166,-0.37,-0.6168,0.2650739476678,NA,0.3844,0.13461538461538,6.2,177.7,0.038266741699493,0.036856368563686,-13.9,-2.78,-2.6,-0.52,NA,3.6339468302659,-2.8802,35.54,-1.8,0.12499132004722,5,-2.3227419354839,-0.28425357873211,7.6,3.56,6.8,208746,10,-15.1,NA,10,1.3,3.3123877917415
"9",2003-12-31,40.6,2.92,1.2902,0.12584269662921,NA,55.7,0.2,35.1,0.14847715736041,8.1627906976744,NA,0.3655,0.4526430010851,1.5,0,0,-6.7518,-6.7518,-5.2518,0,201.3,21.414893617021,46.813953488372,18.3,-5.8173,236.4,0.044883303411131,-0.43,-0.5296,0.45635359116022,NA,0.2551,0.16517055655296,9.4,230.8,0.024263431542461,0.023688663282572,-11.6,-1.0545454545455,-0.6,-0.054545454545455,NA,5.9331619537275,-0.6138,20.981818181818,-0.9345,0.13841426797972,11,-0.71827659574468,-0.29820051413882,5.9,5.06,5.6,159306,4.3,-19.1,NA,4.3,1.15,5.3123595505618
"10",2002-12-31,31.7,3.14,1.3423,0.40129449838188,NA,62.4,0.4,36.6,0.20608108108108,1.9891304347826,NA,-4.5,0.5155,2.4,0,0,-4.2731,-4.2731,-1.8731,0,141,NA,NA,7.6630434782609,-2.2731,177.6,0.060897435897436,NA,0,0.80213089802131,NA,0.1164,0.1474358974359,7.4,165.2,0.075060532687651,0.06981981981982,-9.4,-0.51086956521739,0.6,0.032608695652174,NA,8.9297297297297,-0.2322347826087,8.9782608695652,-2,NA,18.4,-0.57744864864865,-0.50810810810811,8.2,4.5,12.4,369902,28.1,7.5,22.026666666667,28.1,1.15,19.054054054054
