"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,48.1,1.33,0.4494,0.5356,1037.6,2639.9,1005.5,56.1,0.0291,0.1291,0.0213,-11.79,0.74,NA,290.8,0,0,20,19.5,310,0,1874.8,0.86,3.96,96.14,6.04,4.32,NA,-683.41,1930.9,0.9507,NA,NA,NA,-0.03,0.3139,NA,NA,0,2178.4,734,1.6307,0.6199,-33.5,-0.0771,-130.3,-0.3,NA,0.71,NA,0.0449,1.69,702.91,36.0468,434.4,0.009,-0.0323,35.2,15.12,1196.9,1229576,473.7,-70.5,NA,473.7,1.4,0.86
"2",2010-12-31,47.7,1.36,0.4514,0.32454643150642,1068.5,1964.2,537.4,86.4,0.067200746674963,0.24749355485534,0.043987373994502,-13.1406,0.74767390341161,NA,213.8,0,0,14.9,14.9,228.7,0,1199.3,0.80193915078569,3.0555414012739,80.489932885906,5.2439877568868,3.4354053279862,0.15,-295.5594,1285.7,0.92465125750942,NA,NA,-0.14,0.1852,0.42138630600169,NA,NA,0,1495.5,772.3,0.66476757736631,0.39931554795053,-9.5,-0.027212832999141,-105.7,-0.30277857347465,NA,0.72278895648105,NA,0.042681180177599,2.2122600973933,310.4594,20.836202007463,349.1,0.0099632230023403,-0.0088909686476369,37.2,15.3,513.4,1114981,392.5,2.8,275.82142857143,392.5,1.35,0.81275681142929
"3",2009-12-31,47.1,0.59,0.5281,0.30633092588978,1066.1,1859,350,186.4,0.11545370083617,0.64077002406325,0.10026896180742,-2.0378,0.61541374739633,NA,213.2,0,0,-31.6,-31.6,181.6,0,1428.1,1.057460199926,3.8923412373944,NA,7.863986784141,4.9092471639739,0.16,-166.3622,1614.5,0.84792899408284,NA,NA,0.02,-0.4913,0.38994692475804,NA,NA,0,1350.5,1143.7,0.41164641077206,0.29160730876432,-36.5,-0.12547267102097,-7.8,-0.02681333791681,NA,1.0727886689804,NA,-0.10862839463733,3.9315916122379,134.7622,NA,290.9,-0.02339874120696,-0.034236938373511,39.2,24.56,470.8,862409,366.9,-5.8,NA,366.9,1.3,1.0504912486174
"4",2008-12-31,46.4,0.86,0.5326,0.16508136152818,1062.1,1577.9,418.7,55.1,0.024936640115858,0.097747028561291,0.034919830154002,18.4617,0.40555764175742,13.630538513974,182.2,0,0,257.5,162.1555,439.7,0.37027,2154.5,1.7703368940016,7.1601861083416,8.3669902912621,4.8999317716625,3.8220684761398,0.18,-92.8063,2209.6,0.91558400405602,NA,NA,0.165,-0.1974,0.32879475542108,NA,0.9453,0,1217,1999.6,0.10502100420084,0.095039826212889,146.7,0.26024481106972,-39.6,-0.070250133049494,0,1.8826852462103,0.75725213966523,0.4568032641476,3.5472769203477,254.9617,1.5723288711985,563.7,0.13324196795398,0.13812258732699,32.3,40.57,210,873730,300.9,-20.4,NA,300.9,1.35,1.7369703639651
"5",2007-12-31,45.4,0.56,0.4682,0.49706687524443,771.6,2354.4,743,24.4,0.0090980275178045,0.035511570368214,0.010363574583758,3.4598,0.44425459205468,27.856313497823,243.6,0,0,234.1,131.3067,477.7,0.4391,2657.5,1.7601669095244,3.4436957366852,11.351986330628,5.5631149256856,3.8677048464561,0.15,-371.5532,2681.9,0.94414712878016,4.02,11.753731343284,0.115,0.3116,0.57651152675076,NA,0.9799,0,1509.8,1919.3,0.39733236075653,0.28435064692942,68.9,0.10027652452336,-28.1,-0.040896521612575,0,2.4874287195438,1.8570875665215,0.34070732062291,2.7933343035948,502.8598,3.8296589894119,687.1,0.08696959199894,0.089294971487817,42.7,47.25,762.6,976399,771.7,188,10.209042553191,771.7,1.3,1.7480771737714
"6",2006-12-31,44.4,1.72,0.2901,0.40170041195547,682.6,1878.1,529.2,10.7,0.0053964091184184,0.020902520023442,0.005697247217933,12.5307,0.57911065149948,21.562942008487,153.9,0,0,198.8,113.5903,352.7,0.42862,1972.1,1.7449124048841,3.1905840478887,9.9200201207244,5.5914374822796,3.8525102559094,0.1,-274.2404,1982.8,0.94435866034822,1.56,22.237179487179,0.18,0.6335,0.23153786104606,NA,NA,0,1130.2,1524.5,0.30062315513283,0.23113778495057,70.7,0.13811291267826,-60.4,-0.11799179527251,0,2.2333723996484,2.1562942008487,0.38835710099629,2.9781207267044,387.8307,3.4142931080299,511.9,0.10050463988675,0.10357456782889,31.8,34.69,458.3,606305,618.1,55.6,27.419064748201,618.1,1.05,1.7379261986151
"7",2005-12-31,43,0.79,0.2885,0.29422448238285,582.9,1016.7,356.3,0.1,6.2881217380368e-05,0.00032970656116057,9.8357430903905e-05,2.7368,0.55459272097054,22.269421487603,63.3,0,0,152.8,95.9737,216.1,0.3719,1590.2,1.9256478566239,4.4518477043673,10.407068062827,7.3586302637668,5.2429937355753,0.2,-199.7631,1590.3,0.6952886790597,1.9,16.347368421053,0.44,-0.0382,0.17657162487118,NA,0.9726,0,825.8,1347.3,0.18036072144289,0.15280135823429,60.5,0.19947246950214,-15.4,-0.050774810418727,0,2.3113741636644,1.1134710743802,0.50379162545335,4.4421364985163,295.7368,3.0814361008307,303.3,0.11621903608622,0.10379138788815,16.5,31.06,243,542500,357.2,103.5,13.017391304348,357.2,1,1.92553577915
"8",2004-12-31,35.6,0.67,0.3116,0.5311553155052,NA,941.5,209.8,2.7,0.0016116516444816,0.0096051227321238,0.0028677642060542,-1.3567,0.43003851091142,21.096185737977,63.9,0,0,115.4791,74.178,179.3791,0.35765,1672.6,2.2112638815442,5.9501956599075,14.484003688286,9.3243851346801,6.3937308868502,0.2,-70.3653,1675.3,0.87923526287839,2.35,12.978723404255,0.52,0.071,0.26132145508538,NA,0.8815,0,756.4,1272.1,0.31695621413411,0.24067331224258,60.3,0.23050458715596,-18.2,-0.069571865443425,0,3.5743186288283,1.0548092868988,0.44143394495413,4.8627675840979,144.5433,1.9486009843116,261.6,0.098067177065045,0.16942961506041,14.6,30.5,403.2,312100,281.1,60.7,20.957166392092,281.1,1,2.2069556053221
"9",2003-12-31,34.3,1.01,0.3906,0.51417071943653,NA,761,92.9,5.3,0.0050270321540358,0.020534676481984,NA,-1.2816,0.51715309779826,14.028142589118,61.2,0,0,177.9472,114.2723,239.1472,0.35783,1049,1.7749576988156,4.0643161565285,5.8950073895519,4.3864199282459,4.4619310931518,0.1,83.8539,1054.3,0.91813403416557,1.91,10.916230366492,0.1,0.3948,0.19142717973697,NA,0.7976,0,591,747.7,0.4100575096964,0.29080906762781,53.3,0.22671203743088,-13.1,-0.055720969800085,0,2.5809458060062,1.4028142589118,0.7569,3.1803487877499,30.4184,0.2661922896708,235.1,0.19335422504619,0.18398343113566,7,20.85,306.6,128900,258.1,36.6,20.428961748634,258.1,0.9,1.7680697635418
"10",2002-12-31,28.9,0.8,0.6352,0.63737602227249,NA,711.1,83.4,1.7,0.001662104028158,0.011963406052076,NA,5.8,0.2764,46.560283687943,54.4,0,0,43.6,28.3391,98,0.35002,1021.1,NA,NA,23.419724770642,10.419387755102,7.1857846586911,0.15,-0.6609,1022.8,0.93404584446632,1.69,11.526627218935,NA,-0.1634,0.37302977232925,NA,0.7587,0,590.6,656.5,0.55795887281036,0.35813453265546,14.1,0.099225897255454,-11.5,-0.080928923293455,0,3.1501919385796,3.1040189125296,0.30682617874736,4.6199859254046,29,1.0233201247406,142.1,0.047983623433796,0.067658349328215,5.1,19.48,366.3,291248,224.5,56.7,11.57848324515,224.5,0.8,1.7289197426346
