"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2012-04-30,9.4,0.55,0.3064,0.2967,184.9,310.9,4.5,0.3,7e-04,8e-04,0.001,4.13,0.45,10.82,2.3,0,0,12,7.44,14,0.375,0.375,434.9,1.66,1.11,36.55,30.63,1.12,0.1,1.11,435.2,0.0885,3.2,12.66,0.2,0.135,0.1575,NA,0.7096,0.0013,262.6,357.2,0.2184,0.1792,33,0.0853,262.1,0.6774,0,1.93,1.08,0.0308,0.92,6.33,0.8514,386.9,0.0283,0.1785,149.3,40.52,78,39780,393,32.3,11.06,393,0.95,1.66
"2",2011-04-30,10.5,0.81,0.4964,0.2039165602384,187,276.4,4.8,0.2,0.00044286979627989,0.00058496636443405,0.00072358900144718,17.0481,0.50362610797744,14.315602836879,1.9,0,0,10.9,6.8273,12.8,0.37364,0.37333333333333,451.4,1.92330634853,1.2296377008989,41.412844036697,35.265625,1.3202690845276,0.14,-13.1208,451.6,0.092257597684515,3.16,12.398734177215,0.085,0.1959,0.28351164254248,NA,0.6898,0.0014471780028944,234.7,403.7,0.11865246470151,0.10606731620904,28.2,0.0824802573852,231.3,0.67651360046797,0,2.1588235294118,1.0225430597771,0.031880666861655,1.1807546066101,19.9481,2.9218098821431,341.9,0.029089578184917,0.15080213903743,133.1,39.18,47.9,56653,367.1,30.2,13.367549668874,367.1,1,1.9225202213708
"3",2010-04-30,11.3,1.06,0.5737,0.18472222222222,176.1,251.3,6.5,0.3,0.00090036014405762,0.00097150259067358,0.0011937922801432,21.3208,0.43576782290396,10.944029850746,1.7,0,0,14.5,9.2475,16.2,0.36224,0.36342042755344,332.9,1.5433472415392,0.97940570756105,22.958620689655,20.549382716049,1.0780440414508,0.15,-16.8733,333.2,0.09033028253084,2.58,10.496124031008,0.05,0.1685,0.19207920792079,NA,0.7148,0.001591723040191,215.7,293.3,0.13603818615752,0.11974789915966,26.8,0.086787564766839,211.7,0.68555699481865,0,1.6655309483248,0.72960199004975,0.046955958549223,0.94980569948186,26.1208,2.8246300131127,308.8,0.042872137227631,0.15218625780806,119.5,27.08,39.9,67841,339.9,27.7,10.58844765343,339.9,1,1.5425925925926
"4",2009-04-30,11.7,1.19,0.5818,0.16710875331565,157,219.6,2.7,0.2,0.00062131096613855,0.00073179656055617,0.00091074681238616,22.1192,0.28875902371949,16.223463687151,1.4,0,0,6.3,4.035,7.7,0.35952,NA,321.7,1.7084439723845,1.0544083906916,51.063492063492,41.779220779221,1.1770947676546,0.15,-19.3842,321.9,0.087887067395264,2.12,12.419811320755,-0.005,0.0881,0.50645704660303,NA,0.7679,0.0018214936247723,188.3,290.4,0.10847107438016,0.097856477166822,17.9,0.065495792169777,190.1,0.69557263080863,0,1.8496815286624,1.0815642458101,0.023051591657519,1.0625686059276,23.4192,5.8039827420394,273.3,0.021428698884758,0.1140127388535,109.9,26.33,31.5,115866,305.1,22,13.2,305.1,1.05,1.7076923076923
"5",2008-04-30,11.7,0.84,0.4472,0.24031007751938,137.2,200.6,2.6,0.2,0.0010147133434805,0.00079904115061926,0.00099700897308076,-17.831,0.35778175313059,10.246666666667,1.1,0,0,2.4,1.5576,3.5,0.35099,NA,196.9,1.0914634146341,0.71237337192475,82.041666666667,56.257142857143,0.78665601278466,0.15,17.8886,197.1,0.090229312063809,1.54,8.9675324675325,0.04,0.1726,0.54133333333333,NA,0.9804,0.0019940179461615,180.4,153.7,0.28236824983734,0.22019279553526,15,0.059928086296444,171,0.68318018377946,0,1.1202623906706,0.68311111111111,0.0095884938074311,0.6140631242509,-16.331,-10.484560328195,250.3,0.0086342793791574,0.10932944606414,102.3,13.81,43.4,190623,276.4,18.6,8.2634408602151,276.4,1,1.0913621262458
"6",2007-04-30,11.9,0.5,0.3197,0.25030303030303,123.7,173.6,2.7,0.3,0.0015274949083503,0.0013831258644537,0.0017281105990783,0.4802,0.4003753518924,36.928571428571,1,0,0,-14.0357,-10.4503,-13.0357,0.25545,NA,196.1,1.1906496660595,0.90703052728955,NA,NA,0.90410327339788,0.15,-12.6305,196.4,0.097350230414746,0.98,11.948979591837,0.105,-0.076,0.1606048222313,NA,0.6673,0.0023041474654378,164.7,155.1,0.26627981947131,0.21028513238289,4.2,0.019363762102351,148.8,0.68603042876902,0,1.2538399353274,2.4619047619048,-0.064710419548179,0.71507607192254,2.1802,NA,216.9,-0.063450352091682,0.033953112368634,104.9,11.71,41.3,124690,216.2,7.5,20.68,216.2,0.8,1.190303030303
"7",2006-04-30,11.8,0.5,0.3488,0.28045838359469,119.3,177.6,5,0.3,0.0015806111696523,0.0012809564474808,0.0016891891891892,-1.4908,0.48165137614679,8.5808383233533,0.7,0,0,29,18.2665,29.7,0.37012,NA,189.5,1.1450151057402,0.80126849894292,6.5344827586207,6.3804713804714,0.80913748932536,0.15,15.4573,189.8,0.086711711711712,0.52,22.807692307692,0.21,0.2365,0.34326579261025,NA,0.634,0.0016891891891892,165.5,143.3,0.324494068388,0.2449947312961,16.7,0.07130657557643,151.8,0.64816396242528,0,1.2011735121542,0.57205588822355,0.12382578992314,0.61187019641332,2.8092,0.1537908088909,234.2,0.11037172205438,0.13998323554065,85.1,11.86,46.5,123272,236.5,11.4,12.570175438597,236.5,1.05,1.1447527141134
"8",2005-04-30,11.8,0.45,0.4355,0.22447447447447,NA,143.7,6.2,0.5,0.0022026431718062,0.0025419420437214,0.0034794711203897,4.8239,0.20665901262916,10.95,0.4,0,0,14.2897,9.0181,14.6897,0.36891,NA,226.5,1.706857573474,1.1514997458058,15.850599873475,15.418988024246,1.1965134706815,0.18,-1.6058,227,0.078636047320807,NA,NA,NA,0.1372,0.29896386151125,NA,0.6245,0,132.7,197.1,0.15169964485033,0.13171806167401,18,0.095087163232963,123.4,0.65187533016376,0,1.9080348499516,0.60833333333333,0.075486951928156,1.0412044374009,10.6239,1.178064990938,189.3,0.067958358336096,0.17424975798645,72.9,16.52,29.9,68036,196.7,18,10.95,196.7,0.95,1.7042042042042
"9",2004-04-30,7.8,0.35,0.5498,0.2181146025878,NA,117.2,1.4,1.1,0.0034150884818379,0.0061693774537297,NA,9.2729,0.12731902510004,19.134615384615,0.3,0,0,13.6442,8.6038,13.9442,0.36942,NA,321,2.9971988795518,1.8003365114975,23.526411144923,23.020257826888,1.9621026894866,0.18,-1.7691,322.1,0.04778156996587,2.34,15.905982905983,NA,0.0481,0.22817173178968,NA,0.5438,0,107.1,298.5,0.079061976549414,0.073269171064887,15.6,0.095354523227384,103.2,0.63080684596577,0,3.5283687943262,1.0630341880342,0.0834,1.8245721271394,10.3729,1.2056159940593,163.6,0.080334125669468,0.18439716312057,64.4,37.22,23.6,2013,178.3,16.7,17.874251497006,178.3,0.85,2.9768946395564
"10",2003-04-30,7.2,0.59,0.5559,0.29108485499463,NA,101.8,2.2,0.8,0.003683241252302,0.0055172413793103,NA,36.9,0.2327,13.977941176471,0.3,0,0,13.3,8.3887,13.6,0.36927,NA,216.4,NA,NA,16.270676691729,15.911764705882,1.4924137931035,0.17,6.4887,217.2,0.044204322200393,2.06,12.364077669903,NA,0.0922,0.50940919037199,NA,0.3354,0,92.3,190.1,0.14255654918464,0.12476979742173,13.6,0.093793103448276,89,0.61379310344828,0,2.880303030303,0.82223183391003,0.091724137931034,1.3110344827586,1.9,0.2264949231163,145,0.09088525460455,0.20606060606061,54.3,25.47,27.1,51838,159.6,15.3,12.424836601307,159.6,0.8,2.3445287107259
