"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,359.7,1.13,0.3881,0.6808,243.5,958.5,1,35.2,0.0304,0.1088,0.0367,2.02,0.73,7.73,129.5,0,0,109,106.98,238,0.0168,0.0166,1124.3,1.55,3.24,10.33,4.72,3.48,NA,233.45,1159.5,0.0117,NA,NA,-0.065,0.2733,NA,0.0332,0.487,727.6,640.2,0.8112,0.4479,82.8,0.256,27.5,0.085,0,2.63,0.3364,1.98,-126.48,-1.1823,323.4,0.147,0.34,64,1.85,519.3,51946,347.2,66,9.7,347.2,1.3,1.52
"2",2010-12-31,359.7,1.59,0.6149,0.89977030695343,48,678.5,1.1,30.6,0.035478260869565,0.10650887573965,0.045099484156227,2.3385,0.52854122621565,17.908713692946,123.4,0,0,88.2,64.5527,211.6,0.26811,0.26969696969697,831.9,1.8556770020076,2.6451510333863,9.4319727891156,3.9314744801512,2.8955795335886,NA,184.5142,862.5,0.018717759764186,NA,NA,-0.7006,0.50222222222222,NA,0.0274,0.66396462785556,448.3,431.6,0.9983781278962,0.49959420289855,24.1,0.083884441350505,24.7,0.085972850678733,0,8.9916666666667,0.30699617124957,1.5022624434389,-119.9615,-1.858350497783,287.3,0.14399441891591,0.50208333333333,60.5,1.21,430.9,124942,314.5,126.9,3.4011032308905,314.5,1.3,1.8010022969305
"3",2009-12-31,104.8,1.8,0.6787,NA,-698,698.1,0.5,10.5,0.005003335557038,0.03755364806867,0.015040825096691,-0.3824,0.44202151171357,NA,133,0,0,81.2,81.2,214.2,0,NA,2088.1,4.8179510844486,7.6152443471918,25.715517241379,9.7483660130719,7.4681688125894,NA,214.0824,2098.6,0.01890846583584,NA,NA,-0.0079,0.5136186770428,NA,0.0304,0.70534307405816,433.4,956.7,1.1935821051531,0.54412465453159,-19.4,-0.069384835479256,19.8,0.070815450643777,NA,NA,0.29041487839771,3.4216738197425,-132.8824,-1.6364828009049,279.6,0.1873557914167,NA,53.6,2.62,1141.9,106071,274.2,-1.8,NA,274.2,1.2,4.7276413606668
"4",2008-12-31,104.8,2.01,0.6954,NA,-666.9,739.3,1.9,2.7,0.0021827000808407,0.0095812633073101,0.0036521033409982,-0.0522,0.27610008628128,NA,145.2,0,0,60,60,205.2,0,NA,1234.3,2.8980981451045,4.4527417027417,20.571666666667,6.0151072124756,4.3800567778566,NA,203.3522,1237,0.02083051535236,NA,NA,0.1522,0.47415730337079,NA,0.0731,0.71892330582984,425.9,141.5,7.7420494699647,0.8856103476152,-40.3,-0.1430092264017,3.2,0.011355571327182,NA,NA,0.21291696238467,0.50212916962385,-143.3522,-2.3892039271351,281.8,0.14087814040855,NA,66.2,1.45,1095.5,38431,277.2,-24.8,NA,277.2,1.2,2.8861409239384
"5",2007-12-31,100.4,1.56,0.5359,NA,-651,676.2,1.7,2,0.0015094339622642,0.0085324232081911,0.0029577048210589,-3.9589,0.34334763948498,NA,198.2,0,0,-51,-51,147.2,0,NA,1323,3.2103858286824,4.7900072411296,NA,8.9877717391304,5.6441979522184,NA,149.4589,1325,0.023661638568471,-0.18,NA,0.2154,0.58471337579618,NA,0.0987,0.66430050280982,412.1,259.9,4.0981146594844,0.80384905660377,-159.1,-0.6787542662116,22.2,0.094709897610921,NA,NA,-0.21757679180887,1.1087883959044,-200.4589,NA,234.4,-0.12375636981315,NA,81.2,2.75,1065.1,8282,276.2,-75.8,NA,276.2,1.15,3.1997102149239
"6",2006-12-31,104.8,0.46,0.448,NA,-478.9,767.8,0.7,14,0.0087086339885544,0.069582504970179,0.018233915082053,-3.7942,0.32142857142857,NA,209.6,0,0,-71.9,-71.9,137.7,0,NA,1593.6,3.3007456503728,7.1397849462366,NA,11.572984749455,7.9204771371769,NA,140.7942,1607.6,0.021229486845533,-0.37,NA,0.019,0.45296167247387,NA,0.171,0.70539202917426,482.8,631.9,1.5440734293401,0.60692958447375,-396.6,-1.9711729622266,34.7,0.17246520874752,NA,NA,-0.35735586481113,3.1406560636183,-212.6942,NA,201.2,-0.14892294946147,NA,59.8,5.7,975.7,57393,223.2,-346.2,NA,223.2,0.9,3.2359098228663
"7",2005-12-31,104.8,-0.61,0.3796,NA,-123.2,1273.8,0.5,15.9,0.011664588071308,0.080547112462006,0.012482336316533,-2.4593,0.59009483667018,NA,225.6,0,0,-116.2,-116.2,109.4,0,NA,1347.2,1.6170927859801,6.6299212598425,NA,12.314442413163,6.8247213779129,NA,111.3593,1363.1,0.014601978332548,NA,NA,-0.1839,0.53407290015848,NA,0.1141,0.48869524258125,833.1,390.9,2.4870810949092,0.71322720269973,-190,-0.96251266464032,83.7,0.42401215805471,NA,NA,-0.5886524822695,1.9802431610942,-227.5593,NA,197.4,-0.13947905413516,NA,79.3,3.63,972.2,157786,203.2,-401.3,NA,203.2,1.4,1.6055359246172
"8",2004-12-31,104.5,2.87,0.7741,0.93581756200776,NA,1512.8,1.9,12.1,0.006926159129937,0.058089294287086,0.0079984135378107,-5.8259,0.74150626534039,NA,61,0,0,-130.1566,-130.1566,-69.1566,0,NA,1734.9,2.0688051514429,8.3288526164186,NA,NA,7.1898052217157,NA,-65.2306,1747,0.021681649920677,NA,NA,0.1628,0.18130457113508,NA,0.2387,0.4160497091486,838.6,950.9,0.83720685666211,0.45569547796222,-198.9,-0.82428512225446,42.6,0.1765437215085,NA,17.415750915751,-0.53939734769996,3.940737670949,-64.9259,0.49882950834895,241.3,-0.15520698783687,-3.6428571428571,101.9,9.17,796.1,28401,208.3,-235.8,NA,208.3,1.35,2.0536029152463
"9",2003-12-31,104.5,3.16,0.8112,0.72120942641174,NA,1561.7,4.8,4.3,0.0025146198830409,0.017991631799163,NA,0.9108,0.77909270216963,NA,154.8,0,0,43.9692,43.9692,198.7692,0,NA,1705.7,1.5226745224067,7.136820083682,38.793020122017,8.5813072193008,8.2202409638554,NA,193.0584,1710,0.018697573157457,NA,NA,0.2883,0.22021210230817,NA,0.1695,0.37203047960556,1120.2,899,0.90211345939933,0.47426900584795,-196.3,-0.94602409638554,6,0.028915662650602,NA,2.8676236044657,0.2119,4.3325301204819,-149.0892,-3.3907596019151,207.5,0.039251249776826,-0.62615629984051,86.1,8.77,811,12658,239,-166.9,NA,239,1.35,1.520675855936
"10",2002-12-31,104.5,2.73,0.8805,0.57440611631929,NA,1492.3,4.2,0.3,0.00020444323292899,0.0018633540372671,NA,33.4,0.6811,NA,232.3,0,0,-234.0388,-234.0388,-1.7388,0,NA,1467.1,NA,NA,NA,NA,9.1124223602485,NA,-5.9388,1467.4,0.023855793071098,NA,NA,0.4993,0.70620437956204,NA,0.1495,0.36393486564364,1098.4,836.3,0.75463350472319,0.43008041433828,-313,-1.944099378882,-42.5,-0.2639751552795,NA,1.788494439692,-1.4536571428571,5.1944099378882,-228.1,NA,161,-0.21307246904589,-0.669375534645,109.2,8.2,631.1,46926,180.5,-297.9,NA,180.5,1.4,1.3356700655499
