"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2012-05-31,126.5,0.87,0.1954,0.3752,2139.1,4160.9,160.8,339.8,0.0533,0.0828,0.0817,13.91,0.8,17.11,155.8,0.0159,80.96,540,341.09,696,0.368,0.368,6037.3,1.96,1.45,11.19,8.68,1.47,0.125,0.11,322.18,6377.1,0.2269,NA,NA,-0.01,0.06,0.1394,0.161,0.7207,0.357,3084.1,5092.3,0.2523,0.2015,297.6,0.0725,756.6,0.1844,0.2618,2.38,1.37,0.1316,1.24,18.91,0.0554,4102,0.1106,0.1391,1199,40.9,1284.8,495816,4177.4,309.3,16.46,4177.4,0.95,1.86
"2",2011-05-31,137.6,0.88,0.2515,0.35837489898849,2302.6,4351.9,182.6,525.3,0.090118373648996,0.13785954230527,0.12070589857304,34.2464,0.8,18.392307692308,150.9,0.0154,69.9607,440.3,276.9487,591.2,0.371,0.37102113572702,5303.7,1.7313116145459,1.3305486565816,12.04565069271,8.9710757780785,1.3919011127441,0.11,0.095,211.0023,5829,0.21742227532802,NA,NA,-0.01,0.1935,0.14429312581064,0.154,0.7159,0.34189664284565,3063.4,4542.9,0.28310110281979,0.2206381883685,247,0.064822590804115,742.7,0.19491391979845,0.28324153846154,1.9729436289412,1.672027972028,0.11555217300021,1.1922370354818,65.9464,0.23811765756108,3810.4,0.090405660377359,0.10727004256058,1168.9,34.81,1286.1,1199999,3986.1,272.8,16.652859237537,3986.1,0.95,1.6242650541979
"3",2010-05-31,152.9,0.92,0.2818,0.23674698795181,2534,3969.7,111.1,566.1,0.11379580678232,0.15958616412483,0.14260523465249,13.7022,0.79843860894251,18.323272090989,193.1,0.0173,72.4645,411.5,258.0105,604.6,0.373,0.37283950617284,4408.6,1.6008569664839,1.2139218547788,10.713487241798,7.2917631491896,1.2428043864347,0.055,0.05,326.3083,4974.7,0.22533188905963,NA,NA,0.03,-0.0607,0.12797281993205,0.132,0.7447,0.34181424288989,2753.9,4188.7,0.18764771886265,0.15799947735542,228.6,0.064443379471711,575.9,0.16234882868661,0.3169926071741,1.652999210734,3.3315040165434,0.11600372114002,1.180813576523,-68.2978,-0.26470922252719,3547.3,0.093689131776753,0.090213101815312,1086.4,27.96,786,1199278,3631.7,215.1,19.473268247327,3631.7,0.9,1.4984036144578
"4",2009-05-31,152.8,0.9,0.2733,0.24942138803462,2367.4,3721,160.1,250.1,0.051945084844331,0.066256921079821,0.067213114754098,-39.3693,0.52689352360044,14.360071301248,200.1,0.0178,71.6984,409.1,276.0075,609.2,0.32533,NA,4564.6,1.5718319559229,1.280967615199,11.157663163041,7.4927774130007,1.2092616631785,0.06,0.035,355.3768,4814.7,0.24579414135985,NA,NA,0.065,-0.0358,0.26072742133224,0.132,0.7214,0.35780704111798,2904,4028,0.19530784508441,0.16339543481422,280.5,0.074310541235065,703.3,0.18631944260471,0.25560926916221,1.7014446227929,2.3933452168746,0.10837947386547,1.0671046705698,-79.3693,-0.28756211003346,3774.7,0.09504390392562,0.11848441328039,1082.7,26.07,786.7,1475619,3563.4,255.8,15.746677091478,3563.4,0.9,1.5264893313465
"5",2008-05-31,153.7,0.88,0.2252,0.29513117983677,2254.1,3808.6,190.3,191.7,0.044878848179796,0.048680768937759,0.050333455863047,-6.329,0.67495559502664,9.9215861657722,148.6,0.021246506596148,70.702,577.4,364.9168,726,0.368,NA,4079.8,1.3571286008915,1.0270624071696,7.0658122618635,5.6195592286501,1.0360344345971,0.07,0.065,329.5458,4271.5,0.25589455442945,1.15,20.2,0.085,0.0968,0.27874306839187,0.14,0.6428,0.34542876647587,3006.2,3327.7,0.28361931664513,0.22095282687581,335.4,0.08517229995683,724.5,0.18398130983519,0.21079904591533,1.476287653609,1.4173694522532,0.14662637446355,0.84504431295868,35.371,0.096929061478313,3937.9,0.12138806466636,0.14879552814871,1104.1,23.23,943.8,1332914,3972.3,321.8,10.340894965817,3972.3,0.95,1.3357203164577
"6",2007-05-31,158.7,1.59,0.21,0.289022270327,2167.7,3570.5,180.8,155.4,0.024611193817111,0.041921821468073,0.043523316062176,-18.7859,0.8,16.242152466368,135.2,0.011392048591938,61.893,577.4,362.0298,712.6,0.373,NA,6158.8,2.1284949023674,1.6111968606933,10.66643574645,8.6427168116755,1.6614421754026,0.1,0.095,335.2157,6314.2,0.25772300798207,1.15,27.486956521739,0.085,0.12,0.15871943806565,0.147,0.6343,0.34894272510853,2893.5,5433,0.16219399963188,0.13955845554464,334.5,0.090237125360814,602.4,0.16250775580674,0.18503139013453,2.5063431286617,1.6242152466368,0.15576357603388,1.4656451482371,26.8141,0.074066011772349,3706.9,0.12511829963712,0.15431102089773,1004,31.61,881.2,1345543,3822.5,331,16.413897280967,3822.5,1.05,2.0709764177244
"7",2006-05-31,163.2,1.66,0.2107,0.27670777331301,2088,3425.2,156.6,241.5,0.03350490434107,0.070954283699612,0.070506831717856,-14.0969,0.79734219269103,19.58771393643,127.1,0.0089123277839322,57.12,546.9,342.9063,674,0.373,NA,6966.4,2.6335009261709,1.993646796211,12.737977692448,10.33590504451,2.0467740039958,0.12,0.13,327.5032,7207.9,0.25218965315894,1.1,36.1,0.09,0.1605,0.12336756688221,0.167,0.6326,0.33171785589163,2645.3,6409.1,0.12463528420527,0.11082284715382,327.2,0.096133505699847,529,0.15542366905629,0.17457212713936,3.0694923371647,1.6323094947025,0.16068280644024,1.8830356093548,15.4031,0.044919189926211,3403.6,0.12962851094394,0.15670498084291,908,39.71,798.8,572325,3494.3,332.7,19.263901412684,3494.3,1.05,2.4968477206596
"8",2005-05-31,170.7,1.37,0.2808,0.18341289245935,NA,3059.7,140.7,309.4,0.041722854522898,0.095973695638687,0.10112102493708,25.9141,0.97578347578348,23.104825291181,119.8,0.0077802090931194,54.624,494.5802,311.6004,614.3802,0.36997,NA,7106.2,3.1342124994487,2.2042930702897,14.368145234446,11.566453664465,2.3167606689923,0.11,0.11,264.7862,7415.6,0.26708500833415,NA,NA,0.105,0.0946,0.09625346343814,0.167,0.676,0.29071477595843,2267.3,6943,0.068068558260118,0.063730514051459,300.5,0.097968897727643,507.9,0.16558536823917,0.18177703826955,3.2997481108312,2.1004386628347,0.16124284875949,2.2635542659668,46.8141,0.15023766520765,3067.3,0.13743234556772,0.14281640606435,810.2,41.13,472.6,565474,3223.8,300.5,23.104825291181,3223.8,1.1,2.8779446578958
"9",2004-05-31,171.4,1.18,0.2938,0.20411432425597,NA,2810.3,112.9,254.3,0.03189674635627,0.088225090202609,NA,11.2786,0.80326752893125,27.510653930933,117.3,0.0067426179958149,49.706,576.0463,362.9034,693.3463,0.37001,NA,7718.3,3.6443174843005,2.677733832917,13.398750069157,11.131955754229,2.7427241391564,0.12,0.1,356.0248,7972.6,0.27943635910757,NA,NA,0.13,0.0427,0.12384965073733,0.1839,0.6339,0.28658862043198,2117.9,7488.4,0.064660007478233,0.060733010561172,272.2,0.096727195195622,464.7,0.16513272449451,0.18260837619397,3.966313559322,2.2925544942444,0.2047,2.6610283927366,6.8786,0.018954259671837,2814.1,0.17135057823188,0.14417372881356,727.6,43.01,484.2,403852,2882.4,272.2,27.510653930933,2882.4,1.15,3.3608464716297
"10",2003-05-31,170.6,1.15,0.3416,0.25486557436408,NA,2582.9,115,57.7,0.0064082629942248,0.021476959726048,NA,65.4,0.7438,33.858403529884,115.3,0.0054570010306958,46.062,423.8,266.9135,539.1,0.37019,NA,8946.3,NA,NA,21.109721566777,16.594880356149,3.3299709670215,0.12,0.1,267.2135,9004,0.30097951914515,NA,NA,NA,0.1783,0.23538230884558,0.271,0.5754,0.27949204382671,2151.7,8440.9,0.066710895757561,0.062538871612617,249.3,0.092793865852751,543.2,0.20218863991662,0.18476534296029,5.1271943145235,2.8215336274903,0.15774584977295,3.1418521551403,-0.3,-0.0011239597275039,2686.6,0.12404771947762,0.15143048047136,695.4,49.73,563.1,539576,9018.9,257.3,32.805674310144,9018.9,1.1,4.1577822187108
