"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,34.1,1.62,0.3389,0.2203,263.3,480.8,20.3,76.4,0.1819,0.1298,0.1589,-0.81,0.8,14.83,17.5,0.0138,4.77,28,22.45,46,0.2039,0.2021,343.5,1.31,0.59,12.18,7.52,0.58,0.1,0.05,20.46,419.9,0.1766,0.8,13.29,-0.02,-0.01,0.1886,0.04,0.8494,0.0632,261.3,345.5,0.2153,0.1772,23.3,0.0396,82.6,0.1404,0.1865,1.31,1.48,0.0479,0.59,1.99,0.0885,588.5,0.0859,0.0885,91.9,10.63,74.4,75344,582.7,25.6,13.5,582.7,1.25,1.24
"2",2010-12-31,34.2,2.22,0.5796,0.20331106593087,274.3,482.6,13.3,73.3,0.18491422805247,0.13264567499095,0.15188561956071,4.8879,0.49603174603175,14.12987012987,17.6,0.0147,4.7981,30.3,24.0652,47.9,0.20577,0.20618556701031,323.1,1.1922509225092,0.54809160305343,10.663366336634,6.7453027139875,0.58469055374593,0.105,0.045,23.4772,396.4,0.16203895565686,0.77,11.948051948052,0.03,0.0977,0.26881720430107,0.044,0.8976,0.066100290095317,271,326.4,0.21446078431373,0.1765893037336,23.1,0.041802388707926,73.2,0.13246471226927,0.20770909090909,1.1899380240613,1.3457019171305,0.054831704668838,0.59066232356135,0.5879,0.024431487796165,552.6,0.088801361623616,0.084214363835217,90.6,9.2,70,128081,589.5,21.8,14.97247706422,589.5,1.15,1.1513215219285
"3",2009-12-31,33.9,2.23,0.6629,0.16918429003021,247.5,407.7,6.5,51.2,0.11873840445269,0.10260521042084,0.12558253617856,4.4393,0.45255694674913,31.733333333333,19.5,0.0108,4.1126,17.6,14.1497,37.1,0.19604,0.2,380,1.5403323875152,0.70162481536189,21.590909090909,10.242587601078,0.76152304609218,0.08,0.035,22.7104,431.2,0.19892077507972,0.68,16.264705882353,0.385,-0.2825,0.26970509383378,0.044,0.8554,0.084375766494972,246.7,380.8,0.13235294117647,0.11688311688312,12,0.024048096192385,52,0.10420841683367,0.34272,1.5385858585859,3.9666666666667,0.035270541082164,0.76312625250501,-8.5607,-0.60501097994514,499,0.057355881637616,0.048484848484848,81.3,11.06,50.4,143391,541.6,23.8,16,541.6,1.2,1.4474655924807
"4",2008-12-31,33.7,2.2,0.6343,0.22504892367906,277.2,488.5,17.6,44.6,0.10974409448819,0.064478820297817,0.091299897645855,-16.1029,0.29008355667665,11.475352112676,24.2,0.0125,4.0737,36.2,29.461,60.4,0.18616,NA,361.8,1.1555413605877,0.68535707520364,9.9944751381215,5.9900662251656,0.5230591296805,0.035,0.035,52.1639,406.4,0.18587512794268,0.41,23.463414634146,NA,0.0264,0.66849960722702,0.0409,0.8401,0.14350051177073,313.1,325.9,0.24700828474992,0.19808070866142,28.4,0.041058262252422,68,0.098308515252277,0.14344190140845,1.1756854256854,3.2786720321932,0.052334827237242,0.47115801648113,-22.7029,-0.77060957311179,691.7,0.094094564037049,0.1024531024531,100.9,9.62,80.5,153822,527.9,13.5,24.140740740741,527.9,1.15,1.1361476097288
"5",2007-12-31,34.3,1.55,0.3994,0.18378650553877,324.2,543.7,16.1,52.9,0.20206264323911,0.077124945327307,0.097296303108332,-2.1769,0.32048072108162,7.4330708661417,22.8,0.021800847457627,4.116,34.7,27.1531,57.5,0.21749,NA,208.9,0.60673830961371,0.29539027149321,6.0201729106628,3.6330434782609,0.30456334742674,0.11,0.08,36.03,261.8,0.17068236159647,0.84,6.5595238095238,NA,0.0923,0.55617352614016,0.037,0.9054,0.11292992459077,344.3,188.8,0.38665254237288,0.27883880825057,25.4,0.037031637264907,70.1,0.10220148709724,0.16204724409449,0.58235657001851,0.67573371510379,0.050590465082373,0.27525878407931,-8.8769,-0.32692004433864,685.9,0.078864644205635,0.078346699568168,98,5.51,73,251563,707.2,30.5,6.1901639344262,707.2,0.8,0.65911379657603
"6",2006-12-31,35.8,0.85,0.2405,0.17185877466251,319,527.8,15.8,38.6,0.091209829867675,0.058877364246492,0.073133762788935,-2.6865,0.8,15.191489361702,24.9,0.012033613445378,4.296,32.5,25.101,57.4,0.22766,NA,384.6,1.1096364685516,0.56459189665297,11.833846153846,6.7003484320558,0.58663819402074,0.11,0.07,36.8876,423.2,0.18283440697234,0.79,12.012658227848,-0.1,0.0628,0.24656488549618,0.037,0.9473,0.12087912087912,346.6,357,0.18543417366947,0.15642722117202,23.5,0.035845027455766,68.8,0.10494203782794,0.1828085106383,1.1191222570533,1.3810444874275,0.049572910311165,0.54453935326419,-11.7865,-0.46956267440587,655.6,0.072420802077323,0.073667711598746,88.3,9.49,66.2,223240,681.2,25.8,13.837209302326,681.2,1.3,1.0986500519211
"7",2005-12-31,35.9,0.95,0.2752,0.19883325230919,329.6,533.9,15,12,0.018228771077017,0.019433198380567,0.022476119123431,-1.934,0.8,23.724279835391,27.1,0.0074726799653079,4.308,37.2,27.9145,64.3,0.24961,NA,646.3,1.6181772658989,1.0150777446207,17.373655913978,10.05132192846,1.0466396761134,0.155,0.09,41.9485,658.3,0.2054691889867,0.81,19.382716049383,-0.235,0.1638,0.1869918699187,0.027,0.9019,0.12174564525192,399.4,576.5,0.14189071986123,0.124259456175,24.3,0.039352226720648,62.2,0.10072874493927,0.17728395061728,1.7490898058252,1.5305986990575,0.060242914979757,0.9336032388664,-14.034,-0.50274903297003,617.5,0.06989110665999,0.07372572815534,85.1,15.7,81.8,120800,636.7,30.7,18.778501628665,636.7,1.55,1.6001458434614
"8",2004-12-31,35.9,2.4,0.4768,0.23885350318471,NA,522.2,12.7,61,0.12229350441058,0.10425568278927,0.11681348142474,4.4049,1.006711409396,20.065,26.1,0.010849909584087,4.308,27.1894,20.9358,53.2894,0.23,NA,437.8,1.2609447004608,0.74824816270723,16.101869148223,8.2155190742472,0.824016563147,0.475,0.115,29.931,498.8,0.21543469934891,0.8,13.825,-0.375,0.1526,0.16384647131655,0.019,0.8589,0.34297204136346,347.2,401.3,0.242960378769,0.19546912590217,20,0.037643515904385,43.5,0.081874647092038,0.2154,1.2915996137754,0.42242105263158,0.051175211744777,0.75531714662149,-8.9951,-0.42965308074972,531.3,0.060299050403226,0.064370775667847,82.5,11.06,97.5,115800,585.1,20,20.065,585.1,1.55,1.2219500244978
"9",2003-12-31,36.1,2.71,0.5536,0.20507970818698,NA,482.3,9,25.3,0.045577373446226,0.050579768092763,NA,3.5111,0.97904624277457,38.031746031746,33.6,0.0090225563909774,4.332,51.9949,51.9949,85.5949,0,NA,529.8,1.5365429234339,1.0591763294682,10.189460889433,6.1896211106036,1.1442764578834,NA,0.045,73.0838,555.1,0.25399129172714,0.64,20.78125,NA,-0.0438,0.23106796116505,0.017,0.8367,0.3533070702882,344.8,479.2,0.15838898163606,0.13673212033868,12.6,0.027213822894168,43.7,0.09438444924406,0.34380952380952,1.6288239292998,NA,0.1123,1.0349892008639,-21.0889,-0.40559551971676,463,0.1507972737819,0.042828008157716,78.3,13.3,75.9,54000,500.2,12.6,38.031746031746,500.2,1.55,1.499864901378
"10",2002-12-31,34.1,2.76,0.6382,0.26470588235294,NA,490,12.8,9.2,0.017490494296578,0.020096111839231,NA,53.7,0.9501,NA,43.4,0.0095030190431955,4.092,3.5,3.5,46.9,0,NA,516.8,NA,NA,147.65714285714,11.019189765458,1.128877238969,0.43,0.015,34.1,526,0.30326530612245,0.54,21.37037037037,NA,-0.2818,0.50604838709677,NA,0.735,0.3269387755102,351.2,430.6,0.22155132373432,0.18136882129278,-17.9,-0.0391000436872,36.9,0.080602883355177,NA,1.6249056603774,NA,0.0076452599388379,0.94058540847532,-30.6,-8.7428571428571,457.8,0.0099658314350797,-0.067547169811321,87.5,11.54,95.4,154454,450,-17.9,NA,450,1.5,1.4715261958998
