"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,115.4,1.07,0.2979,0.0827,1411.5,2325.9,88.3,421.8,0.2222,0.1865,0.1813,-11.99,0.8,13.52,96.5,0.013,23.08,168,121.01,265,0.281,0.281,1476.8,1.32,0.71,8.77,5.58,0.65,0.065,0.04,141.19,1898.6,0.1571,1.02,16.09,0.005,0.01,0.179,0.077,0.8946,0.3648,1116.9,1771.4,0.0718,0.067,131,0.0579,153.3,0.0678,0.2028,1.25,2.08,0.0744,0.78,-20.19,-0.1668,2262,0.1083,0.0928,576.7,16.41,127.2,442412,2085.1,113.8,15.57,2085.1,1.2,1.23
"2",2010-12-31,122.1,1.11,0.3896,0.15081755593804,1184.1,2125.3,66,186.1,0.10614875655943,0.084460379413634,0.087564108596433,2.7165,0.7700205338809,11.795871559633,107.4,0,0,131.4,102.3041,238.8,0.22143,0.22142857142857,1567.1,1.2969461226517,0.69760505698006,11.926179604262,6.5623953098828,0.71121902514296,0.025,0.01,140.9876,1753.2,0.1635533806992,0.98,13.030612244898,0.015,-0.1787,0.27713920817369,0.077,0.95,0.40493106855503,1208.3,1542.9,0.1363017693953,0.11995208761123,130.8,0.05936280294091,139.2,0.063175093038032,0,1.3030149480618,4.7183486238532,0.059635109376418,0.70023599891077,-38.6835,-0.37812239935261,2203.4,0.084667796077133,0.11046364327337,623.7,12.77,210.3,891194,2246.4,132.2,11.670953101362,2246.4,1.2,1.2573149741824
"3",2009-12-31,123.1,1.47,0.4772,0.28019093078759,1206.4,2613.6,74.9,331.7,0.15819343761923,0.12262930237717,0.12691307009489,-20.9947,0.62866722548198,11.222068965517,130.6,0,0,181.1,147.0297,311.7,0.18813,0.18812989921612,1765.1,1.3130253663617,0.7625939687203,9.7465488680287,5.6628168110363,0.6525564715886,0.035,-0.005,223.7244,2096.8,0.14068717477808,1.12,11.758928571429,0.005,-0.0369,0.18384879725086,0.079,0.8883,0.42041628405265,1344.3,1627.2,0.28859390363815,0.22396032048836,145,0.053606417982181,145.5,0.05379126769936,0,1.3488063660478,3.2063054187192,0.066952567562572,0.60157491959037,-76.6947,-0.52162763178493,2704.9,0.10937265268169,0.12019230769231,723,13.17,469.6,640059,2314.6,134.6,12.089153046062,2314.6,1.2,1.2510739856802
"4",2008-12-31,122.1,1.52,0.4688,0.36668502202643,1150.1,2841.4,100.5,240,0.11711316059142,0.086151195347835,0.084465404378123,4.3426,0.40955631399317,9.5079037800687,132.5,0,0,177.1,151.4878,309.6,0.14462,NA,1809.3,1.1480329949239,0.63562269453715,10.216261998871,5.843992248062,0.64947232392849,0.025,0.035,179.1452,2049.3,0.14813120292813,1.18,9.1101694915254,-0.01,0.0284,0.37113402061856,0.15,0.8928,0.3884352783839,1576,1383.4,0.48135029637126,0.32494022349095,145.5,0.052229162179625,199.3,0.071541388470098,0,1.2028519259195,3.8031615120275,0.063572402900424,0.49658984851748,-27.6574,-0.18257204926739,2785.8,0.096121699238579,0.12651073819668,648.7,10.75,665.9,1135056,2846.5,129.6,10.674382716049,2846.5,1.2,1.1284691629956
"5",2007-12-31,128.2,1.93,0.3956,0.1458801077683,1521.7,2564.2,102.3,120.3,0.11922695738355,0.042295116548887,0.046915217221746,5.3713,0.42467138523761,4.4194690265487,129.9,0,0,244.8,168.9487,374.7,0.30985,NA,888.7,0.53494251489797,0.31786966163531,3.6303104575163,2.371764077929,0.31244946032416,0.05,0.065,191.1775,1009,0.14211059979721,1.02,6.2843137254902,-0.02,0.0856,0.62075471698113,0.022,0.8689,0.36498713048904,1661.3,749.1,0.34694967294086,0.25758176412289,169.5,0.059592869950427,315,0.1107478114123,0,0.49227837287245,0.88389380530974,0.086066870583272,0.26336884294906,-22.2287,-0.13157087633753,2844.3,0.10169669535906,0.11138857856345,631.7,6.41,259.9,831531,2795.8,157.9,4.7441418619379,2795.8,1.05,0.56634485855411
"6",2006-12-31,136.5,1.63,0.2512,0.1909818747915,1455.1,2540.3,104.9,235.9,0.093362884394665,0.084558032833895,0.092863047671535,-3.973,0.79617834394904,13.135980746089,142.7,0,0,265.4,180.334,408.1,0.32052,NA,2290.8,1.4659243616817,0.80362029046517,8.6314996232102,5.6133300661603,0.82113413147896,0.115,0.095,222.107,2526.7,0.1451009723261,1.33,11.541353383459,-0.02,0.1073,0.30026234199857,0.022,0.8298,0.36613785773334,1562.7,2183.2,0.15733785269329,0.13594807456366,166.2,0.059574163022439,182.3,0.065345186034841,0,1.5003779808948,1.1422591953121,0.095132267546061,0.78256505842713,-41.773,-0.23164233679759,2789.8,0.11539898381007,0.11421895402378,626.9,15.35,343.5,1036700,2850.6,168.7,12.941315945465,2850.6,1.25,1.4048148559991
"7",2005-12-31,139.9,1.92,0.2356,0.24181726626755,1355.1,2411.4,131.4,196,0.052668350620734,0.075907207311878,0.081280583893174,-10.3502,0.8,22.329938900204,147.3,0,0,244.8,153.705,392.1,0.37212,NA,3525.4,2.2154213536103,1.2869241439731,14.40114379085,8.9910737056873,1.3653227992719,0.08,0.075,179.9552,3721.4,0.16782781786514,1.21,19.652892561983,0.01,0.0535,0.23538156590684,0.037,0.7341,0.38035995687153,1591.3,3289.2,0.13139973245774,0.11613908744021,147.3,0.057046589984896,169.9,0.065799155725959,0,2.4272747398716,2.7912423625255,0.094806552805856,1.2738468688277,-26.2502,-0.17078301354479,2582.1,0.096590852761893,0.10870046491034,607,23.78,432.2,482200,2739.4,164.3,20.019476567255,2739.4,1.45,2.0821350640631
"8",2004-12-31,142,1.65,0.3202,0.21484422724496,NA,2208.1,156.2,58.4,0.022611995198823,0.022594498394398,0.02644807753272,0.2534,1.0306058713304,16.837735849057,141.2,0,0,215.785,140.2926,356.9849,0.34985,NA,2524.3,1.5990751298619,0.97663171741401,11.69822084441,7.0711664455322,1.0147123849339,0.055,0.075,125.0391,2582.7,0.18866899144061,1.07,14.831775700935,0.065,0.0961,0.17492615687561,0.043,0.748,0.41347765046873,1578.6,2231,0.15764231286419,0.13617532040113,132.5,0.05326204928247,6.5,0.0026128552478192,0,1.735781529604,3.0614065180103,0.086740744462757,0.89681231659766,15.2534,0.10872596675493,2487.7,0.088871522388509,0.10308877304909,588.6,15.87,351.7,557300,2584.7,132.5,16.837735849057,2584.7,1.4,1.5777031154551
"9",2003-12-31,143.2,1.85,0.3981,0.10545255417351,NA,1810.2,173.8,37.2,0.016489361702128,0.015435684647303,NA,-4.4693,0.92941471991962,11.957158962796,124,0,0,415.4172,262.7265,539.4172,0.36756,NA,2218.8,1.7877689146725,0.92066390041494,5.3411365730644,4.1133282364745,0.96941628801118,0.045,0.085,217.3957,2256,0.20097226825765,0.97,15.731958762887,0.12,0.0878,0.2374457532548,0.049,0.6967,0.42608551541266,1241.1,2121.2,0.06354893456534,0.059751773049645,177.4,0.077507864383083,-84.4,-0.036875218455086,0,1.8550065588107,2.6571464361769,0.1815,0.92677385529535,45.3307,0.17253962377449,2288.8,0.21168838447184,0.15513773502405,552.5,15.26,134.8,345600,2410,177.4,11.957158962796,2410,1.4,1.764843933349
"10",2002-12-31,155.6,1.56,0.4359,0.046800947867299,NA,1619.5,90.8,12.2,0.0048566878980892,0.0053363660222203,NA,-81.7,0.7889,11.031432420296,137.1,0,0,361,228.3289,498.1,0.36751,NA,2499.8,NA,NA,6.9246537396122,5.0186709496085,1.093430146094,0.035,0.065,274.6289,2512,0.18400740969435,0.94,18.648936170213,NA,0.0903,0.29595015576324,0.0509,0.7145,0.45155912318617,1169.4,2456.7,0.022509870965116,0.022014331210191,222.7,0.09741055025807,-5.3,-0.0023182573703088,0,2.1812128207405,3.1518378343704,0.1579039454116,1.0745779021958,-46.3,-0.20277766865157,2286.2,0.19525302719343,0.19772707094025,523.2,17.53,55.3,999986,2259.1,NA,NA,2259.1,1.3,2.1376774414229
