"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,14.6,1.15,0.3172,0.1594,128.7,160.9,14,46.1,0.3433,0.8351,0.2865,2.05,0.8,18.02,6,0,0,5,5.4,11,0,0,88.2,0.82,1.41,16.33,7.74,1.6,NA,-4.65,134.3,0.3996,NA,NA,0.005,0.105,0.1567,NA,0.4733,0.0317,107,109.9,0.222,0.1817,6.1,0.1105,15.5,0.2808,0,0.85,NA,0.0978,1.99,10.05,1.8611,55.2,0.0505,0.0474,13.7,7.4,24.4,78113,62.5,6.5,16.91,62.5,1.1,0.88
"2",2010-12-31,14.6,1.59,0.4367,0.12646855563234,126.4,152.2,1.3,46.1,0.33165467625899,0.90927021696252,0.30289093298292,-0.1909,0.62972292191436,19.15873015873,6.3,0.0362,4.3693,5.4,5.4,11.7,0,0,92.9,0.9421906693712,1.8617234468938,17.203703703704,7.9401709401709,1.8323471400394,NA,10.5909,139,0.36925098554533,NA,NA,0.04,-0.1269,0.23402007395668,NA,0.5234,0.034822601839685,98.6,120.7,0.15161557580779,0.13165467625899,6.3,0.12426035502959,12.1,0.23865877712032,0.69354603174603,0.95490506329114,NA,0.10650887573965,2.3806706114398,-5.1909,-0.9612827817956,50.7,0.054766734279919,0.049841772151899,11.2,8.58,18.3,61769,49.9,5.3,22.77358490566,49.9,1.1,0.96060815480304
"3",2009-12-31,14.5,1.53,0.4818,0.14531680440771,124.1,154.5,2.6,44.4,0.29482071713147,0.76551724137931,0.2873786407767,-0.4976,0.62266500622665,11.990740740741,6.4,0,0,12.9,12.9,19.3,0,0,106.2,1.0535714285714,1.9630314232902,8.2325581395349,5.5025906735751,1.8310344827586,NA,17.1976,150.6,0.39611650485437,NA,NA,0.13,-0.1175,0.30591259640103,NA,0.5015,0.035598705501618,100.8,129.5,0.16293436293436,0.14010624169987,10.8,0.18620689655172,7.4,0.12758620689655,0,1.0435132957292,NA,0.22241379310345,2.2327586206897,-4.2976,-0.33314621758888,58,0.12797619047619,0.087026591458501,10,9.17,21.1,89259,54.1,9,14.388888888889,54.1,1.2,1.0371900826446
"4",2008-12-31,14.5,1.54,0.4555,0.15507649513213,121.5,154.7,6.6,36.3,0.17130722038697,0.55251141552511,0.23464770523594,-0.6511,0.42151481888035,26.333333333333,6.6,0,0,9.8,9.8,16.4,0,NA,175.6,1.633488372093,2.873977086743,17.918367346939,10.707317073171,2.6727549467275,0.09,10.4511,211.9,0.42081447963801,0.65,21.984615384615,0.21,0.3342,0.54052098408104,NA,0.524,0.036845507433743,107.5,189.6,0.11761603375527,0.10523831996225,7.2,0.10958904109589,9.3,0.14155251141552,0,1.5604938271605,2.9259259259259,0.14916286149163,2.8858447488584,-0.6511,-0.066443015562389,65.7,0.091162790697674,0.059259259259259,8.7,14.29,22.3,91947,61.1,9,21.066666666667,61.1,1.2,1.4735744089012
"5",2007-12-31,14.5,1.32,0.4132,0.16572637517631,118.3,149.3,7.8,38.5,0.1765245300321,0.78252032520325,0.25787006028131,-1.5585,0.46466602129719,17.070175438597,5.9,0,0,9.2,9.2,15.1,0,NA,179.6,1.7386253630203,3.190053285968,19.521739130435,11.894039735099,3.650406504065,0.2,8.8585,218.1,0.43536503683858,0.51,24.509803921569,0.42,0.2525,0.59528907922912,NA,0.5305,0.043536503683858,103.3,194.6,0.1207605344296,0.1077487391105,11.4,0.23170731707317,10.8,0.21951219512195,0,1.6449704142012,0.85350877192982,0.1869918699187,3.9552845528455,0.3415,0.03711558854719,49.2,0.089060987415295,0.09636517328825,9.4,12.5,23.5,182402,56.3,9.2,21.152173913044,56.3,1.2,1.5380818053597
"6",2006-12-31,14.1,1.08,0.3223,0.18927203065134,105.8,139,25.9,37.3,0.0879094979967,0.97643979057592,0.26834532374101,-0.8668,0.47161030096184,53.28,4.8,0,0,7.2,7.2,12,0,NA,387,4.1523605150215,8.4313725490196,53.75,32.25,10.130890052356,0.175,-13.0332,424.3,0.45755395683453,0.81,30.061728395062,NA,0.2581,0.23362948338269,NA,0.4787,0.052517985611511,93.2,399.6,0.061811811811812,0.058213528164035,7.5,0.19633507853403,4.3,0.11256544502618,0,3.7769376181474,3.0445714285714,0.18848167539267,10.460732984293,20.2332,2.8101730657359,38.2,0.07725321888412,0.070888468809074,8.4,24.35,24.7,121868,45.9,9.4,42.510638297872,45.9,0.95,3.2513409961686
"7",2005-12-31,11.4,1.66,0.3545,0.31578947368421,44.2,68.6,2.2,8.2,0.025505443234837,0.42931937172775,0.11953352769679,-3.8723,0.33850493653032,71.690476190476,3,0,0,4.1,4.0767,7.1,0.00569,NA,313.3,5.5549645390071,8.6308539944904,76.414634146341,44.12676056338,16.403141361256,0.175,8.7489,321.5,0.43294460641399,0.83,30.036144578313,NA,0.1007,0.24034334763949,NA,0.3295,0.14285714285714,56.4,301.1,0.067751577548987,0.063452566096423,4.2,0.21989528795811,4.3,0.22513089005236,0,6.8122171945701,4.0965986394558,0.21465968586387,15.764397905759,-4.6723,-1.1460947692126,19.1,0.07228140070922,0.095022624434389,4.3,24.93,20.4,36821,36.3,8.4,35.845238095238,36.3,0.75,4.9767801857585
"8",2004-12-31,11.4,1.21,0.3264,0.31578947368421,NA,68.6,2.2,8.2,0.032760687175389,0.33884297520661,0.11953352769679,1.1482,0.74142156862745,54.738095238095,3,0,0,4.0727,4.0496,7.0727,0.00569,NA,242.1,4.2925531914894,10.004132231405,59.444156622216,34.230063921569,12.675392670157,NA,3.7014,250.3,0.43294460641399,NA,NA,NA,0.1007,0.24429065743945,NA,0.2723,0.14285714285714,56.4,229.9,0.088734232274902,0.081502197363164,4.2,0.21989528795811,4.3,0.22513089005236,0,5.2013574660634,NA,0.21323193717277,12.03664921466,0.3482,0.085976715711324,19.1,0.071800641246454,0.095022624434389,4.3,20.29,20.4,19273,24.2,0,NA,24.2,0.65,3.874613003096
"9",2003-12-31,5.7,1.02,0.3259,0.31578947368421,NA,68.6,2.2,8.2,0.045707915273133,0.3519313304721,NA,0.9455,0.62595888309297,37.857142857143,3,0,0,7.0727,7.0325,10.0727,0.00569,NA,171.2,3.0354609929078,7.3476394849785,24.205646193196,16.996385289787,8.9633507853403,0.12,6.8869,179.4,0.43294460641399,NA,NA,NA,0.1007,0.26528890763391,NA,0.2826,0.14285714285714,56.4,159,0.12830188679245,0.11371237458194,4.2,0.21989528795811,4.3,0.22513089005236,0,3.5972850678733,3.1547619047619,0.3703,8.3246073298429,0.1455,0.020696768508039,19.1,0.12468947103369,0.095022624434389,4.3,30.15,20.4,21875,23.3,5.2,30.576923076923,23.3,0.6,2.7770897832817
"10",2002-12-31,4,0.26,0.3041,0.10970464135021,NA,25.5,3.1,0.6,0.0053238686779059,0.049180327868852,NA,7.1,0.1852,42.346153846154,1.5,0.015258855585831,1.68,2.6,2.6,4.1,0,NA,112.1,NA,NA,43.115384615385,27.341463414634,9.1885245901639,0.12,1,112.7,0.79607843137255,NA,NA,NA,0.082,0.23295454545454,NA,0.2321,0.062745098039216,23.1,110.1,0.023614895549501,0.023070097604259,2.6,0.21311475409836,1.5,0.12295081967213,0.64615384615385,5.218009478673,3.5288461538462,0.21311475409836,9.0245901639344,1.6,0.61538461538462,12.2,0.11255411255411,0.12322274881517,2.6,19.5,2.6,17822,14.5,2.9,37.965517241379,14.5,0.55,4.8528138528139
