"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,41.8,0.4,0.1099,0.5434,449.8,1854.6,118.5,27.2,0.0209,0.0542,0.0147,-0.91,0.8,21.15,50.4,0.0345,26.33,90,53.63,141,0.4054,0.4053,1271.6,1.33,2.35,14.1,9.04,2.53,0.06,0.04,-13.57,1298.8,0.7447,1,18.35,0.05,0.06,0.0668,NA,0.5285,0,957.9,763.5,0.7011,0.4121,36.1,0.0719,-11.5,-0.0229,0.6667,1.7,3.52,0.1798,1.52,67.19,1.2529,501.8,0.056,0.0803,85.8,18.35,535.3,263200,541.3,39.5,19.33,541.3,0.65,1.32
"2",2010-12-31,41.7,0.36,0.1603,0.53709608843537,435.5,1692.1,123.9,42.3,0.03378054623862,0.091876629018245,0.024998522545949,0.267,0.8,19.811671087533,42.8,0.0347,25.9174,84.9,51.3891,127.7,0.39471,0.39389067524116,1209.9,1.3465776293823,2.3991671624033,14.250883392226,9.4745497259201,2.627932232841,0.06,0.05,-29.9779,1252.2,0.7649075113764,1.18,15.474576271186,0.065,0.0212,0.075513603553581,NA,0.5199,0,898.5,746.9,0.6765296559111,0.40352978757387,37.7,0.081885317115552,2.8,0.0060816681146829,0.6874649867374,1.7150401836969,3.3019451812555,0.18440486533449,1.6222849695917,81.367,1.5833503988176,460.4,0.057194347245409,0.086567164179104,75.3,18.26,505.3,232641,504.3,39.1,19.102301790281,504.3,0.65,1.3309948979592
"3",2009-12-31,20.8,0.25,0.2089,0.48701061105013,420.6,1525.6,110.6,9.9,0.0084796573875803,0.022029372496662,0.006489250131096,-0.0855,0.8,18.92118226601,39.8,0.0323,24.8129,82.9,49.5012,122.7,0.40288,0.4020618556701,1157.6,1.4291358024691,2.5067128627111,13.963811821472,9.4343928280359,2.5758789497107,0.06,0.04,-21.2132,1167.5,0.78533036182486,2.11,17.663507109005,0.065,0.093,0.080125153040403,NA,0.4659,0,810,768.2,0.51978651392866,0.34201284796574,40.6,0.090342679127726,-3.1,-0.0068980863373387,0.61115418719212,1.8264384213029,3.1535303776683,0.18446817979528,1.7093902981753,70.7145,1.4285390083381,449.4,0.061112651851852,0.096528768426058,75.2,37.27,399.3,97169,461.8,39.3,19.547073791349,461.8,0.7,1.4239541407489
"4",2008-12-31,20.7,0.23,0.2316,0.45049099836334,402.9,1418.1,99.9,13.9,0.012649012649013,0.033877650499634,0.0098018475424864,-1.1371,0.51813471502591,19.311557788945,37.3,0.0318,24.4415,82,51.0516,119.3,0.37742,NA,1085,1.5084109550952,2.450869663429,13.231707317073,9.094719195306,2.644406531806,0.09,0.055,-10.4113,1098.9,0.78442987095409,2.17,16.967741935484,0.07,0.1147,0.18087318087318,NA,0.4644,0,719.3,768.6,0.42974238875878,0.3005733005733,39.8,0.097002193516939,-14.4,-0.035096271021204,0.61410753768844,1.9076693968727,2.1457286432161,0.19985376553741,1.8732634657568,61.4629,1.2039373687878,410.3,0.070973946892813,0.098783817324398,59.4,36.82,330.3,145800,442.7,41.3,18.610169491525,442.7,0.75,1.4987725040916
"5",2007-12-31,20.7,0.34,0.227,0.43078512396694,382.2,1184.5,76,6.7,0.0055057934094831,0.018251157722691,0.0056563951034192,1.0902,0.74008810572687,29.647435897436,33.6,0.026182702702703,24.219,66.6,39.998,100.2,0.39943,NA,1210.2,1.8133053640995,3.0552890684171,18.171171171171,12.077844311377,3.2966494143285,0.1,0.035,-3.4922,1216.9,0.85284930350359,1.92,24.182291666667,0.045,0.0962,0.25471190091545,NA,0.4774,0,667.4,925,0.31556756756757,0.23987180540718,31.2,0.08499046581313,-13.8,-0.037591936801961,0.77625,2.4201988487703,2.9647435897436,0.18142195587033,2.519749387088,43.4902,1.0873095526031,367.1,0.059931018879233,0.081632653061224,54.3,46.43,291.9,361726,396.1,40.5,22.839506172839,396.1,1.05,1.8052217771844
"6",2006-12-31,20.7,1.76,0.2323,0.43696978717071,374.8,1165,104.4,60.3,0.056428972487367,0.1801613385121,0.051759656652361,1.5522,0.79207920792079,30.2734375,30.7,0.030983225806452,24.012,57.8,36.1701,88.5,0.37422,NA,1008.3,1.6581154415392,2.7861287648522,17.444636678201,11.393220338983,3.0125485509411,0.07,0.04,-39.0821,1068.6,0.80815450643777,1.72,21.151162790698,0.025,-0.0709,0.13994974874372,NA,0.4635,0,608.1,775,0.37883870967742,0.27475201197829,25.6,0.07648640573648,-19.1,-0.057066029279952,0.93796875,2.0677694770544,4.3247767857143,0.1726919629519,2.315506423663,75.2522,2.0805092959257,334.7,0.059480486762046,0.068303094983991,52.8,36.38,293.6,167230,361.9,29.5,26.271186440678,361.9,1.15,1.5987432675045
"7",2005-12-31,18.4,2.13,0.2334,0.48647693123564,293.9,996.9,94.5,9.5,0.0085848545093078,0.029622700343,0.0095295415788946,1.1525,0.61696658097686,30.566176470588,28.7,0.025451046427712,21.16,59.9,34.4844,88.6,0.4243,NA,1097.1,1.960507505361,3.3055137089485,18.315525876461,12.382618510158,3.4209541627689,0.045,0.035,-32.468,1106.6,0.86538268632762,1.58,25.569620253165,-0.005,0.0151,0.16541449127722,NA,0.2833,0,559.6,831.4,0.33100793841713,0.24868968010121,27.2,0.084814468350483,-33,-0.10289990645463,0.77794117647059,2.8288533514801,6.7924836601307,0.18677892111007,2.59245400686,66.9525,1.9415277837648,320.7,0.061623355968549,0.092548485879551,48.6,40.4,275.2,174700,331.9,24.9,33.389558232932,331.9,0.9,1.9444737304516
"8",2004-12-31,18.4,0.65,0.2089,0.48659611992945,NA,942.9,68.6,18.8,0.019080483101593,0.060979565358417,0.019938487644501,0.1041,0.62230732407851,27.284615384615,26.1,0.029819513471096,20.976,58.5755,35.3626,84.6755,0.39629,NA,966.5,1.7518578937828,3.134933506325,16.500078189713,11.414166178922,3.0624207858048,0.085,0.04,-7.2415,985.3,0.84876445010075,1.67,22.892215568862,-0.04,0.0497,0.1492903930131,NA,0.2665,0,551.7,709.4,0.38892021426558,0.28001623870902,26,0.082382762991128,-4.5,-0.01425855513308,0.80676923076923,2.4666203059805,3.2099547511312,0.18560038022814,2.2477820025349,42.6041,1.204778036712,315.6,0.064097522259924,0.089316386121608,47.1,38.23,275.9,39100,308.3,26,27.284615384615,308.3,0.75,1.7377425044092
"9",2003-12-31,16.9,0.39,0.1809,0.50968762356663,NA,873,74.3,2.9,0.0030854346207043,0.0094493320299772,NA,-1.6669,0.43117744610282,35.159793814433,23.3,0.030376344086021,19.097,66.3932,39.8937,89.6932,0.39913,NA,937,1.8503159557662,3.0531117627892,14.112899581824,10.446727487358,3.3814507398051,0.1,0.035,-9.4394,939.9,0.86998854524628,1.72,21.627906976744,-0.065,-0.0557,0.17546632943408,NA,0.2177,0,506.4,682.1,0.37795044714851,0.27428449835089,19.4,0.070010826416456,-15.5,-0.055936485023457,0.98438144329897,2.7897750511247,3.5159793814433,0.2396,2.4615662215807,49.3331,1.2366149197313,277.1,0.078778945594787,0.078225806451613,41,37.2,257.8,35100,306.9,19.4,35.159793814433,306.9,0.75,1.8582443653618
"10",2002-12-31,15.2,-0.17,0.205,0.58010118043845,NA,800.6,88.4,1.1,0.0014698022447889,0.0041793313069909,NA,34.6,-0.1813,24.774869109948,21.2,0.036297548605241,17.176,42.9,25.8597,64.1,0.39721,NA,747.3,NA,NA,17.41958041958,11.658346333853,2.8392857142857,0.09,0.025,-41.3403,748.4,0.87059705221084,1.42,19.612676056338,NA,0.0662,0.14078110808356,NA,0.1752,0,476.8,473.2,0.58157227387997,0.367717797969,19.1,0.072568389057751,-24.7,-0.093844984802432,0.89926701570681,2.3755020080321,2.7527632344386,0.16299392097264,1.7978723404255,67.2,2.5986389396532,263.2,0.054235929110738,0.095883534136546,37.6,27.85,275.2,36455,268.4,19.1,24.774869109948,268.4,0.65,1.5673238255034
