"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,845.2,0.6,0.4321,NA,-1396,43499,1254,3920,0.1662,0.1116,0.0901,-267.51,0.35,8.23,1523,0,0,2217,2217,3740,0,0,19659.2,2.32,0.54,8.87,5.26,0.56,0.295,0.06,2753.51,23579.2,0.4649,2.16,5.5,NA,-0.15,0.2201,0.013,0.7843,0.3344,8475,9788.2,1.4089,0.5849,1190,0.0339,-6948,-0.1979,0,NA,0.28,0.0631,0.28,-536.51,-0.242,35115,0.2616,NA,8576,11.87,13791,11657455,36467,1691,5.79,36467,1.4,1.9
"2",2010-12-31,834.7,1.55,0.5542,0.94445476500093,897,43188,1342,3610,0.16163624233795,0.11368288458511,0.083588033713068,-309.4395,0.63154095994226,4.9045013850416,1511,0,0,2677,2649.4804,4188,0.01028,0.01028101439342,18724.1,1.4932690007178,0.55884494851515,6.9944340679865,4.4708930276982,0.58964257597229,NA,0.06,3127.9199,22334.1,0.47020005557099,1.69,4.7869822485207,NA,0.0627,0.34658511722732,0.011,0.8116,0.33673705658979,12539,7082.1,2.1535985089169,0.68290193023225,1444,0.045473153834042,-5615,-0.17682254763029,0,7.8953177257525,NA,0.084301684774051,0.22302314596127,-478.4395,-0.18057859613903,31755,0.21129918175293,1.6098104793757,5799,8.09,15252,15091923,33505,971,7.2936148300721,33505,1.4,1.3830020434702
"3",2009-12-31,784,0.72,0.7221,0.98595425098893,245,43539,1202,4678,0.17323167051173,0.16669636175747,0.10744390087048,-501.8818,0.51931865392605,NA,1536,0,0,83,83,1619,0,NA,22326.3,1.7490246768508,0.72556303012577,268.99156626506,13.790179122915,0.79557780707693,NA,0.02,918.8818,27004.3,0.46930338317371,2.3,5.4782608695652,NA,0.0963,0.21760391198044,0.013,0.848,0.33569902845724,12765,9806.3,1.7537705352681,0.63686153686635,-1068,-0.038057228379004,-5201,-0.18533300074832,NA,40.025714285714,NA,0.0029576310444357,0.34943876278374,-835.8818,-10.070864650921,28063,0.0065021543282413,-4.3591836734694,6804,12.6,17198,9227327,30771,1438.9,6.815136562652,30771,1.5,1.5481453878347
"4",2008-12-31,695.1,NA,NA,0.94989968472342,874,45014,1522,4467,0.17329334952341,0.19681015112129,0.099235793308748,-1260.5829,NA,NA,1266,0,0,183,183,1449,0,NA,21310.1,1.6420172599784,0.7618640735047,116.44863387978,14.706763285024,0.93889500815086,NA,-0.03,1187.5829,25777.1,0.45823521571067,0.42,27.095238095238,NA,-0.5099,0.56559405940594,0.01,0.8248,0.3260096858755,12978,9206.1,1.8000021724726,0.64285741995803,-503,-0.022161519143499,-5425,-0.23901837247213,NA,10.533295194508,NA,0.008062739569106,0.40560867074944,-1004.5829,-5.4895240241422,22697,0.014100785945446,-0.57551487414188,5484,11.38,16571,12695828,27971,-1182.3,NA,27971,1.55,1.4776210948696
"5",2007-12-31,287.5,NA,NA,0.47892621599341,10113,32423,1036,2786,0.22242802625066,0.14545264696669,0.085926657002745,224.4934,NA,7.7282296650718,1164,0,0,1105,739.024,2269,0.3312,NA,9739.4,0.58593430393455,0.47125368945662,8.8139366515837,4.2923754958131,0.50847864675786,NA,-0.05,642.5306,12525.4,0.36088579095087,0.81,14.148148148148,NA,-0.2343,0.6520226185298,NA,NA,0.45985874225087,16622,3230.4,2.8773526498266,0.74209206891596,418,0.021823117886603,-2842,-0.1483763182625,0,0.31943043607238,NA,0.057690299676308,0.16865406703561,96.4934,0.1305686547814,19154,0.044460594392973,0.041332937802828,NA,11.46,9295,9899512,20667,-233,NA,20667,NA,0.64537304204452
"6",2006-12-31,197.3,NA,NA,NA,-13593,19622,413,2648,0.22265946891344,0.15421349950498,0.13495056569157,119.41,NA,1293.5333333333,1276,0,0,58,58,1334,0,NA,9244.6,NA,0.4993841832325,159.38965517241,6.9299850074963,0.53838448546969,NA,NA,801.59,11892.6,0.66114565283865,1.69,7.9112426035503,NA,0.0176,0.24698310539019,NA,0.8887,0.016104372642952,-8229,3880.6,2.0646291810545,0.67369624808705,3,0.00017471317919748,-1529,-0.089045483664318,0,NA,NA,0.0033777881311514,0.22599732106459,-743.59,-12.82051735183,17171,NA,NA,NA,13.37,8012,7770192,18512,2522,1.538699444885,18512,NA,NA
"7",2003-12-31,123.5,3.06,0.7457,NA,NA,26356,744,2917,0.21572731239415,0.20086764908415,NA,-325.5737,0.82070537749765,NA,1202,0,0,545.423,545.423,1747.423,0,NA,10604.7,1.1124200146858,0.73025065417987,19.443074457806,6.0687652617597,0.79716605277005,NA,0.035,1328.9967,13521.7,0.63560479587191,-11.9,NA,NA,-0.0017,0.6551724137931,0.018,0,0.082979207770527,9533,962.7,13.045600914096,0.92880333094211,-1042,-0.078328196647373,-3553,-0.26708261294445,NA,NA,NA,0.041,0.072367135232654,-783.5737,-1.4366348782125,13303,0.057214203293822,NA,0,7.54,12559,1710200,14522,-1042,NA,14522,1.95,NA
"8",2002-12-31,123.4,2.55,0.6092,0.92406462585034,NA,24720,1286,1969,0.159567571072,0.14798947763998,NA,910,0.9202,NA,1148,0,0,-904,-904,244,0,NA,10370.6,NA,NA,NA,42.502459016393,0.77945133408493,NA,0.035,-1042,12339.6,0.66844660194175,-3.63,NA,NA,-0.0422,0.41972578505086,0.018,0.8151,0.088754045307443,10055,1472.6,7.3794648920277,0.8806606372978,-958,-0.072003006388576,-3829,-0.28778654641112,NA,1.6490481522956,NA,-0.067944381811349,0.11068019541526,138,NA,13305,-0.089905519641969,-1.0727883538634,0,11.63,10867,2734388,13213,NA,NA,13213,1.75,1.0313873694679
"9",2001-12-31,NA,2.02,0.5274,0.7139,NA,23605,2793,2215,0.19722899934109,0.15959363066503,NA,293.314,0.6709,NA,1283,0.0078,12.2663,165.9928,165.9928,1448.9928,0,NA,9015.6,NA,NA,54.313199126709,6.2219770864286,0.64958570502198,0.205,NA,-1637.3212,11230.6,0.68193179411142,-5.61,-1.9233511586453,0.46,-0.1725,0.72761777182407,0.018,0.6948,0.092607498411354,11212,1572.6,5.9792699987282,0.83726604099514,-1030,-0.074212839541754,-3995,-0.28784494560127,NA,0.41724595383391,NA,0.011959997117948,0.11330787520715,1803.314,10.863808550732,NA,0.014804923296468,-0.27328203767578,0,10.79,9403,2803500,13879,-554,NA,12860,1.6,1.0016589368534
"10",2000-12-31,NA,1.3,0.3752,0.34131906902635,NA,21931,4060,1607,0.165877021852,0.095991876232005,NA,-206.223,1.0394456289979,3.8527313266444,1187,0.0035591307618855,12.3,2931.3491,1638.2724,4118.3491,0.44112,NA,8080.9,NA,NA,2.7567170351699,1.9621697441822,0.48270115285825,0.02,NA,-235.7466,9687.9,0.67666773060964,NA,NA,NA,0.2818,0.4515852613539,0.01,0.7483,NA,9968,3455.9,1.7355826268121,0.63444715937338,897,0.053581028612389,-3545,-0.2117555701571,0.01371237458194,0.61967007351623,192.63656633222,0.097859888,0.20643330744878,1874.019,1.1438995231497,NA,0.16435316864045,0.16083916083916,NA,29.85,5998,NA,16741,-461,NA,15033,NA,0.83696760259179
