"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,10.5,1.52,0.4858,0.6576,204.3,808.1,14.5,41.4,0.0737,0.0713,0.0512,51.06,0.78,25.34,21.5,0,0,20,20.1,42,0,0,520.7,0.94,0.7,25.91,12.52,0.9,0.0275,-23.96,562.1,0.1219,1.63,9.92,0.01,0.115,0.3782,NA,0.6304,0.4352,555.2,169.8,2.3104,0.6979,6.7,0.0115,184.9,0.3183,0,0.83,9.22,0.0346,0.29,44.06,2.1918,580.9,0.0362,0.0328,85.8,16.17,392.3,31156,741.3,17.8,9.54,741.3,1.1,0.94
"2",2010-12-31,10.5,1.36,0.4176,0.012815533980582,254.2,345.5,7.1,10.3,0.074047447879224,0.025220372184133,0.029811866859624,16.8658,0.65852490421456,6.8585858585859,13.6,0,0,26.5,21.2835,40.1,0.19685,0.19838056680162,128.8,0.5210355987055,0.26046511627907,4.8603773584906,3.211970074813,0.31537708129285,0.07,10.9177,139.1,0.17221418234443,1.47,8.6734693877551,0.06,-0.057,0.41278439869989,NA,0.847,0.29059334298119,247.2,135.8,0.024300441826215,0.02372393961179,19.8,0.048481880509305,80,0.19588638589618,0,0.53422501966955,0.97979797979798,0.06488736532811,0.33251714005877,10.3658,0.48703596690207,408.4,0.086098199838188,0.077891424075531,53.7,12.75,3.3,67618,494.5,5,27.16,494.5,1.1,0.54019417475728
"3",2009-12-31,10.4,1.57,0.4672,0.10793287566743,233.9,353.9,7.7,18.6,0.070401211203634,0.043185511957279,0.052557219553546,-3.0969,0.58861301369863,12.682795698925,13.6,0.0134,3.1611,29.2,20.3349,42.8,0.3036,0.30337078651685,245.6,1.008210180624,0.59582726831635,8.4109589041096,5.7383177570093,0.57023450197353,NA,29.3318,264.2,0.17208250918338,1.81,12.033149171271,0.09,0.073,0.20475954387705,NA,0.8672,0.28369595931054,243.6,235.9,0.11996608732514,0.10711582134746,18.6,0.043185511957279,72.1,0.16740190387741,0.16994946236559,1.0085506626764,NA,0.067796610169491,0.54771302530764,-8.9969,-0.44243856967595,430.7,0.083476518883415,0.079521162890124,49.6,21.78,28.3,50649,412.2,20.9,11.287081339713,412.2,1.1,1.0076277650648
"4",2008-12-31,10.5,1.41,0.4544,0.1203449627597,224.4,366.2,12.4,3.5,0.016166281755196,0.0086676572560674,0.0095576187875478,3.8564,0.36971830985915,8.7641509433962,10,0.0169,3.14,31.3,21.9942,41.3,0.29731,NA,213,0.84658187599364,0.49941383352872,6.8051118210863,5.1573849878935,0.52748885586924,NA,15.7378,216.5,0.16930638995085,2.06,9.0825242718447,0.055,0.1033,0.32468334877973,NA,0.8078,0.31130529765156,251.6,185.8,0.16523143164693,0.14180138568129,21.2,0.052501238236751,68.6,0.16988608221892,0.1481141509434,0.82798573975045,NA,0.077513620604259,0.46012877662209,6.2564,0.2844574896901,403.8,0.087417317170111,0.094474153297683,50.5,18.71,30.7,72654,426.5,17.2,10.802325581395,426.5,1.05,0.84868678949432
"5",2007-12-31,10.5,1.64,0.3979,0.10754481033764,214.1,332.5,11.3,31.6,0.14990512333966,0.086033215355295,0.095037593984962,-3.7453,0.42221663734607,9.4387755102041,10,0,0,29.6,21.2549,39.6,0.28193,NA,179.2,0.86029764762362,0.45263955544329,6.054054054054,4.5252525252525,0.4878845630275,0.1055,23.7002,210.8,0.16932330827068,2.12,7.877358490566,0.05,0.1218,0.50625488663018,NA,0.8796,0.3206015037594,208.3,185,0.13945945945946,0.12239089184061,19.6,0.053362374081133,48.1,0.13095562210727,0,0.8640822045773,0.89467066447432,0.080588075142935,0.50367546964334,-2.4453,-0.11504801309873,367.3,0.10203971195391,0.091546006539,46.2,16.7,25.8,144583,395.9,22.8,8.1140350877193,395.9,1.05,0.87869945810755
"6",2006-12-31,10.3,1.37,0.3514,0.13983440662374,187,297,8.7,0.4,0.0009354536950421,0.0012539184952978,0.0013468013468013,-7.5227,0.38702333523051,27.776223776224,9.8,0,0,20.7,16.3615,30.5,0.20959,NA,427.2,1.96866359447,1.1810893005253,20.63768115942,14.006557377049,1.3391849529781,0.2,24.9842,427.6,0.17845117845118,1.85,19.324324324324,NA,0.2565,0.33667240569729,NA,0.753,0.35892255892256,217,397.2,0.076535750251762,0.071094480823199,14.3,0.044827586206897,56.2,0.17617554858934,0,2.124064171123,1.3888111888112,0.064890282131661,1.2451410658307,-8.6227,-0.52701175172922,319,0.075398557603687,0.076470588235294,41.9,35.75,30.4,106800,361.7,18.5,21.47027027027,361.7,0.85,1.966881324747
"7",2005-12-31,10.1,1.82,0.3459,0,167.9,228,5.1,19.2,0.082156611039795,0.07689227072487,0.084210526315789,-7.6762,0.39317721884938,14.60625,7.6,0,0,20.6,15.5991,28.2,0.24276,NA,214.5,1.4425016812374,0.7340862422998,10.412621359223,7.6063829787234,0.8590308370044,0.173,25.7754,233.7,0.23026315789474,1.24,18.451612903226,0.005,0.103,0.22825070159027,NA,0.794,0.25087719298246,148.7,233.7,0,0,16,0.064076892270725,45.1,0.18061674008811,0,1.3918999404407,0.84429190751445,0.082498998798558,0.93592310772928,-10.1762,-0.65235704303675,249.7,0.10490345662408,0.095294818344253,31.1,22.88,0,5300,292.2,13.5,17.311111111111,292.2,0.85,1.3918999404407
"8",2004-12-31,10,0.71,0.441,0.0078585461689587,NA,204.6,5.9,0.2,0.00092850510677809,0.0008123476848091,0.00097751710654937,4.3945,0.32199546485261,19.125,7.5,0,0,14.6751,11.3343,22.1751,0.22765,NA,215.2,1.4111475409836,0.87408610885459,14.664255332487,9.7045610535041,0.9568697198755,NA,8.5399,215.4,0.26881720430107,NA,NA,-0.025,-0.0184,0.16214119472459,NA,0.7917,0.27956989247312,152.5,214.2,0.0056022408963585,0.0055710306406685,11.2,0.049799911071587,46.4,0.20631391729658,0,1.4138613861386,NA,0.065251845264562,0.95242329924411,2.7945,0.2465503380676,224.9,0.074323569698361,0.073927392739274,28.9,21.35,1.2,6200,246.2,14.4,14.875,246.2,0.85,1.4106090373281
"9",2003-12-31,9.9,0.58,0.5345,0.018518518518519,NA,198,5.8,3.8,0.018009478672986,0.016836508639787,NA,-0.0248,0.21702525724977,13.532467532467,7.6,0,0,30.2028,21.2293,37.8028,0.29711,NA,207.2,1.5168374816984,0.91803278688525,6.8602842846184,5.4810711261564,0.91722000885347,0.1,23.0541,211,0.28737373737374,NA,NA,0.015,0.0593,0.16458569807038,NA,0.7787,0.28888888888889,136.6,208.4,0.012476007677543,0.012322274881517,15.4,0.068171757414785,28,0.12394864984506,0,1.5123367198839,1.3532467532468,0.1337,0.92253209384683,-1.8248,-0.085956322213509,225.9,0.15541191199634,0.11175616835994,27.9,21.47,2.6,7100,225.7,13.7,15.211678832117,225.7,0.8,1.502849002849
"10",2002-12-31,9.9,0.7,0.5721,0.17647058823529,NA,197.6,3.5,0.2,0.0008587376556462,0.00094161958568738,NA,9.3,0.2688,20.919191919192,8,0,0,17.2,11.0073,25.2,0.36004,NA,232.7,NA,NA,13.529069767442,9.234126984127,1.0955743879473,NA,15.5073,232.9,0.31325910931174,NA,NA,NA,-0.0715,0.40731556106634,NA,0.7471,0.28087044534413,146,207.1,0.12457749879285,0.11077715757836,9.9,0.046610169491525,35.4,0.16666666666667,0,1.7200996677741,NA,0.080979284369115,0.97504708097928,-4.5,-0.4088191558484,212.4,0.075392547945206,0.082225913621262,24.4,20.81,25.8,16092,217.9,11.7,17.700854700855,217.9,0.75,1.5938356164384
"11",2001-12-31,NA,0.35,0.5433,0.3133,NA,216.1,6,2.4,0.011747430249633,0.01067140951534,NA,0.0367,0.1118,10.41095890411,11.1,0,0,36.2704,23.2051,47.3704,0.36022,NA,201.9,NA,NA,5.5665225638537,4.2621552699576,0.89773232547799,NA,28.2684,204.3,0.30957889865803,NA,NA,0.155,0.3445,0.42287234042553,0,0.7251,0.27394724664507,164.478,152,0.34407894736842,0.25599608418992,14.6,0.064917741218319,42.275,0.18797243219209,0,1.326352530541,NA,0.10317953095598,0.67585593597154,-5.0633,-0.2181979446343,NA,0.14108316317076,0.12739965095986,28.9,13.85,52.3,37200,224.9,12.8,11.875,225.1,0.75,1.2421114069967
