"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,926.1,1.45,0.2615,0.5936,8593,48492,1843,4019,0.0736,0.1059,0.0829,3.48,0.8,11.36,1560,0.0383,1611.41,4021,3506.59,5581,0.1279,0.1363,50555.9,2.95,1.33,12.57,9.06,1.33,0.115,0.085,3220.11,54574.9,0.2766,4.45,10.11,0.05,0.03,0.1596,0.004,0.6374,0.2233,17127,42021.9,0.2987,0.23,3698.2,0.0974,3671,0.0967,0.44,4.89,0.99,0.1059,1.11,286.48,0.0817,37961,0.2047,0.4304,6126,44.98,12553,6997577,37997,3662.6,11.47,37997,1.15,2.58
"2",2010-12-31,917.3,1.6,0.342,0.52537343973808,9278,40410,1508,6801,0.12986442619821,0.21587049674655,0.16829992576095,533.223,0.8,13.882934872218,1380,0.0366,1540.86,3039,2500.55,4419,0.17718,0.18283481541363,45569,3.5748803640072,1.2282418263659,14.994735110234,10.312061552387,1.4464053324869,0.145,0.095,1839.3269,52370,0.2805988616679,4.31,10.62180974478,0.05,0.1889,0.21147715196599,0.004,0.6332,0.13167532788914,12747,42100,0.24394299287411,0.1961046400611,3032.5,0.096254562767815,3002,0.095286462466275,0.50811541632317,4.5376158654882,0.95744378429087,0.09646087922552,1.3362958260594,661.223,0.26443104487009,31505,0.19616772417039,0.32684845871955,5320,45.78,10270,7009302,37101,3843.7,10.952988006348,37101,1.15,2.6790464497647
"3",2009-12-31,903.8,1.44,0.3618,0.61259160559627,6978,38185,1308,6137,0.1088097416367,0.23505304684209,0.16071755925101,560.2037,0.76008844665561,24.472542884885,1503,0.0333,1510.7278,1583,1353.8133,3086,0.14478,0.15119047619048,50264.2,4.2327747368421,1.6433727849343,31.752495262161,16.287815942968,1.9251675667394,0.08,0.065,988.6095,56401.2,0.2905329317795,3.39,14.713864306785,0.06,-0.1461,0.22291285801341,0.01,0.6397,0.12279690978133,11875,45367.2,0.24321536264085,0.19563413544393,1853.8,0.07100233635911,3267,0.12512926577042,0.81493567806667,6.5014617368874,3.0590678606106,0.060630433949979,1.7376077214754,365.2037,0.26975930406693,26109,0.1140053271579,0.26566351390083,4818,49.88,11034,6085219,30586,2968.9,15.280811074809,30586,1.1,3.1313124583611
"4",2008-12-31,902.4,1.45,0.3392,0.58350465594389,6888,36209,1978,3704,0.093707387046421,0.12132726260277,0.10229500952802,-617.6755,0.5188679245283,12.061402446409,1444,0.0502,1499.8405,1460,1460,2904,0,NA,35823.3,2.791280972417,1.393631589185,24.536506849315,12.335847107438,1.1734187166301,NA,0.045,1543.6755,39527.3,0.30804496119749,2.15,15.660465116279,0.13,0.0356,0.37874975808012,0.009,0.6409,0.1338065121931,12834,29877.3,0.32298768630365,0.24413506614416,2477.1,0.081139244652625,3909,0.12804218939369,0.60548240280974,4.3375871080139,NA,0.047823381047529,0.97865308395296,-83.6755,-0.057312001119977,30529,0.11376032413901,0.35962543554007,4986,33.67,9650,7993302,25705,1194.8,25.006109809173,25705,1.1,2.3900894908695
"5",2007-12-31,899.3,1.14,0.2322,0.39678240615351,10899,34131,1585,1436,0.048403134743406,0.048880114371298,0.042073188596877,-358.6235,0.68906115417743,7.3647690938458,1371,0.066011055163925,1474.852,2898,2354.2483,4269,0.18763,NA,28231.5,1.6816476054325,0.89080840590685,9.741718426501,6.6131412508784,0.96097419837974,0.065,0.065,2498.8718,29667.5,0.31818581348334,3.62,6.9889502762431,0.075,0.0985,0.42230050128709,0.01,0.6609,0.14444346781518,16788,22342.5,0.32785050911939,0.24690317687705,3033.7,0.1032643474709,4553,0.15497991694465,0.48615617892343,2.0499587118084,1.1330413990532,0.098645244740963,0.76051807474981,-144.6235,-0.061430873823785,29378,0.14023399213724,0.27834663730617,4702,25.3,7325,7912931,31692,3296.1,6.778465459179,31692,1,1.627935689201
"6",2006-12-31,922.1,1.15,0.1813,0.44419537517697,9185,31777,1532,1893,0.039901016811966,0.069034681448525,0.059571388110898,-268.2145,0.8,14.870491803279,1384,0.037889077078803,1512.244,2228,1786.2767,3612,0.19826,NA,45549.4,3.0730940493861,1.5687215869955,20.44407540395,12.61057585825,1.66111374494,0.08,0.055,1906.4912,47442.4,0.33036472920666,3.39,12.796460176991,0.03,0.0266,0.12116484659386,0.012,0.6833,0.14434968688045,14822,39912.4,0.18866317234744,0.15871878319815,2684,0.097881185952372,4554,0.16607709419788,0.56342921013413,4.3453892215569,1.8588114754098,0.081251595492506,1.4555413734,-120.2145,-0.067298927307059,27421,0.12051522871407,0.29221556886228,4526,43.38,7530,7056332,29036,2936.5,13.591827004938,29036,1.05,2.8383128926114
"7",2005-12-31,919.6,1.36,0.1831,0.48545994065282,8907,33250,1340,1851,0.034751100639262,0.069484590262397,0.055669172932331,-56.3146,0.8,19.599400078251,1358,0.030187935986869,1361.008,2295,1482.5929,3653,0.35399,NA,51413.5,3.3744749278026,1.9061804834643,22.402396514161,14.074322474678,1.9300086339577,0.1,0.05,1556.9076,53264.5,0.31004511278196,3.06,15.918300653595,-0.04,0.0535,0.1265306122449,0.016,0.6239,0.14348872180451,15236,45084.5,0.18143707926227,0.15357320541824,2300.3,0.086350838995458,4505,0.16911295469049,0.59166543494327,5.0616930504098,1.9599400078251,0.086151882578175,1.6924246405646,-74.3146,-0.05012475872891,26639,0.097308542268312,0.25825755024138,4559,48.71,8180,2272500,26972,2411.7,18.694074719078,26972,1,3.1172528823082
"8",2004-12-31,994.3,1.29,0.2269,0.36302558647332,NA,35632,1232,3536,0.071390787842569,0.13252379881568,0.099236641221374,-112.4424,1.1370647862495,18.010962343096,1347,0.034823529411765,1471.564,2617.3,2125.3261,3964.3,0.18797,NA,45994.2,3.1585084466419,1.723791319991,17.573147900508,11.602098731176,1.6823043160205,0.105,0.04,2352.7685,49530.2,0.28693309384823,2.82,15.070921985816,-0.07,0.0157,0.18702702702703,0.014,0.6311,0.13835877862595,14562,43046.2,0.15062885922567,0.13091003064797,2390,0.087417702999269,4672,0.17088514996342,0.61571715481171,3.8641113105925,1.7153297469616,0.095731528895391,1.5744769568398,-227.4424,-0.10701530774155,27340,0.14595015238291,0.21007295420585,4084,42.5,6484,2107800,26682,2390,18.010962343096,26682,1,2.7730922120822
"9",2003-12-31,997.3,1,0.2079,0.51085217043409,NA,37039,1713,3298,0.055846906999152,0.1168716113257,NA,364.0097,0.96200096200096,30.391599253267,1584,0.028612303290415,1396.22,3169.3304,2701.1252,4753.3304,0.14773,NA,55756.3,3.2923708296428,1.9758425174528,17.592454229449,11.729944125071,2.0653541265373,0.155,0.025,2208.1155,59054.3,0.2670698452982,2.54,19.263779527559,-0.125,0.1208,0.10412220599798,0.016,0.5427,0.13296795269851,16935,48839.3,0.20915533187413,0.17297639629968,1607,0.059527337383316,8035,0.29763668691658,0.86883634100809,5.1172778709137,1.9607483389205,0.1174,1.8091309823678,493.0097,0.18252010845225,26996,0.15949957012152,0.16429812902566,4350,48.93,10215,1563800,28219,1607,30.391599253267,28219,1,2.9533056611322
"10",2002-12-31,993.9,0.89,0.2542,0.43625447112928,NA,34621,1280,4143,0.079243485795275,0.17258185453637,NA,365,0.7718,22.590407554672,1515,0.030613901729081,1391.46,2277,1973.9085,3792,0.13311,NA,48138.9,NA,NA,21.141370223979,12.694857594937,2.0052861784554,0.105,0.04,2208.9085,52281.9,0.38375552410387,1.95,23.307692307692,NA,-0.0213,0.13559955173702,NA,0.5652,0.12350885300829,11750,45451.9,0.150268745641,0.13063794544575,2012,0.083812380238274,3403,0.14175622760976,0.69158051689861,5.1497733967822,2.1514673861592,0.094851287178205,1.8933558277097,-235,-0.11905313565872,24006,0.16799221531915,0.22796283707229,3918,45.45,6830,3316593,26420,NA,NA,26420,1,4.0969276595745
