"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,528.8,0.96,0.2266,0.6893,8242.2,68783.9,0,2849.8,0.0759,NA,0.0414,NA,0.8,8.65,0,0.0154,296.13,6650,4217.29,6650,0.3658,0.3658,34701.5,1.47,NA,5.22,5.22,NA,0.185,4217.29,37551.3,0,4.5,8.57,NA,NA,0.2784,0.01,0.8489,0.0064,23679.6,19264.1,0.9493,0.487,2226.7,NA,0,NA,0.1262,2.34,0.47,NA,NA,0,0,NA,0.1781,0.2702,986.8,38.55,18287.2,4261418,NA,2346,8.21,NA,1.3,1.42
"2",2010-12-31,544.7,1.55,0.3886,0.73277599586136,6456.8,60785,0,5098.7,0.16562878647605,NA,0.083880891667352,NA,0.8,17.100156903766,0,0.0165,215.7903,6288.1,3790.0894,6288.1,0.39726,0.39727322878083,25685.2,1.3473284444864,NA,4.0847314769167,4.0847314769167,NA,0.345,3790.0894,30783.9,0,3.05,7.8688524590164,NA,NA,0.21206859127415,0.01,0.8491,0.0073110142304845,19063.8,13078.2,1.3538330962977,0.57516104197324,764.8,NA,0,NA,0.28215258891213,2.0254925040268,0.49565672184828,NA,NA,0,0,NA,0.19881080340751,0.11844876719118,1150.5,24,17705.7,5958663,NA,2227,5.872563987427,NA,1.35,1.2740362131402
"3",2009-12-31,543.6,1.64,0.4696,0.25017515661062,7277.5,46021,0,13664,1.1082992667575,NA,0.29690793333478,NA,0.74531516183986,185.4063670412,0,0.0044,43.5631,3757.9,2236.5518,3757.9,0.40484,0.40468227424749,-1335.2,NA,NA,NA,NA,NA,0.16,2236.5518,12328.8,0,1.6,11.58125,NA,NA,0.23257287705957,NA,0.8426,0.0098020468916364,-3958.4,9900.7,0.24524528568687,0.19694536370125,53.4,NA,0,NA,0.81578801498127,1.3604534524218,11.587897940075,NA,NA,0,0,NA,NA,0.0073376846444521,1187.1,18.53,2428.1,4635630,NA,764.8,12.945475941423,NA,1.4,NA
"4",2008-12-31,480,NA,NA,0.22681409452112,5915.8,39892.4,0,793.6,0.081789980315164,NA,0.019893513551453,NA,NA,15.092820609964,0,0.0055,43.8213,3699.1,2459.5315,3699.1,0.3351,NA,8909.3,1.2991863042464,NA,2.4085047714309,2.4085047714309,NA,NA,NA,9702.9,0,0.6,24.516666666667,NA,NA,0.57175192394749,NA,0.8356,0.011498430778795,6857.6,7967.5,0.21780985252589,0.17885374475672,527.9,NA,0,NA,0.083010513354802,1.3468169985463,NA,NA,NA,NA,NA,NA,0.35865777968969,0.089235606342338,1199.4,14.71,1735.4,8384827,NA,90.6,87.941501103753,NA,1.4,1.2681540150565
"5",2007-12-31,477.7,NA,NA,0.27595525958492,5599.4,37376.1,0,370,0.059240757641257,NA,0.0098993741990202,NA,NA,4.9087870105062,0,0.027884035412005,114.648,4467.6,2800.3811,4467.6,0.37318,NA,5875.7,0.79794934474095,NA,1.3151804100636,1.3151804100636,NA,NA,NA,6245.7,0,1.5,6.3533333333333,NA,NA,0.50188964474679,NA,0.793,0.0094579156198747,7363.5,4111.6,0.51904368129195,0.34169108346542,837.6,NA,0,NA,0.13687679083095,0.73429295996,NA,NA,NA,NA,NA,NA,0.38030570136484,0.14958745579884,1044.6,9.53,2134.1,3719283,NA,1018.4,4.0373134328358,NA,NA,0.80761621516778
"6",2006-12-31,0,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,7255.4,NA,NA,NA,NA,NA,NA,NA,7255.4,NA,1.85,7.5351351351351,NA,NA,0.35824361410175,NA,0.6545,NA,0,7255.4,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.94,0,4182663,NA,836.2,8.676632384597,NA,NA,NA
"7",2003-12-31,13.2,0.96,0.3974,0,NA,142.3,2.5,22.5,0.09838216003498,0.1316559391457,NA,-2.9404,0.48314041268244,13.945121951219,5,0,0,40.7746,26.0953,45.7746,0.36001,NA,206.2,2.2461873638344,1.2065535400819,5.0570710827503,4.5046826197679,1.075639019301,NA,31.5358,228.7,0.1243851018974,NA,NA,-0.065,-0.0872,0.16025426564068,NA,0.9348,0.36261419536191,91.8,228.7,0,0,16.4,0.085550339071466,27.1,0.14136671883151,0,2.0008748906387,NA,0.2127,1.1930099113198,-5.4404,-0.20848281213968,191.7,0.28426285244118,0.14348206474191,66.6,16.76,0,7500,170.9,17.9,12.776536312849,170.9,0.95,2.0008748906387
"8",2002-12-31,13.1,1.44,0.5111,0.35832780358328,NA,181.3,1.9,42.5,0.18209083119109,0.20373921380633,NA,-39.9,0.6199,6.339222614841,5.1,0,0,41.3,30.5802,46.4,0.25956,NA,190.9,NA,NA,4.6222760290557,4.114224137931,0.91514860977948,NA,33.7802,233.4,0.11527854384997,NA,NA,NA,0.0262,0.24143363528948,NA,0.8703,0.33149476006619,108.2,179.4,0.3010033444816,0.23136246786632,28.3,0.13566634707574,31.2,0.14956855225312,0,1.8552223371251,NA,0.19798657718121,0.86001917545542,-3.2,-0.10464296930704,208.6,0.28262635859519,0.29265770423992,76.8,13.67,54,53505,200.9,27.7,6.4765342960289,200.9,0.9,1.7643253234751
"9",2001-12-31,NA,1.67,0.6015,0.3516,NA,279.8,2.9,48.1,0.18914667715297,0.24001996007984,NA,0.5135,0.4847,10.58125,11.1,0,0,47.8868,28.1579,58.9868,0.41199,NA,206.2,NA,NA,4.3059882890483,3.4956973424563,1.0289421157685,0.1225,35.8444,254.3,0.10614724803431,NA,NA,-0.035,-0.1485,0.38825165102537,0,0.7983,0.55039313795568,193.659,169.3,0.50206733608978,0.33425088478175,16,0.079840319361277,15.706,0.078373253493014,0,1.0804084237396,0.86377551020408,0.1405085692016,0.84481037924152,-7.6865,-0.27297828624333,NA,0.14539947675037,0.10210593490747,68.6,12.59,85,29400,200.4,23.1,7.3290043290043,207,0.95,1.3131328778936
"10",2000-12-31,NA,0.9,0.591,0.29948659440958,NA,277.8,7.1,23.7,0.10861594867094,0.10123878684323,NA,2.5367,0.45685279187817,5.4423076923077,5.2,0,0,50.05058,31.0244,55.2506,0.38014,NA,194.5,NA,NA,3.8860688527486,3.5203250355019,0.83084152071764,NA,23.8785,218.2,0.11447084233261,NA,NA,NA,0.1255,0.37771918259723,NA,0.8345,NA,221.9,113.2,0.92756183745583,0.48120989917507,20.8,0.088850918410935,41.8,0.17855617257582,0,0.80512091038407,NA,0.132526068,0.48355403673644,7.1459,0.23033196246947,NA,0.13981231419018,0.14793741109531,74.1629,8.95,105,NA,234.1,16.8,6.7380952380952,210.5,NA,0.88843648208469
"11",1999-12-31,NA,0.9,0.5379,0.28182245185533,NA,287.1,16.4,4,0.017383746197306,0.017977528089888,NA,NA,0.25097601784718,3.983606557377,4.2,0,0,79.6,49.3568,53.5568,0.37994,NA,226.1,NA,NA,2.8404522613065,4.2216880269268,1.0161797752809,0.1067,39.8593,230.1,0.10414489724835,NA,NA,NA,0.201,0.52207158002956,NA,0.6909,NA,208.9,170.1,0.35273368606702,0.26075619295958,NA,0.10247191011236,NA,0.1276404494382,0,1.112491824722,0.37334644399035,0.35775280898876,0.76449438202247,NA,0.24717984010949,NA,0.23626987075156,0.14911706998038,61.5,NA,NA,NA,NA,22.8,7.4605263157895,222.5,NA,1.0807891028652
