"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2012-06-30,6.8,0.41,0.1774,0.467,66.2,182.9,7.3,9.7,0.0509,0.1309,0.053,-0.16,0.58,22.83,5.9,0.037,4.9,15,9.85,21,0.3603,0.3556,180.7,1.58,2.49,11.73,8.48,2.44,NA,8.62,190.4,0.7343,NA,NA,0.025,-0.055,0.195,NA,0.2617,0,114.5,132.4,0.4381,0.3046,5.8,0.0783,8.7,0.1174,0.765,2,NA,0.2078,1.79,1.24,0.1254,74.1,0.086,0.0876,0,19.55,58,26579,72.7,6.4,20.69,72.7,0.6,1.53
"2",2011-06-30,3.4,0.31,0.143,0.47619047619048,63.8,174.9,8.1,7.3,0.042941176470588,0.087951807228916,0.041738136077759,0.2131,0.8,17.5,5.2,0.0423,4.7376,15.9,9.9954,21.1,0.37136,0.36633663366337,162.7,1.42096069869,1.8940628637951,10.232704402516,7.7109004739337,1.9602409638554,NA,6.8822,170,0.76157804459691,NA,NA,0.04,0.0765,0.099665125179397,NA,0.1957,0,114.5,112,0.51785714285714,0.34117647058824,6.4,0.07710843373494,6.1,0.073493975903615,0.74025,1.7554858934169,NA,0.19156626506024,1.3493975903614,3.1131,0.31145727085409,83,0.087295860262009,0.10031347962382,0,34.35,58,2750,85.9,6,18.666666666667,85.9,0.6,1.3957307060755
"3",2010-06-30,3.3,0.43,0.2005,0.48950461796809,60.8,168.6,5.3,4.6,0.027677496991576,0.06020942408377,0.027283511269276,0.1716,0.74812967581047,18.929824561403,4.4,0.0422,4.5534,15,9.5862,19.4,0.36092,0.35227272727273,161.6,1.4113537117904,2.0638569604087,10.773333333333,8.3298969072165,2.1151832460733,NA,8.5146,166.2,0.77402135231317,NA,NA,0.05,-0.2803,0.11193526635199,NA,0.1743,0,114.5,107.9,0.54031510658017,0.35078219013237,5.7,0.074607329842932,6.9,0.090314136125654,0.79883859649123,1.7746710526316,NA,0.19633507853403,1.4123036649215,1.0716,0.11178536423596,76.4,0.083722270742358,0.09375,0,31.38,58.3,2190,78.3,5.8,18.603448275862,78.3,0.6,1.3954659949622
"4",2009-06-30,3.3,0.44,0.1961,0.51440329218107,59,162.5,8.4,0.1,0.00064308681672026,0.0009469696969697,0.00061538461538461,-0.9659,0.53034166241713,17.884615384615,4.4,0.0464,4.3152,14.6,9.2567,19,0.36598,NA,155.4,1.2800658978583,1.6255230125523,10.643835616438,8.178947368421,1.4715909090909,0.03,6.2226,155.5,0.79138461538462,NA,NA,0.05,-0.0686,0.23497720679652,NA,0.1769,0,121.4,93,0.67204301075269,0.40192926045016,5.2,0.049242424242424,10.2,0.096590909090909,0.82984615384615,1.5762711864407,5.9615384615385,0.13825757575758,0.88068181818182,3.0341,0.32777269775109,105.6,0.076249522240527,0.088135593220339,0,28.34,62.5,4068,95.6,4.3,21.627906976744,95.6,0.65,1.2798353909465
"5",2008-06-30,3.3,0.48,0.1668,0.53510895883777,57.6,170.8,5.6,0.3,0.0021097046413502,0.002661934338953,0.0017564402810304,-0.7991,0.57553956834532,11.161764705882,4.7,0.055652173913044,4.224,17.4,10.8265,22.1,0.37779,NA,141.9,1.1480582524272,1.1984797297297,8.1551724137931,6.420814479638,1.2590949423248,0.03,10.7256,142.2,0.72833723653396,NA,NA,0.035,0.1411,0.46684894053315,NA,0.1802,0,123.6,75.9,0.87351778656126,0.4662447257384,6.8,0.060337178349601,15.8,0.14019520851819,0.62117647058823,1.3177083333333,3.7205882352941,0.15439219165927,0.6734693877551,0.1009,0.0093185923522436,112.7,0.087592669902913,0.11805555555556,NA,24.25,66.3,4990,118.4,8,9.4875,118.4,0.6,1.1476997578693
"6",2007-06-30,3.3,0.7,0.1049,0.54054054054054,54.4,160.4,8.1,0.2,0.0013623978201635,0.0020366598778004,0.0012468827930175,0.0734,0.8,15.622641509434,5.2,0.049420289855072,4.092,14.8,9.2738,20,0.37339,NA,146.6,1.2402707275804,1.5035897435897,9.9054054054054,7.33,1.4928716904277,0.03,6.3004,146.8,0.76246882793018,1.57,16.165605095541,0.015,-0.1681,0.052037111738604,NA,0.1331,0,118.2,82.8,0.77294685990338,0.43596730245232,5.3,0.053971486761711,10.3,0.10488798370672,0.77207547169811,1.5220588235294,5.2075471698113,0.15071283095723,0.84317718940937,2.9734,0.32062505241576,98.2,0.078458781725888,0.097426470588235,NA,25.38,64,1478,97.5,5,16.56,97.5,0.55,1.2398648648649
"7",2006-06-30,3.3,0.83,0.1411,0.56056808688388,52.6,155.6,7.8,0.2,0.0013458950201884,0.0017050298380222,0.0012853470437018,0.1191,0.62367115520907,16.3,4.6,0.049398773006135,4.026,14.4,9.1273,19,0.36616,NA,148.4,1.2418410041841,1.2771084337349,10.305555555556,7.8105263157895,1.2651321398124,0.02,5.8082,148.6,0.77377892030848,1.52,16.493421052632,0.025,0.3817,0.053210288631455,NA,0.1073,0,119.5,81.5,0.82331288343558,0.45154777927322,5,0.042625745950554,12.7,0.10826939471441,0.8052,1.5494296577947,8.15,0.1227621483376,0.69479965899403,3.3191,0.36364508548708,117.3,0.076379046025105,0.095057034220532,NA,25.07,67.1,547,116.2,5.1,15.980392156863,116.2,0.55,1.2414369256475
"8",2005-06-30,3.2,0.08,0.1568,0.54275427542754,NA,144.8,5.3,0.1,0.00070372976776918,0.0011286681715576,0.00069060773480663,0.4442,0.10204081632653,16.36,4.3,0.047619047619048,3.84,14.1314,8.7192,18.4314,0.38299,NA,142,1.2792792792793,1.6027088036117,10.048558597957,7.704252204664,1.6864608076009,0.04,7.275,142.1,0.80455801104972,1.6,15.75,0.05,0.0533,0.11940298507463,NA,0.0945,0,111,81.8,0.73716381418093,0.42434904996481,5,0.05938242280285,8.5,0.10095011876485,0.768,1.6102362204724,4.09,0.16783111638955,0.97149643705463,1.4442,0.16563217532971,84.2,0.078551376340541,0.098425196850394,0,25.2,60.3,1800,88.6,5.5,14.872727272727,88.6,0.5,1.2790279027903
"9",2004-06-30,3.2,0.1,0.1529,0.54898336414048,NA,138.4,9,0.2,0.0013679890560875,0.0025348542458809,NA,-0.0208,0.13080444735121,22.842105263158,4.7,0.043703703703704,3.776,16.7825,10.3922,21.4825,0.38077,NA,146,1.3518518518519,1.850443599493,8.6995485768492,6.7962358163489,1.8434343434343,0.04,6.113,146.2,0.83236994219653,1.5,18,0.09,0.1487,0.11566265060241,NA,0.0909,0,108,86.8,0.68433179723502,0.406292749658,3.8,0.047979797979798,5.5,0.069444444444444,0.99368421052632,1.7786885245902,5.7105263157895,0.2119,1.0959595959596,4.2792,0.41176656078064,79.2,0.0962242138,0.077868852459016,0,27,59.4,400,78.9,3.6,24.111111111111,78.9,0.5,1.3512014787431
"10",2003-06-30,3.2,0.01,0.1408,0.55,NA,132.6,9.2,1.4,0.010662604722011,0.02046783625731,NA,-3.3,0.0203,19.282051282051,4.5,0.04936170212766,3.712,12.4,7.6895,16.9,0.37988,NA,129.9,NA,NA,10.475806451613,7.6863905325444,1.8991228070175,0.04,2.9895,131.3,0.84012066365008,NA,NA,NA,-0.0256,0.068736141906874,NA,0.078,0,100.6,75.2,0.74601063829787,0.42726580350343,3.9,0.057017543859649,1.1,0.016081871345029,0.95179487179487,1.6383442265795,4.8205128205128,0.1812865497076,1.0994152046784,4.7,0.61122405028787,68.4,0.076436262425447,0.084967320261438,0,23.74,56.1,3478,71.3,4,18.8,71.3,0.45,1.2912524850895
"11",2002-06-30,NA,-0.1,0.1501,0.671,NA,127.9,9.4,0.2,0.0015455950540958,0.0035778175313059,NA,-0.013,-0.1189,16.583333333333,4.4,0.0503,3.0029,16.3601,10.1073,20.7601,0.3822,NA,129.2,NA,NA,7.8972622416733,6.2234767655262,2.3112701252236,0.03,5.1203,129.4,0.8381548084441,NA,NA,0.065,-0.2204,0.12920687220523,0,0.0783,0,103.662,59.7,1.1675041876047,0.5386398763524,3.6,0.064400715563506,5.599,0.10016100178891,0.83414166666667,1.7456140350877,5.5277777777778,0.18080983506261,1.0679785330948,4.987,0.49340723148284,NA,0.097502168393432,0.10526315789474,0,22.91,69.7,2500,55.9,3.5,17.057142857143,55.8,0.5,1.2482877042697
"12",2001-06-30,NA,0.45,0.1841,0.40352941176471,NA,124.2,7.1,0.2,0.001679261125105,0.0028248587570621,NA,2.4395,0.6,14.027777777778,3.8,0.057425742574257,2.9,16.22736,10.0533,20.0274,0.38047,NA,118.9,NA,NA,7.327131461926,5.9368783504166,1.6793785310734,0.03,3.3332,119.1,0.82447665056361,NA,NA,NA,0.5182,0.08538556008015,NA,0.071,NA,101.2,50.5,1.3584158415842,0.575986565911,3.6,0.050847457627119,6.6,0.093220338983051,0.80555555555556,1.5396341463415,467.59259259259,0.141996276,0.71327683615819,6.7201,0.66844674963548,NA,0.099341268189723,0.10975609756098,NA,19.87,68.6,NA,70.8,3.9,12.948717948718,71.4,NA,1.1745562130178
"13",2000-06-30,NA,0.4,0.1855,0.66488222698073,NA,112.9,8.8,0.4,0.003683241252302,0.0083682008368201,NA,NA,0.32345013477089,13.285714285714,4.2,0.061290322580645,2.85,15.6,9.7606,13.9606,0.37432,NA,108.2,NA,NA,6.9358974358974,7.7503787800646,2.2635983263598,0.035,5.2186,108.6,0.88485385296723,NA,NA,NA,0.166,0.19706523660793,NA,0.0671,NA,93,46.5,1.3354838709677,0.57182320441989,NA,0.066945606694561,NA,-0.02928870292887,0.81428571428571,1.4856230031949,3.7959183673469,0.32635983263598,0.97280334728034,NA,0.47128211685174,NA,0.10495277419355,0.10223642172524,0,NA,NA,NA,NA,3.2,14.53125,47.8,NA,1.1627408993576
